time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.408,0.005980342,0.001074497,0.0006293959,-0.01065788,0.07039662,0.12209,-0.05213593,-0.4738098,-0.5735953,284.9047,243.1745,122.5143,-0.0001766364,0.0002617496,-3.065393E-05,0.007077698,0.0009575989,0.001051499,0.3540116,-0.5864872,0.7327323,32.2488,344.1983,329.5864,0.006277069,0.006512668,0.01507623,0.03130447,-0.04444933,0.001131575,-0.1416007,-0.6118081,0.1793484,42.27793,2.326655,352.6538,
26.865,0.003653257,-0.0002925303,0.00572979,-0.05752469,0.05250901,0.1688782,-0.05202076,-0.4738619,-0.5732586,284.7336,244.1925,121.9178,0.0002013076,-0.0006632772,-3.693417E-05,-0.0007865445,0.01141504,-0.01485459,0.3540055,-0.5864904,0.7327331,32.25535,344.216,329.61,0.00970533,0.02112218,0.008718822,0.1029958,-0.1693924,0.08895364,-0.1399887,-0.6100935,0.1753045,41.89354,1.852291,351.6901,
40.622,0.003636851,-6.578607E-05,0.0072894,-0.05309481,0.04649471,0.1601131,-0.05198315,-0.473867,-0.5731081,284.7093,244.3241,121.8709,0.0002557698,-0.0005784975,4.906113E-06,0.0006900502,0.01007222,-0.01585263,0.3540014,-0.586493,0.7327353,32.26404,344.2246,329.622,0.006232869,0.02376284,0.004941678,0.1154013,-0.1941293,0.1377802,-0.1396535,-0.6096545,0.1741788,41.75907,1.55026,351.2325,
48.693,0.003905787,0.0003173054,0.007507175,-0.04869843,0.04427714,0.1490103,-0.05192603,-0.4738544,-0.5729977,284.6598,244.4651,121.8117,0.0002000585,-0.001258445,-0.0001551328,-0.009433784,0.01822479,-0.01685501,0.3539987,-0.5864948,0.7327378,32.27475,344.231,329.6315,0.006869306,0.02548205,0.005763122,0.1261001,-0.1945408,0.125144,-0.1393144,-0.6090083,0.1734997,41.62916,1.450288,351.0127,
57.844,0.00425631,0.0008482002,0.007210215,-0.03981064,0.04011606,0.1311342,-0.05185871,-0.4738292,-0.5729091,284.6476,244.5013,121.8239,0.0004655823,-0.0004300924,0.0001313491,0.00489053,0.007652657,-0.02139188,0.3539951,-0.5864971,0.7327396,32.27868,344.2412,329.6438,0.007777086,0.02604626,0.006066736,0.1267735,-0.1809957,0.09832463,-0.1393027,-0.6090749,0.1732531,41.51897,1.430882,350.8977,
72.885,0.004577849,0.001864447,0.005121585,-0.01412416,0.03684377,0.08756389,-0.05179,-0.4737784,-0.5729212,284.6759,244.1646,122.1201,5.592321E-05,-0.001785838,-0.0003271314,-0.01236142,0.02885697,-0.02055248,0.3539887,-0.5865011,0.7327434,32.3036,344.2511,329.6649,0.001102705,0.02290404,0.006532039,0.09810057,-0.09969265,0.1008108,-0.1395101,-0.6085969,0.1726764,41.60769,1.402105,351.0826,
88.805,0.005542009,0.001975965,0.002327617,0.0117744,0.03552211,0.04805906,-0.05168042,-0.4737638,-0.5730029,284.6989,243.8326,122.4194,0.0005989361,-0.0009380719,9.212823E-05,0.002452162,0.0154467,-0.03054897,0.35398,-0.5865067,0.7327487,32.31769,344.2719,329.6922,0.001492768,0.002941472,0.005865807,-0.006416183,-0.01267133,0.01965051,-0.1394278,-0.6090931,0.1719161,41.75901,1.632259,351.3875,
103.748,0.006834016,0.001245485,-0.0002573641,0.01972927,0.04041857,0.02302326,-0.05154218,-0.4737764,-0.573117,284.6663,243.5805,122.667,0.0002005667,-0.002448039,-0.0003936518,-0.02678439,0.03179434,-0.02083622,0.3539723,-0.586512,0.7327553,32.35483,344.2814,329.7096,0.006053862,-0.0005989122,0.007164192,-0.00286081,0.006428785,-0.06632057,-0.1392998,-0.6089206,0.1713013,41.74467,1.757105,351.5086,
118.364,0.008235267,0.0007012573,-0.001355589,0.01435118,0.05020583,0.01251827,-0.05138202,-0.4737921,-0.5731857,284.6082,243.5375,122.7246,0.0001997597,-0.001525695,-0.0002110201,-0.0171706,0.01875071,-0.01394468,0.3539668,-0.586516,0.7327616,32.36475,344.2886,329.7179,-0.0008946015,-0.008127955,-0.0004313958,-0.04171652,0.04761371,-0.003253173,-0.1392442,-0.6089153,0.1705424,41.80078,1.733594,351.5399,
132.981,0.009519504,0.0008904642,-0.001634023,0.00220791,0.05600218,0.007756504,-0.05120037,-0.4737665,-0.5732065,284.5363,243.502,122.7605,-1.624823E-06,-0.0008883689,-0.000177868,-0.01100716,0.01142155,-0.004860526,0.3539623,-0.5865197,0.7327675,32.37931,344.295,329.7255,-0.001125838,-0.007782962,-0.004206242,-0.03373908,0.02011754,0.02710576,-0.1390477,-0.608723,0.1692371,41.8204,1.687503,351.503,
145.831,0.01018061,0.001423406,-0.002094645,-0.007087191,0.05603144,0.0002888686,-0.05102926,-0.4737183,-0.5732365,284.4893,243.4558,122.7912,-7.856685E-05,-2.75417E-05,-4.194008E-05,0.0006199313,0.001783492,0.0004086171,0.3539619,-0.5865203,0.7327706,32.38413,344.2951,329.7242,0.004753693,-0.001047396,-0.003533537,-0.008912219,0.01359877,-0.002730718,-0.138941,-0.6085805,0.1688324,41.81677,1.705242,351.5272,
