time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.865,0.0065549,-0.001952752,-0.00749255,0.05665515,0.04219565,0.05164907,0.1709985,-0.3915537,-0.663967,278.2643,162.4519,181.2898,9.515952E-07,0.0001780378,-9.554876E-05,-0.003902799,0.002701998,-0.001350792,0.02986502,-0.6304347,1.110829,332.7847,88.9981,89.32764,0.02205634,-0.005278225,0.001773938,-0.00594385,-0.1155903,0.1517185,-0.06352497,-0.3222539,-0.09161712,328.2831,37.67648,346.933,
23.2,0.005485194,-0.00122374,-0.001860112,0.01814253,0.0381357,0.0564274,0.1711528,-0.3915935,-0.6639758,278.3197,162.2561,181.63,1.67217E-05,0.0001620384,-0.0001451643,-0.003226642,0.001046801,-0.002515179,0.02986715,-0.6304329,1.110831,332.7758,88.99808,89.32165,0.005315458,0.003550597,-0.009992767,0.04093653,-0.09292267,-0.01031798,-0.06340696,-0.3222474,-0.0917554,328.1837,37.71142,346.8594,
36.865,0.005643337,8.12054E-05,-0.002500213,0.004817235,0.03390526,0.05566199,0.1712083,-0.3915434,-0.6640592,278.3129,162.1752,181.7554,-4.241044E-05,0.0001948913,5.446675E-05,-0.004384136,0.003182739,0.001587242,0.02986856,-0.6304325,1.110831,332.7719,88.99915,89.321,-0.006724112,0.00797149,-0.00906897,0.05588358,0.04201297,-0.1186991,-0.06352982,-0.3222302,-0.09193124,328.0649,37.55779,346.7971,
46.306,0.006685651,0.0002839314,-0.003883509,0.01040477,0.03937283,0.05461205,0.171409,-0.3915302,-0.6642028,278.4033,161.9194,182.1024,-2.459189E-05,0.0002981771,-6.440339E-05,-0.00240244,-0.01492175,-0.002844254,0.02986975,-0.6304328,1.11083,332.7676,88.99873,89.32553,-0.009575504,0.00716686,-0.007004887,0.06553359,0.09056566,-0.1280552,-0.06372391,-0.322287,-0.09207346,327.9596,37.38852,346.6812,
59.471,0.008609208,-0.001069701,-0.006879007,0.03765354,0.05580638,0.04905595,0.1715919,-0.3916158,-0.6644291,278.577,161.5683,182.4485,9.43958E-05,0.0002115628,-0.0004556908,-0.002726635,-0.005070752,-0.009163747,0.02987201,-0.6304332,1.110829,332.7627,89.00014,89.32763,-0.01125559,0.00244065,-0.0005230099,0.06240037,0.1431271,-0.1194664,-0.06390112,-0.3226072,-0.09192171,327.9651,37.23308,346.5836,
75.48,0.01001978,-0.002914641,-0.008863465,0.06589842,0.05865081,0.03168257,0.1717772,-0.3917493,-0.6646436,278.6949,161.3452,182.5926,-6.112564E-05,0.0003821962,2.564435E-05,-0.002661713,-0.02125142,-0.001850362,0.02987388,-0.630434,1.110828,332.7538,88.99393,89.33746,-0.007831329,-0.007672488,0.003580056,0.1077793,0.2099443,-0.1034022,-0.06394838,-0.3230504,-0.09203279,328.0284,36.97828,346.1793,
90.999,0.0103884,-0.002716963,-0.009105672,0.06151123,0.04804791,0.005617709,0.1719393,-0.391762,-0.6648042,278.6477,161.2246,182.6495,5.753463E-08,0.0001990164,-0.0001035113,-0.0012635,-0.01141996,-0.00323868,0.02987447,-0.6304334,1.110829,332.7528,88.99506,89.33248,-0.007885308,-0.01273709,-0.0008092795,0.1223777,0.1445409,-0.1201381,-0.06362467,-0.3233715,-0.09143768,327.847,36.99043,346.0766,
106.345,0.01094692,-0.00230273,-0.008800502,0.0513538,0.04490352,-0.0003067437,0.172117,-0.3917527,-0.6649309,278.6812,161.0344,182.8556,-4.003038E-06,0.000230116,-0.0001047804,-0.002813486,-0.006937622,-0.002680653,0.0298742,-0.6304322,1.11083,332.7534,88.99701,89.32586,-0.002463027,-0.01655053,0.004570629,0.05541449,0.1325757,-0.03795768,-0.06402682,-0.3233066,-0.0916847,328.0553,37.08097,346.1983,
123.092,0.01176604,-0.003088579,-0.00843478,0.0579407,0.05334236,0.009624004,0.1723074,-0.3918341,-0.6650298,278.7839,160.8313,183.0957,-2.775767E-05,-0.0004269858,0.0003232239,0.004963109,0.01383911,0.007551206,0.02987275,-0.6304311,1.110832,332.7587,88.99792,89.31731,0.00425315,-0.01557556,0.002515454,0.09485652,0.1540208,0.003872246,-0.06337717,-0.3234035,-0.09156927,328.1505,37.08499,345.9355,
136.041,0.01214696,-0.003877344,-0.007804247,0.04868174,0.05790649,0.0144901,0.1724832,-0.3919286,-0.6651083,278.8045,160.5446,183.4166,0.0001058398,-0.0001305429,-0.0003200887,0.003498607,-0.004224765,-0.006738955,0.02987209,-0.6304308,1.110832,332.7592,88.99966,89.3173,0.01857502,-0.0134544,-0.01495263,0.1789428,-0.04293652,0.08223028,-0.06333799,-0.3238532,-0.0924045,328.0376,37.75387,345.6082,
152.019,0.01183603,-0.002840434,-0.007934213,0.04958996,0.0603427,0.01740688,0.1726156,-0.391902,-0.6652184,278.8857,160.3828,183.5944,1.228675E-05,-0.0001640155,4.006102E-05,0.002319712,0.003547014,0.001075206,0.02987137,-0.6304302,1.110833,332.7609,88.99988,89.31362,0.0136927,-0.005420007,-0.02924818,0.2517028,0.002904672,-0.03031469,-0.06334703,-0.3238895,-0.09316863,327.6871,37.86743,345.1288,
167.23,0.01122482,-0.001925367,-0.009310356,0.08127685,0.06001739,0.01835264,0.1727259,-0.3918622,-0.6653908,279.0639,160.4142,183.5323,-1.212582E-05,0.0002923193,-0.0001073354,-0.005913133,0.002027318,-0.001567696,0.02987306,-0.6304297,1.110834,332.7546,89.00017,89.3123,0.01718866,-0.001818436,-0.03284479,0.3125317,0.07629268,-0.04743547,-0.06225762,-0.323913,-0.09331882,327.6031,37.90207,344.6373,
180.494,0.01039138,-0.001625589,-0.01042223,0.107801,0.05051709,0.004379809,0.172801,-0.3918455,-0.665574,279.1834,160.4543,183.4027,-9.048682E-05,0.0006209626,8.711778E-06,-0.01087091,-0.003996917,0.0001613065,0.02987611,-0.6304287,1.110834,332.7438,89.00059,89.31086,0.03182014,-0.00674933,-0.03287178,0.3620869,0.1000888,0.06731112,-0.06220571,-0.3240493,-0.09344436,327.8049,38.37184,344.0304,
195.788,0.009020806,-0.002189189,-0.01074802,0.1077484,0.03985293,-0.01093091,0.1728304,-0.391874,-0.6657186,279.2275,160.4187,183.3848,-6.029681E-05,0.000718379,-0.0001530577,-0.01239816,-0.005152742,-0.00299383,0.02987943,-0.6304281,1.110834,332.7327,89.00077,89.31116,0.04073587,-0.005144939,-0.01892386,0.3221158,0.1926064,0.1675373,-0.06119849,-0.3236928,-0.09321357,328.255,38.4709,343.6483,
210.922,0.007550533,-0.003224334,-0.00945985,0.08382569,0.02902321,-0.01188859,0.1728444,-0.3919387,-0.6657884,279.2204,160.4062,183.4055,-0.0001010893,0.0008335158,-6.435681E-05,-0.01420887,-0.007004287,-0.001438719,0.02988369,-0.6304274,1.110834,332.7175,88.99892,89.31223,0.04566275,-0.003773303,-0.0143906,0.2964918,0.1651655,0.2210024,-0.06099661,-0.3234363,-0.09319247,328.4864,38.76002,343.3456,
225.947,0.005988466,-0.003169519,-0.006995323,0.06092307,0.02380286,-0.004963798,0.172848,-0.391966,-0.6657956,279.2443,160.3956,183.4421,-0.0001067117,0.0006368851,5.830453E-05,-0.01154626,-0.002351041,0.001328198,0.02988753,-0.6304265,1.110834,332.7061,88.99866,89.31192,0.04743012,-0.0006913036,-0.02297417,0.3189284,0.02148753,0.2378111,-0.06049385,-0.3236687,-0.09387797,328.4241,39.32415,343.0636,
240.293,0.004216993,-0.001101435,-0.002482582,0.04138723,0.021646,0.007999865,0.172823,-0.3918867,-0.665659,279.2326,160.4073,183.4773,-2.412539E-05,0.0002771773,-5.650681E-05,-0.005039833,-0.0008048418,-0.0009581866,0.02988973,-0.6304256,1.110835,332.6997,88.99966,89.3096,0.04217286,-0.0019689,-0.01938839,0.2853096,0.04504228,0.1794934,-0.06029806,-0.3236152,-0.09376692,328.4302,39.38702,342.8719,
255.089,0.002039546,-0.0008808167,0.004074397,-0.02479688,0.006088042,0.003957287,0.1727603,-0.3918791,-0.6653597,279.0149,160.2925,183.611,0.0001081732,-0.0002808735,-0.0002494759,0.003732054,0.007748601,-0.004021529,0.02989005,-0.630425,1.110836,332.7003,89.00264,89.3064,0.03702214,-0.002013367,-0.003890506,0.2300686,0.2126931,0.1143081,-0.0597324,-0.3233832,-0.09324791,328.643,39.02189,342.6525,
