time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.568,0.006273509,-0.0008834606,-0.01249339,0.0871617,0.02303241,0.002121024,0.1715822,-0.3930819,-0.6837692,280.3591,164.7235,180.8038,-0.0003201496,0.001395092,0.0001734138,-0.02435314,-0.009562082,0.003858241,8.736923E-05,-0.5419063,0.8056138,329.8488,89.65061,88.67012,-0.001423187,0.0007910925,0.01058398,-0.1360539,-0.08997572,0.04615893,-0.04564504,-0.3246032,-0.08506313,336.5414,41.27903,347.0094,
12.394,0.006712887,-0.000887285,-0.01151049,0.09015942,0.02533355,0.0009452389,0.1716528,-0.3930829,-0.6839035,280.4334,164.6452,180.8768,-0.000277358,0.001378805,2.32926E-05,-0.02390814,-0.009912453,0.0008948455,9.261817E-05,-0.5419043,0.8056145,329.8295,89.64967,88.66782,0.00252685,0.00175147,0.008128672,-0.1010514,-0.06882901,0.06163011,-0.04568081,-0.3245502,-0.08510248,336.5804,41.31665,347.0107,
25.206,0.006420364,-0.00129515,-0.008849407,0.08262083,0.02710007,0.002709881,0.1717113,-0.3930905,-0.6839254,280.4816,164.6024,180.9321,-0.0001910528,0.001105447,-9.969838E-05,-0.01773593,-0.01306516,-0.002430622,9.741634E-05,-0.5419031,0.8056145,329.8142,89.64865,88.66944,0.003600114,0.003938718,0.003840567,-0.07828644,-0.08100019,0.05626132,-0.04567233,-0.3244603,-0.0851627,336.5876,41.36691,347.0533,
40.005,0.006250884,-0.002133746,-0.005437465,0.04837085,0.02725982,0.01133567,0.1717789,-0.3931223,-0.6838669,280.4424,164.4885,181.0886,-0.0001400196,0.0003150851,0.0002915945,-0.003051619,-0.01129811,0.004146862,0.0001009777,-0.5419031,0.8056139,329.8044,89.64364,88.67469,-0.001842664,0.007072933,-0.003444316,-0.0312007,-0.08143078,-0.03454754,-0.045782,-0.3244937,-0.08534729,336.4989,41.37247,347.0532,
54.562,0.006428066,-0.002738858,-0.001156531,0.01306937,0.03336572,0.02333952,0.1718492,-0.393153,-0.6837201,280.4037,164.3527,181.3024,9.207331E-05,5.472202E-05,-0.0003849248,0.0005492375,-0.005514979,-0.008249284,0.0001011863,-0.541904,0.8056121,329.8043,89.64255,88.67892,-0.006932107,0.008339047,-0.009500614,0.04594432,-0.0343332,-0.1357458,-0.04572251,-0.3243974,-0.08550867,336.2719,41.3273,346.9974,
69.195,0.0057801,-0.001011235,0.003006836,-0.04118576,0.03185579,0.02800333,0.1718557,-0.3930737,-0.683525,280.2651,164.1106,181.5978,9.86758E-05,8.038585E-05,-0.0004286313,-0.005706958,0.01550135,-0.005437925,0.0001011491,-0.5419035,0.8056129,329.8054,89.64617,88.67297,-0.01022562,0.008962033,-0.01394662,0.140221,0.04263404,-0.2187608,-0.04614627,-0.3247403,-0.08650094,335.862,41.15295,346.6917,
82.086,0.004477267,0.0002246585,0.0039728,-0.06908056,0.02641848,0.03484573,0.1718257,-0.3929854,-0.6834038,280.1909,164.1579,181.6285,-7.614975E-05,0.0001654297,0.0001629608,-0.004057503,0.003001621,0.003901182,0.0001021773,-0.5419016,0.8056149,329.8024,89.64919,88.66758,-0.005333768,0.006585555,-0.01827362,0.2552668,0.1369505,-0.2168857,-0.04539768,-0.3244075,-0.08652604,335.7042,41.01669,346.1754,
96.771,0.003471281,0.0001232306,0.0014763,-0.04235711,0.01582797,0.02653045,0.1717922,-0.3929692,-0.6834179,280.2618,164.2847,181.4579,0.0002267354,5.215788E-05,-0.0008874807,-0.0009679878,0.0006162152,-0.01684307,0.0001020804,-0.5419,0.8056171,329.8038,89.65723,88.65895,0.004536965,0.007445585,-0.02896234,0.395101,0.1786873,-0.1755065,-0.04543344,-0.3245848,-0.0881179,335.6416,41.0978,345.5084,
111.751,0.002866606,-0.00108136,-0.003119298,0.009710973,0.005455644,0.003281874,0.1717605,-0.3930022,-0.6835638,280.3224,164.2741,181.4246,-2.005268E-05,-0.0008195749,0.0006792367,0.01306673,0.009463836,0.01337748,9.799004E-05,-0.5418991,0.8056195,329.8167,89.65335,88.6507,0.01093555,0.01168582,-0.04064912,0.7142945,0.4464347,-0.2682708,-0.0444735,-0.3242844,-0.08895885,335.4354,40.73857,344.1596,
125.684,0.002681615,-0.002340631,-0.007935439,0.04549694,0.0002599182,-0.006567357,0.1717595,-0.3930742,-0.6838239,280.4431,164.4072,181.2183,0.000118796,0.0005357139,-0.000839854,-0.01032052,0.0006341962,-0.01517168,9.65409E-05,-0.5418977,0.8056219,329.8169,89.66101,88.64115,0.02134746,0.01430382,-0.05999661,0.9571955,0.3962322,-0.2660616,-0.04411589,-0.3245425,-0.09011531,335.1223,41.02007,342.8501,
