time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.578,0.001909671,0.001166346,-0.0019188,-0.006908131,0.02079461,0.03568656,0.06293355,-0.392288,-0.7086315,282.3091,207.9755,146.2437,-5.730267E-05,0.0005925239,-5.547083E-05,-0.01025426,-0.004014604,-0.0004688289,0.005937982,-0.549099,0.8228229,334.0452,92.67381,89.60535,0.005891962,-0.004461452,-0.005694758,-0.1602361,-0.1425124,0.07710754,-0.03614802,-0.2923356,-0.09975968,334.1611,50.37976,327.3749,
12.678,0.0007252378,-0.0001996872,-0.003845753,0.004863892,0.01505944,0.0323834,0.06288985,-0.3923424,-0.7087517,282.3618,207.9398,146.2679,-5.643227E-05,0.0006907442,-0.0001165078,-0.01155618,-0.0064229,-0.00173115,0.005940855,-0.5490982,0.8228231,334.0338,92.67154,89.605,0.001344068,4.483201E-05,-0.00943228,-0.1401554,-0.1518991,0.0154116,-0.03611343,-0.2923302,-0.09982636,334.0336,50.40007,327.4398,
24.378,-3.766804E-05,-0.001530432,-0.006208061,0.0507171,0.00699088,0.02834301,0.06285354,-0.3924008,-0.708922,282.5169,207.688,146.5162,-8.020159E-05,0.0003969415,0.0001685223,-0.007292958,-0.0003325266,0.003829056,0.005942941,-0.5490976,0.8228233,334.0272,92.67044,89.60405,-0.003835734,0.00608485,-0.009279453,-0.07088776,-0.09992268,-0.06105804,-0.03611311,-0.2923072,-0.09983744,333.9715,50.33209,327.3781,
39.298,0.0007361724,-0.002142044,-0.008674341,0.07298474,0.01657322,0.03181048,0.06288233,-0.3924367,-0.7091385,282.5746,207.4358,146.8183,-6.366105E-05,0.0004477616,5.761572E-05,-0.006200933,-0.008802804,0.0008053272,0.005944267,-0.5490969,0.8228239,334.0223,92.67087,89.6022,-0.01101975,0.009972138,-0.001214276,0.02894754,0.02808207,-0.1605629,-0.03626363,-0.2920431,-0.09973503,333.8765,50.12663,327.2747,
53.582,0.002447257,-0.002286309,-0.009191651,0.08154024,0.02897136,0.01453632,0.06296834,-0.3924585,-0.7092999,282.6032,207.0303,147.19,0.0001126141,0.0002279423,-0.0006863123,-0.005763959,0.00340131,-0.01203774,0.005944636,-0.549096,0.8228252,334.0219,92.67427,89.59771,-0.01732692,0.01185791,0.003253279,0.09414975,0.01555337,-0.1520372,-0.03665934,-0.292197,-0.09977627,333.7776,50.02829,327.0897,
65.076,0.002519549,-0.001006845,-0.007260568,0.06240857,0.02380941,-0.01462487,0.0630016,-0.3924048,-0.7093437,282.5859,207.0121,147.1249,0.0001202878,0.0001448531,-0.0006765962,-0.005496293,0.008581451,-0.01137139,0.005944654,-0.549095,0.8228261,334.022,92.67641,89.59241,-0.02608952,0.007158648,0.01288759,0.1386679,0.03191257,-0.1788812,-0.03798724,-0.2924466,-0.09928486,333.6253,49.89577,326.8317,
80.079,0.001573216,-0.0006409485,-0.004392783,0.03443927,0.0004072234,-0.03224773,0.06298695,-0.3923779,-0.7093122,282.5632,207.2536,146.8201,-4.900295E-05,-0.0002610867,0.0003913228,-0.0006054835,0.02319405,0.00969628,0.005943798,-0.5490935,0.8228285,334.026,92.67676,89.58098,-0.03297635,0.0003691469,0.02506622,0.209735,0.1014096,-0.2403555,-0.0374428,-0.292339,-0.09802055,333.5292,49.60961,326.4847,
94.538,0.0004681167,-0.001298174,-0.001509723,4.736101E-05,-0.01774743,-0.03040086,0.06294885,-0.392404,-0.7092364,282.5142,207.4875,146.5846,-3.078935E-05,0.0004307215,-9.50547E-05,-0.005876614,-0.009318175,-0.002147101,0.005944572,-0.549092,0.8228304,334.0207,92.67896,89.57941,-0.02511358,-0.00743833,0.02991808,0.03172417,0.05303443,0.0195829,-0.03753413,-0.2918149,-0.09853316,333.8394,49.86296,326.8407,
108.35,-0.0002422737,-0.001790438,-0.0007404299,-0.004126106,-0.007619881,-0.01156226,0.06291745,-0.3924409,-0.7092204,282.525,207.4008,146.6995,0.0001085088,0.0005848485,-0.000871165,-0.01309441,0.005013569,-0.01466499,0.005945332,-0.5490903,0.8228325,334.0181,92.68548,89.56947,-0.02649213,-0.006968668,0.02929133,-0.00088481,0.08391043,0.03989283,-0.03814295,-0.2920006,-0.09784898,333.9649,49.80622,326.9227,
121.346,-0.00052767,-0.00182593,-0.001599521,0.023691,0.0001270009,0.007706471,0.06289711,-0.3924606,-0.7092736,282.6276,207.25,146.9105,-0.0001224752,-0.0001437328,0.0006866425,-0.001527586,0.0190454,0.01493225,0.005945593,-0.5490886,0.8228348,334.0186,92.68239,89.56008,-0.0145984,-0.01783763,0.02046312,0.04648483,0.007718815,0.1400236,-0.03829027,-0.29336,-0.09820668,334.11,50.09401,326.7835,
