time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.686,-0.003149796,-0.002192363,0.001486318,-0.002030318,-0.009841573,0.01958963,0.1624372,-0.3926452,-0.6979819,277.804,165.6462,181.5037,0.0008847251,-0.002873573,-0.0003099239,0.0350163,0.0580554,0.003564306,0.008831762,-0.5490219,0.8217061,324.0538,89.47309,93.87426,-0.00801851,-0.002226015,-0.0126781,-0.02979491,-0.1389783,-0.11132,-0.03053162,-0.3001603,-0.07732786,338.1073,33.88637,339.6218,
12.802,-0.002759679,-0.002590867,0.001204914,-0.01765442,-0.005495334,0.03833241,0.162443,-0.3926525,-0.6980081,277.7739,165.6908,181.5345,0.0005455249,-0.001951797,1.464964E-05,0.02444987,0.03799132,0.006376015,0.008801602,-0.5490255,0.8217179,324.0868,89.40601,93.869,-0.01964062,0.005997763,-0.01574139,-0.05310924,-0.1918243,-0.1571745,-0.03138677,-0.2999703,-0.0776173,337.7614,33.94962,339.9047,
25.04,-0.001527917,-0.002978643,0.0002711891,-0.01860331,0.004500918,0.04903274,0.1624737,-0.3926505,-0.6980545,277.7854,165.6589,181.6112,0.0003034772,-0.001112251,3.757781E-05,0.0133726,0.02304775,0.004724921,0.008793145,-0.5490264,0.8217212,324.1027,89.40759,93.86156,-0.04398368,0.02036816,-0.02169271,-0.03949885,-0.2114763,-0.3216341,-0.03273756,-0.2997293,-0.0781945,337.2202,33.73652,340.2089,
39.065,-0.0003187729,-0.003409579,-0.001378224,-0.0069454,0.01016228,0.03906326,0.1625193,-0.3926645,-0.6981445,277.8168,165.5676,181.6936,0.0002426359,-0.0007992762,-7.460469E-05,0.009290218,0.01731773,0.001653668,0.008789219,-0.5490268,0.8217227,324.1125,89.40992,93.85685,-0.05816372,0.02597147,-0.02630592,0.02096871,-0.1799654,-0.3879092,-0.03310002,-0.2997342,-0.07824592,336.7759,33.52471,340.304,
54.676,0.000163565,-0.003344127,-0.003479931,0.02127605,0.007122799,0.0106318,0.1625449,-0.3926846,-0.6982937,277.8789,165.5828,181.6049,0.0001130447,3.810379E-05,-0.0005093298,-0.001872379,0.002517661,-0.009034475,0.0087865,-0.549028,0.8217226,324.1188,89.40973,93.85857,-0.04755025,0.01129027,-0.01928902,0.04900426,-0.07579397,-0.2351381,-0.03319124,-0.2999478,-0.07872374,336.8792,33.49691,340.1231,
68.794,0.0002230498,-0.003376873,-0.004540019,0.0381189,-0.003189547,-0.01296365,0.1625551,-0.392711,-0.698424,277.9213,165.7122,181.4044,-0.0001249042,0.0005854167,-0.0001626938,-0.0165878,0.01129784,0.003278977,0.008786239,-0.5490264,0.8217254,324.1133,89.40629,93.84936,-0.03113042,-0.01147613,0.0009201767,0.1446017,0.1967622,-0.06766459,-0.03250513,-0.3007265,-0.07718217,337.284,33.21038,339.5934,
80.931,6.921357E-05,-0.003077306,-0.004943216,0.04056349,-0.009336131,-0.02996187,0.1625542,-0.3927175,-0.6985171,277.9269,165.7402,181.3266,-0.000362637,0.001143506,0.0001687743,-0.01950649,-0.009482648,0.004487265,0.008790851,-0.549023,0.8217275,324.0965,89.41089,93.84203,-0.003679453,-0.03046525,0.01966886,0.01182597,0.2815813,0.1780064,-0.03236715,-0.3015073,-0.07679194,338.0406,33.22953,339.498,
95.913,8.542178E-05,-0.00307655,-0.004540018,0.04108469,-0.01123696,-0.03611394,0.1625587,-0.3927268,-0.6985565,277.9421,165.7366,181.2986,-0.0001741607,0.001531217,-0.001058557,-0.02967096,-0.004428937,-0.01644688,0.008796599,-0.5490193,0.8217303,324.0758,89.425,93.82912,0.006592374,-0.02897411,0.002676136,0.01608214,0.02926045,0.1153816,-0.03260136,-0.3011444,-0.07744167,337.7746,33.53736,339.5824,
110.715,-1.721919E-05,-0.003065513,-0.003834844,0.03107208,-0.0107804,-0.03649921,0.162563,-0.3927331,-0.6985841,277.935,165.7578,181.2441,-0.000182456,0.000435865,0.0002453536,-0.01172943,0.006982665,0.009205713,0.008799456,-0.5490165,0.8217323,324.0707,89.42122,93.82234,0.007923553,-0.02039263,-0.00969769,-0.2144208,-0.2132576,0.170476,-0.03296175,-0.3010871,-0.07796098,337.97,34.09485,340.1113,
123.782,0.00015265,-0.003276112,-0.003569962,0.02489674,-0.01291902,-0.03633838,0.1625898,-0.3927502,-0.6986504,277.9358,165.76,181.2117,-0.0003748715,0.0007818895,0.0006345161,-0.01167237,-0.01040641,0.01193982,0.008800376,-0.5490149,0.8217342,324.0593,89.4102,93.8223,0.01386125,-0.01291032,-0.03134252,-0.1362501,-0.4329098,0.1970098,-0.03266646,-0.301423,-0.0783656,337.7642,34.8419,340.1161,
137.324,0.000303754,-0.003210514,-0.003402921,0.02438401,-0.008595711,-0.03310345,0.16262,-0.3927574,-0.6987188,277.9586,165.7686,181.183,-0.000336794,0.001765722,-0.0006662079,-0.02775501,-0.02077304,-0.01371648,0.008805916,-0.5490127,0.8217343,324.0341,89.41526,93.8222,0.003017813,-0.02155003,-0.0114774,-0.198784,-0.09129565,0.2096864,-0.0328645,-0.30108,-0.07792123,338.2749,34.48093,340.1956,
151.443,0.0009064814,-0.002918957,-0.00328414,0.02453254,-0.001782625,-0.01901255,0.1626613,-0.3927535,-0.6987859,277.9851,165.7175,181.2522,-0.0003159008,0.0009714817,0.0001693716,-0.0132116,-0.01629381,0.001303819,0.008811727,-0.5490111,0.821734,324.0211,89.40776,93.82665,0.004024735,0.001236991,-0.01798921,-0.1886479,-0.1750121,0.1953179,-0.03302233,-0.3005237,-0.07832435,338.2834,34.76651,340.3062,
165.778,0.001155893,-0.003015436,-0.00320953,0.01856253,0.004737536,-0.01323805,0.1626918,-0.392765,-0.698853,277.9765,165.6637,181.3094,-0.0004301296,0.001385654,0.0001550489,-0.01837438,-0.02441785,-0.0002988819,0.008816846,-0.5490104,0.8217317,323.9973,89.39444,93.83899,0.01215892,-0.0003122995,-0.01369038,-0.08892752,-0.1436662,0.296564,-0.03248006,-0.3005879,-0.07769673,338.5391,35.12882,340.0452,
180.108,0.001234935,-0.003214478,-0.002725196,0.008799553,0.002441259,-0.01168215,0.1627169,-0.3927901,-0.6988949,277.9742,165.6233,181.3313,-0.0004288446,0.00168665,-0.0002040897,-0.02803646,-0.01597524,-0.003079616,0.008826524,-0.5490072,0.8217311,323.9676,89.3999,93.83685,0.03362798,-0.01774538,0.002204636,0.1292643,0.06614277,0.5445011,-0.03174698,-0.3010615,-0.07732818,339.2813,35.4548,339.1049,
194.186,0.0005445881,-0.00302813,-0.002693223,0.007548654,-0.002660386,-0.01628173,0.1627037,-0.3927757,-0.6989673,277.9713,165.6543,181.2755,-0.0004783699,0.002038897,-0.0004166393,-0.03508258,-0.01647357,-0.006032735,0.008836515,-0.5490026,0.821732,323.9343,89.40775,93.83024,0.03533099,-0.02327545,0.00821084,0.4347296,0.2609658,0.6071898,-0.03182659,-0.3009719,-0.07729214,339.7271,35.55682,337.8837,
207.865,-0.0004453388,-0.002407305,-0.003123471,0.0264486,-0.006545647,-0.01716448,0.1626667,-0.3927397,-0.6990603,278.0336,165.7914,181.0989,-0.0003496803,0.001795214,-0.0006648986,-0.02995042,-0.01690242,-0.01211386,0.00884695,-0.5489985,0.8217325,323.9064,89.41684,93.82736,0.01573728,-0.0185455,-0.008177517,0.6511674,0.2363172,0.5371179,-0.03292475,-0.3011582,-0.07823583,339.7059,35.82126,336.8316,
220.324,-0.001616457,-0.001921813,-0.003848809,0.05553432,-0.008053651,-0.01604064,0.1626177,-0.3927293,-0.6991318,278.1364,165.9441,180.9101,-0.0002151372,0.001089503,-0.0003924478,-0.01586543,-0.0158803,-0.009222817,0.008851863,-0.5489967,0.8217323,323.8933,89.40991,93.83166,-0.01130561,-0.0114436,-0.02707829,0.8025092,0.1927183,0.4874325,-0.03459767,-0.3008941,-0.07903627,339.6631,36.14029,335.7874,
234.765,-0.002815159,-0.001792328,-0.003838678,0.08155904,-0.01130825,-0.008364689,0.162552,-0.3927388,-0.6991701,278.2401,166.2288,180.615,-0.0001085639,0.0002636741,0.0001369949,0.0008556747,-0.0151941,-0.001845367,0.008855805,-0.548997,0.8217294,323.8854,89.40443,93.84286,-0.07171191,0.01374352,-0.04958836,0.968327,0.1805964,0.2730809,-0.03808708,-0.3001049,-0.08028016,339.2039,36.15725,334.761,
249.379,-0.003513804,-0.001874189,-0.002877339,0.07603277,-0.01053459,0.01388207,0.1624898,-0.392737,-0.699193,278.2638,166.4413,180.4606,1.083851E-05,-0.0001602929,0.0001432491,0.01306541,-0.02375265,-0.006664621,0.008857802,-0.5490008,0.8217227,323.8815,89.39047,93.87296,-0.1504524,0.04188542,-0.06081339,1.013549,0.2686447,-0.1047512,-0.0422276,-0.2993406,-0.08137772,338.4623,35.50713,334.1657,
263.433,-0.003097502,-0.002479432,-0.00130835,0.0415406,-0.003805811,0.03497214,0.1624662,-0.3927477,-0.6992018,278.231,166.4007,180.5771,-0.0001347826,0.0003648346,0.0001259579,0.006072243,-0.0329322,-0.00828399,0.008860338,-0.5490053,0.8217148,323.872,89.37318,93.90617,-0.226201,0.06549079,-0.07272559,0.984051,0.2678227,-0.4809003,-0.04669704,-0.2987248,-0.08271194,337.4608,34.72829,333.9101,
