time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.344,0.007982778,0.001481255,0.001490622,0.005623587,0.01955718,-0.05032818,-0.02261984,-0.4717677,-0.5830842,281.7124,212.1632,152.3826,-0.000189971,0.0005367259,1.584502E-05,0.005960367,-0.005597345,0.007471392,0.3542639,-0.5863838,0.7328424,31.70004,345.5793,329.2639,0.01019131,0.008870265,0.008418879,0.02591027,-0.1419923,0.1058613,-0.1384134,-0.6098098,0.1882277,41.49015,357.0023,345.5638,
10.882,0.008021266,0.001052619,-0.001124603,0.02910303,0.02779023,-0.04035095,-0.02248174,-0.4717606,-0.5831928,281.7453,211.8653,152.6847,-0.0001542646,0.0002394525,-2.304359E-05,0.003781168,-0.001059758,0.003480611,0.3542655,-0.5863829,0.7328408,31.6961,345.5775,329.2603,0.004283306,0.002901789,0.01406803,0.01347176,-0.08919355,0.07277952,-0.1388213,-0.6101425,0.1892557,41.52082,357.037,345.6386,
26.29,0.008061065,0.0008783573,-0.002509538,0.04173148,0.03204077,-0.03040572,-0.02234541,-0.4717547,-0.5832743,281.7737,211.6119,152.9489,-9.732581E-05,-8.114523E-05,-5.694756E-05,-0.001737768,0.001438158,0.002307037,0.3542669,-0.5863821,0.7328407,31.69403,345.575,329.256,-0.003404913,-0.007209048,0.01891049,-0.02129641,0.014902,0.007247116,-0.1392088,-0.6104627,0.1905636,41.58849,357.1031,345.7693,
39.95,0.007652418,0.0008106026,-0.002930016,0.03715956,0.03455137,-0.02590348,-0.02224515,-0.4717608,-0.5833158,281.7672,211.4666,153.0881,0.00033563,-0.0002685445,9.624144E-05,-0.006605506,-0.001990072,-0.004535066,0.3542679,-0.5863817,0.7328413,31.6953,345.5756,329.2525,-0.007823527,-0.004718192,0.01841279,0.003436629,0.02229396,0.002091779,-0.1391723,-0.6104742,0.1906309,41.58171,357.1006,345.7963,
51.762,0.007277926,0.0005290302,-0.002746312,0.02273409,0.03407134,-0.02196547,-0.02215055,-0.4717759,-0.5833356,281.7375,211.3891,153.1568,0.0002306257,-0.0005747781,-5.18679E-06,-0.00887577,0.003992436,-0.00579054,0.354268,-0.5863822,0.732843,31.69992,345.5776,329.252,-0.006218799,-0.002284761,0.02005574,0.004634482,0.0235603,-0.01838939,-0.1389895,-0.6104366,0.1903526,41.56774,357.1252,345.8341,
66.621,0.006810779,-5.464872E-05,-0.002328662,-0.00209663,0.03608493,-0.01592859,-0.02207486,-0.4717935,-0.5833548,281.6666,211.3176,153.2302,7.977493E-05,-0.0007746647,-0.000107117,-0.01077009,0.008378538,-0.004511682,0.3542677,-0.5863829,0.7328463,31.70823,345.5806,329.2518,-0.002351005,0.001288669,0.02019378,0.02242251,0.02074446,-0.05327162,-0.1387435,-0.6099743,0.1895991,41.53136,357.2129,345.933,
81.102,0.006279902,-0.0008593186,-0.002120281,-0.02252321,0.03743037,-0.009284917,-0.02200764,-0.4718301,-0.583378,281.6041,211.348,153.2049,0.000202221,-0.0004144581,1.163316E-05,-0.006117302,0.002744433,-0.005202499,0.3542663,-0.5863845,0.7328504,31.71775,345.5869,329.2547,-0.00165752,0.009690599,0.01644396,0.05638986,-0.09014551,0.02058167,-0.1383389,-0.6098398,0.188845,41.41579,357.1309,345.735,
95.172,0.005325088,-0.001639801,-0.00230836,-0.03688323,0.03818532,0.001113674,-0.02196464,-0.4718801,-0.5834107,281.543,211.3688,153.2179,0.0003987568,-0.001846374,-0.0001665534,-0.01465402,0.02579946,-0.02706815,0.3542597,-0.5863891,0.7328567,31.74586,345.6069,329.2813,0.001904467,0.005096803,0.009216184,0.04500965,-0.08403708,0.02232159,-0.1379528,-0.6096518,0.1873839,41.37191,357.1029,345.6715,
108.897,0.004167381,-0.002039942,-0.002981442,-0.04386251,0.03665452,0.01678455,-0.02194215,-0.471926,-0.5834518,281.5002,211.4206,153.2046,0.0004890455,-0.002386293,-0.0002279644,-0.01666625,0.03523181,-0.03697193,0.3542513,-0.5863941,0.7328616,31.76965,345.6288,329.3152,0.006117197,0.003566588,0.003209857,0.02260123,-0.03549312,0.005678003,-0.1375406,-0.6090717,0.1860891,41.39447,357.1302,345.7515,
123.615,0.003264585,-0.002097893,-0.004079639,-0.04533377,0.03441205,0.03290622,-0.02192293,-0.4719593,-0.5835229,281.4566,211.4926,153.201,0.0009072312,-0.001875789,4.563059E-05,-0.003741413,0.02949172,-0.04984043,0.3542367,-0.5864024,0.7328659,31.78644,345.6659,329.3689,0.009234531,0.01162207,-0.003361854,0.05510505,-0.1198952,0.07325199,-0.1366019,-0.608131,0.1843392,41.24047,356.955,345.4116,
137.827,0.002357614,-0.002114083,-0.005906124,-0.04084377,0.03790028,0.05162399,-0.02191043,-0.4719833,-0.5836583,281.425,211.533,153.2433,0.0002706915,-0.002378747,-0.0003234644,-0.009225921,0.04246193,-0.04071715,0.3542229,-0.5864102,0.7328703,31.81164,345.6859,329.4104,0.01281403,0.01774812,-0.0068026,0.06685469,-0.1598667,0.1201579,-0.1360854,-0.6080092,0.1836029,41.07322,356.6834,344.9595,
149.636,0.001848089,-0.00205913,-0.007406342,-0.02973795,0.04402313,0.07048053,-0.02189332,-0.4720055,-0.5838059,281.4095,211.5245,153.3509,0.0004358809,-0.002064884,-0.0001947163,-0.01123401,0.03271885,-0.03579422,0.3542118,-0.5864161,0.7328731,31.82241,345.7067,329.4394,0.01466387,0.02130656,-0.009242095,0.05959385,-0.1799048,0.1502618,-0.1356597,-0.6074358,0.1829353,40.98675,356.4532,344.5872,
164.718,0.001379227,-0.002282796,-0.008743509,-0.01267625,0.04616618,0.08043107,-0.02188255,-0.4720454,-0.5839525,281.4174,211.4255,153.5366,0.0006016831,-0.000672426,0.0001348291,0.008249486,0.0148729,-0.0339734,0.3542012,-0.5864219,0.7328755,31.82424,345.727,329.4699,0.01365058,0.0230189,-0.01116082,0.072979,-0.1937296,0.1673966,-0.1354833,-0.6069357,0.1823041,40.86315,356.2541,344.2784,
