time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.6,0.006871075,0.003811681,-0.007091491,-0.009394281,0.03322718,-0.07360798,0.09030368,-0.4589102,-0.7450548,325.1271,265.6158,105.4442,0.0001097993,4.870107E-05,-0.000228561,-0.005113992,-0.001154785,0.004808197,-0.3584032,-0.04854248,-0.5022421,23.1672,247.5701,314.6273,0.01098258,0.005873596,-0.02075548,-0.02690328,-0.007603173,0.003423996,-0.1177428,-0.5380631,-0.1026966,37.73021,332.7666,333.311,
13.219,0.00630292,0.003039476,-0.004614232,-0.01215267,0.02591416,-0.05098794,0.09038091,-0.4589021,-0.7450646,325.0978,265.6359,105.4338,7.969013E-05,-4.442137E-05,-0.0001669196,-0.00324982,-0.002034995,0.005344118,-0.3584036,-0.04854298,-0.5022444,23.17076,247.5706,314.6322,0.004573259,-0.01326607,-0.02618444,0.0237619,0.1649595,-0.07191449,-0.1181267,-0.5384216,-0.1028363,38.02171,332.8354,333.7206,
20.782,0.005433236,0.002418496,-0.002028778,-0.01793439,0.01416528,-0.0293631,0.09043425,-0.4588967,-0.7450273,325.0868,265.6921,105.3871,4.531629E-05,0.0001124817,-9.312003E-05,-0.00244714,0.001317477,-0.0004444704,-0.3584032,-0.04854287,-0.502244,23.16921,247.5714,314.6319,-0.0003871755,-0.01561435,-0.02969212,0.007231018,0.1673315,-0.04857626,-0.1183707,-0.5385014,-0.1025092,38.13007,332.7733,333.781,
36.202,0.004147438,0.001870921,0.0005148955,-0.02066807,0.002753862,-0.0038141,0.09044041,-0.4588981,-0.7449389,325.084,265.7422,105.3489,0.0001352663,-4.210336E-05,-0.000282904,-0.002304899,0.004024066,0.003478259,-0.3584026,-0.04854268,-0.502243,23.16711,247.5704,314.6308,-0.002493035,-0.003947053,-0.02553821,-0.006855861,0.06497483,0.01619089,-0.1184821,-0.538286,-0.1013103,37.98117,332.7094,333.5824,
49.536,0.002880891,0.001729101,0.003055083,-0.01589597,-0.005485073,0.007929908,0.09042262,-0.4588882,-0.7448096,325.0875,265.7544,105.336,-2.736316E-05,0.0004958151,6.372491E-05,-0.004539734,0.002021943,-0.008940333,-0.3584019,-0.04854227,-0.5022414,23.16344,247.5691,314.6269,0.004637942,0.0160901,-0.01887233,0.02123443,-0.08835365,0.04570017,-0.1181759,-0.5378134,-0.1016639,37.77343,332.74,333.4545,
63.993,0.00141918,0.00130288,0.004927543,-0.01207135,-0.01000131,0.01863519,0.09037836,-0.4588959,-0.7446827,325.0973,265.8258,105.3022,0.0002842532,-0.0006073405,-0.0006013779,0.00952729,0.0239751,0.003289016,-0.3584026,-0.04854167,-0.5022383,23.16421,247.5627,314.6138,0.009645994,0.03263915,-0.01384186,-0.008179079,-0.2039264,0.1133932,-0.1176614,-0.5366898,-0.1015313,37.38036,332.6243,332.9893,
78.404,4.922022E-05,0.0004372203,0.006047555,-0.001963484,-0.01258922,0.03150249,0.09032121,-0.4589322,-0.7445733,325.1295,265.8836,105.2832,-0.0001516638,0.0008071761,0.0003276602,-0.003877078,0.002674394,-0.01865115,-0.3584028,-0.04854082,-0.5022335,23.15594,247.564,314.6044,0.01636318,0.05278983,-0.003280449,-0.06672687,-0.4434315,0.2374171,-0.1169279,-0.5360472,-0.1014749,36.74659,332.4462,332.1335,
92.237,-0.002034692,-0.0008713214,0.006275599,0.01111234,-0.01776351,0.03457963,0.09021115,-0.4590013,-0.7444913,325.1831,265.8998,105.2782,-0.0001129288,0.001014638,0.0002498416,-0.006715007,0.005263881,-0.02147231,-0.3584033,-0.04854006,-0.5022298,23.15166,247.5594,314.5918,0.01248075,0.03463376,0.007963208,-0.2270531,-0.3920975,0.2668372,-0.1171447,-0.537281,-0.1000518,36.78914,332.0115,331.3348,
104.697,-0.003988439,-0.002201253,0.005676157,0.01688484,-0.02775167,0.02849656,0.09007924,-0.4591151,-0.7444235,325.2163,265.9105,105.2393,-1.931901E-05,0.0002664922,4.405374E-05,0.001536272,0.008917249,-0.01039193,-0.358404,-0.04853899,-0.5022235,23.15028,247.554,314.5773,0.01010492,0.0165342,0.005463214,-0.1660284,-0.2319625,0.1826051,-0.1170233,-0.537005,-0.1009665,36.91136,331.9749,331.4199,
120.191,-0.005785508,-0.003680981,0.0046232,0.02156395,-0.04036266,0.02380374,0.08992631,-0.45926,-0.7443863,325.2737,265.941,105.1902,3.638914E-05,0.0001786876,-7.345437E-05,0.001159986,0.009857323,-0.00755257,-0.358405,-0.04853816,-0.5022192,23.1478,247.5493,314.5642,0.01245175,0.01214018,0.006515475,0.005147588,-0.1689194,0.01189055,-0.1174525,-0.5369065,-0.100179,36.96845,332.4304,332.072,
