time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.638,0.001398337,-0.000190526,-0.002823256,0.007948724,0.004467128,-0.01636472,-0.1134597,-0.4897282,-0.1815641,283.4159,261.7356,138.3687,0.0006637213,-0.002113664,-3.146238E-05,-0.04157402,0.02141396,0.01275161,1.005897,-0.6055979,0.8074073,18.1752,23.89059,319.3157,0.0003637897,-0.0005229214,-0.0004883947,0.02332683,0.008868877,-0.009480914,0.1761683,-0.5874013,0.4676781,358.5393,62.86236,26.79375,
12.725,0.001083971,-9.474275E-05,-0.002330461,0.005455454,0.003699895,-0.01641845,-0.1134591,-0.4897303,-0.1815741,283.4153,261.6893,138.4067,0.001158284,-0.003397293,-8.559154E-05,-0.05839127,0.02639284,0.03086378,1.005894,-0.6056014,0.8074255,18.22717,23.92291,319.3503,-0.0001907911,5.312639E-05,0.000628309,0.00225575,0.02200436,-0.001233165,0.1761551,-0.5873724,0.4676877,358.5371,62.84926,26.79156,
23.359,0.001443582,-0.0001515886,-0.001744527,-0.00112124,0.005454657,-0.01030217,-0.113421,-0.4897235,-0.1815778,283.4044,261.7152,138.3746,0.001472455,-0.004780639,-7.427443E-05,-0.07838959,0.03811507,0.04515874,1.005893,-0.6056055,0.8074479,18.30532,23.96392,319.3936,0.0009374706,-0.001213795,-0.00148519,0.06814881,0.03358163,-0.0365768,0.1761279,-0.5873329,0.4676811,358.5431,62.8475,26.71386,
38.728,0.002198952,-0.0001306032,-0.0007317684,-0.00304848,0.01405196,-0.0002209872,-0.11336,-0.4897138,-0.1815548,283.3773,261.7606,138.3414,0.001353727,-0.006357149,9.412708E-05,-0.08709335,0.05266054,0.06920967,1.005894,-0.6056111,0.807481,18.41968,24.00015,319.4364,0.002023008,-0.002772979,-0.002969316,0.1332222,0.05139356,-0.06099619,0.1761706,-0.587308,0.4675786,358.5761,62.8635,26.51123,
52.937,0.003140578,6.72834E-06,0.0005457916,-0.002959069,0.0178637,0.005433465,-0.1132913,-0.4897065,-0.1815048,283.3566,261.7932,138.3209,0.002051085,-0.007021043,-0.0001034567,-0.1089051,0.05396062,0.071583,1.005898,-0.6056175,0.8075203,18.53563,24.06074,319.4929,0.001041758,-0.002069194,-0.0004540248,0.09534368,0.07837492,-0.03504996,0.176258,-0.5873243,0.4674927,358.5901,62.82088,26.44413,
65.045,0.004127836,1.592026E-05,0.001818646,-0.007194255,0.01963,0.008518331,-0.1132129,-0.4897079,-0.1814368,283.3304,261.8708,138.2414,0.003488516,-0.008938603,-0.000471905,-0.1577715,0.06135013,0.08475531,1.005898,-0.6056267,0.8075719,18.73387,24.18629,319.6068,-0.001710751,0.001202342,0.004416338,-0.0548593,0.06573627,0.03507073,0.1761689,-0.5873124,0.4676527,358.5624,62.7437,26.54346,
80.536,0.004919332,-4.70269E-05,0.003167231,-0.01626939,0.02386503,0.01161933,-0.1131259,-0.4897062,-0.1813544,283.2936,261.9535,138.1582,0.004438341,-0.0138946,-0.0005242629,-0.2529717,0.1231675,0.1117176,1.005892,-0.6056435,0.8076586,19.18848,24.45089,319.9424,-0.004438185,0.006212152,0.0060896,-0.2043838,0.01996532,0.04293871,0.1759165,-0.5871685,0.4679526,358.3916,62.59998,26.83814,
94.821,0.005688012,1.078611E-05,0.00489759,-0.02919401,0.02474935,0.008406034,-0.113024,-0.4896938,-0.1812453,283.2601,262.0386,138.0363,0.005085555,-0.01894153,-0.0005515062,-0.325247,0.1751821,0.1614865,1.00588,-0.6056661,0.8077693,19.65079,24.6635,320.2395,-0.005325646,0.007891651,0.006511859,-0.3708857,-0.1972306,0.1538851,0.1756809,-0.5872419,0.4683035,358.3134,62.71719,27.84215,
108.109,0.006190418,7.913448E-05,0.006205294,-0.04412743,0.02712772,0.01443549,-0.1129221,-0.4896823,-0.1811283,283.2123,262.2573,137.7957,0.004083171,-0.02667539,1.37859E-06,-0.3735481,0.2548461,0.2735154,1.005875,-0.6056947,0.8079128,20.27139,24.7687,320.4618,-0.008505527,0.01122588,0.01203674,-0.4776459,-0.1227425,0.1750347,0.1752726,-0.5872856,0.4687881,358.0973,62.45411,28.3523,
122.315,0.006012354,-0.0002931403,0.006843182,-0.05956601,0.03076225,0.02604374,-0.1128419,-0.4897098,-0.180999,283.1538,262.5585,137.4842,0.004353327,-0.03202818,-0.0001804553,-0.4214099,0.2946194,0.352919,1.005882,-0.605729,0.8080889,20.89327,24.92914,320.6905,-0.008472213,0.01251041,0.009378604,-0.4512891,-0.1150291,0.1040844,0.1746498,-0.5872093,0.4694498,357.8805,62.43234,28.61434,
136.228,0.005256501,-0.000518505,0.007132324,-0.06067874,0.03264833,0.03042202,-0.1127879,-0.4897383,-0.180874,283.1146,262.7307,137.3044,0.003905302,-0.03902841,-0.0002967515,-0.4794949,0.3600952,0.452011,1.005898,-0.6057714,0.8083028,21.68035,25.07653,320.9731,-0.0048792,0.007443251,0.004991116,-0.2475166,-0.04675775,0.04060375,0.1741842,-0.5870704,0.4698416,357.9503,62.46511,28.30635,
149.709,0.003840608,-0.0009764573,0.006311281,-0.0583973,0.03245506,0.03294229,-0.1127752,-0.4897714,-0.1808002,283.088,262.9094,137.1228,0.002414373,-0.04597503,-0.0003185362,-0.528702,0.4402945,0.5479206,1.005918,-0.6058226,0.8085494,22.55263,25.18993,321.3037,-0.001086962,0.001705969,0.001049277,-0.08100636,-0.05393087,0.03075698,0.173934,-0.5870948,0.4700275,358.0794,62.53613,28.12175,
