time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.668,-0.001387103,0.001643118,-0.002487205,-0.003754952,0.00499859,0.0007308255,0.2153165,-0.6533026,-0.1692371,0.745917,322.5017,105.7747,-0.0001892138,-0.0002473085,5.918097E-05,-0.002039479,0.004797651,-0.005953558,0.5344345,-0.1639862,0.7307037,20.12771,148.7499,85.01185,-0.004735149,-0.0004788628,-0.004232985,0.02049789,0.01283022,-0.003875331,0.2798433,-0.6842932,0.01445956,332.0375,263.7669,116.2687,
8.979,-0.001770039,0.001557692,-0.00238227,-0.001480656,0.00482252,-0.001234865,0.2152823,-0.6533005,-0.1692413,0.7467948,322.5027,105.7811,-0.0001982457,-0.0004181655,0.0002489031,0.002761664,0.00603615,-0.007587905,0.534434,-0.1639848,0.730705,20.13244,148.7475,85.00964,-0.001642812,0.001896498,-0.005209654,-0.01504384,0.01685088,-0.02108444,0.279836,-0.684292,0.01439316,332.0278,263.7458,116.2878,
21.901,-0.001639352,0.001633719,-0.002146832,-0.0002966331,0.002792815,-0.0008375298,0.2152945,-0.6532644,-0.1692942,0.7487484,322.5034,105.7813,-6.329892E-05,-0.0003041921,0.0002800451,0.005593512,0.003561161,-0.003944538,0.5344327,-0.1639842,0.7307061,20.13501,148.7435,85.00915,-0.0008139578,0.002765473,-0.006200204,-0.02517828,0.01308416,-0.03465092,0.2798416,-0.6842804,0.01433006,332.0021,263.7164,116.3039,
36.328,-0.001380806,0.001548734,-0.001999351,0.001837889,-0.0007843864,0.003107886,0.2153209,-0.6532325,-0.1693537,0.7534428,322.5105,105.7717,7.777102E-05,-0.0003130254,0.0004630611,0.005894904,0.008448493,-0.00212233,0.5344307,-0.1639832,0.7307081,20.13903,148.737,85.00762,-0.002635609,0.002634712,-0.004787267,-0.0255415,-0.02128814,-0.03146879,0.2798349,-0.6842611,0.01428591,331.9898,263.6873,116.2935,
51.462,-0.001343538,0.001303461,-0.001709297,-0.001018968,0.001555188,0.0007401766,0.2153263,-0.6532204,-0.1693607,0.7480209,322.506,105.7742,0.000380559,-0.0003912247,0.0009258173,0.006500126,0.02120379,0.001023546,0.5344307,-0.1639794,0.730711,20.14911,148.7291,84.99596,-0.00261352,0.003409488,-0.003252412,-0.03616609,-0.04450295,-0.02830557,0.2798159,-0.6842178,0.01424405,331.9735,263.6501,116.2584,
65.189,-0.001527807,0.001389483,-0.001941105,-0.001288695,0.001666667,-0.0007377813,0.2153135,-0.6532024,-0.1693663,0.7481797,322.504,105.7761,0.0006482896,-0.0004702327,0.001347357,0.004556975,0.03536563,0.003320524,0.5344316,-0.163973,0.7307158,20.1646,148.7183,84.97448,-0.003357504,0.001122362,-0.002183134,-0.0149964,-0.04082489,-0.01796413,0.2798549,-0.6842136,0.01424173,331.9749,263.6387,116.2335,
79.167,-0.00177063,0.001484009,-0.001998242,0.001347878,0.002110015,-0.003492521,0.2153013,-0.6531751,-0.1693854,0.7531371,322.5055,105.7846,-0.0002916935,-0.0008279175,0.000617785,-0.01865161,0.03974754,-0.01705505,0.534435,-0.1639634,0.7307224,20.18761,148.7194,84.94586,-0.003668246,0.001447077,-0.0005427636,-0.02175226,-0.03665234,0.002729123,0.2798459,-0.6842023,0.01423382,331.971,263.6446,116.2038,
91.563,-0.002137359,0.001564778,-0.002069721,0.006572814,0.0003279857,-0.005357642,0.2152969,-0.6531348,-0.1694407,0.7658612,322.5106,105.7931,0.0006699699,-0.001236854,0.002281871,0.006547855,0.06289501,-0.006008516,0.5344383,-0.1639489,0.730733,20.22696,148.6917,84.89777,-0.001920253,0.001591502,0.0002450591,-0.01999676,-0.05209838,-0.009689878,0.2798643,-0.6841595,0.01423745,331.9674,263.6389,116.1615,
106.623,-0.002382558,0.001540443,-0.001893473,0.008404238,-0.003504528,-0.007519572,0.2152914,-0.6530988,-0.1694849,0.7815003,322.509,105.798,0.0004379129,-0.001862105,0.002740979,0.01304743,0.07185929,-0.01630517,0.5344389,-0.163932,0.730747,20.28296,148.6742,84.85806,-0.004387154,-0.0029992,-0.002075727,0.001091666,0.005967458,0.01735814,0.2798728,-0.6841784,0.01420985,331.9582,263.6687,116.1347,
120.637,-0.002116169,0.001535645,-0.001716671,0.008047345,-0.004122399,-0.00673083,0.2152702,-0.6530937,-0.1694899,0.7892004,322.5092,105.801,-0.001691093,-0.002375544,0.00073546,-0.002813797,0.03350922,-0.05342744,0.5344373,-0.1639203,0.7307574,20.32377,148.6979,84.86694,-0.0002831449,0.002766122,-0.001543166,-0.01750711,-0.02019744,-0.002511668,0.2799132,-0.6841466,0.01418791,331.9486,263.6743,116.1124,
134.6,-0.001562693,0.001389245,-0.001440875,0.004595735,-0.006536999,-0.0001328929,0.2152616,-0.6530998,-0.1694846,0.790225,322.5118,105.7876,-2.399064E-05,-0.002127578,0.002496383,0.0119112,0.06712028,-0.02616325,0.5344347,-0.163908,0.7307686,20.37834,148.6754,84.8334,-0.001926937,0.001691929,-0.003393081,-0.01496896,0.01167823,0.00472505,0.2799254,-0.6841376,0.01415039,331.9359,263.6784,116.1141,
148.973,-0.001266219,0.001240409,-0.001375368,0.003320053,-0.005239931,0.001738182,0.2152671,-0.6530929,-0.1695093,0.7898971,322.5151,105.7835,-0.0005113754,-0.003393819,0.003418299,-0.01093791,0.1207774,-0.05279416,0.5344394,-0.1638844,0.7307862,20.50739,148.677,84.73594,-0.00109063,0.000782988,-0.006415702,0.007387661,0.03879287,-0.007779036,0.279946,-0.6841193,0.01406259,331.9237,263.6677,116.1407,
161.968,-0.001887645,0.001333449,-0.00204469,0.008112524,0.00123349,-0.002501873,0.2152534,-0.6530678,-0.1695863,0.7920198,322.5245,105.8013,-0.001828455,-0.002950584,0.00127017,-0.0219356,0.06950878,-0.0658562,0.5344476,-0.1638584,0.7308045,20.54816,148.717,84.73636,-0.0009292304,0.001218817,-0.009180949,0.002757477,0.0580451,-0.02526554,0.2799645,-0.6841099,0.0139287,331.9076,263.6357,116.2158,
