time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.46,0.01016914,-6.250292E-05,-0.003072694,0.004021627,0.05683617,0.003513671,-0.0785227,-0.4712944,-0.5757242,285.3537,218.1897,147.4803,-8.394449E-06,0.0001639398,-0.0001125987,0.0009224821,-0.002845647,0.00307694,-0.5404664,-0.1960141,-0.181295,5.072061,302.5999,304.5467,-0.007537143,-0.02779549,-0.02147138,-0.1024473,0.1451173,-0.05150617,-0.135076,-0.6054564,0.1905702,40.70353,357.5721,344.6895,
11.185,0.01106218,-0.0005291065,-0.004065724,0.01672943,0.06355082,-0.002944838,-0.07835452,-0.4713146,-0.5758131,285.37,217.8774,147.7876,-4.113118E-05,2.596097E-05,-7.79131E-05,0.0005421814,0.0005457125,0.001533872,-0.5403383,-0.1960042,-0.1813007,5.070235,302.5998,304.547,-0.004543409,-0.01284801,-0.01569224,-0.0402156,0.02563372,-0.01050387,-0.1348593,-0.6050606,0.1907786,40.53336,357.494,344.4391,
24.419,0.01190149,-0.0001204424,-0.003639531,0.03916211,0.06072854,-0.01441546,-0.07817009,-0.4712973,-0.5758402,285.4169,217.5919,148.0555,-4.256472E-05,0.000123702,-0.0001396712,4.65021E-05,7.469114E-05,0.003551116,-0.5402047,-0.1959704,-0.181304,5.068144,302.5991,304.5464,0.002163398,0.0139811,0.001019868,0.07475717,-0.1335163,0.05501907,-0.1344586,-0.6044195,0.1909636,40.32803,357.374,344.1254,
38.564,0.01191069,0.0006996826,-0.002522981,0.04181099,0.0515808,-0.03968677,-0.07800195,-0.4712514,-0.575842,285.4294,217.3402,148.2242,-0.0001090962,7.162272E-05,-0.0002083211,0.001014757,0.001965159,0.004236218,-0.5400774,-0.1958991,-0.1812964,5.068127,302.6015,304.543,0.009039456,0.03145341,0.01178103,0.1205334,-0.1923994,0.06338466,-0.1341003,-0.6035656,0.1910548,39.98727,357.2517,343.6995,
52.995,0.01098626,0.001205227,-0.0008211308,0.02469889,0.03881364,-0.06558132,-0.07787783,-0.4712094,-0.5758001,285.3884,217.2393,148.2226,-2.00684E-06,-0.0005770356,0.0003486717,-0.001047408,0.00835319,-0.01051492,-0.5400258,-0.1958538,-0.1813224,5.070852,302.6024,304.5394,0.0115703,0.03906259,0.01522572,0.1337149,-0.2680179,0.08322092,-0.1339223,-0.6032404,0.1913763,39.77782,357.1668,343.3091,
66.699,0.00916999,0.0003428629,0.0004169079,-0.01135726,0.01566484,-0.08433346,-0.07782397,-0.4712173,-0.5757464,285.3135,217.3264,148.0188,-0.0001396112,8.816869E-05,-0.0002644223,0.005578189,-0.00301442,0.004182514,-0.5400931,-0.1957809,-0.1813834,5.071343,302.6028,304.5387,0.009503988,0.03369293,0.02218294,0.09822451,-0.2554294,0.1029955,-0.133752,-0.6031466,0.1918383,39.7252,357.0412,343.0274,
80.123,0.006415231,-0.0007869333,0.0008369545,-0.03885631,-0.003166652,-0.08561789,-0.07785077,-0.4712443,-0.5757077,285.2678,217.4567,147.8188,-5.904823E-06,-0.0001576797,8.715809E-05,-0.0003106853,0.002517979,-0.002710434,-0.5401704,-0.195834,-0.1815383,5.075294,302.6052,304.5358,0.007388678,0.01220824,0.02339102,0.0258994,-0.1113277,-0.002424983,-0.1342687,-0.6042293,0.191548,39.92939,357.2853,343.4914,
94.451,0.003548993,-0.001472773,3.438082E-05,-0.05061008,-0.01290687,-0.0708693,-0.07791741,-0.4712707,-0.5757238,285.2359,217.5931,147.6617,-0.0002086618,0.0003577608,-0.0005327885,0.007779683,-0.006487436,0.01065448,-0.5402819,-0.1959071,-0.181716,5.078111,302.6045,304.5356,0.006991683,-0.008154469,0.02377213,-0.05435742,0.08817504,-0.1703626,-0.1345907,-0.6044791,0.1929013,40.16115,357.8372,344.2794,
108.765,0.0003045382,-0.001814453,-0.002210147,-0.05255435,-0.02114023,-0.0422362,-0.07803318,-0.4713051,-0.5758378,285.2181,217.7772,147.4901,-8.793099E-06,3.783031E-05,-3.63102E-05,-0.001302171,0.001574251,0.001323676,-0.5403845,-0.1960004,-0.1818841,5.080173,302.6043,304.5341,-0.001902893,-0.01920341,0.01524342,-0.05504437,0.119246,-0.1818806,-0.1350483,-0.6049539,0.1924875,40.24014,358.075,344.6332,
122.651,-0.002417665,-0.001874945,-0.005125817,-0.0432748,-0.0164402,0.001760682,-0.07816631,-0.4713308,-0.5760134,285.2171,217.961,147.4047,6.130583E-05,-0.0004556512,0.0003700137,-0.005232517,0.009941201,-0.008917122,-0.5403961,-0.196091,-0.1818784,5.081539,302.6044,304.5324,-0.006938317,-0.02530221,0.0114085,-0.07886254,0.1696544,-0.1833045,-0.1353231,-0.6055171,0.1930759,40.39792,358.2428,344.98,
134.621,-0.004202604,-0.00192673,-0.008343652,-0.02520409,-0.0050613,0.04532677,-0.07830159,-0.4713463,-0.5762334,285.2356,218.0452,147.4633,6.168061E-05,-0.0003295112,0.0002937888,-0.003007235,0.00552038,-0.007165261,-0.5404328,-0.1961037,-0.1819295,5.078529,302.604,304.5331,-0.006722678,-0.02605274,0.01244858,-0.08714703,0.2245659,-0.227447,-0.1354132,-0.6050128,0.1928332,40.51358,358.561,345.5078,
150.223,-0.005428848,-0.002090742,-0.01266002,0.002886343,0.01206247,0.08853791,-0.07843973,-0.4713642,-0.5765468,285.2741,218.0916,147.5804,8.723036E-05,0.000297256,-4.953426E-05,-0.005105165,-0.0002298796,0.004461643,-0.5404133,-0.1961241,-0.1821398,5.070319,302.6019,304.5344,-0.009062978,-0.02245686,0.01139277,-0.07436503,0.2016089,-0.1694895,-0.1355905,-0.6052888,0.1930245,40.55746,358.5875,345.6399,
164.548,-0.005425149,-0.001855225,-0.01680909,0.03028967,0.03311872,0.1274809,-0.07852958,-0.4713648,-0.5769146,285.3077,218.105,147.7643,2.540668E-05,7.805329E-05,-9.244668E-06,-0.0004261621,-0.001345528,0.0008485003,-0.5403875,-0.1960765,-0.1824325,5.064981,302.6,304.5347,-0.009353141,-0.01710825,0.00660736,-0.0594986,0.1445196,-0.1020649,-0.1354741,-0.6051359,0.1927228,40.54262,358.4696,345.4823,
177.95,-0.003790552,-0.002048988,-0.02020618,0.04181644,0.05580077,0.1585134,-0.07840292,-0.4713912,-0.5774347,285.3068,218.0901,147.9866,-6.935212E-06,6.620322E-05,-5.083948E-05,0.001417253,-0.00237551,0.00105895,-0.5403028,-0.1960569,-0.1826959,5.061395,302.5994,304.5346,-0.006291293,-0.008655057,0.0005444976,-0.02410619,0.06900691,-0.04587087,-0.1353808,-0.6051382,0.1927572,40.46346,358.3531,345.269,
191.724,-0.001349388,-0.002213226,-0.02202824,0.03818004,0.07877231,0.1761989,-0.07829829,-0.4714258,-0.5777218,285.2671,218.075,148.1973,-7.248427E-05,-0.00020974,1.851147E-05,0.0006592094,0.004408544,-0.002024885,-0.5401294,-0.1960536,-0.1830999,5.06146,302.5989,304.5345,-0.004152617,2.233428E-06,-0.001831714,0.0249655,-0.003600394,0.02597752,-0.1353657,-0.6050831,0.1927193,40.42804,358.2953,345.1916,
205.906,0.002434475,-0.002574129,-0.02183034,0.02209043,0.1019347,0.1873585,-0.07811294,-0.4714506,-0.5779132,285.1815,218.0489,148.413,-0.000103403,-0.0003193385,3.866069E-05,0.002998417,0.003850198,-0.003831457,-0.5399805,-0.1960603,-0.1834366,5.063682,302.5995,304.5347,-0.00309678,0.00517424,-0.003182834,0.04943116,-0.05068797,0.08366944,-0.1352866,-0.6049653,0.1925787,40.36194,358.15,345.025,
219.956,0.006361612,-0.002321035,-0.01948709,-0.003080791,0.1191946,0.1722725,-0.07790338,-0.4714196,-0.5780236,285.079,217.9583,148.6063,-0.0001737734,4.794669E-05,-0.0002915043,0.004702034,-9.53713E-05,0.004657648,-0.5397245,-0.1961216,-0.1839273,5.06445,302.5994,304.537,-0.00140335,0.007673166,-0.003615675,0.0540098,-0.07438302,0.1013019,-0.1351937,-0.6048499,0.1925001,40.29235,357.9965,344.8228,
233.24,0.009504071,-0.001585985,-0.01757921,-0.02878223,0.12487,0.1472795,-0.07771374,-0.4714199,-0.5782888,284.9582,217.8792,148.7612,-7.631662E-05,0.0002096185,-0.0002430047,0.001394249,-0.001427512,0.00577883,-0.5395344,-0.1961675,-0.1842638,5.062883,302.5996,304.5377,-0.0008921699,0.006780321,-0.001167564,0.04975849,-0.06576923,0.08023533,-0.1352073,-0.604815,0.1925068,40.26433,357.9597,344.7667,
247.407,0.01224266,-0.0008311311,-0.01785848,-0.03925879,0.1268271,0.1176538,-0.07752244,-0.4714068,-0.5787123,284.8836,217.6817,149.0163,2.540914E-05,7.805049E-05,-9.251108E-06,-0.0004262195,-0.001345399,0.0008486265,-0.5393353,-0.1962358,-0.1845859,5.060977,302.6,304.5375,-0.001590408,0.002288527,0.0009462544,0.02784287,-0.02969265,0.0491766,-0.1352046,-0.604802,0.1924889,40.27701,357.9723,344.792,
261.253,0.01423017,-0.0003646549,-0.02039619,-0.01713863,0.1238615,0.08287591,-0.07731106,-0.4714189,-0.5791625,284.8938,217.2987,149.4276,-7.063725E-05,-0.0001813637,3.998546E-06,0.003377558,0.0004578473,-0.002289741,-0.5391127,-0.1962882,-0.1849634,5.060773,302.5998,304.5369,-0.002804837,-0.005328374,0.001457953,-0.01187119,0.01732597,0.0142603,-0.1352154,-0.6048326,0.1924954,40.29428,357.9598,344.7956,
274.164,0.01593301,-0.000858206,-0.02420313,0.01503295,0.1202984,0.05298382,-0.07703395,-0.471472,-0.5796241,284.9253,216.8671,149.8951,-6.777547E-05,-0.0003768653,0.0001274934,0.004368972,0.00140115,-0.006324152,-0.5388807,-0.1963272,-0.1852721,5.064268,302.6016,304.5375,-0.003457287,-0.00896388,0.006021751,-0.02951965,0.04045482,-0.0173653,-0.1356027,-0.6057019,0.1958875,40.34238,357.982,344.8508,
288.765,0.01757214,-0.001294549,-0.02695503,0.05195437,0.1290573,0.03157975,-0.07672109,-0.4714701,-0.5799898,284.9705,216.3054,150.5141,-0.0001033711,-0.0003193485,3.866366E-05,0.002997186,0.003850767,-0.003831851,-0.5386277,-0.196335,-0.1855834,5.068583,302.6046,304.5365,-0.004112649,-0.009807226,0.01240307,-0.02281789,0.04987169,-0.0328651,-0.1361276,-0.6068721,0.2006592,40.37892,358.0291,344.9348,
303.134,0.01902973,-0.001551696,-0.02911674,0.0854708,0.1348176,0.01000378,-0.07649659,-0.4714875,-0.5804392,285.0227,215.6789,151.1676,-9.897747E-05,-0.0006126263,0.0002238411,0.004482343,0.00526729,-0.009883026,-0.5383958,-0.1962942,-0.1858729,5.07759,302.6081,304.5361,-0.003955117,-0.009846197,0.01697027,-0.01646618,0.05124214,-0.03735846,-0.1365152,-0.6077537,0.2042849,40.40159,358.0718,345.0096,
316.704,0.01960161,-0.001645479,-0.02988725,0.1045857,0.1323248,-0.01110627,-0.07623922,-0.4714392,-0.5807391,285.0798,215.126,151.7241,-0.0001003677,-0.0005148992,0.0001620624,0.003986123,0.004796774,-0.007865522,-0.5381565,-0.1962525,-0.1861478,5.085635,302.6098,304.5348,-0.003358645,-0.009011013,0.01664429,-0.0104931,0.04607864,-0.03346461,-0.1365507,-0.6077956,0.2043253,40.41015,358.0934,345.055,
332.046,0.01897501,-0.001219225,-0.02960252,0.08634248,0.1150895,-0.03917088,-0.07610241,-0.4713789,-0.5811147,285.0505,214.8044,151.9701,-0.0001017771,-0.0004171609,0.0001003043,0.003489695,0.004325891,-0.005848208,-0.5380278,-0.1961583,-0.1864095,5.094088,302.6125,304.5339,-0.00271587,-0.008513117,0.01634683,-0.01434889,0.02824639,-0.0124135,-0.136555,-0.6078084,0.2043464,40.42135,358.0839,345.0533,
346.295,0.0177064,-0.0005813138,-0.02632377,0.05751601,0.09113511,-0.06982922,-0.07589168,-0.471388,-0.5811995,285.0291,214.5831,152.0966,-0.0001667526,-0.0005670484,9.328772E-05,0.004949639,0.006692118,-0.007178724,-0.5378497,-0.1961188,-0.1866916,5.104203,302.6172,304.5306,-0.001142842,-0.005873301,0.01694492,-0.01079401,0.002200686,0.003730255,-0.1365397,-0.6077675,0.2043659,40.4253,358.0711,345.0334,
359.827,0.01787477,-0.0006756354,-0.02227082,0.02529462,0.08095649,-0.07108723,-0.07560679,-0.4715067,-0.5814153,284.9499,214.4373,152.2203,-0.0001358682,-0.0004574326,7.313528E-05,0.002608961,0.007247673,-0.00537098,-0.537753,-0.1961101,-0.1868998,5.109647,302.6171,304.5281,-0.0001492724,-0.004003079,0.01768999,-0.005179015,-0.0099128,0.007044839,-0.1365231,-0.6077421,0.2044534,40.4249,358.0641,345.0157,
371.622,0.01865271,-0.001486494,-0.01946954,0.01273077,0.08606707,-0.06565794,-0.0753196,-0.4715564,-0.5817098,284.924,214.0577,152.5981,-7.083036E-05,-0.0003075904,8.009015E-05,0.001147596,0.004883627,-0.004039929,-0.5376216,-0.1961282,-0.187106,5.113729,302.618,304.5255,-0.0002348772,-0.003537394,0.01785607,-0.0001079481,-0.007412777,0.004957897,-0.1365161,-0.6077055,0.2044743,40.42126,358.0628,345.0099,
387.272,0.01930002,-0.001265401,-0.01901515,0.03640201,0.09397008,-0.06483819,-0.07508826,-0.471478,-0.5820197,284.9763,213.4852,153.1666,-0.0001080106,-0.0001522409,-7.037474E-05,-0.0007226697,0.006856163,0.0004707827,-0.5374906,-0.1961371,-0.1873096,5.11574,302.6175,304.5218,-0.001371268,-0.004945645,0.01689621,-0.0008451515,0.01221186,0.0007470787,-0.1365337,-0.6077069,0.2045,40.42516,358.0627,345.0244,
401.701,0.01939432,-0.0007473463,-0.0191586,0.06064656,0.09664178,-0.06513272,-0.07483469,-0.4714544,-0.582203,285.0316,213.037,153.6028,-0.0002068883,-0.0002161318,-0.0001806604,0.002087292,0.007720538,0.001368863,-0.5373625,-0.19617,-0.18746,5.11962,302.6182,304.5167,-0.002681858,-0.006209026,0.01612498,-0.002539133,0.02293191,-0.003426288,-0.1365728,-0.6077016,0.2044788,40.43361,358.0659,345.0487,
413.533,0.01932705,-0.0002662963,-0.01838108,0.06074266,0.09842099,-0.05630983,-0.07459007,-0.4714974,-0.5824297,285.0114,212.6962,153.9639,-0.0001388554,-0.0002618637,-5.033333E-05,0.001617184,0.006302844,-0.001334056,-0.5372199,-0.1961237,-0.1876494,5.122641,302.618,304.5131,-0.003755692,-0.007010669,0.01626636,-0.009454662,0.03461588,-0.001725454,-0.136623,-0.6077386,0.2045476,40.45271,358.061,345.0777,
428.762,0.0192361,-0.0001294287,-0.01712811,0.06776042,0.1046202,-0.04189578,-0.0743148,-0.4715322,-0.5826222,285.0407,212.286,154.4232,-0.0001974531,-0.0006767634,0.0001130533,0.007289483,0.006146356,-0.008979302,-0.5370953,-0.1960577,-0.1878346,5.131444,302.6175,304.5122,-0.003992623,-0.007449029,0.01549613,-0.02538721,0.02745737,0.02047349,-0.136642,-0.6077474,0.2045844,40.48502,358.0274,345.0665,
442.672,0.01956227,-0.0007286472,-0.016075,0.09662225,0.1080072,-0.03168939,-0.07402451,-0.4715989,-0.5827953,285.1494,211.7937,154.9585,-0.0004245219,-0.001138296,5.017913E-05,0.01351168,0.01222404,-0.01275508,-0.536898,-0.1960243,-0.1879644,5.147795,302.6194,304.5124,-0.002800304,-0.003974787,0.01572333,-0.01250364,-0.008659949,0.04281468,-0.1366167,-0.6076941,0.2046392,40.48827,357.9733,345.0002,
