time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.626,0.0003987766,-0.0003410265,0.000841932,0.0008434913,0.002513074,0.002195817,0.1558806,-0.1859603,-0.3120342,334.4706,88.02942,248.487,-0.0002682359,-0.0003186104,-9.061184E-05,0.003216735,0.007141718,-0.0008824669,0.2677711,-0.2518285,1.147702,16.138,329.4134,297.6659,-0.004831798,-0.005607581,0.008562528,0.007091222,-0.006791522,-0.008754745,0.106879,-0.08200268,0.02120087,25.03387,97.08056,298.8811,
11.6,0.00032948,-9.662246E-05,0.0008445611,0.002378595,-0.002284843,-0.003505051,0.1558798,-0.185948,-0.3120384,334.4695,88.01634,248.4817,-5.307161E-06,-0.0003643149,4.947639E-05,-0.00378935,0.006426956,-0.0002415441,0.2677707,-0.2518286,1.147702,16.14039,329.4132,297.6655,-0.002093964,-0.01111232,0.01118709,-0.003819749,-0.04803319,-0.04577012,0.1068496,-0.08222392,0.02136543,25.0724,97.02211,298.8023,
22.51,0.0006310479,-2.874574E-05,0.0007709322,0.006300575,0.0007119165,0.0003951974,0.1558994,-0.1859456,-0.3120326,334.4816,88.02263,248.4797,-0.0001222759,-0.0001280939,-4.377508E-05,0.00290813,0.002536653,-0.002107283,0.2677698,-0.2518285,1.147703,16.14188,329.4125,297.6672,-0.0001665256,-0.0146185,0.01293374,0.0421873,-0.03619992,-0.05150197,0.1069026,-0.08240125,0.02153093,25.13748,96.98174,298.7874,
37.302,0.000776846,-0.0004174926,0.0006885831,0.004762175,0.00419929,0.007396017,0.1559175,-0.1859614,-0.3120306,334.4872,88.04132,248.4803,-0.0002402953,0.0001282414,-0.0001404385,0.00132894,0.001131748,0.007664309,0.2677693,-0.2518285,1.147703,16.14339,329.4105,297.6673,0.003391611,-0.0132724,0.01419005,0.08289192,0.02136207,-0.04577166,0.1069947,-0.08247924,0.02171053,25.2048,96.94736,298.8646,
51.612,0.0002096938,-0.0004029171,0.0009868789,-0.0007854204,0.005075217,0.004774282,0.1559128,-0.1859562,-0.3120202,334.482,88.04099,248.4895,6.329354E-05,-0.0004358285,9.452139E-05,-0.003465169,0.006357837,-0.003924424,0.267769,-0.2518286,1.147704,16.14597,329.4102,297.6671,0.004572031,-0.01026268,0.01421103,0.1137653,0.06955571,-0.02149769,0.1071518,-0.08257006,0.02195225,25.26657,96.94974,299.0251,
65.025,-0.0009828643,0.0002167647,0.001579494,-0.01007373,0.001231476,-0.009603836,0.1558765,-0.1859208,-0.311998,334.459,88.00699,248.5079,-0.0001524205,0.0003412383,-0.0001262832,0.005913552,-0.004600739,0.001922396,0.2677687,-0.2518286,1.147704,16.14528,329.4078,297.6678,0.006138945,-0.002699727,0.01250742,0.09495595,0.1123175,-0.01593653,0.1071959,-0.08238229,0.02193775,25.25837,96.93443,299.1579,
78.913,-0.001844748,0.00117945,0.001512848,-0.01525888,-0.007903425,-0.02144177,0.1558325,-0.1858624,-0.3119909,334.4207,87.95676,248.5145,3.381943E-05,-0.000328946,6.426158E-05,-0.002562014,0.004976413,-0.002598512,0.2677692,-0.2518286,1.147704,16.14529,329.4074,297.6662,0.001647698,0.009163771,0.003298325,0.03965771,0.1371732,0.07080307,0.1070581,-0.08217049,0.02194082,25.1628,97.05655,299.313,
93.142,-0.001889826,0.002360291,0.0007903927,-0.01535595,-0.01276433,-0.02196535,0.1558056,-0.1857676,-0.3120148,334.4075,87.95167,248.5047,-0.0001134697,0.000205451,-8.70672E-05,0.001950573,-0.001931001,0.00403245,0.2677707,-0.2518287,1.147704,16.14183,329.4073,297.6638,-0.001545761,0.02046402,-0.005575803,-0.03338701,0.1394432,0.1114561,0.107107,-0.08172226,0.02169686,24.99356,97.17428,299.436,
107.499,-0.001333667,0.002263378,-0.000642952,-0.01310848,-0.01376469,-0.008970838,0.1558038,-0.1857104,-0.31208,334.4022,87.97908,248.4884,2.220029E-05,0.0006161709,-7.700225E-05,0.001613761,-0.009460623,0.006539874,0.2677721,-0.2518287,1.147702,16.13694,329.4083,297.662,0.0008942453,0.00584828,-0.007896001,-0.05626667,-0.03587987,-0.001945966,0.1070842,-0.08205523,0.02161123,25.10845,97.06639,299.2293,
120.786,-0.000708829,0.001766334,-0.00218117,-0.003198314,-0.01322303,0.005576,0.1558047,-0.185675,-0.3121715,334.4053,87.9975,248.4671,6.32114E-05,-0.0004358267,9.455543E-05,-0.003463576,0.006358847,-0.003923935,0.2677732,-0.2518288,1.147702,16.13658,329.4093,297.6599,-0.003176078,0.001128962,-0.01510124,-0.1061048,-0.1239864,0.02679694,0.1070205,-0.08211486,0.02115163,25.06596,97.10189,298.9609,
