time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.753,0.001290151,-0.0009961347,-0.004000611,0.02855981,0.008093853,-0.01531718,-0.08013374,-0.4805483,-0.8157485,277.6763,152.6446,206.2509,-0.0001117512,0.001537442,-0.0001044697,0.005489027,-0.01958632,0.02912381,0.3090964,-0.634316,0.6867284,21.41142,340.5645,318.0334,-0.002520978,-0.003757752,-0.001291398,-0.05681884,0.1365841,0.02381619,-0.2607464,-0.611857,-0.0606597,35.96959,351.6935,332.4766,
12.238,0.001986974,-0.001608782,-0.00342071,0.02206572,0.01233973,-0.01233239,-0.08007975,-0.4805704,-0.8157789,277.6848,152.5133,206.39,0.0003468134,0.002009081,8.119115E-05,-0.0005505285,-0.03263047,0.03668312,0.3091099,-0.6343123,0.6867223,21.37973,340.5553,317.9968,-0.002351118,-0.004967517,-0.002112835,-0.08481754,0.2645325,-0.01431176,-0.2611644,-0.6124036,-0.06093509,36.39661,351.6004,332.863,
24.682,0.002293833,-0.002096964,-0.002701825,0.01648336,0.01472843,-0.00776314,-0.08003575,-0.4805977,-0.8157938,277.6929,152.3994,206.5139,0.0002861026,0.002259079,4.388778E-05,0.003118668,-0.03496914,0.03862001,0.3091221,-0.634309,0.6867176,21.35227,340.5469,317.9683,-0.003244329,-0.004489878,-0.001490466,-0.06657736,0.1837019,0.02685929,-0.261478,-0.6128355,-0.06112366,36.33628,351.54,332.7225,
37.406,0.002451689,-0.002212128,-0.001701506,0.00942762,0.01629206,0.002381983,-0.07997906,-0.480599,-0.8157861,277.7013,152.3582,206.5754,0.0001787823,0.001910704,7.924267E-06,-0.00648558,-0.02961396,0.0469558,0.3091375,-0.6343049,0.6867111,21.32489,340.537,317.9278,-0.003264229,-0.002701539,-0.0004103957,-0.02871615,0.07956533,0.0517292,-0.2616527,-0.6129917,-0.0612496,36.23824,351.5334,332.6252,
51.515,0.002954425,-0.001770489,-0.0003244341,0.008863466,0.01847014,0.01169923,-0.07989272,-0.4805655,-0.8157483,277.7081,152.2634,206.7126,-0.0001674612,0.001968068,-0.0001491729,-0.007928653,-0.02606866,0.05879915,0.3091516,-0.6343012,0.6867061,21.2968,340.5195,317.8851,-0.0005343377,0.002214768,0.001504547,0.05099957,-0.06655101,0.0199044,-0.2617092,-0.6129755,-0.06124821,36.12933,351.5539,332.5747,
65.83,0.002919232,-0.000505852,0.002753639,0.03083669,0.01983084,0.002857427,-0.07982935,-0.4804915,-0.8156083,277.8169,152.4175,206.5194,0.000253403,0.001910297,3.856151E-05,-0.0222222,-0.03191414,0.06710504,0.3091763,-0.6342952,0.6867015,21.26215,340.5005,317.8103,-0.001020617,0.006437318,0.004065767,0.1391076,-0.3003407,0.09114927,-0.2615391,-0.6124089,-0.06104493,35.39946,351.4641,331.892,
80.543,0.001413084,0.0004823878,0.007234382,0.04821552,0.00642599,-0.05087622,-0.07985248,-0.4804312,-0.8153646,277.8512,152.4893,206.2559,-0.0003070658,0.001847825,-0.0002092595,-0.02819915,-0.02429366,0.08792825,0.3092033,-0.6342888,0.6867001,21.23256,340.4604,317.7148,-0.004253781,0.005644634,0.004719036,0.1442371,-0.3782854,0.1911812,-0.2615904,-0.6116912,-0.06075248,35.07204,351.1684,331.2611,
94.651,0.0001536317,0.0006550355,0.01093058,0.03607751,-0.00560518,-0.09044559,-0.07988729,-0.4804015,-0.8150935,277.8317,152.3488,206.246,0.000903094,0.002292722,0.0003092364,-0.02787745,-0.04595307,0.06741285,0.3092303,-0.6342826,0.6867011,21.20667,340.4578,317.6596,-0.004489487,-0.005038702,-0.001352659,-0.07150724,-0.1350446,0.1673521,-0.2619203,-0.6110265,-0.06047119,35.66639,351.1219,331.4751,
108.9,-0.0007315278,-0.0004341507,0.01281531,-0.01120172,-0.0107153,-0.113367,-0.07991815,-0.4804181,-0.8148546,277.6943,151.7284,206.7616,-0.0003949722,-0.0001236992,-0.000170648,-0.05522689,0.002005034,0.08425865,0.3092587,-0.6342766,0.6867072,21.22897,340.3967,317.5503,-0.0002892108,0.003057832,0.001883868,0.06447713,-0.120383,0.03046111,-0.2622077,-0.6105456,-0.06027332,35.42703,351.3345,331.7644,
120.596,-0.001318425,-0.002992016,0.0125301,-0.06987078,-0.005109669,-0.1112158,-0.07994694,-0.4805216,-0.8146952,277.5392,151.0147,207.4316,-0.0004503327,-0.001314789,-0.0001482738,-0.06371658,0.01858445,0.07118937,0.3092812,-0.6342722,0.6867162,21.24752,340.3705,317.488,0.004391907,0.001095728,-0.0009544623,-0.01563815,-0.03855225,-0.07729425,-0.2619289,-0.6104563,-0.05999088,35.50706,351.4672,331.8996,
