time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.596,-0.004426222,0.0007470394,-0.003745393,0.008648394,0.02550194,0.007527085,0.9413493,-0.4687704,0.3166423,5.121309,357.3356,352.7498,0.0002935112,-0.00132289,-0.0003165537,0.006752475,0.02907944,-0.01138298,1.230774,-0.007697757,-0.01046441,40.71091,324.6507,292.2036,0.009925267,-0.0357953,-0.003362927,0.1456007,-0.1037854,0.121814,0.9271973,-0.7778301,0.5503932,14.34663,53.00089,351.3817,
11.923,-0.004772082,0.001064476,-0.00497121,0.008177763,0.02549232,-0.002346579,0.9412812,-0.468739,0.3165308,5.115792,357.3231,352.7774,0.0003532944,-0.00145446,-0.0003317381,0.001795021,0.02995528,-0.01044436,1.230762,-0.007701021,-0.01046082,40.74008,324.661,292.2281,-0.0007647214,-0.0167078,0.004919593,0.03509351,0.02159415,0.02104091,0.9268234,-0.7772352,0.550299,14.1266,52.94934,351.6164,
22.976,-0.005057632,0.001448241,-0.006105,0.01607342,0.02409888,-0.01042569,0.9411988,-0.4687085,0.3164101,5.079586,357.3034,352.7985,0.0001629041,-0.001448392,-0.0004370149,-0.002505443,0.02861466,-0.003986434,1.230754,-0.007704616,-0.01045584,40.76415,324.6627,292.2375,-0.009029862,-0.002889964,0.002906607,-0.05507401,0.05417833,-0.03150264,0.9266615,-0.7773008,0.550274,14.05297,52.9291,351.685,
38.147,-0.005706537,0.001647441,-0.007875016,0.02454644,0.02291977,-0.009652743,0.9410958,-0.4686808,0.3162475,5.054963,357.2867,352.8017,0.0005021424,-0.0007375746,1.221454E-05,-0.004339107,0.01284494,-0.01007956,1.230748,-0.00770776,-0.01045134,40.78114,324.668,292.2451,-0.01666476,0.005494677,0.004775306,0.03255239,0.08591959,-0.06050111,0.9263291,-0.7772068,0.550317,13.98983,52.81498,351.6388,
52.331,-0.006858463,0.001934351,-0.009989176,0.01858839,0.01988313,0.001087334,0.9409809,-0.4686361,0.3160547,5.054099,357.2708,352.7755,0.0003242586,-0.001492531,-0.0003639696,-0.01662214,0.0242836,-0.0008057707,1.230744,-0.007711098,-0.01044568,40.80479,324.6722,292.2448,-0.02528011,0.0320306,0.007942233,-0.12892,0.1753755,-0.09738488,0.9250628,-0.7754154,0.5503299,13.65778,52.65221,352.0291,
64.846,-0.008379504,0.001858464,-0.01233331,0.0127553,0.01767444,0.013081,0.9408345,-0.4686058,0.3158209,5.05439,357.2534,352.7402,0.0006675165,-0.001104833,-3.031928E-05,-0.01497282,0.01637918,-0.009023583,1.230743,-0.007714599,-0.01044019,40.82169,324.6815,292.2432,-0.03913633,0.05900449,0.01274966,-0.0502486,0.3025903,-0.1200185,0.9243071,-0.7738551,0.5505226,13.48574,52.22057,352.0668,
80.113,-0.00983256,0.002328308,-0.01418785,0.01880169,0.02079748,0.0176345,0.9406608,-0.4685569,0.3155686,5.019623,357.2284,352.7312,0.001283166,-0.000902894,0.000387722,-0.006297851,0.01439028,-0.02705131,1.230739,-0.007718176,-0.01043481,40.84499,324.6993,292.255,-0.03175504,0.08060797,-0.003056102,-0.4931901,0.1696148,-0.2686856,0.9240636,-0.7740721,0.549593,12.73544,52.75534,352.9417,
94.242,-0.01223188,0.00298738,-0.01587534,0.03942905,0.01920012,0.01653668,0.9403145,-0.4684512,0.3152166,4.951856,357.1995,352.7341,-0.0005385859,-0.002597486,-0.001256087,0.007108917,0.05679072,0.006260301,1.230728,-0.007722531,-0.01042882,40.89079,324.6909,292.2707,-0.03342558,0.0614106,-0.01581051,-0.5569375,0.0722957,-0.2066446,0.9230018,-0.7737195,0.5499883,12.50384,53.15335,353.4903,
107.269,-0.01518821,0.002668604,-0.01818569,0.06520025,0.0279115,0.01358345,0.939966,-0.4685147,0.3148607,4.851136,357.1523,352.7412,-0.000612564,-0.001698449,-0.0009683038,0.03610869,0.04879679,-0.005210407,1.230711,-0.007725965,-0.01042529,40.91942,324.6996,292.32,-0.04647643,0.03556251,0.003425292,0.002587118,0.1915601,-0.1517731,0.9229141,-0.774152,0.5497915,12.70051,52.3997,352.6711,
121.197,-0.01894428,0.0008016354,-0.02221583,0.07058238,0.04725578,0.01124723,0.9396011,-0.4686567,0.3143798,4.813384,357.0677,352.7559,-0.0009253904,-0.001832782,-0.001194836,0.05046002,0.05723021,-0.005100513,1.23069,-0.007728182,-0.01042415,40.95607,324.6985,292.3775,-0.04834459,0.02421206,-0.001213648,0.01646456,0.146525,-0.1678579,0.9225792,-0.7744835,0.5498087,12.54289,52.3354,352.5887,
