time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.569,0.01463582,-0.001404679,0.0008425929,0.01701134,-0.05126046,0.005165083,0.0162249,0.1779492,1.012922,21.7828,4.916274,3.349598,-0.0002936347,-0.0001366146,-0.000234899,0.01287998,0.01055203,0.001494791,0.1659734,-0.3064428,1.308998,44.72366,328.2856,304.1918,-0.01573634,-0.01295729,-0.004168922,-0.07492599,-0.4931325,0.1842405,-0.03056152,-0.1856168,1.274684,52.2332,17.5649,312.0364,
11.536,0.01497029,-0.002549216,0.0007464096,0.007316106,-0.05850338,0.007680427,0.01643872,0.1778864,1.012941,21.80844,4.947486,3.315938,1.63726E-05,-7.175667E-05,-2.239726E-05,0.013184,0.00820311,-0.005184721,0.1659685,-0.3064431,1.308996,44.72576,328.2908,304.208,-0.01592819,-0.01272127,-0.003641601,-0.07469901,-0.5058983,0.1748685,-0.03136915,-0.1863986,1.274503,52.28,17.22467,311.3619,
23.241,0.01497515,-0.00342594,0.0008214214,-0.001862733,-0.06036374,0.01086689,0.01663923,0.1778154,1.012957,21.83175,4.970114,3.284666,0.0001001557,3.578733E-05,7.529045E-05,0.004671245,0.00121612,-0.003761701,0.1659653,-0.306443,1.308995,44.72629,328.2979,304.2196,-0.009448077,-0.006652364,-0.0001370771,0.0008617342,-0.2729377,0.09115739,-0.03214935,-0.1869841,1.274537,52.19183,17.30065,311.6845,
38.284,0.01474897,-0.003807612,0.001010746,-0.0111128,-0.06526145,0.009572295,0.01683457,0.1777518,1.012982,21.85747,5.025223,3.271788,0.0001808119,-2.327061E-06,0.0001059715,-0.005687808,-0.003434273,-0.001877095,0.1659657,-0.306443,1.308995,44.7263,328.303,304.2211,0.002144107,0.00212926,0.001404529,0.03300742,0.08970203,-0.02383596,-0.03225578,-0.1870633,1.274735,52.1331,17.74187,312.4843,
52.184,0.01455045,-0.003643046,0.0007465712,-0.008972675,-0.06954215,0.004876642,0.01704919,0.1777093,1.013004,21.85502,5.082639,3.250895,0.0006540286,0.0005737235,0.0006434341,-0.002253462,-0.01620226,-0.01226076,0.1659679,-0.3064429,1.308996,44.72393,328.3123,304.2193,0.01500136,0.01315731,0.005153208,0.0774801,0.4717763,-0.1885381,-0.03159037,-0.1865478,1.275066,51.83857,18.67602,314.3621,
66.227,0.0141707,-0.002695723,0.0006603876,0.0003479876,-0.07221387,-0.001362434,0.01725114,0.1777029,1.013026,21.84002,5.137157,3.238012,-0.0001554686,-0.000791041,-0.0004457573,0.001216173,0.01885348,0.001478586,0.1659667,-0.3064437,1.308996,44.7313,328.3151,304.2246,0.03261705,0.02878612,0.009002021,0.07489924,0.974462,-0.4148911,-0.02976377,-0.1850391,1.275697,51.37625,20.16136,317.0281,
80.264,0.01280486,-0.001409237,0.0003422771,0.01869127,-0.07762576,-0.006272932,0.01738881,0.1777253,1.013029,21.79897,5.194503,3.201905,-0.0002754026,-0.0003907629,-0.0003377076,0.01181901,0.0156596,0.001012737,0.1659631,-0.3064443,1.308996,44.73423,328.321,304.2379,0.03975958,0.03483533,0.00768987,0.003861472,1.203255,-0.4582661,-0.02680116,-0.1830163,1.276198,51.15478,21.47121,319.2886,
94.792,0.01062256,0.000328555,-2.029235E-05,0.0330747,-0.09339731,0.0007052197,0.01746857,0.1777835,1.013023,21.75574,5.267256,3.141373,-0.0002217779,0.0005160557,9.956576E-05,0.009110287,-0.006196175,0.002476957,0.1659624,-0.3064431,1.308993,44.72741,328.3279,304.2446,0.02706639,0.02291536,0.003112058,-0.03736907,0.8073458,-0.2939951,-0.02420471,-0.1813176,1.276579,51.23279,21.55585,319.2917,
109.254,0.007882343,0.001032447,-0.0004305657,0.04236255,-0.1059928,0.004330207,0.01750772,0.1778245,1.013017,21.73261,5.331706,3.07532,3.578839E-05,0.0001318944,8.007971E-05,0.00555688,-0.0002648909,-0.002517064,0.1659643,-0.3064398,1.308988,44.71299,328.3454,304.2564,0.01459899,0.01360641,0.004266769,0.005086161,0.3717519,-0.2331044,-0.02265475,-0.1800926,1.277084,51.08931,21.19051,318.5988,
120.85,0.004107,0.00163681,-0.001077149,0.04111826,-0.1038705,0.005193406,0.01747683,0.177876,1.013004,21.7119,5.387072,3.04488,0.0001482943,-0.0001181211,3.489254E-05,0.01323942,0.008839196,-0.008163112,0.1659637,-0.3064374,1.308984,44.70275,328.3672,304.278,0.00683488,0.005914222,0.001130025,-0.02078976,0.136566,-0.117394,-0.02167569,-0.1792474,1.277462,51.2495,20.85367,317.9303,
