time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.685,0.007727162,-0.0005418257,-0.003047879,0.01872996,-0.04075006,0.0179635,-0.02341886,0.0246993,-0.009918302,3.828499,7.222168,357.9518,0.002663755,-0.003389256,0.003806975,0.009032046,-0.01438137,0.0219487,0.3046887,-0.6228892,0.5453256,30.99572,352.6979,329.3746,-0.006714054,-0.02422195,-0.01471256,-0.04328048,0.1570947,0.05175643,-0.01618569,-0.4629058,0.2134086,45.31286,20.3251,323.4461,
14.621,0.007441968,-0.00275058,-0.001040484,0.04914943,-0.02462788,0.003153558,-0.02334648,0.02458245,-0.009884775,3.692181,7.198306,357.9582,0.002565643,-0.003326374,0.003751346,0.01165157,-0.01155792,0.01492021,0.3046871,-0.6228826,0.545306,30.98516,352.6932,329.3656,0.02109269,0.02941556,-0.007782026,0.06358118,-0.1861543,-0.1206292,-0.01509047,-0.4605195,0.2127346,44.70938,20.16884,322.6743,
25.876,0.009301333,-0.0052924,0.005046724,0.08812124,-0.005341514,-0.02664489,-0.02317118,0.02441549,-0.009624213,3.512131,7.165807,358.0184,0.003066946,-0.002956503,0.003622602,0.0110417,-0.02235794,0.01351001,0.3046671,-0.6228577,0.5452834,30.9807,352.6944,329.3613,0.03031179,0.114362,0.006899877,0.5125251,-0.8861284,-0.3533218,-0.0141765,-0.4572247,0.2118761,42.96308,18.66987,319.958,
39.392,0.01335485,-0.007066866,0.01541282,0.09690949,0.0212626,-0.06463546,-0.02258135,0.02408722,-0.008449078,3.427604,7.098031,358.1367,0.003063861,-0.003332332,0.003606006,0.003264146,-0.01704748,0.02263899,0.3047045,-0.6228791,0.545276,30.95921,352.6795,329.3259,0.03253419,0.1293769,0.01679403,0.5554274,-0.9200048,-0.4275476,-0.01373082,-0.458489,0.2122755,41.9768,18.26238,319.1195,
54.159,0.01847818,-0.009662744,0.02606256,0.04880743,0.05186213,-0.0804564,-0.02215854,0.02377123,-0.007801503,3.53131,7.019745,358.2424,0.002832526,-0.003720467,0.003173248,-0.002349872,-0.01024565,0.02204749,0.3046829,-0.6228411,0.54524,30.95186,352.6702,329.3025,0.02914184,0.06805384,0.004508324,0.2817799,-0.7760987,-0.1634652,-0.01387956,-0.4598421,0.2123191,42.43948,18.27305,318.68,
68.398,0.02373991,-0.01571005,0.03453403,-0.04198992,0.07699407,-0.06349996,-0.0216501,0.02322483,-0.007248163,3.768158,6.921088,358.2883,0.002473412,-0.003780419,0.00322045,0.001043666,-0.005209489,0.02406759,0.3046708,-0.6228129,0.5452093,30.94462,352.657,329.2855,0.01559736,0.01147746,0.006233829,0.1328868,-0.3120706,0.01348476,-0.01412304,-0.4604552,0.2129137,43.07925,18.37333,319.3432,
81.793,0.02799621,-0.02247694,0.03922836,-0.1279301,0.09156918,-0.02837304,-0.02109298,0.02271128,-0.00667432,4.057629,6.834059,358.2988,0.002338821,-0.003702925,0.003629536,0.00781163,-0.0131862,0.03704534,0.3046809,-0.6227578,0.5451171,30.92702,352.6319,329.2509,0.009959167,-0.0191414,0.005792318,-0.04585626,0.07991543,0.004347932,-0.01453204,-0.46075,0.2132069,43.43228,18.96966,320.4609,
94.169,0.03275361,-0.02872407,0.04183408,-0.2065381,0.09455053,0.01305241,-0.02041084,0.0222148,-0.006170332,4.386592,6.764308,358.284,0.003773052,-0.001261225,0.002709187,0.03731058,-0.04755879,0.01760099,0.3047033,-0.6227803,0.5450583,30.87341,352.6238,329.2193,0.006539328,-0.03604471,0.008191182,-0.1614036,0.2874475,0.04538984,-0.01449083,-0.4616015,0.213838,43.90023,19.54634,321.5016,
110.49,0.0380247,-0.03355921,0.04182329,-0.260502,0.07666232,0.06188511,-0.01972123,0.0216811,-0.005741149,4.695557,6.757312,358.2101,0.002783215,-0.002837903,0.002677318,0.01643654,-0.03386471,0.04227547,0.304734,-0.6227938,0.5451205,30.85791,352.5914,329.1706,0.006028056,-0.03874326,0.00902874,-0.2241999,0.3675285,0.03322913,-0.01472787,-0.462071,0.2141559,44.13079,20.01524,322.2207,
124.01,0.04194912,-0.03501099,0.03872085,-0.2912468,0.04164188,0.1156413,-0.01906865,0.02134299,-0.005448967,5.018588,6.803717,358.066,0.003885764,-0.0004540494,0.002504023,0.04152387,-0.05797358,0.0202657,0.3047728,-0.6227822,0.544999,30.79419,352.5883,329.1365,0.003816287,-0.03851647,0.01202005,-0.2040258,0.3520828,0.09724899,-0.014455,-0.4621758,0.2146343,44.41776,20.07011,322.467,
135.824,0.04540808,-0.03369991,0.03334886,-0.28759,-0.003390476,0.1602262,-0.01839463,0.02111101,-0.005243003,5.235468,6.883592,357.9054,0.002629069,-0.003761095,0.003131756,0.01137422,-0.0299113,0.05509446,0.3048333,-0.6228319,0.5450934,30.79119,352.5394,329.0727,0.008090081,-0.02517186,0.01090929,-0.1985898,0.2728739,0.0312863,-0.01454215,-0.4619713,0.2145335,44.39562,20.34222,322.6918,
151.6,0.04789427,-0.02863385,0.02663371,-0.2424162,-0.04260498,0.1802649,-0.01773458,0.02108741,-0.005134791,5.327303,6.974467,357.758,0.003147892,-0.003014207,0.003578236,0.01963424,-0.04251329,0.0563594,0.3049047,-0.6228271,0.5449919,30.75016,352.507,329.0087,0.005833765,-0.01677921,0.009433061,-0.1227585,0.1506994,0.08162224,-0.01434004,-0.4619155,0.2145442,44.44252,20.08119,322.3395,
165.446,0.04955516,-0.01986276,0.0190415,-0.1554095,-0.06273758,0.1603155,-0.01701675,0.02117044,-0.005118072,5.257718,7.022587,357.6844,0.003389679,-0.003404349,0.003590596,0.01772532,-0.03884477,0.04801563,0.3049524,-0.6229488,0.545082,30.72887,352.4833,328.9633,0.005289297,-0.007594627,0.005212261,-0.06418066,0.02551214,0.07042926,-0.01441098,-0.4618479,0.214352,44.31514,19.9173,322.0393,
178.725,0.04990863,-0.01141913,0.0128804,-0.06805123,-0.07298348,0.1255482,-0.01633298,0.02122498,-0.005149812,5.124662,7.086452,357.6313,0.002950012,-0.004498043,0.004064959,-0.001729601,-0.02153979,0.04319476,0.3049403,-0.6229385,0.5450579,30.731,352.4617,328.9251,0.002492702,-0.002546725,0.0007796508,-0.00110783,-0.06410685,0.09414992,-0.01436653,-0.4617691,0.2142746,44.35242,19.7807,321.8438,
192.857,0.04900024,-0.003768851,0.006000258,0.01610676,-0.08507419,0.1009711,-0.01573281,0.0212146,-0.005268753,4.981894,7.15396,357.537,0.002602047,-0.004069487,0.004379228,-0.003751784,-0.005094552,0.0164301,0.3049104,-0.6229351,0.5450414,30.73357,352.4609,328.9211,0.0006256597,0.003786074,-0.003976089,0.03709832,-0.1251865,0.07719088,-0.01433102,-0.4615956,0.2140958,44.35355,19.60879,321.5599,
207.398,0.04681316,-0.0002532159,9.873975E-05,0.0585046,-0.1037486,0.1093635,-0.01523311,0.02121454,-0.005487263,4.917112,7.253008,357.3664,0.002332139,-0.004422323,0.00447975,-0.01566396,0.00636567,0.00618252,0.3049079,-0.622952,0.5450679,30.74821,352.4572,328.9162,-0.002026343,0.01040566,-0.006318544,0.08786557,-0.1832892,0.06590489,-0.01428165,-0.4611484,0.2137077,44.28431,19.27753,321.0629,
221.532,0.04301364,0.001666283,-0.006597836,0.07074901,-0.123029,0.1292289,-0.01481783,0.02130428,-0.005760729,4.908411,7.357344,357.1969,0.002606473,-0.004382073,0.004080757,-0.02536867,0.01069928,-0.006098548,0.3049277,-0.6229746,0.5451059,30.77048,352.4654,328.92,-0.003967871,0.01665859,-0.00780692,0.1136001,-0.2312641,0.04581241,-0.01433189,-0.460691,0.213357,44.14278,18.95414,320.5232,
233.713,0.03848303,0.002919521,-0.01084096,0.0837483,-0.1350399,0.1326541,-0.01446448,0.02141404,-0.005971581,4.834122,7.452868,357.0682,0.002507403,-0.004304595,0.003664312,-0.03365344,0.02329635,-0.02104242,0.3049306,-0.6229845,0.5451409,30.80531,352.4838,328.9402,-0.007701172,0.02273445,-0.007571624,0.1520249,-0.2660182,0.02721098,-0.0145162,-0.4603496,0.2131477,43.96645,18.65577,320.0844,
249.283,0.03333082,0.00492598,-0.01321569,0.1092128,-0.1448621,0.1323345,-0.01422112,0.02156883,-0.006133199,4.705752,7.568336,356.9188,0.002074191,-0.004152288,0.003359987,-0.03567918,0.03984353,-0.03400185,0.3048929,-0.6229317,0.5451066,30.85048,352.5102,328.9836,-0.01251293,0.02621047,-0.006865179,0.1761716,-0.2698508,0.01000518,-0.01480911,-0.4600448,0.2129437,43.79884,18.40268,319.7438,
263.462,0.02747548,0.007105549,-0.01422284,0.1456137,-0.1642231,0.1396453,-0.0140547,0.02172491,-0.006320089,4.544057,7.70471,356.7233,0.00196455,-0.003766362,0.002955391,-0.03979665,0.04636703,-0.04327115,0.304849,-0.6228715,0.5450707,30.90027,352.5451,329.0367,-0.01779461,0.02581696,-0.005624185,0.1871156,-0.239118,-0.0004331244,-0.0151517,-0.459904,0.2128254,43.66312,18.18904,319.52,
275.578,0.02091575,0.008833173,-0.01509834,0.1650897,-0.1876018,0.1513809,-0.01403448,0.02184987,-0.006559551,4.425269,7.865282,356.5223,0.001971506,-0.003814865,0.002823177,-0.04496364,0.05452913,-0.05484247,0.3048,-0.6228261,0.5450644,30.96178,352.592,329.108,-0.02227196,0.02152572,-0.005531447,0.1746871,-0.1712343,-0.002198686,-0.01557289,-0.459859,0.2126922,43.59994,18.06077,319.4648,
291.313,0.01342692,0.01040439,-0.01591788,0.1699096,-0.2086539,0.1617162,-0.01416092,0.02210739,-0.006794214,4.333227,8.031586,356.325,0.002083504,-0.003535849,0.002636468,-0.04624506,0.05572657,-0.06715961,0.3047508,-0.622781,0.5450664,31.0222,352.6494,329.1921,-0.02509465,0.01444375,-0.006374463,0.1397125,-0.0858077,0.006410983,-0.01579608,-0.4600023,0.2126862,43.66306,18.11089,319.6327,
304.996,0.004529934,0.01303337,-0.01578234,0.175382,-0.2140181,0.1481879,-0.01441549,0.02247784,-0.006991744,4.20457,8.169172,356.2074,0.001895938,-0.00288589,0.002274035,-0.03669864,0.05572887,-0.07926316,0.3046909,-0.6227378,0.5450537,31.06411,352.7075,329.2794,-0.02524419,0.008207973,-0.007660392,0.08342692,0.006485816,-0.008962764,-0.01600266,-0.4600059,0.2126681,43.70437,18.23548,319.8439,
318.173,-0.003182765,0.01630276,-0.01507482,0.187382,-0.197782,0.1135457,-0.01474503,0.02283543,-0.00712508,4.014484,8.263309,356.1506,0.001544296,-0.002376598,0.001983971,-0.02658166,0.05276271,-0.07800385,0.3046083,-0.6226811,0.5450143,31.09471,352.7553,329.3555,-0.02564183,0.004901413,-0.006754413,0.06244031,0.06582161,-0.02643457,-0.01640662,-0.4599739,0.2125536,43.6777,18.25281,319.9866,
