time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.71,-0.00443508,-0.000322965,-4.759862E-05,-0.01142131,-0.02020005,0.02508512,-0.1098631,-0.4766381,-0.8119565,277.0985,191.8113,166.9669,-0.0001540604,0.001486665,-7.686199E-05,-0.01555087,-0.02112205,0.05078988,0.2642568,-0.6424012,0.6426088,23.0118,339.272,321.3212,-0.0008600249,-0.001364711,-0.0005824689,-0.02610861,-0.02950648,0.03012943,-0.2845586,-0.6141552,-0.04675625,39.38311,348.1732,336.0684,
13.037,-0.001428507,3.270773E-05,-0.001081793,-0.003485185,-0.004666649,0.03343355,-0.1097586,-0.4766093,-0.8120264,277.1158,191.6175,167.2084,-0.0001269539,0.001923783,-6.448319E-05,-0.01599269,-0.0276517,0.05945718,0.264276,-0.6423952,0.6426072,22.98426,339.245,321.2618,-0.001310002,0.0009040213,0.0009453987,0.01694509,-0.227828,0.08963364,-0.2844591,-0.6140089,-0.04668314,39.10855,348.0484,335.5325,
24.654,0.001831299,0.0002752856,-0.002498637,0.002226785,0.01233294,0.03924475,-0.1096034,-0.4765933,-0.8121278,277.1208,191.3176,167.5505,-0.0001143209,0.002222431,-5.987274E-05,-0.01512454,-0.03183963,0.06418083,0.2642962,-0.6423889,0.6426035,22.95362,339.2206,321.205,-0.003216042,0.001240592,0.00168646,0.01464796,-0.4817128,0.2080362,-0.2841547,-0.6135569,-0.04653121,38.5581,347.7576,334.353,
40.265,0.004866811,0.0008244065,-0.003696415,0.01953672,0.02920104,0.0372689,-0.1094064,-0.4765722,-0.8122429,277.1716,190.8245,168.0793,0.000309842,0.00294759,0.0001485659,-0.01304062,-0.04732077,0.06722002,0.2643192,-0.6423817,0.6425995,22.91148,339.2,321.1393,-0.01064722,-0.0003028847,0.002814287,0.007522045,-0.5242047,0.3768048,-0.2841015,-0.6127141,-0.04623469,38.21511,347.0763,333.3428,
54.35,0.007790617,0.001188341,-0.004252793,0.03023439,0.0466015,0.02535706,-0.109168,-0.4765537,-0.8123467,277.1972,190.2869,168.6169,5.368389E-05,0.001321096,2.367034E-05,-0.02337646,-0.02242371,0.05200515,0.2643407,-0.6423751,0.642597,22.90498,339.1841,321.1011,-0.009983443,-0.006046357,-0.0008851124,-0.08335678,-0.0712549,0.2386479,-0.2842684,-0.6124799,-0.04621289,38.91057,347.0571,334.0947,
67.838,0.009398097,0.001395696,-0.00412848,0.02626895,0.05238336,-4.002368E-05,-0.1089709,-0.4765171,-0.8124048,277.1935,189.7603,169.0791,-0.0001052758,0.0006653234,-5.435845E-05,-0.03022221,-0.0119812,0.05014363,0.2643557,-0.6423706,0.6425974,22.89641,339.1695,321.0595,0.0005215359,-0.0007246141,-0.0006056424,-0.009375096,0.1615926,-0.05375741,-0.2844178,-0.6129034,-0.04646342,39.1217,347.5756,334.9734,
80.347,0.01017252,0.0007424091,-0.00353478,0.01595374,0.05243969,-0.04368746,-0.1087891,-0.476516,-0.8124389,277.1573,189.3082,169.4045,0.0004578845,0.00151786,0.0002240092,-0.01741186,-0.02972767,0.04041241,0.264376,-0.6423647,0.6425993,22.87644,339.1536,321.0123,0.005941364,0.006180952,0.002024531,0.108684,0.1771502,-0.1900454,-0.2842722,-0.6129137,-0.04649973,39.03594,348.0694,335.7795,
95.931,0.0098913,-0.0008104687,-0.003373118,-0.00664514,0.04938026,-0.0800171,-0.1086578,-0.4765825,-0.8124936,277.0968,188.8059,169.7866,-0.0006566615,-0.0004363277,-0.0003270422,-0.04174844,0.009384835,0.05318052,0.2643934,-0.64236,0.6426045,22.89042,339.1116,320.9435,0.007924246,0.009303749,0.003270512,0.158147,0.04282501,-0.2022608,-0.284135,-0.6127366,-0.04653497,38.79889,348.2812,335.8379,
110.007,0.009148896,-0.002227704,-0.003756177,-0.02771504,0.04244278,-0.1012668,-0.1085609,-0.4766772,-0.8125812,277.0197,188.558,169.9325,-0.000811581,-0.000402804,-0.0004046276,-0.03755439,0.01155569,0.05240613,0.2644074,-0.642356,0.6426084,22.88613,339.09,320.903,0.01285703,0.00906302,0.001485059,0.1215971,0.1422619,-0.3271528,-0.2839243,-0.6125814,-0.04652557,38.90992,348.9662,336.7228,
121.846,0.008409848,-0.003257919,-0.005652084,-0.05835386,0.0405602,-0.09523123,-0.1084723,-0.4767753,-0.8127509,276.8958,188.3923,170.071,-0.00036119,0.001216788,-0.0001850013,-0.02023067,-0.01489387,0.05521724,0.2644233,-0.6423514,0.6426108,22.86485,339.073,320.8603,0.01536526,0.001606524,-0.004003265,-0.06046269,0.3749622,-0.4088283,-0.2833143,-0.6129841,-0.04673066,39.68288,349.4305,337.6444,
