time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.53,-0.000631016,-0.002317251,0.003518389,-0.01350005,0.001388346,0.02322735,0.02524152,-0.1343594,-0.08172166,277.3961,189.641,161.0304,-0.0002274001,0.001272898,-0.0002888812,0.017554,-0.01418791,0.009588161,0.3039894,-0.3051603,1.408131,16.23229,337.2825,313.416,0.001028285,-0.003120129,-0.001998005,-0.1108137,0.1288018,-0.07031565,-0.2237966,-0.2830477,0.6990695,41.91038,356.4458,356.4583,
14.35,8.340739E-05,-0.0008800873,0.002619951,0.004437681,0.008211481,0.05279615,0.02526605,-0.1343067,-0.08172292,277.4645,189.5965,161.1881,-0.0003729304,0.001710991,-0.0004212403,0.02374759,-0.01800412,0.01450394,0.3039921,-0.3051598,1.408122,16.20529,337.2778,313.4186,0.00146896,0.0005809624,-0.0002315377,-0.01946537,0.08600962,-0.06379987,-0.2236402,-0.2831866,0.6990502,41.79805,356.4868,356.4644,
24.899,0.001352129,-0.0014272,0.002524592,0.004299126,0.01216706,0.07169688,0.0253273,-0.1343322,-0.08170104,277.4542,189.7061,161.1608,-0.0006042506,0.002197899,-0.0006022813,0.02984128,-0.02091598,0.02302135,0.3039964,-0.3051592,1.408111,16.17023,337.2673,313.4182,0.0005818079,-0.001920931,-0.001213981,-0.0969335,0.1769664,-0.07872371,-0.2234673,-0.2834581,0.699035,42.02756,356.5906,356.8506,
39.551,0.003015506,-0.003005064,0.003828243,0.004647924,0.01726174,0.02846,0.02542609,-0.134404,-0.08162361,277.4371,189.2501,161.4888,-0.0008781401,0.00168524,-0.0006601365,0.02616962,-0.01002288,0.02410994,0.3040011,-0.3051584,1.4081,16.14702,337.2561,313.4155,0.008803624,0.003734111,-0.00138028,-0.05981492,0.2941361,-0.2955881,-0.2231042,-0.2836329,0.6989585,42.13676,357.5218,358.166,
53.325,0.004056371,-0.003039227,0.005019924,0.01033022,0.02294973,-0.0363479,0.02552326,-0.1344122,-0.08153993,277.4207,188.6459,161.9222,-0.000972572,0.001165479,-0.0006313909,0.01963159,-0.001300315,0.024358,0.3040082,-0.3051574,1.408088,16.11551,337.2413,313.4096,0.01308795,-0.00687666,-0.008944865,-0.4353042,0.5835984,-0.4752665,-0.2226919,-0.2847556,0.6985367,43.35962,358.4157,359.8928,
68.088,0.004273966,-0.0009663141,0.005889183,0.00672119,0.02619917,-0.06311999,0.0255972,-0.1343155,-0.08145386,277.3977,188.4079,162.108,0.0002979748,0.002751879,-0.0002578228,0.01407178,-0.03784258,0.03436662,0.3040159,-0.3051563,1.408078,16.07051,337.2343,313.395,0.01032963,0.001448228,-0.003287577,-0.2052473,0.5018476,-0.3951213,-0.2224143,-0.2861401,0.69792,43.04813,358.6347,0.3317282,
81.91,0.003461237,-0.0001804964,0.004696879,-0.006916701,0.02026981,-0.05580343,0.02562359,-0.134296,-0.08142352,277.3558,188.5088,162.0147,0.000217339,0.003187067,-0.0003616946,0.01564698,-0.04153466,0.04424475,0.3040238,-0.3051552,1.408069,16.03418,337.2193,313.3793,0.006599541,0.003881801,-0.0005191293,-0.04593393,0.2744587,-0.2384094,-0.2224008,-0.2866248,0.6976711,42.7503,358.4881,359.9877,
95.413,0.002447803,-0.001891276,0.001938153,-0.01677287,0.01156684,-0.03622485,0.02562957,-0.1343868,-0.08148509,277.3384,188.6561,161.9018,-0.0003402439,0.001959219,-0.0004489229,0.02225826,-0.02082327,0.02157286,0.3040325,-0.3051539,1.408057,16.01671,337.2101,313.3804,-0.0001338341,0.009698203,0.004911331,0.2692678,-0.1702974,0.07360772,-0.2224683,-0.2862226,0.6977909,41.79285,357.7336,358.4042,
107.974,0.00149743,-0.00424114,-0.0006067138,-0.01073091,0.01098501,-0.01751832,0.02562608,-0.1345126,-0.08159417,277.3541,188.5691,162.0057,-0.001361041,0.001340616,-0.0008462213,0.02077257,0.003008034,0.03732047,0.3040409,-0.3051527,1.408047,15.98874,337.1869,313.3647,-0.006457712,0.000999664,0.002816948,0.1623226,-0.3640661,0.2813284,-0.2229048,-0.2853394,0.6979693,41.76878,356.8894,357.0364,
123.347,0.0008524089,-0.004625857,-0.001890983,-0.0006753432,0.01150519,0.002597728,0.02562584,-0.1345458,-0.08169943,277.3734,188.4865,162.1101,0.0008789696,0.002863357,-4.138696E-06,0.003842243,-0.04599359,0.03620658,0.3040506,-0.3051514,1.408039,15.94423,337.1907,313.3431,-0.002219812,-0.0005018404,0.0005551782,0.07358804,-0.2398265,0.1396834,-0.2230881,-0.2849735,0.6981047,41.9467,357.1697,357.3818,
137.185,-0.00043589,-0.002796515,-0.003060417,-0.000949401,0.003700034,0.01112435,0.02558732,-0.1344764,-0.08181274,277.3782,188.6205,161.9987,-0.0004347346,0.0005531679,-0.0002890813,0.01232465,-0.001787664,0.006455291,0.3040559,-0.3051507,1.408033,15.9468,337.1835,313.3483,-0.001097301,0.001685056,0.00126183,0.1001858,-0.1861647,0.09572516,-0.2230451,-0.2846581,0.6982425,41.87445,357.2383,357.4784,
149.646,-0.001647399,-0.0007948077,-0.004652887,0.004180055,-0.004061801,0.02039897,0.02553549,-0.1344006,-0.08192533,277.4099,188.9426,161.7164,-0.0002696856,0.0004776922,-0.000199337,0.00474795,-0.001812573,0.01135003,0.3040599,-0.3051502,1.408029,15.93346,337.1821,313.3416,-0.0008142753,0.00583445,0.003237566,0.1832504,-0.166369,0.08417668,-0.2229901,-0.2841646,0.6984605,41.56152,357.1814,357.3138,
164.71,-0.001775387,-0.001122975,-0.008942899,0.01272575,-0.008197284,0.04475536,0.0255188,-0.134405,-0.0821889,277.4582,189.0775,161.6647,0.0003602886,0.0005883982,8.457505E-05,0.000878836,-0.01244675,0.002421832,0.3040613,-0.30515,1.408027,15.92628,337.1863,313.3411,0.002195422,0.01007159,0.004219902,0.2314657,-0.07217621,-0.0165564,-0.2226817,-0.2834292,0.6987973,41.33521,357.4156,357.6103,
