time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.563,-0.0009365145,-0.0005566162,-0.0008452482,-0.007938248,-0.01026793,0.004970045,0.04959393,-0.4553473,-0.5184952,271.1912,226.2548,129.9583,-0.0002503408,0.0005905306,-4.591507E-05,-0.00568197,-0.01018235,0.02105585,0.2405265,-0.5342157,0.86532,28.93581,342.5533,330.891,-0.007480176,-0.02745789,-0.034475,-0.2061773,0.05135163,0.1582688,-0.1979507,-0.5863988,0.2143549,38.51263,346.1804,347.9286,
11.997,-0.0002755557,-0.0007096586,-0.001221973,-0.006212441,-0.00992222,0.01463953,0.04961491,-0.4553187,-0.5185339,271.1973,226.49,129.7535,-0.000527784,0.001220517,-0.0001006074,-0.004999684,-0.01763629,0.03724077,0.240538,-0.53421,0.8653215,28.91826,342.5504,330.8507,-0.004523117,-0.0410056,-0.02134131,-0.2921621,0.1198493,0.0555707,-0.1984093,-0.5870491,0.2152338,39.00889,346.1882,348.0219,
25.352,0.0003066543,-0.0008211997,-0.001842553,-0.00561307,-0.00555138,0.01673134,0.04964216,-0.4552923,-0.5185913,271.1921,226.4677,129.7946,-0.0003216682,0.001810922,8.447061E-05,-0.004704365,-0.03053534,0.0443064,0.2405513,-0.5342027,0.8653179,28.89233,342.5285,330.8037,0.006250858,-0.03674174,0.006468217,0.07374331,0.1020043,-0.221464,-0.1988145,-0.5880135,0.2160017,38.48452,347.2578,349.1219,
38.609,-4.163606E-05,-0.000760032,-0.002474003,0.002425848,0.001994955,-0.01397576,0.04961687,-0.4552932,-0.5186452,271.1881,225.3651,130.8247,-0.000555233,0.002147801,1.012493E-05,-0.005722413,-0.03404934,0.05582382,0.2405662,-0.5341946,0.8653136,28.86305,342.4991,330.7489,0.007387225,-0.04381806,0.0145625,0.0910472,0.1580165,-0.3530914,-0.1993973,-0.5887163,0.2162218,38.58944,347.8915,349.8683,
53.224,-0.0008174726,-0.0005776046,-0.003166274,0.01424043,0.00503492,-0.06787016,0.04956225,-0.4552947,-0.5187077,271.1986,223.4871,132.4755,-0.0003136129,0.002515807,0.0001812894,-0.001101917,-0.0413061,0.05391723,0.240585,-0.5341844,0.865308,28.82776,342.4748,330.6949,-0.005008941,-0.05996809,0.01220106,0.009036195,0.3029034,-0.4468421,-0.2003638,-0.5897824,0.216745,39.02278,348.3745,350.7378,
66.607,-0.001277474,-0.0002116142,-0.004469267,0.01754788,0.006847858,-0.09439396,0.04951816,-0.4552555,-0.5188211,271.2001,222.9091,132.9626,-0.0009099694,0.001822876,-0.0002178,-0.008191753,-0.02490559,0.0585462,0.2406053,-0.5341735,0.8653036,28.80665,342.4401,330.6381,-0.01887695,-0.05199577,0.01878305,0.05827405,0.2207016,-0.3355225,-0.2009007,-0.5898827,0.2173254,38.86255,348.4375,350.8327,
80.94,-0.0005194682,-8.579297E-05,-0.005125589,0.01961356,0.003394599,-0.06438493,0.04953383,-0.4552065,-0.5189298,271.2187,222.5592,133.3728,-0.0008444971,0.001443815,-0.0002362367,-0.006403299,-0.01811753,0.04854084,0.240618,-0.5341667,0.8652999,28.79073,342.4246,330.6108,-0.02591229,-0.04249568,0.0291573,0.08563679,0.1775201,-0.3021028,-0.2017868,-0.5906266,0.2184163,38.79474,348.6573,351.0816,
94.683,0.00104084,-0.0003111463,-0.006010463,0.01493317,-0.002912057,0.004816576,0.04959894,-0.455179,-0.5190619,271.2367,222.9019,133.1365,0.0005321918,0.001704823,0.0004998144,0.00354392,-0.03514069,0.01891225,0.2406294,-0.5341605,0.8652971,28.77188,342.4255,330.5914,-0.0314245,-0.04574475,0.03892021,-0.03170379,0.2204627,-0.3086683,-0.2024486,-0.5908725,0.2197337,39.17528,348.8371,351.4062,
108.963,0.002919454,-0.0004179695,-0.006422359,0.01479028,-0.004693469,0.06770377,0.04969837,-0.4552057,-0.5191908,271.2617,222.61,133.6705,-0.0001885667,-0.001201767,-0.0002574484,-0.02418119,0.0121921,0.004206137,0.2406347,-0.5341581,0.8652987,28.78326,342.4192,330.5804,-0.03109615,-0.04346993,0.04868288,-0.05767213,0.2480568,-0.347326,-0.2027968,-0.5910164,0.2201767,39.42134,349.1827,351.896,
121.16,0.004562393,-0.0004703158,-0.006796392,0.009097924,-0.0002291917,0.09829055,0.0498139,-0.45523,-0.5193214,271.2521,222.5582,133.8321,0.0003519063,-0.001615773,-3.819799E-05,-0.009817554,0.01962541,-0.02721745,0.2406306,-0.5341606,0.8653032,28.79727,342.4385,330.6011,-0.02507307,-0.02267732,0.04847415,0.05090029,0.2582253,-0.3794602,-0.2025004,-0.5895572,0.2189893,39.30239,349.642,352.5424,
