time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.485,0.0005888218,0.0003709723,0.001363442,-0.002801136,0.002516906,-0.002989619,-0.07252944,-0.4658071,-0.4451517,276.7918,236.1261,133.8007,-0.0002189214,0.0002927216,5.473352E-05,0.008927681,-0.01244205,0.01477043,1.295735,-1.457874,0.08068243,31.04453,11.70732,331.2524,-0.004939279,-0.007485418,0.002826367,-0.03952256,0.1049241,-0.1285629,0.2860914,-0.5561014,1.021848,28.40536,4.148559,330.7577,
13.131,0.0004020219,0.0002636381,0.00138638,-0.006903264,0.002919981,-0.001911911,-0.07252236,-0.4658112,-0.4451361,276.782,236.189,133.7359,-0.0002705699,0.0004669944,8.457952E-05,0.01148144,-0.009577635,0.009637455,1.295737,-1.457873,0.08068167,31.04382,11.70305,331.2462,-0.001962883,-0.005777768,0.006505495,-0.02814246,0.06163631,-0.02466022,0.2861772,-0.5563962,1.02189,28.41194,4.082409,330.6574,
26.553,0.0002351365,0.0002386047,0.001375085,-0.006392903,0.002172864,0.0002919352,-0.07252398,-0.4658229,-0.4451158,276.779,236.2291,133.6987,-0.0003743957,7.613425E-05,2.519713E-05,0.005785248,0.0002819074,0.006935175,1.295737,-1.457873,0.08068204,31.04525,11.70474,331.2499,0.0009509925,-0.003030223,0.009468686,-0.01175155,0.02767432,-0.02002918,0.286137,-0.5564288,1.021928,28.41328,4.095082,330.665,
40.438,-0.0001171823,0.0001873425,0.001013013,-0.004451295,-0.0001277067,9.305603E-05,-0.07253639,-0.4658374,-0.4451096,276.782,236.2561,133.6709,-0.0002511197,0.0003796974,6.987475E-05,0.009216244,-0.004748033,0.004956691,1.295735,-1.457874,0.08068261,31.04563,11.7088,331.2553,0.0005496829,-0.001456512,0.007323805,-0.00778301,0.03212127,-0.02081511,0.2861263,-0.556444,1.022026,28.42119,4.103727,330.7012,
54.402,-0.0004974395,0.0001668553,0.0005798563,0.0008506437,-0.002578773,0.0001008592,-0.0725535,-0.4658286,-0.4451177,276.7936,236.236,133.6926,-0.0007417052,-0.0003521434,-3.119271E-05,0.005259888,-0.00341966,0.0268899,1.295735,-1.457874,0.08068347,31.04927,11.7044,331.2513,0.006393267,0.002447171,0.01099031,-0.0002311573,-0.02618091,0.009665461,0.2862046,-0.5564411,1.022205,28.41777,4.110476,330.6829,
68.057,-0.0005230469,0.0001147577,7.326765E-05,0.004383752,-0.00467462,0.001665984,-0.07256234,-0.4658195,-0.4451363,276.8048,236.2285,133.705,-3.188083E-05,0.001280788,0.0002073971,0.0211163,-0.01874837,0.001337538,1.295736,-1.457873,0.08068167,31.04077,11.70366,331.2466,0.008231915,0.01151928,0.01462926,0.05807479,-0.05861002,0.06502285,0.2865352,-0.5560585,1.022518,28.3423,4.018919,330.5177,
82.156,-0.0007031464,0.0003660692,0.000158128,0.00835906,-0.003469372,0.003737064,-0.07257798,-0.4657942,-0.445135,276.8132,236.1704,133.7723,-0.000796055,-0.0006414269,-7.600751E-05,0.002024227,-0.003582273,0.03319093,1.295738,-1.457873,0.08068147,31.04934,11.69476,331.2378,0.008856395,0.01550741,0.0145542,0.08589992,-0.0997824,0.1023791,0.2869262,-0.5561439,1.022984,28.21963,3.899813,330.2727,
96.088,-0.000829781,0.0003939974,0.0003321765,0.006309266,-0.003269399,0.004275828,-0.07259417,-0.4657733,-0.4451259,276.8161,236.1904,133.756,0.0004145556,0.001240946,0.0001855293,0.01404299,-0.01398097,-0.01381909,1.295737,-1.457873,0.0806808,31.03989,11.70319,331.2457,0.008277445,0.01023933,0.009029895,0.068245,-0.1097962,0.1072913,0.2871866,-0.5563225,1.023309,28.17942,3.861348,330.1411,
110.184,-0.0006541323,0.0002715075,0.0006627478,0.00312634,-0.005069819,0.005424195,-0.07259856,-0.4657612,-0.4451082,276.8195,236.2652,133.6854,0.0002384086,0.001249455,0.0001930028,0.01567817,-0.009662197,-0.01504021,1.295736,-1.457873,0.08068152,31.04031,11.70623,331.2509,0.01663844,0.006269556,0.0110857,0.03458243,-0.1319188,0.1370086,0.2875104,-0.5553166,1.022495,28.18711,3.810797,329.865,
123.909,-0.0004653732,0.0001924205,0.001055215,-0.001661243,-0.003370642,0.007619279,-0.07258988,-0.465764,-0.4450907,276.8128,236.3478,133.6096,-0.000644177,-0.0007696144,-0.0001018688,-0.002092888,-0.001097454,0.02894166,1.295736,-1.457873,0.08068223,31.04946,11.70113,331.2461,0.01350282,0.02103613,0.006437288,0.1744239,-0.2293989,0.1895951,0.2878242,-0.5554338,1.022164,27.76404,3.537396,329.2941,
