time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.842,0.0008801538,-0.0009944682,-0.004932876,-0.01018283,0.003146812,-0.02982433,-0.3132677,-0.4203667,-0.07590294,273.8505,331.0645,111.3969,4.285399E-05,0.0004125816,0.0003720524,-0.003305724,0.0007613983,-0.01102734,1.226691,-0.6461388,-0.2204555,46.59225,73.20784,317.8594,-0.001085977,3.390433E-05,-0.002750563,0.05696056,0.008900383,0.1478585,1.180802,-0.5245085,0.08962093,20.41493,87.00001,339.2397,
15.278,-0.0002482475,-0.0006179138,-0.005024572,-0.02432263,-0.003976122,-0.03072779,-0.3133068,-0.4203526,-0.07595062,273.8438,330.8671,111.561,0.000110256,0.0003491718,0.0001282704,-0.004233978,0.002920941,-0.004991714,1.22669,-0.6461378,-0.2204569,46.58903,73.20515,317.8552,-0.000283858,0.0001860498,-0.0008256508,0.04924771,0.03095444,0.103703,1.180806,-0.5244656,0.08963649,20.42015,86.98653,339.2832,
22.874,-0.001355497,-0.0003285734,-0.00533389,-0.02424428,-0.0058803,-0.03218564,-0.3133564,-0.4203359,-0.07601547,273.8269,330.4898,111.9357,5.063423E-05,0.0002451612,0.0001575389,0.0002125278,0.009458511,-0.0004983253,1.22669,-0.6461374,-0.220457,46.58648,73.20572,317.8566,-0.0001163575,3.200331E-05,-0.0003124516,-0.003570057,-0.00600133,0.0009627661,1.18081,-0.5244555,0.08963761,20.39169,86.96329,339.2057,
37.638,-0.002221938,-0.0004786131,-0.006180062,-0.01553282,-0.01190031,-0.03565511,-0.3134165,-0.420351,-0.07612991,273.798,329.9697,112.4569,0.0001005582,-1.039712E-05,-0.0002657933,-0.00109915,0.005546396,0.007600879,1.226689,-0.6461368,-0.2204575,46.58214,73.22376,317.866,-0.0007130916,-3.877259E-05,-0.001771493,0.01834178,-0.009579841,0.06290075,1.180807,-0.5244465,0.08964227,20.41901,87.00404,339.2572,
51.744,-0.003176455,-0.0005993061,-0.006507238,-0.006745077,-0.01978586,-0.04057348,-0.3134937,-0.4203658,-0.07623339,273.7889,329.1782,113.2597,0.0001662835,-9.598661E-05,-0.0005313805,-0.003248429,0.003401141,0.01189079,1.226689,-0.6461372,-0.220456,46.58205,73.23389,317.8755,-0.0006303315,-3.167905E-05,-0.001566141,0.009779994,-0.01333729,0.04492535,1.180804,-0.5244315,0.08964776,20.43418,87.02471,339.2807,
66.346,-0.003847095,-0.0007235399,-0.006002461,0.0003496995,-0.02470566,-0.03854103,-0.3135614,-0.4203673,-0.07629919,273.7789,328.6083,113.8443,-0.0002619178,-0.0004752828,0.0001076803,0.01145031,0.003415532,0.006253705,1.226689,-0.6461387,-0.2204525,46.5849,73.25122,317.8945,-0.0001492367,-1.728564E-05,-0.0003648973,0.0007344174,-0.00449441,0.007584277,1.180802,-0.5244237,0.08965091,20.45144,87.02895,339.283,
80.696,-0.003257164,-0.0005896417,-0.005466046,0.007045417,-0.02626472,-0.03153145,-0.3135738,-0.4203554,-0.07635498,273.7834,328.208,114.2546,0.0002947118,-3.274026E-05,-0.0007826935,-0.007398797,0.003320364,0.01518168,1.22669,-0.6461397,-0.2204498,46.58525,73.26964,317.9096,0.0008153222,0.0006841369,0.001646109,-0.02611256,0.01626757,-0.05325514,1.180804,-0.5244306,0.08964796,20.42484,86.99487,339.2445,
94.517,-0.001252941,-0.0005748692,-0.004678948,0.005983,-0.01309233,-0.02682777,-0.3135176,-0.4203467,-0.07639313,273.754,328.561,113.8975,0.0003558401,9.363616E-05,-0.0007901497,-0.01062407,0.001088498,0.01243415,1.22669,-0.6461403,-0.2204493,46.58578,73.28164,317.9187,0.001421667,0.001487932,0.002710886,-0.0566978,0.02391001,-0.09968189,1.180808,-0.524456,0.08963946,20.33421,86.91141,339.128,
107.088,0.00151929,-0.0007139089,-0.003578415,-0.0002117185,0.00864076,-0.0210094,-0.3134089,-0.4203562,-0.07641172,273.7217,329.2479,113.1977,0.0001896943,-9.304918E-05,-0.0005882188,-0.000553025,0.01384739,0.01862731,1.22669,-0.6461414,-0.2204484,46.58843,73.2972,317.9344,0.001481102,0.002941703,0.002006669,-0.07625584,0.03197071,-0.07335264,1.180812,-0.524479,0.08962888,20.26933,86.88229,339.1003,
121.791,0.004079544,-0.0008806577,-0.002443715,-0.001247108,0.02787456,-0.01401046,-0.3132706,-0.420367,-0.07641411,273.6984,329.9529,112.4844,-0.0006432734,-0.0009024626,0.0005729909,0.01843311,-0.01689906,-0.00723774,1.226693,-0.6461432,-0.2204469,46.59995,73.29146,317.9266,0.0007509647,-0.0002988503,0.002080735,0.004666828,0.02336826,-0.04119676,1.180819,-0.5244951,0.08962244,20.30186,86.86066,339.1021,
