time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.461,-0.00146639,-0.0002764266,-0.0007535724,0.01059251,-0.01197184,0.008402081,-0.3423114,-0.4102357,-0.3803377,278.4191,59.07284,348.5787,0.000694743,5.177056E-05,-0.0006442371,-0.01743777,-0.001714266,0.005173893,1.311716,-0.7309442,0.6616336,17.90534,213.9573,283.6039,0.005087716,-0.003904145,-0.0004318695,0.05892272,0.1469321,-0.034229,0.6782358,-0.5241916,0.6329277,59.83759,297.7716,2.724026,
13.054,-0.001179941,-0.0003352075,-0.001105348,0.01045592,-0.01061488,0.01034918,-0.3423205,-0.4102237,-0.3803798,278.4161,59.0577,348.6099,0.0003233383,-5.493142E-05,-0.0003074933,-0.006088562,0.002586795,0.005265482,1.311717,-0.7309442,0.6616341,17.90578,213.9626,283.6031,0.00353387,-0.003298272,-0.0009260401,0.03291593,0.1055253,-0.0378442,0.6782132,-0.5241899,0.6329274,59.85218,297.7569,2.718386,
26.71,-0.001020717,-0.0002861635,-0.0005323808,0.006542207,-0.008364573,-0.001357694,-0.3423332,-0.4102052,-0.3803747,278.4039,59.11318,348.5401,0.0005629442,0.0002058904,-0.0005063806,-0.0159428,-0.002415598,0.0006883511,1.311717,-0.7309442,0.6616349,17.90487,213.9649,283.6033,-0.002108041,0.001071472,-0.0004127937,-0.03151753,-0.06867868,-0.005567539,0.6782138,-0.5241958,0.6329312,59.75753,297.67,2.588007,
40.429,-0.0009344536,-0.0004585937,-0.0004203576,-0.004155091,-0.00529888,-0.007187305,-0.3423474,-0.4102018,-0.3803655,278.4023,59.05926,348.5686,0.0010484,-0.0001592225,-0.0009950368,-0.02247225,0.001952178,0.01411815,1.311716,-0.730944,0.6616333,17.90798,213.9581,283.6048,-0.006664421,0.003097891,-0.001661541,-0.1104667,-0.1079056,0.03633054,0.6782331,-0.5242004,0.6329338,59.56838,297.4034,2.35497,
54.354,-0.0005821974,-0.0003649616,-0.0004411692,-0.005141687,-0.003462957,-0.0143391,-0.3423479,-0.4101923,-0.3803631,278.3935,59.10464,348.5028,0.0007687575,3.275606E-05,-0.0007151803,-0.01861809,-0.0007250113,0.006659473,1.311717,-0.7309437,0.6616328,17.90719,213.9566,283.6073,-0.008240297,0.0048329,-0.001044609,-0.1253379,-0.1182236,0.08023323,0.6782494,-0.5241954,0.6329298,59.36166,297.2425,2.268082,
68.151,-0.0005353201,-0.0005366461,-0.0009012538,-0.004746836,-0.001098497,-0.01537038,-0.3423522,-0.4102051,-0.3803971,278.3905,59.14303,348.451,-0.0002775387,0.0008375691,0.0003400482,-0.001108644,-0.001149992,-0.01900327,1.311718,-0.7309435,0.6616332,17.90382,213.9635,283.6091,-0.004329321,0.000837107,-0.002360106,-0.08680569,-0.1013614,-0.02792375,0.678266,-0.5242026,0.632934,59.38825,297.1346,2.090703,
81.915,-0.0003242095,-0.0003120012,-0.0006452152,0.0004729372,-0.008220578,-0.0175802,-0.3423497,-0.4102027,-0.3804066,278.3641,59.19107,348.3983,0.001236306,-0.0001357276,-0.001168259,-0.02318773,0.01171205,0.01946287,1.311717,-0.7309442,0.6616346,17.90379,213.9542,283.6011,0.004908961,-0.002426848,0.001074165,0.08090818,0.05122633,-0.047092,0.6782809,-0.5242094,0.6329379,59.49133,297.3508,2.268775,
96.121,0.0002053886,-0.0002923839,-0.0001746443,0.004783928,-0.01125462,-0.006439825,-0.3423328,-0.4102069,-0.3804016,278.355,59.15655,348.4518,0.0008663823,-4.094635E-05,-0.0008135174,-0.01728681,0.006769698,0.01203775,1.311716,-0.7309446,0.6616356,17.90131,213.9542,283.5984,4.898087E-05,-0.001142866,-0.001181453,-0.01137171,-0.06269703,-0.06826539,0.6782894,-0.5242133,0.6329404,59.45858,297.2621,2.125656,
110.767,0.001228266,-0.0003688882,0.0006166249,0.01105147,-0.005514388,0.005718837,-0.3422864,-0.4102145,-0.3803747,278.365,59.17793,348.4598,-0.0004580021,0.0006429279,0.0004900803,0.002986993,-0.005676803,-0.01893695,1.311716,-0.7309448,0.661637,17.89713,213.9614,283.5992,0.000745386,-0.002201782,-0.00179436,-0.006036495,-0.1615745,-0.158438,0.6783378,-0.5242491,0.6329625,59.40814,296.9534,1.454868,
123.895,0.001883251,-0.0008254168,0.0007829231,0.008744425,0.004357376,0.01203916,-0.3422415,-0.4102422,-0.380362,278.3898,59.18204,348.4692,0.001474739,-0.0003329485,-0.001409802,-0.02542832,0.01589348,0.02722445,1.311714,-0.7309455,0.6616374,17.9002,213.9448,283.5887,-0.001154911,-0.0002894005,-0.001171919,-0.03013267,-0.02250304,-0.01886561,0.6783666,-0.5242679,0.6329735,59.41732,297.1053,1.8143,
