time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.44,0.01151383,-0.004718216,-0.01058296,-0.0142227,-0.02672562,0.04550191,-0.02597921,0.02901062,-0.03765202,3.345948,1.06955,357.0832,-0.004115703,-0.003740214,0.01127197,0.02813441,0.05870402,-0.04579617,0.1455884,-0.6048746,0.7460981,34.87078,336.7635,312.5127,-0.01813974,-0.0603217,0.005830157,-0.3336872,0.4805068,-0.09848206,-0.07561697,-0.5776395,0.7303964,35.57423,0.732247,334.9217,
13.317,0.01065597,-0.00520285,-0.01229223,-0.04369187,-0.0159573,0.02823612,-0.02584987,0.02890745,-0.0378589,3.431837,1.066997,357.0909,-0.002913956,0.001248433,0.01116056,0.06676836,0.06674977,-0.1004034,0.1453853,-0.6046077,0.7460199,34.90253,336.8914,312.7364,-0.02309362,-0.03253517,0.005222435,-0.1211974,0.4573683,-0.2118238,-0.07585621,-0.5765034,0.7300326,35.35161,0.8937653,335.5284,
27.15,0.01008402,-0.002633715,-0.01352352,-0.04292089,-0.00484559,0.01678514,-0.02569523,0.02894038,-0.03809774,3.435968,1.060881,357.095,-0.004115079,0.002047734,0.01065168,0.06256983,0.05906378,-0.1079374,0.1452044,-0.604444,0.7459384,34.92047,336.9838,312.8665,-0.01198665,0.03069843,-0.0003297954,0.306035,0.07368999,-0.1709892,-0.07495923,-0.5750768,0.7290443,34.26171,0.7295893,335.1754,
40.769,0.009212498,0.0003251107,-0.01425061,-0.009399992,-0.00213211,0.01740765,-0.02555779,0.02902833,-0.03833467,3.392163,1.058699,357.0689,-0.008539432,-0.0003824603,0.0107314,0.04401383,0.06642218,-0.08712503,0.144976,-0.6042857,0.745891,34.96505,337.0205,312.9462,0.007020357,0.06903477,-0.003623758,0.5010216,-0.4636247,0.1785691,-0.07367756,-0.574612,0.7288085,33.30588,0.09696031,333.5807,
54.486,0.008171477,0.001034896,-0.01470657,0.02788775,-0.007552445,0.02762114,-0.02545467,0.02906224,-0.03855854,3.277688,1.070941,357.0144,-0.01205109,0.0007544435,0.01114459,0.0662374,0.07933102,-0.09284201,0.1445596,-0.6042498,0.7462059,35.00592,337.0872,313.123,0.0232591,0.06341314,-0.003279443,0.411651,-0.5980568,0.2554247,-0.073299,-0.5751716,0.7283851,32.94664,359.9301,332.7599,
68.557,0.007143912,0.0007746632,-0.01575704,0.03093922,-0.01244253,0.03766578,-0.02538044,0.02906337,-0.03880274,3.28016,1.075962,356.9661,-0.01283306,0.004822586,0.01175698,0.1102588,0.1074147,-0.1185236,0.1442793,-0.6036661,0.7461244,35.04795,337.2195,313.4672,0.03718659,0.02089753,0.001759964,0.02877657,-0.5050684,0.2011379,-0.0729053,-0.5761146,0.7297769,33.45765,0.2270992,332.528,
82.448,0.006327323,0.001176844,-0.0171559,0.008739366,-0.01006236,0.03851524,-0.02531207,0.02908924,-0.03907949,3.330693,1.076342,356.9462,-0.00934077,0.01232354,0.01133251,0.163665,0.06327226,-0.1802061,0.1436851,-0.6033233,0.7458497,34.93744,337.5478,313.9413,0.01602384,-0.01949265,0.005305564,-0.1799408,-0.1245625,0.1435349,-0.07397166,-0.5761486,0.7294803,34.17117,0.2204674,332.846,
96.035,0.005617244,0.003584783,-0.0181384,-0.01836418,-0.002325716,0.03588439,-0.02521464,0.02918848,-0.03936434,3.392112,1.057069,356.9234,-0.01285939,0.008474233,0.007984954,0.0983064,0.06741986,-0.1420336,0.143522,-0.6029584,0.7454536,34.99692,337.5472,313.9055,-0.002528588,-0.009846157,0.003941576,-0.0352988,0.1561249,-0.1189804,-0.07453889,-0.575704,0.7294102,34.05054,0.4040085,333.6441,
110.509,0.005629993,0.007681683,-0.01813283,-0.0169128,0.004064078,0.02700172,-0.02508169,0.02959791,-0.03961378,3.372905,1.044455,356.9213,-0.01857032,0.00649294,0.005229918,0.06791683,0.08067149,-0.1672412,0.1427701,-0.6022315,0.7449879,35.08997,337.754,314.1484,-0.01196266,0.001719745,-0.0006191758,0.07935204,0.1719265,-0.1610971,-0.07433217,-0.575296,0.7290342,33.85581,0.4820728,334.0672,
123.912,0.00584543,0.01181613,-0.01697284,0.01992585,0.004269823,0.008925445,-0.02499796,0.0298079,-0.03976899,3.269242,1.045129,356.9487,-0.02991311,0.008834977,0.005564073,0.1306454,0.1785737,-0.2087984,0.1414801,-0.602201,0.7456141,35.25211,337.9231,314.6656,-0.001765917,0.002769121,0.0004191223,0.04651633,0.01702884,-0.0810745,-0.07412327,-0.5757306,0.7292079,33.86544,0.4392623,333.762,
