time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.466,-0.0001356328,-0.001141912,-0.0001808802,0.001752961,0.005182947,-0.01066679,-0.1074828,-0.4660352,-0.5428488,271.5519,315.6466,55.72761,0.0001655232,-0.0004312794,4.994895E-05,-0.007155473,0.0001585239,-0.007146189,0.5327578,-0.924214,1.099752,16.72478,1.998128,348.8138,0.005764472,0.0005737455,-4.207517E-05,-0.02547752,-0.05812413,-0.2639538,0.2770061,-0.5676293,0.9244967,346.1671,349.9949,262.0977,
13.157,3.800858E-05,-0.001005606,0.0004467112,-0.001039282,0.003454133,-0.002456889,-0.1074699,-0.4660522,-0.5428255,271.5578,315.8775,55.50639,0.000196003,-0.0003328234,5.506505E-05,-0.005363355,-0.0006168145,-0.007948164,0.5327554,-0.924216,1.099753,16.72758,2.003309,348.8224,0.007171286,-0.001514023,-0.0003982522,-0.0114637,-0.03945421,-0.3723043,0.2771059,-0.5675792,0.9244748,346.3819,349.9765,262.6689,
26.373,0.0003176179,-0.001023771,0.0001711803,-0.001718215,0.001383075,0.0008760028,-0.1074526,-0.4660912,-0.5428433,271.5606,315.9761,55.4132,0.0003922589,-0.0001850279,9.927182E-05,-0.004031656,-0.005311728,-0.0060618,0.532754,-0.9242173,1.099754,16.72798,2.008132,348.8273,0.003256021,-0.006172842,-0.001035068,0.07847151,0.03789274,-0.3763809,0.2772158,-0.5675231,0.9244429,346.6923,349.7849,262.9249,
40.3,-7.286971E-05,-0.001018666,-0.0004140935,0.003634034,0.003654754,0.003052097,-0.1074592,-0.4661271,-0.5428758,271.5476,315.8935,55.50383,0.0003004371,0.0003484953,6.489916E-05,0.006873589,-0.004738638,-0.01010989,0.5327536,-0.9242176,1.099753,16.7224,2.010291,348.8288,-0.0009514168,-0.005776102,-0.0008768611,0.1115624,0.05162562,-0.2330159,0.2773062,-0.5674763,0.9244092,346.6999,349.6918,262.779,
54.219,-0.0001839455,-0.001117263,-0.001524157,0.01209043,0.001056181,0.003178848,-0.1074617,-0.4661319,-0.5429194,271.5347,315.1741,56.23122,-1.442007E-05,-0.0009183229,1.7309E-05,-0.01501009,0.005512098,-0.007495205,0.5327522,-0.9242188,1.099754,16.72485,2.012809,348.8342,-0.003312246,-0.002077668,-0.0002356276,0.05064884,0.04246414,0.05503208,0.2773247,-0.5674667,0.9243985,346.5166,349.7851,262.4254,
67.812,-0.0005124738,-0.001096394,-0.002150349,0.02290726,0.001294953,0.001812923,-0.1074763,-0.4661348,-0.5429609,271.5038,314.0299,57.3817,0.0001515662,0.0006570834,2.178589E-05,0.009447099,-0.007277069,0.00835774,0.5327517,-0.9242193,1.099752,16.71876,2.01218,348.8337,-0.004885619,-0.003045897,-0.0003557892,0.0892664,0.05188048,0.03936504,0.2773038,-0.5674774,0.9243962,346.5587,349.7145,262.3633,
82.057,-0.0006439054,-0.001174224,-0.002849216,0.0256698,-0.001328656,-0.003319627,-0.1074832,-0.4661448,-0.5430228,271.493,312.8854,58.51963,-0.0001509558,-0.001104255,-1.155416E-05,-0.02330914,0.002571059,0.02025635,0.5327559,-0.9242156,1.099753,16.72697,2.004962,348.8168,-0.00183725,-0.003343019,-0.0004734682,0.03336602,0.06515194,0.02739456,0.2773024,-0.567478,0.9243854,346.6082,349.7093,262.355,
95.85,-0.0007518546,-0.001256502,-0.002939012,0.02142016,-0.0005448769,-0.007777024,-0.1074889,-0.466159,-0.543075,271.4885,312.7908,58.60188,0.0004417672,0.001203564,7.952684E-05,0.0190506,-0.01358894,0.002670561,0.5327582,-0.9242135,1.099752,16.71695,2.004863,348.8109,-0.005100464,0.001766267,0.0003773587,0.02218107,0.001934122,0.2162724,0.2772598,-0.5675,0.9243882,346.4663,349.6866,261.9842,
110.324,-0.0005798429,-0.001142901,-0.002556448,0.01950395,-0.001271468,-0.01065111,-0.107487,-0.4661636,-0.5431043,271.4819,312.5113,58.87284,0.0004215049,0.0005069578,9.055318E-05,0.003480365,-0.01393125,0.01792486,0.5327612,-0.924211,1.099752,16.72013,2.002782,348.798,0.0007664654,0.008687139,0.001223036,-0.1813879,-0.053001,0.4382463,0.2771583,-0.5675521,0.9244215,345.9168,350.1272,261.152,
123.611,-0.0006608352,-0.001029727,-0.00260936,0.01513164,0.0005938026,-0.01175274,-0.1075009,-0.466159,-0.5431323,271.4722,312.2217,59.15431,6.41713E-05,-0.001140613,4.159361E-05,-0.02413878,-0.0003539935,0.01593729,0.5327662,-0.9242068,1.099754,16.72725,2.000201,348.7817,8.127021E-05,0.006237383,0.0008907983,-0.1444399,-0.02066259,0.385022,0.277054,-0.567605,0.9244551,345.8611,350.1716,260.9276,
137.548,-0.0006324687,-0.0008053159,-0.002600366,0.01754441,0.002325406,-0.01222059,-0.1075111,-0.4661491,-0.5431595,271.4578,311.7489,59.62091,0.0004349143,0.001076182,8.050186E-05,0.01943305,-0.01002107,-0.01049993,0.5327667,-0.9242063,1.099754,16.71439,2.006709,348.7832,0.0003850408,0.006661107,0.0009410993,-0.1115052,-0.05776615,0.2656126,0.2769619,-0.5676512,0.9244885,345.7867,350.1516,261.0302,
151.093,-0.0005873016,-0.0007487279,-0.003029056,0.02411309,-0.003151964,-0.02269628,-0.1075107,-0.4661416,-0.5432173,271.4363,309.9094,61.4294,0.0004431455,0.0006097873,9.326095E-05,0.0133102,-0.005753672,-0.02212422,0.5327628,-0.9242097,1.099755,16.71429,2.014516,348.7993,-0.0006017002,0.002900449,0.0004356473,-0.05230375,-0.0135625,0.1710536,0.2769068,-0.5676786,0.9245061,345.9308,350.0785,261.147,
165.382,-0.0003797552,-0.0004667391,-0.003273497,0.03440659,-0.008249371,-0.01760851,-0.1075008,-0.46612,-0.5432729,271.4255,308.2857,63.06625,7.298465E-05,-0.0007783112,3.545171E-05,-0.0139852,0.002125973,-0.002146151,0.5327593,-0.9242127,1.099755,16.72038,2.017595,348.8087,-0.0004089181,0.002313619,0.0003462939,-0.0381631,-0.01432622,0.1215844,0.2768678,-0.5676978,0.9245178,345.9279,350.0786,261.1446,
179.296,0.0002394991,-0.0002094051,-0.003846714,0.03903149,-0.004791586,0.008786256,-0.1074722,-0.4661016,-0.5433431,271.4064,307.9337,63.49594,3.180944E-06,0.0003201559,-6.553904E-06,0.004838251,-0.002338494,0.004617496,0.5327597,-0.9242123,1.099756,16.71894,2.017496,348.8065,-0.0002826444,0.003342472,0.0004869409,-0.06482001,-0.01594188,0.1876588,0.2768146,-0.5677238,0.9245351,345.7804,350.1757,260.88,
193.43,0.001168672,-5.149073E-05,-0.004739476,0.04068265,0.005732891,0.02196583,-0.1074207,-0.4660882,-0.5434288,271.3614,307.8424,63.62306,0.0003141806,-9.44499E-05,7.822248E-05,-0.002553585,-0.004787646,-0.003406246,0.5327603,-0.9242119,1.099757,16.72158,2.017075,348.8049,-0.0008933841,0.003500705,0.0005187048,-0.0585992,-0.01651382,0.2047137,0.2767635,-0.5677487,0.9245511,345.6848,350.2209,260.6978,
207.036,0.001198207,-0.0004074562,-0.006141482,0.04102743,0.01216774,0.004669062,-0.1073932,-0.4660959,-0.5435505,271.3296,306.6972,64.71872,0.000350895,-0.00056601,9.782708E-05,-0.009789454,-0.002019381,-0.01066436,0.5327584,-0.9242136,1.099757,16.72515,2.019862,348.8127,-0.001040167,0.003068403,0.0004583852,-0.04852195,-0.01334516,0.1863506,0.2767057,-0.5677766,0.9245702,345.6352,350.2423,260.5978,
221.069,0.0003545401,-0.001022634,-0.00733649,0.04797482,0.004388242,-0.02125597,-0.1074074,-0.4661078,-0.5436944,271.3123,303.5639,67.79236,-1.719084E-07,-0.0004805911,1.083674E-05,-0.006701936,0.00407609,-0.009830259,0.5327538,-0.9242176,1.099758,16.72687,2.023915,348.8291,-0.00101041,0.002205946,0.000334826,-0.02788466,-0.01204532,0.1282739,0.2766603,-0.5677984,0.9245861,345.6338,350.2331,260.602,
235.123,-0.0007646892,-0.001138713,-0.007626269,0.04881366,-0.003436793,-0.04029498,-0.1074459,-0.4661027,-0.5438174,271.3027,301.6582,69.66598,-0.0001062768,-0.0003848412,-1.703632E-05,-0.004109853,0.006089321,-0.01154249,0.5327511,-0.9242198,1.099757,16.72649,2.024587,348.8385,-0.0006351285,0.001175886,0.0001803485,-0.01432691,-0.005660056,0.07247381,0.2766331,-0.5678115,0.9245961,345.6347,350.2314,260.6023,
248.848,-0.0002463928,-0.0008402026,-0.005977848,0.02960103,0.00107873,-0.0357587,-0.1074285,-0.4660907,-0.543854,271.2989,302.6208,68.68975,-7.466794E-05,-0.0002346614,-1.279043E-05,-0.0008670795,0.005674374,-0.0149299,0.5327471,-0.9242233,1.099756,16.72474,2.025178,348.8533,-0.0003492172,0.0007332315,0.0001114538,-0.005833145,-0.006637218,0.03298459,0.2766202,-0.5678176,0.9246018,345.6278,350.2335,260.5956,
263.013,0.000626909,-0.0006376384,-0.003791831,0.004410514,0.009957225,-0.02206538,-0.1073891,-0.4660863,-0.5438398,271.3,305.3078,66.00978,-0.0002224755,0.0001255727,-5.674925E-05,0.003159395,0.003493287,0.0009530236,0.5327446,-0.9242255,1.099754,16.72143,2.021818,348.8601,-0.0004527676,0.0005493481,8.707269E-05,-0.001443325,-0.005055643,0.02726003,0.2766123,-0.5678214,0.9246054,345.6163,350.2348,260.5777,
