time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.466,-0.001054988,0.001136622,0.002565322,-0.002936918,-0.01561044,-0.0174498,-0.03553686,-0.4732742,-0.578604,282.8802,221.919,142.5872,-0.0003561854,0.001046048,5.403726E-05,0.0003954237,-0.0196465,0.026417,0.3539176,-0.5865903,0.7329903,32.39451,346.0251,330.2503,0.007333496,-0.0004726742,-0.002017561,-0.01192269,-0.03487112,0.02093788,-0.1343023,-0.6052223,0.1675966,41.21528,356.5772,344.8752,
12.525,-0.001554752,0.001026667,0.00177622,-0.0005434162,-0.01439236,-0.01145314,-0.03557488,-0.4732667,-0.5786017,282.8881,221.9357,142.5702,-0.0003868561,0.0012059,7.209119E-05,0.003173373,-0.02081642,0.02703415,0.3539269,-0.5865849,0.7329878,32.37956,346.0097,330.221,0.007335512,0.005496677,0.000844728,0.01776941,-0.07776234,0.04337759,-0.1339651,-0.6050338,0.1673472,41.16825,356.5158,344.7332,
24.081,-0.001967848,0.0004738357,0.00100617,-0.00188986,-0.01434357,-0.007708957,-0.03561281,-0.4732846,-0.5786089,282.8898,221.9855,142.5178,-0.0003076211,0.0009408051,5.344402E-05,-5.237176E-06,-0.01802661,0.02390268,0.3539361,-0.5865797,0.7329857,32.36803,345.9973,330.1943,0.006076165,0.005684425,0.00171256,0.01957945,-0.0658833,0.02958068,-0.1338186,-0.6049396,0.1671557,41.14321,356.5014,344.6883,
39.544,-0.002318784,0.0001660991,0.001035234,-0.0007421481,-0.01351475,-0.002464121,-0.0356535,-0.4732997,-0.5785902,282.8961,222.0246,142.4849,-6.045985E-05,0.0008716731,0.0001463366,0.007509992,-0.01317097,0.009557297,0.3539425,-0.5865761,0.7329839,32.35906,345.9907,330.1802,0.002880535,0.001602514,0.001910633,0.003303365,-0.02622413,0.01093708,-0.1337373,-0.6048871,0.1670512,41.14698,356.508,344.6966,
53.193,-0.002558307,0.0001331627,0.001493926,-0.009154345,-0.01091378,0.004148016,-0.03570163,-0.4733028,-0.578566,282.8792,222.1216,142.4002,-0.0002289301,-0.0004975311,-0.0001973205,-0.009027531,0.006422237,0.004888966,0.3539454,-0.5865746,0.7329835,32.35834,345.9866,330.1721,0.002475814,0.003865885,0.003077232,0.02346307,-0.03233825,-0.00442837,-0.133664,-0.6047865,0.1669625,41.12523,356.5169,344.683,
67.234,-0.002782708,0.0003913111,0.001679105,-0.01725701,-0.01492509,0.001550026,-0.03575179,-0.4732916,-0.5785471,282.8603,222.2829,142.2259,0.0002367015,-0.0002258696,5.755272E-05,0.004399721,0.006099549,-0.01373048,0.3539435,-0.5865756,0.7329842,32.36029,345.9939,330.1811,0.002339276,0.00669514,0.003964174,0.0259838,-0.05353073,0.01446849,-0.1336461,-0.604722,0.1670412,41.08722,356.506,344.6284,
81.314,-0.003342977,0.0007078605,0.001114123,-0.01403019,-0.01765137,-0.00392421,-0.03581676,-0.4732706,-0.5785519,282.8699,222.3,142.1806,0.0005268691,-0.0009183137,4.548591E-05,0.008324173,0.02173284,-0.03685683,0.3539358,-0.58658,0.732986,32.37344,346.0161,330.2198,0.002557725,0.007093291,0.004195656,0.01411307,-0.05817961,0.03414907,-0.1336003,-0.6045903,0.1670875,41.06181,356.4746,344.5572,
95.336,-0.003576916,0.0003171608,-0.000230065,-0.001646804,-0.0198406,0.002388857,-0.0358716,-0.4732781,-0.5785993,282.9138,222.3243,142.185,0.0004417271,-0.003146759,-0.0004360084,-0.02038209,0.05064155,-0.04624484,0.3539219,-0.5865882,0.7329907,32.41963,346.0447,330.2774,0.005793893,0.01209249,0.005834022,0.05254847,-0.100094,0.02948034,-0.1334262,-0.6042108,0.1670127,40.95647,356.435,344.4104,
107.463,-0.003458649,0.0001079982,-0.001048967,0.01594059,-0.01534849,0.01320842,-0.03591721,-0.473285,-0.5786414,282.9567,222.2977,142.2553,0.0002859005,-0.003461157,-0.000568415,-0.01865368,0.06045906,-0.05103659,0.3539058,-0.5865974,0.7329949,32.45095,346.0742,330.3399,0.007090637,0.01308641,0.005978267,0.0637099,-0.10348,0.022626,-0.1334276,-0.6043267,0.1671141,40.89006,356.4137,344.3262,
122.91,-0.0030056,0.0001575223,-0.001486602,0.02065202,-0.007171476,0.02538237,-0.03595053,-0.4732886,-0.5786795,282.9575,222.2635,142.335,0.0008670308,-0.002230574,-7.33427E-05,0.008517304,0.04824189,-0.06870406,0.3538823,-0.5866109,0.7330007,32.46719,346.1278,330.4288,0.006222525,0.01189595,0.00298855,0.04934067,-0.1085227,0.05431181,-0.1332137,-0.6037844,0.1670971,40.8587,356.329,344.1782,
137.175,-0.001908078,0.0004757206,-0.0015395,0.01573747,0.003767132,0.03859195,-0.03594725,-0.473279,-0.5787045,282.9424,222.294,142.3614,0.0004234491,-0.003312569,-0.0004844957,-0.01914254,0.05566558,-0.05042035,0.353863,-0.5866222,0.7330068,32.51051,346.1453,330.4681,0.008348361,0.01565053,0.003664753,0.07023179,-0.1435456,0.05526192,-0.1330575,-0.6038305,0.1674048,40.73096,356.2577,343.959,
150.078,-0.0007632965,0.0004640237,-0.001765365,0.00756252,0.01203016,0.04192151,-0.03591691,-0.4732784,-0.5787334,282.9202,222.2752,142.4171,0.0004103109,-0.001468292,-0.0001190442,0.00149886,0.03019984,-0.03757309,0.3538479,-0.5866311,0.7330115,32.51035,346.1626,330.4963,0.004985716,0.008848558,0.004428877,0.03123769,-0.07558701,0.05076494,-0.1331261,-0.6036764,0.1677486,40.81766,356.2334,344.0142,
165.088,0.0003454708,-0.0001669775,-0.002573472,-0.00448995,0.01830378,0.03756851,-0.0358707,-0.4733109,-0.5787907,282.8823,222.3362,142.3701,0.0003803881,-0.001058573,-4.968799E-05,-5.287572E-05,0.02014516,-0.02751451,0.3538385,-0.5866364,0.7330139,32.52142,346.174,330.5164,0.003517794,0.0143797,0.00344007,0.05205744,-0.1270301,0.08395624,-0.133047,-0.6035376,0.1675977,40.69868,356.0884,343.7329,
178.417,0.001266313,-0.0006561955,-0.003866011,-0.009947819,0.02355989,0.03798263,-0.03581892,-0.4733452,-0.5788875,282.8614,222.3503,142.3984,0.000249569,-0.0001109668,8.514002E-05,0.000566199,0.0006125499,-0.007621594,0.3538329,-0.5866398,0.7330158,32.52673,346.1798,330.5249,0.002451726,0.008119537,0.005119422,0.04097872,-0.06622969,0.04624768,-0.1331369,-0.6036472,0.167713,40.71347,356.1213,343.8069,
192.4,0.002171224,-0.000897435,-0.005050397,-0.006898903,0.02701597,0.0372012,-0.03575674,-0.4733706,-0.5790032,282.8522,222.247,142.5415,-5.100961E-05,0.0004071704,6.022281E-05,0.006747805,-0.003513974,0.001404332,0.353833,-0.5866396,0.7330152,32.52394,346.1798,330.5249,-0.0003981241,-0.002284874,0.002102862,-0.002039057,0.019056,-0.0005905072,-0.1331661,-0.603663,0.1677314,40.74695,356.1419,343.8607,
204.614,0.003022714,-0.0004075425,-0.005880577,0.006037558,0.03275915,0.03686968,-0.03568445,-0.473365,-0.5791191,282.8647,222.0905,142.7323,-0.0003255977,0.0005751178,-2.43151E-05,0.008246131,-0.003599246,0.008357465,0.353835,-0.586638,0.733013,32.51536,346.1749,330.5192,-0.00221238,-0.007203522,0.001185003,-0.01900789,0.04046077,-0.01110052,-0.1332521,-0.6037455,0.1677631,40.78013,356.1553,343.914,
220.008,0.00392863,0.0003770773,-0.005910777,0.02487515,0.03689897,0.03347281,-0.03559346,-0.4733371,-0.5792012,282.906,221.8398,143.0193,-0.0003736343,0.0006804774,-2.394468E-05,0.008638548,-0.005212309,0.01087631,0.3538379,-0.5866358,0.7330093,32.50483,346.1683,330.5111,-0.0004384305,-0.00171521,0.001708133,-0.0005018699,0.01593566,-0.009388543,-0.1333019,-0.6037432,0.1677635,40.77708,356.1569,343.9218,
234.214,0.005168886,0.001037307,-0.005591081,0.0355946,0.0468978,0.03315231,-0.0354722,-0.4733039,-0.579266,282.8981,221.6122,143.3013,-0.0001531871,0.0004270971,1.995216E-05,0.005644753,-0.003852642,0.004988173,0.3538409,-0.5866336,0.7330074,32.49698,346.1644,330.5031,0.001684414,0.00360396,0.002201259,0.01616236,-0.02028039,0.006318871,-0.1333174,-0.6036996,0.1677772,40.76339,356.1561,343.9155,
246.359,0.006492688,0.001252483,-0.005341121,0.03584073,0.05016796,0.02952576,-0.03533655,-0.4732826,-0.579336,282.8917,221.4477,143.4891,-0.0001056254,5.39244E-05,-3.468288E-05,-0.002345018,-0.00200812,0.005646832,0.3538433,-0.5866323,0.7330065,32.49358,346.1602,330.4958,0.003321145,0.00704128,0.002538669,0.02768254,-0.06975806,0.03503926,-0.1332341,-0.6035637,0.1677893,40.70734,356.1111,343.8043,
261.509,0.007583855,0.0006020686,-0.005602302,0.0250034,0.05551836,0.02527352,-0.03519711,-0.4733016,-0.579432,282.8502,221.3201,143.6405,-3.117727E-05,-0.0001338163,-4.037125E-05,0.0001789046,0.003415327,-0.0021244,0.3538437,-0.5866322,0.7330068,32.49479,346.1603,330.4946,0.00472166,0.005982589,0.00284011,0.02095255,-0.08106721,0.036911,-0.1331842,-0.6036064,0.1678446,40.67146,356.0767,343.7055,
276.091,0.008137081,-0.0002640553,-0.005843522,0.006200843,0.05323353,0.004748913,-0.0350689,-0.4733456,-0.5795224,282.8011,221.2033,143.7174,-9.76327E-05,-0.000600779,-0.0001630865,-0.005087225,0.01047685,-0.003966826,0.3538427,-0.5866331,0.7330093,32.50203,346.162,330.4972,0.003371918,0.003188891,0.003339723,0.01227934,-0.07283444,0.04678296,-0.133164,-0.6036723,0.1679025,40.65446,356.033,343.6241,
288.578,0.008438317,-0.000452176,-0.005291692,-0.002352924,0.04500556,-0.01935352,-0.03494811,-0.4733791,-0.5795632,282.7889,221.0165,143.8327,0.000213127,-0.001255512,-0.0001614265,-0.01075743,0.01795734,-0.01634142,0.3538386,-0.5866361,0.7330127,32.51818,346.1694,330.5111,0.002249392,0.001448941,0.003668025,0.0006412563,-0.05796563,0.05172843,-0.1331442,-0.6036825,0.167967,40.65495,355.9858,343.5503,
304.342,0.008349672,-0.0002585979,-0.004342733,-0.006232918,0.03885404,-0.03245324,-0.03484185,-0.4733964,-0.5795771,282.7693,220.9199,143.9074,9.193434E-06,-0.0009479103,-0.0001875332,-0.005367425,0.01705758,-0.01234829,0.3538331,-0.5866398,0.733016,32.53064,346.1763,330.5255,0.001450238,0.0008027002,0.002935116,-0.001247942,-0.03811726,0.03720662,-0.1331446,-0.6036458,0.1679924,40.65136,355.9775,343.5333,
