time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.417,0.0002443389,0.0004734673,0.006580722,0.002081134,-0.01310265,-0.02486825,-0.02113512,-0.4693647,-0.5581203,287.561,216.9575,144.0081,-0.0004783936,-0.0005131145,-0.0002198726,0.01430582,0.01761937,-0.005407586,0.414683,0.4304602,0.1340728,34.17401,338.2993,284.6848,0.003941607,-0.001237463,-0.002673549,-0.07853447,0.06820346,-0.08063347,-0.1800245,-0.6156211,0.1977773,41.50241,356.8255,339.9704,
10.362,0.0001739927,0.0006074538,0.007432767,-8.006231E-05,-0.008223094,-0.01245609,-0.02114168,-0.4693575,-0.5579908,287.5454,216.9605,144.0237,-0.0002899538,-0.0004437646,-0.0001620231,0.005052249,0.01090543,0.0009943435,0.4146783,0.4304605,0.1340747,34.18051,338.2991,284.6926,0.0024372,0.0007949565,-0.0006156103,-0.01365555,0.03938016,-0.05791032,-0.1799921,-0.615744,0.1977752,41.47266,356.8486,340.0172,
24.177,0.000431923,0.0004112374,0.007360468,-0.005919716,0.002645671,0.005838262,-0.02114132,-0.4693298,-0.5578954,287.5259,216.994,144.0364,-0.0002782915,-0.0003179121,-0.0001321891,-0.003720139,0.001970692,0.01228124,0.4146783,0.4304598,0.1340762,34.18361,338.2953,284.6879,-0.0002660386,0.001006169,0.000791255,0.03552178,-0.06633108,0.01245057,-0.1800036,-0.6156168,0.1978601,41.42264,356.8117,339.9295,
38.694,0.0005794963,0.0001045055,0.006884259,-0.01219925,0.008446575,0.01472576,-0.02114293,-0.4693044,-0.5578208,287.4926,217.0397,144.0332,0.0002032943,-0.0002965139,-1.778968E-05,-0.006296614,0.003355203,0.001096049,0.4146817,0.4304584,0.1340772,34.18243,338.2895,284.6768,0.0004181305,0.004208501,0.0025519,0.12324,-0.2275099,0.01585473,-0.1798367,-0.6152828,0.1981238,41.007,356.773,339.4839,
52.789,0.0001557047,-0.0002304892,0.006264467,-0.02032834,0.008163828,0.01745399,-0.02115232,-0.4693047,-0.5577538,287.4756,217.1218,143.9605,-0.0007091658,-0.0009992016,-0.0003780766,-0.002843538,0.01385087,0.02222742,0.4146826,0.4304563,0.1340809,34.19408,338.2799,284.665,-0.004399194,0.00497535,0.005172104,0.2136485,-0.4435476,0.1554721,-0.1796123,-0.6145696,0.1985648,40.36651,356.2903,338.3646,
67.259,-0.0009532982,-0.000832426,0.005578489,-0.03212406,-0.005721786,0.007374659,-0.02118215,-0.4693447,-0.5576932,287.4372,217.2604,143.7792,-0.0008319702,-0.0005068255,-0.0002995569,-0.004246503,0.001370355,0.02914312,0.4146843,0.4304545,0.1340837,34.19844,338.2741,284.6532,-0.01042907,0.005407132,0.007967571,0.2937335,-0.6364369,0.3230809,-0.1796974,-0.6136286,0.1990463,39.72606,355.6024,337.0851,
80.896,-0.001988814,-0.001203791,0.005084484,-0.03609737,-0.02157798,0.002022374,-0.02122748,-0.4693823,-0.5576339,287.4278,217.4154,143.6066,0.001270277,0.0003218174,0.0003590422,-0.03178746,-0.02003049,0.003353534,0.414695,0.4304514,0.1340845,34.19088,338.2809,284.623,-0.005223366,0.0067437,0.006547074,0.2547661,-0.4830523,0.1789404,-0.1800085,-0.612417,0.1995559,39.54699,355.7623,337.1615,
94.336,-0.003166932,-0.001011513,0.004706231,-0.02850233,-0.02613562,-0.000391399,-0.02130935,-0.4693839,-0.5576042,287.4361,217.4549,143.5561,0.001243716,0.0002129474,0.0003292362,-0.03087495,-0.01723516,0.00267534,0.4147065,0.4304486,0.1340843,34.18418,338.2762,284.5921,0.006910227,-0.002285685,-0.004807895,-0.1786512,0.3569823,-0.1864249,-0.1799796,-0.6124399,0.1995564,41.11947,356.8554,339.6688,
107.253,-0.003538579,-0.0006347792,0.004229623,-0.01680321,-0.02884955,-0.003248967,-0.02136795,-0.4693746,-0.5575812,287.4628,217.4627,143.5294,-0.001105506,-6.723592E-05,-0.0002664305,-0.00603248,-0.01143267,0.04096996,0.4147163,0.4304458,0.1340847,34.17865,338.2523,284.554,0.01984803,0.001315773,-0.009060398,-0.3362142,0.7502521,-0.5061889,-0.1796013,-0.6135814,0.199127,41.91232,358.261,342.0462,
122.572,-0.003233208,-0.000387026,0.003064829,-0.01153525,-0.01798251,0.01079221,-0.02140838,-0.4693615,-0.557586,287.4541,217.55,143.5004,0.0004655948,0.0003783217,0.0001878281,-0.01255539,-0.01353927,0.003120181,0.4147218,0.4304445,0.1340844,34.17508,338.2641,284.5533,0.01639125,0.0007143616,-0.007802159,-0.3277911,0.7764217,-0.4387416,-0.1790339,-0.6148384,0.1986249,42.2702,358.5502,342.8865,
136.653,-0.002751146,-0.0007173163,0.001204362,-0.01135718,-0.007806302,0.01620568,-0.02144136,-0.4693674,-0.5576385,287.4387,217.5454,143.522,0.0008199442,0.0004838319,0.0002911546,-0.01356704,-0.01378269,-0.005995676,0.4147272,0.430444,0.1340831,34.16858,338.2662,284.5421,0.01371375,0.003501236,-0.004553548,-0.2061704,0.6160985,-0.3821336,-0.1785248,-0.6158723,0.1982496,42.18777,358.735,343.2099,
148.701,-0.003164987,-0.001214908,-0.0003281475,-0.005729974,-0.01417125,0.004038686,-0.02151425,-0.4693835,-0.5577049,287.4556,217.5777,143.4529,0.0008102604,0.0006890409,0.0003331482,-0.02440114,-0.02603208,0.008800538,0.4147388,0.4304416,0.1340816,34.15354,338.2583,284.5034,0.0125106,0.004875428,-0.003061742,-0.1349252,0.4744022,-0.3450982,-0.1781383,-0.6164044,0.1980031,42.12623,358.9655,343.476,
163.393,-0.004303883,-0.001775446,-0.001824691,-0.009684892,-0.02865501,-0.005773735,-0.02163033,-0.4694088,-0.5577946,287.4684,217.7286,143.2448,0.0005617402,0.0005779325,0.0002524589,-0.02701595,-0.02744624,0.01937527,0.4147523,0.4304393,0.1340795,34.13848,338.2503,284.4632,0.009586063,0.004227778,-0.002020482,-0.07496682,0.2872853,-0.2558767,-0.1777312,-0.6168955,0.1977593,42.02791,358.9807,343.3345,
177.728,-0.005115806,-0.001784787,-0.00281411,-0.01233497,-0.03709191,-0.006852049,-0.02174672,-0.4694164,-0.5578803,287.4668,217.8455,143.1195,0.0003361733,0.001076018,0.0003083469,-0.02486028,-0.0382368,0.02482679,0.4147678,0.4304371,0.1340766,34.11464,338.2415,284.418,0.005333322,0.001895378,-0.00139734,-0.04867095,0.1542584,-0.1399465,-0.1776046,-0.6171464,0.1975802,41.95193,358.6708,342.8372,
191.39,-0.004802732,-0.001351685,-0.003754628,-0.009439065,-0.02747384,0.005814861,-0.02179986,-0.4694127,-0.5579802,287.4678,217.8731,143.1326,0.0007406053,0.001208833,0.0004282634,-0.02480734,-0.03788832,0.01290093,0.4147829,0.4304357,0.1340719,34.09329,338.2437,284.389,0.001741615,0.001900143,0.0003877924,0.02635481,-0.01242806,-0.04081877,-0.1775386,-0.6171533,0.1974611,41.84168,358.4958,342.5258,
206.014,-0.00330909,-0.0007642063,-0.004509826,0.009910917,-0.008228595,0.03261505,-0.02178887,-0.4693954,-0.558084,287.5154,217.8388,143.2799,0.000619732,0.001482278,0.0004589547,-0.02622082,-0.04564272,0.0191665,0.4147977,0.4304346,0.1340664,34.06521,338.24,284.3491,-0.001377221,0.0008396765,0.001222849,0.05600112,-0.1077628,0.04257215,-0.1774392,-0.6169938,0.1975069,41.73761,358.4103,342.3293,
220.167,-0.0002775796,-0.0002710088,-0.005212134,0.03177737,0.02495089,0.07086945,-0.0216877,-0.4693784,-0.558198,287.557,217.7108,143.5821,0.0007040253,0.002276439,0.0006467974,-0.02631191,-0.06193478,0.01898783,0.4148147,0.4304346,0.1340572,34.01983,338.2405,284.3067,-0.001948047,0.0008810714,0.001523979,0.07059054,-0.1466806,0.06115808,-0.1770441,-0.6167756,0.1976174,41.62499,358.3104,342.0899,
233.941,0.004767402,-0.0003941422,-0.006359497,0.0280473,0.07363711,0.1121892,-0.02145471,-0.4693906,-0.5583512,287.4832,217.5638,143.9426,0.0009314085,0.00224671,0.000690194,-0.025749,-0.05910857,0.01132235,0.4148336,0.4304353,0.1340461,33.98091,338.2449,284.2751,-0.002047054,7.816474E-05,0.001048944,0.0507466,-0.1328072,0.0646043,-0.1764578,-0.6165377,0.1978379,41.60291,358.259,341.9854,
246.119,0.008800035,-0.0006953627,-0.006922952,0.01109821,0.1079482,0.1220563,-0.02119468,-0.4694139,-0.5584893,287.3926,217.4512,144.201,0.0005970476,0.001843103,0.000527585,-0.02259492,-0.05082518,0.01629282,0.4148483,0.4304354,0.1340381,33.95631,338.2433,284.2465,-0.001239592,-0.0009161118,7.004332E-06,0.003955919,-0.0537099,0.03890598,-0.1757622,-0.616408,0.1979852,41.65368,358.2816,342.052,
261.572,0.01271993,-0.001001947,-0.005953649,-0.02240516,0.1209356,0.09508447,-0.02087276,-0.4694485,-0.5585673,287.2643,217.314,144.3467,0.0001973482,0.00106635,0.0002714587,-0.01165399,-0.02953689,0.0121007,0.4148625,0.4304356,0.1340306,33.94051,338.2458,284.2308,0.0008208894,-0.001081873,-0.001110664,-0.04091416,0.03955175,-0.01739277,-0.1751411,-0.6165091,0.1979169,41.69865,358.317,342.1151,
275.792,0.01490092,-0.000747135,-0.003453279,-0.05287641,0.1083725,0.05709105,-0.02058634,-0.4694576,-0.5585519,287.1539,217.2969,144.3266,0.000292114,0.0004336599,0.000158132,-0.0121384,-0.01567725,0.008087444,0.41487,0.4304352,0.1340273,33.93169,338.2464,284.2177,0.001573243,-0.0007073272,-0.001237198,-0.0486151,0.0770482,-0.04073945,-0.1747003,-0.6167838,0.1977555,41.77855,358.3921,342.2539,
287.95,0.01711576,0.0002493471,0.00112582,-0.07752548,0.09503898,0.009795696,-0.02027509,-0.4694031,-0.5583905,287.0421,217.1273,144.427,0.0001324671,-2.708357E-05,2.412122E-05,-0.009442106,-0.005174357,0.008162866,0.4148745,0.4304346,0.1340265,33.92868,338.2466,284.2085,0.00130621,0.0001139512,-0.0005673423,-0.02726876,0.07530177,-0.03973728,-0.1744518,-0.6169156,0.1976457,41.79506,358.4219,342.3237,
303.559,0.01852545,0.001365489,0.006081262,-0.082709,0.07903806,-0.05060261,-0.01997414,-0.4693197,-0.5581391,286.9517,216.8636,144.5222,-5.579148E-05,-0.0003454837,-8.605097E-05,-0.002987492,0.004773985,0.00462113,0.4148766,0.4304337,0.1340274,33.92939,338.2452,284.2034,0.0001143817,-0.0003882807,-0.0003110646,-0.02661624,0.07922332,-0.01513815,-0.1743353,-0.6171191,0.197573,41.8298,358.4246,342.3829,
317.744,0.01854665,0.002120133,0.01096229,-0.07972066,0.05415308,-0.1198418,-0.01981965,-0.4692042,-0.5576733,286.8903,216.5711,144.5851,9.886306E-05,-0.0003233225,-4.648196E-05,-0.005520551,0.003686533,0.003266528,0.4148777,0.4304327,0.1340288,33.9326,338.2446,284.1987,-0.002127386,-0.001582516,4.056201E-06,-0.02437232,0.05567763,0.03829211,-0.1744148,-0.6173728,0.1975629,41.87401,358.3743,342.3791,
329.711,0.01736327,0.001635541,0.01155881,-0.08646081,0.04098274,-0.1272603,-0.01961729,-0.469285,-0.5577145,286.7872,216.5968,144.5228,-0.0001267601,-0.0002936382,-9.106643E-05,-0.006100914,0.0008805029,0.01097169,0.4148796,0.4304315,0.1340297,33.9353,338.2421,284.1906,-0.004379836,-0.002502595,0.0004937005,-0.01037536,0.004212378,0.09567424,-0.1747023,-0.6175313,0.1975909,41.89402,358.2446,342.2732,
345.384,0.0160959,0.001234623,0.009514723,-0.0747966,0.03849073,-0.09359114,-0.0193125,-0.4692164,-0.5575598,286.7641,216.5953,144.5528,0.0002947132,-0.0003177754,-1.144384E-06,-0.02057224,-0.005709562,0.01687517,0.4148863,0.4304292,0.1340308,33.932,338.2316,284.1637,-0.004710909,-0.002276412,0.0007884774,0.01785811,-0.09493648,0.1196514,-0.1749612,-0.617626,0.197687,41.84679,358.0434,341.9768,
359.121,0.01468401,0.001387768,0.006609154,-0.05438168,0.04471122,-0.07222815,-0.01916784,-0.469185,-0.5575814,286.7455,216.3525,144.7858,0.0003596452,5.528261E-05,9.285903E-05,-0.02834778,-0.01870978,0.02602603,0.4148967,0.4304257,0.1340325,33.92695,338.2221,284.1234,-0.003576116,-0.0004026587,0.001457113,0.06610173,-0.1942265,0.1080623,-0.1749172,-0.6174949,0.1979033,41.65461,357.8633,341.5287,
372.851,0.01303682,0.001162068,0.004344164,-0.04089352,0.05080074,-0.062967,-0.01905409,-0.4691684,-0.5576126,286.7018,216.179,144.9451,0.0006296817,0.0002278772,0.0001903843,-0.04039198,-0.02888834,0.0339302,0.414911,0.4304215,0.1340332,33.9164,338.2121,284.0674,-0.001803494,0.001612899,0.001912426,0.09983511,-0.2380042,0.07337266,-0.1745506,-0.6172346,0.1982076,41.43847,357.8276,341.2401,
385.213,0.01020434,0.0004249406,0.003602124,-0.04047273,0.05044862,-0.06155152,-0.01901498,-0.469181,-0.557601,286.6364,216.0491,145.0269,0.0006714262,0.0007119203,0.0003024281,-0.04735317,-0.04378448,0.04303946,0.4149325,0.4304163,0.1340323,33.89196,338.1972,283.9896,0.0009230257,0.003980121,0.00213498,0.1159544,-0.1958663,0.0005453294,-0.1739528,-0.616856,0.1985541,41.33911,357.9727,341.3539,
400.992,0.005497529,0.0003646009,0.004461148,-0.04017538,0.03236134,-0.05197733,-0.01910439,-0.4691718,-0.557532,286.6255,216.169,144.8853,0.0011391,0.002172653,0.0007156174,-0.05774585,-0.0784504,0.04635136,0.4149602,0.4304117,0.1340267,33.82905,338.1867,283.8855,0.005429594,0.007518876,0.002222422,0.1210926,-0.06672997,-0.1304217,-0.1731452,-0.6164387,0.1989917,41.27482,358.2493,341.7209,
414.709,0.00165045,0.002430828,0.006376908,-0.03158944,0.01467746,0.008445507,-0.019217,-0.4690592,-0.5573934,286.6462,216.5277,144.6855,0.001785506,0.004522834,0.001345467,-0.08226016,-0.1401449,0.06535414,0.4150067,0.4304078,0.13401,33.66466,338.1653,283.6699,0.0146467,0.01785469,0.003943877,0.182007,0.1916992,-0.416801,-0.1719768,-0.6159275,0.1994812,40.86242,359.4501,343.3757,
427.101,0.0006262356,0.002894551,0.007120913,-0.04672984,0.01716418,0.09738296,-0.01924884,-0.4690005,-0.5572698,286.5661,217.0153,144.4722,0.002108912,0.005346249,0.001578748,-0.07648625,-0.1507142,0.05050066,0.4150516,0.4304062,0.1339888,33.55371,338.1769,283.5833,0.02775469,0.03484369,0.006797629,0.2952327,0.4660575,-0.8272626,-0.17056,-0.6150498,0.1999646,40.28498,1.092021,345.7175,
442.818,0.002548525,0.002939737,0.00670262,-0.0654119,0.04406806,0.1327194,-0.01915622,-0.4689586,-0.5571926,286.4526,217.0495,144.5759,0.001987657,0.003936742,0.001257201,-0.08074278,-0.1248271,0.05604307,0.4150987,0.4304027,0.1339703,33.52439,338.1698,283.4941,0.03793988,0.05156727,0.009526396,0.3832456,0.7258084,-1.193721,-0.1683595,-0.6139162,0.2006386,39.5543,2.874326,348.3705,
456.983,0.006461232,0.003080077,0.005893025,-0.0470532,0.07992803,0.1146283,-0.01893465,-0.4689197,-0.5571455,286.4344,216.5941,145.0963,0.001889093,0.004430481,0.00132885,-0.08261529,-0.1370313,0.06313539,0.415153,0.4303981,0.1339495,33.41798,338.1552,283.351,0.04547273,0.06206001,0.008963524,0.3116105,1.002423,-1.492585,-0.1648608,-0.6121078,0.2016113,39.05637,4.759318,351.3101,
468.95,0.0081209,0.003100174,0.007453005,-0.04031872,0.0877016,0.0571722,-0.01876065,-0.4688873,-0.5570005,286.3619,216.3146,145.2888,0.001990187,0.004430032,0.001342904,-0.1050662,-0.1514574,0.09007224,0.4152088,0.4303919,0.1339311,33.29882,338.1158,283.118,0.04323351,0.05540583,0.005340211,0.07613472,1.138606,-1.455566,-0.1620992,-0.6109363,0.2021424,39.2014,5.963065,353.4209,
483.987,0.006687853,0.004382777,0.01201184,-0.08352076,0.05524652,0.0001353044,-0.01871301,-0.4687982,-0.5566934,286.188,216.6881,144.7824,0.002640781,0.004372802,0.001466397,-0.1379977,-0.167396,0.1141346,0.4152764,0.4303817,0.1339133,33.16646,338.0789,282.8135,0.0445638,0.06427224,0.007178708,0.06131092,1.304833,-1.609885,-0.1599758,-0.6100202,0.2024118,38.69157,7.458707,356.0247,
498.351,0.006026275,0.007215641,0.01688426,-0.1158419,0.007365618,-0.01724359,-0.01865748,-0.4686121,-0.55631,286.1173,217.1382,144.2749,0.002627988,0.00418339,0.001417561,-0.1646245,-0.1807315,0.1499882,0.4153585,0.4303662,0.1338975,33.02723,337.9923,282.4165,0.04893534,0.09394582,0.01469897,0.2158937,1.661521,-2.062262,-0.1579386,-0.6083056,0.2028811,37.18941,9.534206,359.8359,
511.897,0.008960712,0.01151564,0.02034046,-0.1341176,0.01214858,0.001653509,-0.01816106,-0.4681145,-0.5558015,285.9703,217.2562,144.2437,0.002896177,0.003373823,0.001311227,-0.184836,-0.1747746,0.1669667,0.4154494,0.4303457,0.1338857,32.94614,337.9304,282.0769,0.04829526,0.1268676,0.02214986,0.4378571,1.942838,-2.497859,-0.1559126,-0.6053309,0.2036749,35.05909,11.44295,3.600132,
525.032,0.01326065,0.01798436,0.02412914,-0.1322053,0.05359639,-0.02075202,-0.01784092,-0.467457,-0.5551906,285.8168,216.7603,144.6804,0.002619079,0.0008887948,0.0007551403,-0.1819407,-0.1233778,0.1653117,0.4155369,0.4303217,0.133882,33.00259,337.895,281.9317,0.04339968,0.1520403,0.02481133,0.7130092,1.960766,-2.76123,-0.1532397,-0.6008257,0.2050199,32.59243,12.94541,6.47247,
