time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.86,0.003533152,-0.0004039081,-0.000201,0.01341604,0.02005016,-0.008729113,-0.01371492,-0.47224,-0.5765451,277.0944,217.9833,143.39,-0.000182484,-3.095472E-06,-7.84585E-05,-0.0002688371,0.001579304,0.003961538,0.3546244,-0.5861909,0.732748,31.01811,345.4757,328.3165,-0.003261434,-0.001319394,0.000929933,0.04294441,-0.124185,0.09240517,-0.1344196,-0.6043547,0.1600645,40.37877,0.9582785,340.2278,
10.818,0.003336647,-0.0004060996,0.0001028399,0.006756216,0.01564073,-0.0126693,-0.01367642,-0.4722354,-0.5765418,277.0899,217.9565,143.4111,-0.0002868468,9.741799E-05,-0.0001062833,0.004430323,0.003583529,0.002673989,0.354625,-0.5861904,0.7327464,31.01515,345.4733,328.3152,-0.001575307,-0.000328592,0.000653151,0.0236923,-0.0438973,0.03936451,-0.1344045,-0.6043908,0.1600595,40.3994,0.9935824,340.3147,
23.495,0.003028089,-0.0001364587,0.0002484698,0.003254498,0.01333491,-0.006423828,-0.01364134,-0.4722224,-0.5765319,277.0899,217.9246,143.4532,-0.0002290979,0.0001814242,-6.761723E-05,0.005794447,0.002190977,0.001579332,0.3546251,-0.5861902,0.7327455,31.01303,345.4726,328.3151,0.001073955,0.001354372,0.0002973298,0.01278011,0.01183949,-0.03140617,-0.134404,-0.6043926,0.1600559,40.39224,1.025918,340.3558,
38.337,0.002890601,-0.0002830257,-0.0006231664,0.001453614,0.01582127,0.007458848,-0.01360241,-0.4722273,-0.5765695,277.0792,217.8822,143.5304,3.48681E-05,0.000141868,3.854275E-05,0.003427914,-0.001015122,-0.0018594,0.3546252,-0.58619,0.7327457,31.0118,345.474,328.3154,0.001954515,-0.0005936278,-0.001482965,-0.08793563,0.1996858,-0.06743179,-0.1344175,-0.6043594,0.1600649,40.61282,1.223934,340.8784,
52.399,0.00315493,-0.000945764,-0.001857193,0.00654654,0.02187612,0.02649681,-0.01354422,-0.4722525,-0.5766455,277.0804,217.6992,143.7991,1.009912E-05,-0.0003177274,-4.865754E-05,-0.005758873,0.002741802,0.0001744757,0.3546248,-0.5861903,0.7327455,31.01313,345.4746,328.3161,0.003185215,0.001640283,-0.0006946712,-0.03741681,0.1271963,-0.09303722,-0.1344418,-0.6042988,0.1600906,40.53968,1.309557,340.9155,
64.573,0.003352983,-0.001526807,-0.002776249,0.01064855,0.02486557,0.03531498,-0.01348437,-0.4722772,-0.5767295,277.0785,217.5786,143.967,0.0001954116,-0.0004176456,1.380117E-05,-0.006166029,0.002855121,-0.005084057,0.3546241,-0.5861909,0.7327469,31.01684,345.477,328.3184,0.001742318,0.0004460688,-0.0006757937,-0.02879352,0.06384919,-0.04678709,-0.1344543,-0.6042689,0.1600967,40.53098,1.273868,340.8351,
80.156,0.003652527,-0.001442056,-0.003103748,0.009868292,0.02648351,0.03835265,-0.01341838,-0.4722809,-0.5767933,277.0777,217.5036,144.0656,0.0003414127,-0.0005477329,5.436928E-05,-0.00559459,0.004630094,-0.01125165,0.3546233,-0.5861918,0.732749,31.02259,345.4826,328.3213,0.001989691,0.001268198,-0.0002746116,-0.01064086,0.04974135,-0.05449246,-0.1344645,-0.6042446,0.1601005,40.53399,1.323939,340.9085,
94.512,0.003789345,-0.001113973,-0.003087865,0.004987577,0.02665844,0.02355157,-0.01336689,-0.4722883,-0.5768135,277.0529,217.3228,144.2228,-0.0003630221,-4.042575E-05,-0.0001617649,0.0007214966,0.004707238,0.005774486,0.354623,-0.5861921,0.732751,31.02527,345.4822,328.3199,-5.320768E-05,-0.0003680609,-0.0002122564,-0.009904638,0.01018973,0.001676918,-0.1344687,-0.6042347,0.1601026,40.5415,1.309839,340.8896,
106.899,0.004267202,-0.001273234,-0.00316091,-0.002081304,0.02656271,0.007930387,-0.01329562,-0.4723134,-0.5768384,277.028,217.1781,144.3537,0.0003462566,-0.0006849568,3.334779E-05,-0.005013329,0.007878371,-0.01469534,0.3546223,-0.5861931,0.7327538,31.03375,345.4887,328.3233,0.0004005881,0.001912339,0.001031259,0.05040542,-0.05538177,-0.01047678,-0.1344668,-0.6042406,0.1600945,40.48383,1.310901,340.8477,
122.196,0.004391733,-0.001474631,-0.003063063,-0.006674528,0.03070357,-0.003300526,-0.0132419,-0.4723296,-0.5768831,276.9957,216.956,144.5539,-0.0003814344,-9.423758E-05,-0.0001785845,-0.001622643,0.004434997,0.007780956,0.3546219,-0.5861937,0.7327558,31.0381,345.4896,328.3216,0.0002934628,0.002407377,0.001410435,0.07435983,-0.1031675,-0.002889665,-0.1344611,-0.6042562,0.1600798,40.38376,1.288563,340.7318,
136.505,0.004449391,-0.002167404,-0.00370061,-0.01600807,0.02754637,-0.01155308,-0.0131994,-0.4723633,-0.5769739,276.9579,217.0003,144.4878,0.0003463356,-0.0006849148,3.314721E-05,-0.005016348,0.007883606,-0.01469119,0.3546204,-0.5861952,0.7327593,31.04831,345.4982,328.3273,-0.001405241,-6.840296E-05,0.0007349695,0.03686832,-0.08116107,0.04149369,-0.1344513,-0.6042825,0.1600584,40.38433,1.230763,340.6453,
149.252,0.004141444,-0.00256452,-0.004311105,-0.01243461,0.02492601,-0.009239987,-0.01316692,-0.4724002,-0.5770627,276.9703,216.8967,144.6032,0.0002445053,-0.0006618612,-6.533432E-06,-0.005985195,0.007689645,-0.01105834,0.3546192,-0.5861962,0.7327614,31.05374,345.5018,328.3297,6.301027E-05,0.000833359,0.0005104188,0.03450417,-0.06932317,0.006002617,-0.1344437,-0.6043027,0.1600436,40.35368,1.243857,340.622,
163.703,0.004136169,-0.002182994,-0.004289592,-0.003301363,0.02383058,0.005321604,-0.01311341,-0.4724212,-0.5771152,276.9725,216.7541,144.7897,-0.000133536,-0.0002473972,-9.844056E-05,-8.65702E-05,0.006408276,-0.002014445,0.3546177,-0.5861973,0.7327637,31.05846,345.5049,328.3327,-0.00102097,-0.0005357579,0.0002156425,0.01753228,-0.0646363,0.03464441,-0.1344364,-0.6043216,0.1600315,40.34361,1.206625,340.5453,
177.805,0.004435954,-0.001176594,-0.004122353,0.006911128,0.02932813,0.03159012,-0.01304618,-0.4724074,-0.5771612,276.9696,216.5676,145.075,0.0002791002,-0.0004944149,3.612947E-05,-0.0075452,0.002780479,-0.006705951,0.3546165,-0.5861983,0.7327658,31.0655,345.5096,328.3356,-0.000959715,-2.197514E-05,0.0005178659,0.02149454,-0.03865486,0.02504044,-0.1344295,-0.6043392,0.1600243,40.32394,1.187462,340.5151,
