time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.602,0.0002287119,0.001098337,-0.002835532,0.006047569,-0.01329457,0.0055822,0.1162542,0.02006629,0.2848745,1.361177,2.994965,353.2496,-0.0001321757,-0.000102757,-4.3051E-05,0.002530197,0.003498947,-0.002185544,0.4523641,-0.6386763,0.8899583,24.02909,341.5644,305.1134,-0.002850176,0.000234044,-0.002483057,-0.01848811,0.04665233,-0.007344895,0.07654496,-0.4602577,0.5406258,43.2091,13.00243,329.7648,
11.001,0.0003688954,0.002124159,-0.003173783,0.01123223,-0.01701942,0.01131273,0.1162493,0.02014124,0.2848259,1.328509,3.014708,353.2177,3.199573E-06,0.0001980759,2.268111E-06,0.001168565,-0.003303757,0.001742908,0.4523642,-0.6386762,0.8899582,24.02837,341.5652,305.1134,-0.0007769236,0.003090752,-0.001932929,-0.006813094,0.02235968,-0.009481709,0.07653132,-0.4602212,0.5406051,43.21345,13.02015,329.7922,
24.502,0.000370453,0.003138591,-0.003554105,0.01662621,-0.02162517,0.01052419,0.1162405,0.02023166,0.28477,1.312253,3.037166,353.2206,-3.406521E-05,3.940105E-05,-1.068333E-05,-0.0002275838,-0.0006226014,0.002342388,0.4523647,-0.638676,0.8899575,24.02519,341.5655,305.113,0.001589091,0.008355598,-0.0002911163,0.03645177,-0.06893175,-0.004504642,0.07661109,-0.4600612,0.5405406,43.16355,12.97845,329.6941,
38.962,0.0002684934,0.003862206,-0.004139639,0.02145531,-0.02145308,0.003675352,0.1162449,0.02031636,0.2846879,1.28102,3.043584,353.2316,0.0001941405,0.0006445656,6.623149E-05,0.007792502,-0.01040523,-0.007699788,0.4523646,-0.6386757,0.8899559,24.02111,341.5676,305.1157,0.005330781,0.01287172,-0.0009952927,0.05040268,-0.1141091,-0.008617536,0.07679262,-0.4598666,0.540496,43.06869,12.91283,329.4973,
54.008,9.137776E-05,0.004559118,-0.004707311,0.02259312,-0.0181514,-0.00372708,0.1162442,0.02041039,0.2845975,1.257648,3.059522,353.2459,0.0004615442,0.0006978775,0.0001523223,0.007190728,-0.01307261,-0.01452477,0.4523641,-0.6386758,0.8899562,24.02153,341.5703,305.1182,0.006118435,0.01482277,-0.000427971,0.0625177,-0.1183696,0.0001997066,0.07695553,-0.4597523,0.5406224,43.00169,12.83764,329.3517,
68.053,-0.0003265258,0.00527739,-0.005031622,0.02414316,-0.01634392,-0.003744879,0.1162265,0.02050436,0.2845146,1.23468,3.056648,353.2433,-0.000134912,-0.001246038,-5.129024E-05,-0.005252241,0.02213168,-0.01089974,0.4523622,-0.6386766,0.8899595,24.03748,341.5673,305.1199,0.006615156,0.01362886,-1.381373E-05,0.04425649,-0.09490872,-0.01442246,0.0769518,-0.4597003,0.5405164,42.9678,12.84488,329.3226,
80.025,-0.0007869872,0.005533703,-0.005270885,0.03420148,-0.01676325,-0.001470328,0.1162005,0.02058375,0.2844311,1.174104,3.067052,353.2223,0.0004457443,0.001074632,0.0001498311,0.01027158,-0.01894093,-0.0120174,0.4523605,-0.6386769,0.8899611,24.0338,341.5712,305.1236,0.00973434,0.02000862,0.000913535,0.0403358,-0.07256598,-0.05151948,0.07721901,-0.4589019,0.540243,42.88427,12.88726,329.3225,
95.428,-0.001034194,0.005898247,-0.005410493,0.04573631,-0.02089119,0.002564333,0.1161778,0.02067688,0.2843486,1.11403,3.093481,353.2089,-0.001035064,-0.0007683294,-0.0003372403,-0.002580424,0.01910237,0.02403221,0.452361,-0.6386772,0.8899625,24.04476,341.5595,305.113,0.001109566,0.01412613,-0.003669143,0.02779138,-0.06824959,0.02074737,0.07696342,-0.4592888,0.5404359,42.89292,12.836,329.2327,
109.917,-0.001154816,0.00655908,-0.00523726,0.05767719,-0.0272729,0.00537108,0.1161578,0.02079591,0.2842792,1.034975,3.121383,353.1909,5.919744E-05,-0.0002511992,1.736104E-05,-0.0007447512,0.004094156,-0.005662255,0.4523623,-0.6386772,0.8899623,24.04039,341.5661,305.1152,0.01296194,0.02111759,0.0004722495,0.02542477,-0.1400653,-0.07130048,0.07767188,-0.4583771,0.5400362,42.66869,12.93875,329.0903,
122.625,-0.00119971,0.00703052,-0.004729966,0.06481727,-0.03221686,0.001217579,0.1161414,0.02091554,0.2842283,0.9812003,3.139671,353.1944,0.0006060343,0.001679553,0.0002047659,0.01313359,-0.03009881,-0.0104779,0.4523643,-0.6386765,0.8899598,24.02434,341.5721,305.1156,0.01204965,0.02278821,-0.001336868,0.03296399,-0.12823,-0.07196973,0.07744146,-0.4580622,0.5397052,42.58562,12.96709,329.0363,
