time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.741,-0.005063014,0.0006516323,-0.0004990832,0.001995491,-0.02620381,0.01703253,0.02835722,-0.1347057,-0.07907915,273.5105,144.9499,208.2764,-4.09649E-05,-0.0005146879,7.82903E-07,0.001161516,0.007369919,-0.01082993,0.08481984,0.3298005,0.770776,21.13409,337.9424,318.289,-0.004057242,-0.008839192,-0.003160387,-0.167179,-0.02151366,0.0945612,-0.2082355,-0.2796911,0.6749936,42.81647,358.0499,357.3664,
11.099,-0.004842979,-0.002480389,-0.00440518,0.0153254,-0.0234479,0.01224556,0.028308,-0.1348545,-0.07929069,273.5479,145.5191,207.6774,-0.0001938752,-0.001073927,-5.313148E-05,0.01179427,0.01716451,-0.03124574,0.08474046,0.3299115,0.7706456,21.14726,337.9532,318.3181,-0.003540764,-0.01143888,-0.004858716,-0.2305874,-0.01924879,0.0826839,-0.2087593,-0.2803994,0.6745133,43.1767,357.9045,357.2317,
26.462,-0.004656041,-0.00160063,-0.006479036,0.0542952,-0.02479474,0.02881549,0.0282519,-0.1348548,-0.0794667,273.666,147.2493,206.0103,1.087646E-05,-0.00101958,4.719376E-05,0.011516,0.01359931,-0.03447431,0.08467051,0.3303894,0.7702929,21.16027,337.9684,318.3507,-0.001185223,-0.00111919,-0.0001394048,0.02684195,-0.13991,0.07272161,-0.208832,-0.28055,0.6744171,42.78018,357.9518,357.0882,
40.183,-0.004280427,0.002067723,-0.005880016,0.07373019,-0.02655986,0.05543263,0.02821079,-0.1346993,-0.07953674,273.7213,148.5534,204.8004,-0.0001967488,-0.001234822,-4.871052E-05,0.009715713,0.0192929,-0.03196533,0.08487767,0.3312935,0.7697389,21.17507,337.9803,318.38,-0.004778813,-0.001010275,0.001278141,0.07996041,-0.2484488,0.1870152,-0.2088374,-0.2801267,0.6745982,42.49812,357.3835,356.0802,
52.881,-0.003615455,0.002903736,-0.004305039,0.05032018,-0.02074376,0.04830807,0.02819973,-0.1346136,-0.07954216,273.6827,147.9875,205.3527,-0.0003714297,-0.001654268,-0.0001199592,-0.001100278,0.02693563,-0.02364617,0.08517814,0.3321095,0.7692364,21.18941,337.9889,318.3974,-0.004012934,-3.35942E-05,0.001512958,0.08091781,-0.1927503,0.1510987,-0.208886,-0.2797241,0.6747832,42.47979,357.4072,356.1523,
66.308,-0.00314345,0.0007547626,-0.002247768,0.02662611,-0.01330361,0.01723902,0.02818498,-0.1346691,-0.07949942,273.6563,147.4917,205.7704,0.0001448759,-0.0006914295,0.0001004704,0.005768485,0.007272594,-0.02407459,0.08533441,0.3326101,0.7689279,21.19933,338.0018,318.4174,-0.002699682,-0.004314961,-0.001286953,-0.0309839,-0.1622943,0.1131399,-0.2088852,-0.279474,0.6749041,42.66431,357.4586,356.1862,
79.972,-0.003771339,-0.001193349,-0.0006039818,0.01006792,-0.01240771,-0.02952192,0.02811804,-0.1347541,-0.0794608,273.6167,147.2548,205.8911,0.0004115454,-0.0006332359,0.0002319174,0.0005976656,0.002629827,-0.0228234,0.08511674,0.3328054,0.7687777,21.20984,338.0108,318.4318,3.015008E-05,0.003474068,0.00185272,0.08787217,-0.03442522,0.009925896,-0.208992,-0.2793283,0.6749042,42.54513,357.6139,356.463,
92.924,-0.004929482,-0.001191686,-0.0007718398,0.005423166,-0.02295933,-0.04319324,0.02801368,-0.1347718,-0.07949382,273.5954,148.0072,205.098,0.0004297929,0.0007686459,0.0001852747,0.004600754,-0.01597383,0.0003120319,0.08447075,0.3328209,0.7687922,21.20997,338.0103,318.433,-0.001487234,0.0008919258,0.001054296,0.01833623,0.0333092,0.01955973,-0.2092938,-0.2792416,0.6748717,42.57803,357.5738,356.457,
108.846,-0.00584614,-0.0004759752,-0.001174515,0.004997234,-0.03286647,-0.01630533,0.02791244,-0.1347616,-0.0795511,273.5892,148.7505,204.4422,0.000155372,-0.0001830976,8.534307E-05,-0.009507565,-5.786485E-05,0.004041252,0.08388019,0.3328256,0.7686956,21.20883,338.0057,318.4236,0.003257662,0.005506376,0.001673025,0.0500169,0.1657935,-0.1274059,-0.2093865,-0.2792491,0.6747458,42.50412,357.9042,357.0646,
122.308,-0.005602215,-0.0008629693,-0.002294729,-0.01248243,-0.03358256,0.01910105,0.02786551,-0.1348084,-0.07966131,273.5329,148.7182,204.5723,-0.0009179215,-0.000204011,-0.0004531974,-0.01719172,0.01494206,0.03706711,0.08359068,0.3328043,0.7686955,21.20818,337.9838,318.3894,0.003152741,0.00618383,0.002056209,0.07015297,0.1500574,-0.1205776,-0.2092146,-0.2791531,0.6747969,42.43192,358.0146,357.2487,
135.385,-0.004914839,-0.001083456,-0.004841988,-0.009803208,-0.02542841,0.0511388,0.0278445,-0.1348512,-0.07985586,273.5624,149.1969,204.1851,0.0004310968,0.00161974,0.0001513345,-0.003130299,-0.02744511,0.02659049,0.08373183,0.3327016,0.7686847,21.19039,337.9855,318.3705,0.002080865,0.005916587,0.002321904,0.09018922,0.08994941,-0.07722031,-0.2089202,-0.2789747,0.6748954,42.36842,357.9885,357.1927,
151.114,-0.005377356,-0.0005327953,-0.008173117,0.0181684,-0.02208483,0.04931363,0.02776487,-0.1348328,-0.08009714,273.6372,150.2255,203.1477,-0.0002706985,0.0005810834,-0.0001595062,-0.01321846,-0.004279303,0.03352121,0.08416652,0.3328411,0.7684557,21.18647,337.9666,318.3393,0.002641684,0.00660897,0.00244783,0.1289536,0.006631413,-0.06000897,-0.2085918,-0.2786634,0.6750298,42.24005,358.0426,357.1808,
165.495,-0.006530028,-2.033671E-05,-0.01162302,0.04373773,-0.0331004,0.01838068,0.02764519,-0.1348076,-0.08039087,273.6701,151.3675,201.9148,-0.0002745873,0.001338101,-0.0001926706,-0.005015724,-0.01392661,0.03916144,0.08431252,0.3332835,0.7680722,21.16513,337.9515,318.306,0.002448959,0.004849064,0.001588627,0.1126418,-0.06047463,-0.03142443,-0.2083318,-0.2782569,0.6751627,42.16024,358.0633,357.1037,
