time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.606,-0.0004079464,-0.0004076328,7.752697E-06,-0.006776086,-0.009485459,-0.01618304,0.17058,-0.4181106,-0.7767169,283.1169,166.9608,188.7078,2.003262E-05,-0.0001082881,-6.918151E-05,0.0009087202,0.0008469899,0.002058328,-0.4640287,-0.05318128,-0.4882207,16.47681,244.9635,311.5835,-0.001637709,-0.002485348,-0.001187794,-0.03684797,0.06993619,0.009666408,-0.1280679,-0.5512117,-0.09197417,37.25468,338.9609,334.9354,
14.279,-9.085534E-05,-0.0002239596,3.575384E-05,-0.008270097,-0.006760027,-0.01289685,0.1705942,-0.4181111,-0.776695,283.1075,166.944,188.7216,1.306634E-05,-0.000399089,-0.0001357521,0.002924404,-0.001788379,0.007516989,-0.4640876,-0.05319975,-0.488263,16.47503,244.9631,311.5817,-0.000244178,-0.003138698,-0.001743509,-0.03476724,0.1362935,-0.04131898,-0.1282231,-0.5514848,-0.09209503,37.41669,338.9609,335.0789,
23.647,1.879402E-05,-0.0003852833,-0.0005367525,-0.009007853,-0.008170942,-0.01586854,0.1706067,-0.4181258,-0.7767042,283.0965,166.9358,188.7105,-9.032366E-05,-0.0002363398,0.0001120322,0.004127727,-0.002651381,0.001675873,-0.4641309,-0.05319836,-0.4883043,16.47232,244.9645,311.583,-0.0004500373,-0.001227105,-0.0006337034,-0.02250399,0.01851214,0.003330539,-0.1283262,-0.5516938,-0.0922131,37.35046,338.9634,335.0143,
38.772,-2.189423E-06,-0.0003306992,-0.0009664568,-0.002566566,-0.006371125,-0.01718656,0.1706102,-0.4181294,-0.7767163,283.1063,166.9179,188.7123,-9.685814E-05,-0.0007286319,-1.10484E-05,0.009823859,-0.002069327,0.008980279,-0.464161,-0.05318691,-0.4882728,16.47144,244.9654,311.584,-0.0001457035,0.0008894845,0.0005190566,0.0005745423,-0.07357069,0.02873168,-0.1283357,-0.5516425,-0.09216199,37.29727,338.956,334.9433,
52.859,0.0001583278,-0.0003801288,-0.001295817,0.007000888,-0.00780897,-0.0154461,0.1706106,-0.4181303,-0.7767295,283.1283,166.9526,188.6637,-0.0001021654,-5.967122E-05,0.0001840336,0.002909829,-0.002104715,-0.00176185,-0.4641091,-0.05318519,-0.4881992,16.46869,244.9656,311.5836,0.0002740699,0.001971292,0.001068833,0.006591963,-0.1407668,0.04416638,-0.1281301,-0.5513974,-0.09199215,37.14796,338.976,334.7845,
65.997,-5.140204E-05,-0.0001812148,-0.001625153,0.01029011,-0.008102546,-0.01612268,0.1705956,-0.4181207,-0.7767493,283.1455,166.9653,188.6352,0.0001373967,-0.0005806915,-0.0004299919,0.0007006878,-0.00203767,0.01486152,-0.4640483,-0.05317941,-0.4881127,16.46976,244.9651,311.5845,-0.0004589661,0.002000873,0.001174469,-0.002488137,-0.1752292,0.07207549,-0.1279419,-0.5510925,-0.09180708,36.9979,338.9407,334.5647,
80.607,-9.335778E-05,-0.0001306017,-0.0016301,0.01402317,-0.007538521,-0.01004975,0.1705932,-0.4181034,-0.7767632,283.1598,167.0025,188.5963,-0.0001936763,-7.357716E-05,0.0003598271,0.005330368,-0.003514121,-0.004165503,-0.4640186,-0.05314114,-0.4880476,16.47152,244.9676,311.5847,-0.001261527,0.001983955,0.001264416,-0.001540613,-0.1691222,0.08633287,-0.1278611,-0.5507159,-0.09165465,36.89722,338.8954,334.4226,
95.058,-0.0003017261,5.281775E-05,-0.001149566,0.01592972,-0.006521175,-0.007946856,0.1705824,-0.4180777,-0.7767559,283.1765,167.0213,188.5741,6.963487E-05,-0.0009479612,-0.0003980885,0.005558701,-0.004536227,0.01933344,-0.4640432,-0.05314153,-0.4880717,16.47878,244.967,311.5884,-0.000983353,0.001265453,0.0008310114,-0.004682903,-0.1217136,0.06366364,-0.1278882,-0.5504258,-0.09158067,36.89969,338.8856,334.4091,
109.633,-0.0009774303,-4.56538E-05,-0.0006605819,0.007963533,-0.007315087,-0.01438257,0.1705441,-0.418074,-0.7767398,283.165,166.996,188.5753,-0.0002714156,-0.001759885,4.833001E-05,0.0250403,-0.004823166,0.02028421,-0.4640726,-0.05316181,-0.4880289,16.49298,244.9702,311.5896,0.0009694942,0.001999402,0.0009925172,0.01836906,-0.0959482,0.01407183,-0.1278606,-0.5501861,-0.09145777,36.87029,338.9354,334.4302,
121.423,-0.001607225,-0.000214448,-9.654847E-06,-0.001367424,-0.01404551,-0.01343604,0.1704947,-0.4180796,-0.7767,283.1415,167.0619,188.4931,-0.0002641345,-0.0001062897,0.00048919,0.006729272,-0.006036723,-0.00506321,-0.4641201,-0.05319208,-0.4880508,16.49165,244.9708,311.5909,-0.0009918546,0.002159831,0.001322979,0.0005658404,-0.1727066,0.08287084,-0.1278574,-0.5499191,-0.09137107,36.67068,338.8817,334.1627,
136.804,-0.002051448,-3.649865E-05,-3.892794E-05,-0.0118034,-0.01432299,-0.003822451,0.1704459,-0.4180713,-0.7766846,283.11,167.1212,188.4462,0.0001244946,-0.001363964,-0.0006190145,0.008417869,-0.004068979,0.02762619,-0.4641533,-0.05325391,-0.4880406,16.50573,244.9687,311.597,-0.001212591,0.003522877,0.002090404,0.01742151,-0.2168951,0.1039481,-0.1278459,-0.5494645,-0.0911794,36.4077,338.8428,333.8899,
150.664,-0.002082456,2.608402E-05,-0.0007431058,-0.02014434,-0.007987159,0.01475911,0.1704163,-0.4180716,-0.7767038,283.0656,167.1763,188.4691,-0.0002669985,-0.001134636,0.0002125601,0.01956611,-0.002207738,0.009453369,-0.4641462,-0.05330684,-0.4880271,16.51074,244.9722,311.5968,-0.001005527,0.0003252426,0.0003080506,-0.005569217,-0.04712803,0.0377202,-0.1278051,-0.5492625,-0.09109573,36.61972,338.8636,334.1096,
162.632,-0.001773152,-0.000217043,-0.002125937,-0.0230682,9.584376E-05,0.03195329,0.1704036,-0.4180859,-0.7767662,283.0585,167.2188,188.4842,-7.826844E-05,-0.000413023,4.025744E-05,0.00534711,-0.003193242,0.005114686,-0.4640794,-0.05335613,-0.4879926,16.51196,244.9722,311.5992,0.003595381,0.00226532,0.0007974912,0.0642879,0.05419514,-0.09549262,-0.1276705,-0.5492898,-0.09106688,36.65049,339.005,334.3283,
177.824,-0.001428326,-0.0006410377,-0.003490889,-0.0168724,0.006893902,0.04364715,0.1703872,-0.4181069,-0.7768527,283.0729,167.2737,188.4804,8.600809E-05,-0.0004994448,-0.0003058091,0.00130557,-0.002456253,0.01194326,-0.464001,-0.05338542,-0.4879352,16.5148,244.9714,311.6013,0.001753728,0.002015689,0.0008928549,0.06195134,0.06434938,-0.06196592,-0.1273891,-0.5492747,-0.09097354,36.64442,339.043,334.4219,
192.054,-0.0007894039,-0.0008925237,-0.004786287,-0.007843085,0.01159876,0.048333,0.1703879,-0.4181247,-0.776955,283.0919,167.2773,188.5269,-1.687121E-05,-0.0005381345,-0.0001145205,0.006187552,-0.0001055702,0.0079446,-0.4638698,-0.05340654,-0.4878857,16.51466,244.9717,311.6013,0.001269473,0.001649876,0.0007514361,0.05896002,0.08342755,-0.05897637,-0.1272143,-0.5493168,-0.09095555,36.66834,339.0716,334.5334,
204.95,0.0001048924,-0.0007195688,-0.005693531,0.003528917,0.01454714,0.05171374,0.1704134,-0.4181251,-0.7770553,283.1224,167.2977,188.5497,-1.97168E-05,-0.0002035967,-1.717784E-05,0.002728935,-0.0001288009,0.002574645,-0.4637879,-0.0533966,-0.4878754,16.51226,244.9718,311.6011,0.003575803,0.002919178,0.001146121,0.0802083,0.0618422,-0.09893627,-0.1269968,-0.549312,-0.09093022,36.66438,339.2245,334.7438,
219.355,0.001057089,3.623113E-05,-0.006803955,0.02547661,0.02192291,0.05408952,0.170456,-0.4180933,-0.777167,283.1998,167.357,188.5439,7.178901E-05,-0.0001897364,-0.0001929752,0.0003088949,0.001282639,0.004977584,-0.4637236,-0.05336007,-0.4879516,16.50927,244.971,311.6015,0.003018728,0.002510413,0.000989886,0.06605935,0.04238692,-0.07992386,-0.1268294,-0.5492679,-0.0909475,36.65847,339.259,334.7899,
234.007,0.002366947,-6.182166E-05,-0.008297874,0.04550844,0.02729234,0.05479416,0.17053,-0.4180921,-0.7773151,283.2842,167.3495,188.5918,7.177708E-05,-0.0001897337,-0.0001929822,0.0003088547,0.00128218,0.004977704,-0.4636469,-0.05328825,-0.4880147,16.505,244.9708,311.6011,0.001764795,-0.0002577003,-0.0003745897,0.008055769,0.054612,-0.0562844,-0.1266382,-0.5492411,-0.09099914,36.69863,339.265,334.8109,
248.043,0.003965172,-0.0007581981,-0.009561591,0.05926371,0.03469878,0.05262589,0.1706303,-0.4181179,-0.7774701,283.357,167.2856,188.7053,-2.886673E-05,-0.0003614249,-4.266453E-05,0.004968335,0.0004361771,0.004507426,-0.4635549,-0.05319227,-0.4880371,16.50293,244.9697,311.5997,0.001979869,-0.001552741,-0.001123124,-0.01137828,0.09177227,-0.07321522,-0.126487,-0.5493447,-0.09106688,36.80155,339.3108,334.9229,
262.237,0.005623352,-0.001233984,-0.009401462,0.0620368,0.04530841,0.05247607,0.170758,-0.4181453,-0.7775806,283.4091,167.2095,188.8386,4.108364E-05,-0.0001271726,-0.0001155883,-0.0001115379,-0.0002616873,0.003562482,-0.4634352,-0.05310878,-0.4881001,16.50005,244.9704,311.5988,0.003980882,0.001216947,0.0001385401,0.04623811,0.08118608,-0.1124576,-0.1262692,-0.549471,-0.0911745,36.84072,339.4461,335.1351,
276.7,0.007414056,-0.001354469,-0.007695735,0.05219039,0.05578411,0.04993223,0.1709155,-0.4181609,-0.777622,283.4278,167.0152,189.0866,-4.07869E-05,-0.0001847283,2.923919E-05,0.003749694,0.0009801743,0.001069995,-0.4632847,-0.05301578,-0.4880926,16.49696,244.9698,311.5981,0.00223935,0.004804858,0.002340836,0.09329773,-0.0485909,-0.03164144,-0.1258865,-0.5492204,-0.09106301,36.68351,339.4864,335.0993,
290.564,0.009157668,-0.0008134483,-0.004820897,0.02806372,0.0638174,0.04005989,0.1710942,-0.4181455,-0.7775891,283.4066,166.7599,189.3683,-2.890208E-05,-0.0003614181,-4.269846E-05,0.00496824,0.0004355178,0.004507597,-0.4631338,-0.05296267,-0.488132,16.49563,244.9697,311.597,-0.003535588,-0.0007973597,2.574327E-05,-0.04374783,-0.1029309,0.1122689,-0.1257398,-0.5489703,-0.09103852,36.62371,339.2966,334.7754,
302.999,0.01029098,-0.0004393826,-0.002535129,0.003289658,0.0681107,0.02720743,0.1712689,-0.4181345,-0.7775413,283.3752,166.4837,189.6598,-8.750523E-05,-0.0005708382,1.47186E-05,0.007586307,-0.002629843,0.007046509,-0.4630421,-0.05294855,-0.4881652,16.4962,244.9711,311.5977,-0.002619426,-0.002661661,-0.001125488,-0.06685314,-0.03203962,0.068087,-0.1258346,-0.548977,-0.09110767,36.69519,339.2589,334.7626,
317.213,0.0111537,-0.0002532913,-0.0008915401,-0.01392273,0.07040142,0.01491955,0.1714436,-0.4181354,-0.7774848,283.3437,166.1766,189.9831,-8.694826E-05,-0.0007723686,-4.170818E-05,0.01126759,0.0005898324,0.008889405,-0.4628706,-0.05297013,-0.4881101,16.49928,244.9725,311.597,0.002440703,0.001947143,0.0007485092,0.03189098,-0.04012132,-0.03611423,-0.1255279,-0.5489241,-0.09104025,36.65415,339.373,334.8635,
331.328,0.01216198,-0.0004491358,0.0002495513,-0.02293409,0.07254233,0.007070553,0.1716377,-0.4181524,-0.7774284,283.3308,165.9375,190.2324,-5.678515E-05,-0.0006333946,-6.265333E-05,0.008007273,-0.001085307,0.008461483,-0.4626975,-0.05300442,-0.4880844,16.50143,244.9736,311.5989,-0.001183045,-0.0002660897,1.006642E-05,-0.008282497,-0.01067798,0.02835223,-0.1253322,-0.5489006,-0.09101802,36.6547,339.3418,334.8322,
343.449,0.01265694,-0.0005280559,0.0006134913,-0.02498337,0.07220265,-0.005994742,0.1718312,-0.4181727,-0.777387,283.3212,165.639,190.5209,-0.0001056289,-0.0008865122,-3.612723E-05,0.01206715,-0.001495139,0.01091055,-0.4625639,-0.05309545,-0.4880585,16.50822,244.9752,311.5999,0.0001231417,-0.0004935734,-0.0002886963,0.002745267,0.05261503,-0.02211021,-0.1252733,-0.5490143,-0.09103121,36.68517,339.3304,334.8594,
