time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.749,-0.01105129,0.004962369,-0.001664023,2.592514E-05,0.05085246,-0.02546841,-0.02258168,0.01593664,0.09709981,2.92459,9.89369,357.1757,0.001551529,-0.0007251544,0.001532054,0.001369077,0.004983782,-0.003406583,0.342795,-0.615594,0.6509612,33.39937,3.516144,339.5577,-0.1105741,-0.09477977,0.007032707,0.05296808,0.7533458,0.4061675,-0.04135272,-0.4557463,0.3471039,39.44699,8.856635,316.6931,
12.188,-0.0110235,0.006478961,-0.002390075,-0.004665304,0.06086817,-0.03506524,-0.02270539,0.01606303,0.09705636,2.907781,9.831788,357.22,0.002207379,-0.0005248865,0.001372099,0.007876773,-0.01379208,0.007113983,0.3428276,-0.6156121,0.6509775,33.39368,3.512446,339.5466,-0.1737363,-0.1142337,0.01672081,0.3179382,0.4927008,0.4546156,-0.04454449,-0.4573896,0.3470435,39.18365,7.72227,315.9668,
25.477,-0.01046462,0.008690968,-0.001969387,0.01375793,0.06543744,-0.04211174,-0.02281412,0.01624948,0.09705409,2.818316,9.775947,357.2473,0.001642336,-0.0007889901,0.00155465,0.002317365,-0.005418136,0.01075702,0.3428622,-0.6156323,0.6509984,33.39151,3.503885,339.5312,-0.1623408,-0.1125551,0.01053654,0.2083871,0.535731,0.4700616,-0.04387558,-0.4580231,0.3471087,39.66192,7.349111,316.0239,
37.795,-0.009370742,0.01012805,0.0002719183,0.05474167,0.06454726,-0.05757996,-0.02288401,0.01640272,0.09714314,2.67015,9.717801,357.2764,0.002023475,-0.0003436361,0.001379708,0.01146452,-0.01948317,0.0157298,0.3429092,-0.6156801,0.6510553,33.38725,3.492457,339.5089,-0.03308052,-0.06215067,-0.01305824,-0.4168921,0.9285683,-0.1493335,-0.04053002,-0.454558,0.3469532,40.38364,10.07517,319.1412,
52.688,-0.007612496,0.0103637,0.003668765,0.09228779,0.06084756,-0.0596571,-0.02290915,0.01652268,0.0973174,2.513551,9.679613,357.2604,0.002750173,7.719174E-05,0.001405872,0.02031431,-0.0327308,0.01708749,0.3429651,-0.6157274,0.6511021,33.3772,3.478199,339.4729,0.04171973,0.02026265,7.880852E-06,-0.3429934,0.3826978,-0.5262198,-0.03984658,-0.4519702,0.3468066,39.32155,11.28076,319.515,
67.025,-0.00578126,0.009407181,0.008855385,0.1250488,0.04885861,-0.04397417,-0.0229097,0.01660672,0.09763873,2.364691,9.656205,357.1922,0.002526164,-0.0008141523,0.00221071,0.008690258,-0.01628919,0.01796583,0.3430096,-0.6157379,0.65114,33.378,3.462194,339.4436,0.05231993,0.1001434,0.01515764,0.17041,-0.6204956,-0.3349656,-0.0386562,-0.4511859,0.3462758,37.58883,10.05144,316.7075,
79.198,-0.003190962,0.007713892,0.01622524,0.1419851,0.03745609,-0.02156627,-0.02285054,0.01664984,0.09814355,2.255784,9.633162,357.1199,0.002300735,0.0004183333,0.001841049,0.02050195,-0.005168164,-0.006090779,0.3430299,-0.6157441,0.6511604,33.37251,3.457782,339.4388,0.04875648,0.1168675,0.00481599,0.3334855,-0.9395235,-0.1576223,-0.03813516,-0.4504885,0.3454869,36.70205,9.339275,315.13,
94.731,0.0003635772,0.005049129,0.02392344,0.1132666,0.02992118,-0.01376388,-0.02252991,0.01641241,0.09908912,2.264182,9.623294,357.1421,0.002501736,-0.002487296,0.002063938,-0.01448327,-0.008252946,0.02690577,0.3430765,-0.6157501,0.6512029,33.38321,3.443934,339.4144,0.04901092,0.09882241,-0.003390603,0.3151451,-0.981528,-0.0368572,-0.03722689,-0.4500206,0.3446613,36.26768,8.978026,314.1378,
108.954,0.003108079,0.0006767123,0.02856398,0.04532215,0.02260992,-0.001708894,-0.02242298,0.01617643,0.09946263,2.410159,9.625743,357.1586,0.002782259,-0.0003851153,0.002000728,0.008140446,-0.01661974,0.01156231,0.3431139,-0.6157418,0.6511869,33.37314,3.439966,339.3979,0.05094805,0.06841096,-0.004980487,0.2164598,-0.839578,0.04556483,-0.03654722,-0.4503224,0.3447625,36.24633,8.830099,313.6417,
121.36,0.004428681,-0.005113921,0.02930852,-0.0355679,0.02136651,0.02328667,-0.02240974,0.01588398,0.09973356,2.624404,9.619952,357.1516,0.002183971,-0.0002564628,0.002048841,0.009066617,-0.002564879,0.0005969346,0.3431457,-0.6157583,0.6512097,33.37332,3.438846,339.3952,0.04507671,0.0338031,-0.00515924,0.155249,-0.6373764,0.1607588,-0.03586634,-0.4509098,0.3451452,36.46292,8.513642,313.2513,
