time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.536,0.002531676,-0.001980133,0.002688749,-0.02151441,0.009568636,0.007057204,-0.1021347,-0.4804618,-0.8066472,278.2002,209.3488,144.4225,-0.0001067464,-3.088358E-05,-4.742192E-05,0.00252501,0.00174412,-0.001442545,0.2501023,-0.6448476,0.6491764,18.89723,338.3262,315.3969,-0.006528985,-0.008092245,-0.002024434,-0.1684294,0.150347,0.117273,-0.2760853,-0.6290025,-0.02395902,42.78455,357.8585,349.5678,
13.514,0.002875011,-0.001701943,0.001599674,-0.01216982,0.01177376,0.009109617,-0.102112,-0.4804718,-0.8067086,278.2017,209.2411,144.5418,-0.0002573264,-0.0002566349,-9.832279E-05,0.005026936,0.00653399,-0.006003456,0.2501005,-0.6448479,0.649176,18.89862,338.3267,315.4022,-0.009146189,-0.01252062,-0.003750996,-0.2458163,0.1388691,0.1856661,-0.2766285,-0.6298184,-0.02430537,43.27577,357.3918,349.3036,
28.25,0.003528693,-0.001242327,0.0002713198,0.001950764,0.01770397,0.0181246,-0.1020627,-0.4804634,-0.8067849,278.2358,208.9702,144.8575,-6.138075E-05,-0.0006451914,2.77905E-05,0.0003925668,0.00883568,-0.01310473,0.2500961,-0.6448487,0.6491752,18.90232,338.3297,315.4147,-0.002864641,-0.006736583,-0.002874931,-0.1692901,0.153511,0.03999578,-0.277112,-0.6306986,-0.02475563,43.16181,357.741,349.6411,
41.703,0.004165064,-0.001132811,-0.001054923,0.007403179,0.02364311,0.02458984,-0.1019978,-0.4804623,-0.8068671,278.2364,208.8037,145.0521,0.0001731539,-0.000282023,0.0001060544,0.003254163,0.0007437556,-0.01506864,0.2500923,-0.6448494,0.6491762,18.90734,338.334,315.4237,0.002522132,0.00054158,-0.0007838432,-0.03448502,0.09668683,-0.07517213,-0.2769572,-0.6310241,-0.02486745,42.97981,357.9532,349.7729,
54.461,0.005164079,-0.001591447,-0.001963006,0.008089187,0.02586248,0.02408343,-0.1019092,-0.4804889,-0.8069554,278.2275,208.6928,145.1761,-0.0006359322,-0.0006657151,-0.0002405176,-0.001686019,0.01756252,0.003932036,0.2500901,-0.6448499,0.649178,18.91486,338.3306,315.4251,4.496818E-05,0.001546725,0.0009163838,0.05578798,-0.08064941,0.01437201,-0.2767494,-0.6309602,-0.02488459,42.87834,357.886,349.5966,
70.005,0.0064843,-0.001862162,-0.002042642,0.01205301,0.03368979,0.0124689,-0.1017921,-0.4805207,-0.8070195,278.2198,208.2719,145.5825,1.414469E-05,-0.0002141231,2.5368E-05,-0.0005183862,0.002480785,-0.004331145,0.2500887,-0.6448501,0.6491793,18.91813,338.3327,315.428,-0.003731207,0.0008409903,0.002106096,0.1154754,-0.2677093,0.1406104,-0.2766683,-0.6305624,-0.02469525,42.47272,357.4059,348.5856,
84.523,0.006704549,-0.0008454458,3.679295E-05,0.02629915,0.03837676,-0.02758642,-0.1017051,-0.4804976,-0.8069888,278.2353,207.7168,146.0255,7.459785E-05,-0.0003057133,6.174645E-05,-0.002039229,0.002848037,-0.005775845,0.2500873,-0.6448505,0.6491808,18.92343,338.3328,315.4299,-0.001216205,0.003671546,0.002690511,0.178661,-0.3577338,0.1075828,-0.276663,-0.6299236,-0.02440922,42.11873,357.3872,348.1471,
97.804,0.005473694,-0.0003003054,0.001987129,0.01480457,0.02490731,-0.07305377,-0.1016773,-0.4804688,-0.8069438,278.196,207.7526,145.8431,0.0003724394,5.590375E-05,0.0001700989,-0.003864104,-0.00580641,-0.002923622,0.2500866,-0.6448508,0.649184,18.93119,338.3326,315.4285,0.0002058931,0.004444186,0.002523101,0.1851663,-0.3659559,0.0803295,-0.2767166,-0.6291943,-0.02422035,41.89473,357.3982,347.879,
109.464,0.003590979,-0.00050267,0.003593174,-0.01015988,0.008823446,-0.09773894,-0.101698,-0.4804679,-0.8068843,278.1286,207.987,145.5039,0.0006260144,0.0001221902,0.0002834296,-0.00616327,-0.0101319,-0.004754777,0.2500867,-0.6448509,0.6491866,18.93668,338.334,315.4257,-6.339742E-05,-0.0002723804,-0.0001352621,0.05046003,-0.2279938,0.06082869,-0.2769568,-0.6286457,-0.02403302,42.18077,357.4174,348.0732,
124.678,0.002528362,-0.001892888,0.003958927,-0.04134714,-0.003970925,-0.08737256,-0.1017042,-0.4805219,-0.8068554,278.0422,208.3429,145.1446,0.0007468597,-0.0006973902,0.0004113315,-0.009885758,-0.001463837,-0.0206241,0.2500858,-0.6448512,0.6491894,18.94601,338.3408,315.4273,0.003122623,0.003712066,0.0008498646,0.09066883,-0.1368489,-0.03856668,-0.2770827,-0.628298,-0.02402302,42.1003,357.6083,348.3302,
