time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.55,0.003654018,-0.0003963758,-0.005900979,0.04844145,0.01793598,-0.01405278,0.02851428,-0.4535767,-0.6073139,277.6777,220.2991,131.8834,0.000316672,-0.0006698658,2.678597E-05,0.001149074,0.01105274,-0.02007348,0.3075393,-0.4904265,0.7193993,30.94517,345.3151,332.366,-0.0009817912,-0.007047412,-0.003885102,-0.1586103,0.1365092,-6.071059E-05,-0.2038765,-0.5827985,0.129118,40.55011,351.3807,342.0159,
12.702,0.004417535,-0.0003318375,-0.008011455,0.06152031,0.02725785,-0.004321263,0.02856658,-0.4535849,-0.6074893,277.7026,219.7938,132.4046,0.000104326,-0.0003074871,-6.709082E-06,-4.331939E-05,0.005146121,-0.007860141,0.3075353,-0.4904287,0.7193991,30.94538,345.3218,332.3767,-0.0007692089,-0.003195024,-0.001638852,-0.07054646,0.07257205,0.003036222,-0.203958,-0.5831584,0.1288843,40.42901,351.4002,341.9992,
24.855,0.004937229,-6.835279E-05,-0.007885301,0.05816844,0.02732167,0.005225452,0.02863558,-0.4535758,-0.6075916,277.716,219.6048,132.6236,2.826532E-05,-0.000308244,-4.204597E-05,-0.004564382,0.002993104,-0.001745448,0.307534,-0.4904294,0.7193995,30.94616,345.324,332.3801,-0.004190355,0.001222075,0.002125158,0.06433977,-0.1808823,0.1353142,-0.2040938,-0.5828895,0.1288882,40.10709,351.1148,341.4365,
39.022,0.005014079,0.0004159061,-0.005006849,0.03491051,0.02822706,0.02987918,0.0286908,-0.4535052,-0.607551,277.6917,219.7992,132.5122,0.0001133998,-2.464989E-06,5.202127E-05,-0.002119292,-0.002604302,6.896819E-05,0.3075344,-0.4904294,0.7194005,30.94784,345.3245,332.3784,-0.006294424,0.005045254,0.004918451,0.1684145,-0.5044014,0.2770446,-0.2041926,-0.5819576,0.1292093,39.24911,350.6129,340.0381,
53.737,0.004624096,-0.0001032743,-0.001223886,-0.004747611,0.02002865,0.04469564,0.02872708,-0.4534808,-0.6074294,277.623,220.356,132.0221,1.341719E-05,-0.001049619,-0.0001817044,-0.02058335,0.007752606,0.0008569848,0.307535,-0.4904296,0.719403,30.95781,345.3246,332.3739,-0.005484048,0.002289986,0.003067152,0.1018221,-0.6109638,0.3072886,-0.2040408,-0.580639,0.129773,38.97256,350.4105,339.1652,
67.574,0.004045644,-0.00179377,0.002165183,-0.06113429,0.00392978,0.05045934,0.02873197,-0.4535689,-0.6072851,277.5106,221.302,131.1311,-0.000319051,-0.001590624,-0.0004328696,-0.02879171,0.01707551,0.005069572,0.3075352,-0.4904302,0.7194071,30.97406,345.3195,332.3677,-0.005891071,-0.0003679646,0.001683858,0.04003923,-0.4234818,0.2578288,-0.2039872,-0.5799342,0.1301281,39.08818,350.2518,339.0409,
81.388,0.003684155,-0.002789042,0.003716629,-0.09932138,-0.005640866,0.05155559,0.02873823,-0.4536602,-0.607183,277.4153,222.0947,130.3954,6.356864E-05,0.0001011406,4.755053E-05,-0.001814001,-0.003986648,0.00268073,0.3075362,-0.4904303,0.719411,30.97641,345.3193,332.3638,-0.006634735,0.001931682,0.003234345,0.08967243,-0.3181952,0.2316718,-0.2039876,-0.5793498,0.1304171,38.90097,350.0963,338.9759,
93.771,0.002790057,-0.00262009,0.003194531,-0.1146445,-0.01014221,0.04077773,0.02871569,-0.4536965,-0.6071569,277.3394,222.6632,129.8224,-0.000369064,-0.001486745,-0.0004380248,-0.02848339,0.01569382,0.007693457,0.3075374,-0.4904304,0.7194156,30.99698,345.3095,332.3518,-0.0006293107,0.009183956,0.005425171,0.2088928,-0.2406681,0.06372107,-0.2038684,-0.5786042,0.1307518,38.5311,350.4953,339.4344,
108.672,0.001554537,-0.001677429,0.0003922424,-0.08959934,-0.01443006,0.02971943,0.02866851,-0.4536589,-0.6072471,277.3675,222.6545,129.8337,-0.0003921688,-0.001467071,-0.0004455289,-0.02517379,0.01774671,0.005053272,0.3075374,-0.4904311,0.7194201,31.00864,345.3058,332.3487,0.004898374,0.01025167,0.004160198,0.1986393,-0.2694606,-0.03986037,-0.2033268,-0.5777676,0.1311657,38.29388,350.9047,339.5387,
122.521,0.001184364,-0.001286182,-0.003013159,-0.051518,-0.01394635,0.04013102,0.02864483,-0.4536338,-0.6074065,277.4152,222.5334,130.0201,0.0004490495,-0.002034194,-0.0001589413,-0.02574588,0.01983198,-0.02090363,0.3075345,-0.4904335,0.7194238,31.02404,345.3201,332.3626,0.004750262,0.00538909,0.001494269,0.09463733,-0.2307968,-0.03484428,-0.2026784,-0.5770684,0.1315473,38.48486,350.8857,339.4495,
