time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.601,0.0007105,-0.0002626071,0.001927825,-0.009858008,0.002878819,-0.0008206691,0.03313726,-0.1546711,-0.2404249,283.1269,141.6075,214.3897,-8.272824E-05,-1.379544E-05,-3.804178E-05,8.377471E-05,0.001453215,0.001556758,0.1664198,-0.3035446,1.298384,17.6576,339.3822,318.9857,-0.0007353271,0.002355112,-0.001169166,-0.01969912,0.02057858,0.0884939,-0.1247797,-0.3129794,-0.4224909,348.8937,141.5861,162.8752,
10.849,0.0001080066,3.145338E-06,0.001779065,-0.002726537,-0.003943808,-0.005002498,0.03311268,-0.1546447,-0.2404075,283.1285,141.6564,214.3254,-3.808228E-05,1.128426E-05,-1.940511E-05,-0.001284675,0.0006237404,0.002970589,0.1664205,-0.3035445,1.298384,17.65728,339.3819,318.9837,0.0005133763,0.0002471757,0.000989186,0.02431464,-0.01376922,0.05715807,-0.1247442,-0.3130122,-0.4224509,348.912,141.568,162.8425,
24.748,-0.0003015106,-0.0004640707,0.001139083,-0.004915092,-0.009636852,-0.00547281,0.03307943,-0.1546427,-0.2404167,283.1126,141.6873,214.2854,-8.848486E-05,-0.0001734039,-2.365084E-05,-0.00196868,0.003523793,0.0007857573,0.1664217,-0.3035442,1.298385,17.65774,339.3806,318.9801,0.0001359447,-0.008564738,-0.000461056,0.1263442,0.05027688,-0.09469256,-0.1248226,-0.3133376,-0.422458,349.1082,141.5604,162.9792,
38.405,-0.000652489,-0.0005155798,0.0009012035,-0.007006446,-0.009590882,-0.005864009,0.03304237,-0.1546279,-0.240418,283.1011,141.6828,214.2847,-0.0001273823,-3.885668E-05,-5.667097E-05,0.001452648,0.002282455,0.0001432972,0.1664219,-0.3035442,1.298387,17.66003,339.3847,318.9785,0.001042642,-0.001390501,0.001845777,0.006857075,-0.04002795,-0.08532029,-0.1247811,-0.3134549,-0.4224193,348.9899,141.5028,163.0112,
53.067,-0.001194533,-0.0002919686,0.0007311351,-0.005871288,-0.01099354,-0.006273296,0.03300408,-0.1546091,-0.2404241,283.0934,141.7052,214.2533,-0.000136102,-0.0009491735,3.671029E-05,-0.009001624,0.01357159,-0.006573353,0.1664208,-0.3035444,1.298389,17.66921,339.3846,318.979,-0.001465554,0.001020713,-0.002666836,-0.01451064,0.05582932,0.06215413,-0.1247878,-0.3133099,-0.422519,348.9731,141.5834,162.8983,
67.63,-0.002085634,-0.0005778888,-0.0004061143,-0.007956099,-0.01577611,-0.001284572,0.03295726,-0.154614,-0.2404806,283.0742,141.7664,214.1931,-0.0005303012,-0.000174663,-0.0002345831,0.01072295,0.009127109,-0.006201943,0.1664175,-0.3035452,1.298391,17.67545,339.3883,318.9867,-0.001302581,0.003096459,-0.002164355,-0.04825442,0.03355422,0.07008584,-0.125022,-0.3132492,-0.422739,348.9367,141.6583,162.8198,
81.493,-0.00284277,-0.0007384825,-0.00157109,3.049558E-06,-0.02099663,0.007987866,0.03290072,-0.1546188,-0.2405481,283.0707,141.9754,214.0045,0.0006081163,-0.0004488108,0.0003383249,-0.004419994,-0.004211054,-0.01912087,0.1664121,-0.3035464,1.298394,17.6864,339.3966,318.9986,0.0002045405,-0.0003279995,0.0003543114,-0.008847892,-0.01124549,-0.04572306,-0.125104,-0.3131501,-0.4227972,348.9303,141.6388,162.862,
94.639,-0.003159603,-0.0005596748,-0.002822299,0.0112188,-0.01822679,0.0239765,0.0328343,-0.154615,-0.2406101,283.0947,142.1364,213.8863,0.0007534113,-5.422632E-05,0.0003655557,-0.004411892,-0.01084508,-0.01334123,0.1664093,-0.3035471,1.298394,17.68927,339.3998,319.0046,-0.0008857603,0.0001504738,-0.001648359,-0.04903299,0.02055733,-0.08891162,-0.1251583,-0.3130255,-0.4227944,348.8834,141.6455,162.9793,
109.443,-0.002912398,-0.0006243885,-0.003201402,0.01476289,-0.0144521,0.03471899,0.03279004,-0.1546197,-0.2406553,283.1098,142.2273,213.8338,-0.0007588643,0.0004705655,-0.0004126604,0.01782263,0.004886181,0.004656918,0.1664077,-0.3035474,1.298394,17.68811,339.3979,319.0096,-0.0009832436,0.002014972,-0.001657898,-0.03847758,0.02496332,0.03188083,-0.1253395,-0.312864,-0.4228593,348.8722,141.6858,162.9252,
123.203,-0.002777859,-0.0004110444,-0.00296602,0.01679807,-0.01073014,0.03592434,0.03274564,-0.1546076,-0.2406828,283.1121,142.3245,213.7494,-0.0001354807,-0.0009492842,3.651169E-05,-0.009018423,0.01356164,-0.006571572,0.1664066,-0.3035477,1.298395,17.69413,339.4007,319.0109,-0.0002558338,0.0009404902,-0.0003931661,-0.005755287,0.007239409,0.03942627,-0.1253645,-0.3128017,-0.4227699,348.8779,141.6886,162.8898,
136.514,-0.002902229,-0.0005783256,-0.002723502,0.01049269,-0.01290409,0.02871533,0.03269471,-0.1546078,-0.2407086,283.0989,142.3767,213.7006,0.0007121193,0.0002601746,0.0003122632,-0.007073589,-0.01335261,-0.001237413,0.1664074,-0.3035475,1.298395,17.69155,339.4038,319.0081,-0.0004903927,0.0006027236,-0.0008626161,-0.009771211,0.01635562,0.02072815,-0.125408,-0.3127633,-0.4227675,348.8729,141.7062,162.8765,
151.1,-0.003457406,-0.0003677044,-0.002135291,0.008171588,-0.01707544,0.01719834,0.03262355,-0.1545924,-0.2407181,283.0922,142.4885,213.5734,-0.0005269226,0.0001645924,-0.0002691839,0.006683479,0.005798216,0.007317279,0.1664074,-0.3035475,1.298395,17.69302,339.3999,319.0078,-0.001347837,-0.0003641645,-0.002550277,-0.02980711,0.04741243,-0.04845263,-0.1256245,-0.3126377,-0.4228915,348.8565,141.769,162.9027,
165.136,-0.004202327,-0.0007713723,-0.001411903,0.0009820198,-0.02436997,0.008372342,0.03253077,-0.1545855,-0.2407193,283.0611,142.551,213.5007,7.558726E-05,-0.0007317801,0.0001140329,-0.007524119,0.007669404,-0.008615527,0.1664065,-0.3035477,1.298397,17.70019,339.4026,319.0085,-0.001339558,-0.003053711,-0.002777632,-0.04163461,0.04906643,-0.2091021,-0.125866,-0.3125503,-0.4230592,348.8073,141.7991,163.2959,
178.752,-0.004824278,-0.0006434699,-0.001053778,-0.0002278363,-0.0287028,0.008727279,0.03243522,-0.1545664,-0.2407242,283.0574,142.6889,213.3667,0.000112638,-0.0003651199,9.262371E-05,-0.001547091,0.002401299,-0.009171368,0.1664039,-0.3035484,1.298399,17.70599,339.405,319.0138,-0.001964161,-0.004288699,-0.004029698,-0.03917295,0.07887076,-0.2419685,-0.1262055,-0.3124935,-0.4233086,348.8045,141.8707,163.5842,
190.875,-0.005201972,-0.0001246184,-0.0006313544,0.001415612,-0.03001568,0.01765385,0.03234772,-0.1545453,-0.2407184,283.0424,142.8324,213.2491,-0.0002133101,-0.0006802594,-2.960949E-05,-0.002176263,0.01109232,-0.007851766,0.1664014,-0.3035489,1.298402,17.71547,339.4069,319.0176,-0.001633111,-0.006191134,-0.003554214,-0.01975266,0.07534353,-0.2960413,-0.1266342,-0.3124842,-0.4235741,348.8292,141.875,163.9854,
206.38,-0.005487403,0.0002757546,-0.0003213931,-0.000619793,-0.03004258,0.02310658,0.03225969,-0.1545244,-0.240712,283.0224,142.931,213.1733,3.123381E-05,-0.0007569059,9.513309E-05,-0.006160549,0.008502711,-0.01002558,0.1663987,-0.3035495,1.298406,17.72558,339.4098,319.0216,-0.001789836,-0.01128799,-0.004173978,0.02071299,0.1036652,-0.4367654,-0.127111,-0.3125879,-0.4238535,348.9408,141.8671,164.6367,
220.645,-0.006344849,0.0002814289,-9.127229E-05,-0.008347679,-0.03012096,0.02412608,0.0321338,-0.1545249,-0.2407049,282.9952,143.0221,213.0918,-0.0002032478,-0.0002711072,-6.833522E-05,-0.001110054,0.00631623,6.157995E-05,0.1663969,-0.3035499,1.298407,17.73107,339.4106,319.0237,-0.002000433,-0.01655285,-0.004750354,0.07077764,0.132955,-0.5637167,-0.1277392,-0.3129433,-0.4241769,349.1137,141.8451,165.3318,
232.838,-0.007576504,-7.776613E-05,-0.0002836254,-0.009022928,-0.04037922,0.02108612,0.0319754,-0.1545486,-0.2407127,282.963,143.1983,212.9042,-4.92358E-05,-0.0003080131,9.067275E-06,-0.005402108,0.004749863,0.001433621,0.1663965,-0.3035501,1.29841,17.73755,339.411,319.0224,-0.002668816,-0.01931958,-0.00589599,0.08897135,0.165095,-0.6394189,-0.1284609,-0.3134309,-0.4245868,349.258,141.873,165.9939,
248.435,-0.008585962,0.0001628536,-0.001225878,0.0006212391,-0.05042321,0.02092679,0.03181028,-0.154551,-0.240753,282.9572,143.4753,212.6334,-0.0003181894,-0.0003687288,-0.0001129545,-0.0002436605,0.009114775,-0.0006637576,0.1663961,-0.3035502,1.298412,17.74253,339.4107,319.0218,-0.00396971,-0.02082107,-0.008064798,0.07635088,0.2126974,-0.7154633,-0.1293272,-0.3139469,-0.4250879,349.3586,141.9591,166.719,
261.747,-0.009078671,0.0004775048,-0.002623273,0.01202563,-0.05022254,0.02397901,0.0316664,-0.154528,-0.2408187,282.9625,143.7144,212.401,-7.245327E-05,-0.0005352734,2.188421E-05,-0.001179576,0.007171318,-0.009211881,0.1663941,-0.3035506,1.298414,17.75015,339.412,319.0252,-0.006601565,-0.01584542,-0.01244329,-0.03571598,0.2850724,-0.6839114,-0.1303137,-0.3141872,-0.4257176,349.2395,142.2529,167.2335,
274.527,-0.009576691,0.0007326313,-0.003995422,0.017533,-0.04837028,0.02998761,0.03151681,-0.1545037,-0.2409042,282.9591,143.943,212.1995,1.810038E-05,-0.0005749782,6.922553E-05,-0.0008695147,0.006148429,-0.01275985,0.1663909,-0.3035514,1.298415,17.75668,339.4156,319.0325,-0.009131249,-0.008046488,-0.01640075,-0.1667925,0.3422044,-0.5614316,-0.1317087,-0.3140261,-0.4267241,348.9897,142.6602,167.4787,
