time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.463,-0.002628925,0.0002124856,0.0001897599,0.007883374,-0.01116497,0.008445067,-0.07263787,-0.4650761,-0.443388,277.3342,240.7778,129.5002,-0.000395097,0.0003009435,6.257089E-05,0.01059262,-0.008118228,0.01352978,1.295731,-1.457878,0.08068947,31.03555,11.78607,331.293,-0.02584065,-0.02812901,-0.01810109,-0.1734062,0.3475646,-0.2679946,0.2871436,-0.5564823,1.015141,28.60631,3.11604,331.8076,
12.807,-0.002126956,-7.260632E-05,0.002142476,-0.004566084,-0.01160819,0.01556648,-0.07264379,-0.4651199,-0.4433193,277.3283,241.0176,129.2777,-0.0002432339,0.0001729657,3.654672E-05,0.006464724,-0.005635755,0.009288106,1.295731,-1.457878,0.08068958,31.03569,11.78804,331.2943,-0.01694331,-0.02611474,-0.02302998,-0.2063457,0.265647,-0.2970799,0.2870705,-0.5552785,1.014358,28.75698,3.482293,332.193,
26.683,-0.002167535,-0.0002612328,0.00330161,-0.01497514,-0.008733967,0.01711178,-0.07266659,-0.4651575,-0.4432531,277.3124,241.3122,128.9926,-0.0001373649,0.0002882585,5.1346E-05,0.007147276,-0.008333592,0.008117125,1.295731,-1.457878,0.08069002,31.03623,11.78876,331.2942,-0.008461696,0.008667452,-0.008700076,0.03830568,-0.01180327,-0.003978634,0.2876562,-0.5554554,1.01468,28.40337,3.077156,331.4071,
40.479,-0.001912902,-0.0005297614,0.003442447,-0.02016896,-0.01037169,0.01889208,-0.07267875,-0.4651903,-0.4432041,277.3011,241.4785,128.839,-0.0003168824,-2.92467E-05,6.595954E-06,0.005520282,-0.01063969,0.02026743,1.295733,-1.457878,0.08068975,31.03705,11.78516,331.2856,0.00604064,0.0313855,-0.003937896,0.1934079,-0.3314499,0.3363548,0.2886433,-0.5547637,1.014012,27.89918,2.492146,330.0329,
54.167,-0.00173638,-0.0003842301,0.003022864,-0.01032913,-0.009862277,0.01814634,-0.07269188,-0.4652067,-0.4431759,277.3208,241.4362,128.8948,-0.0004849478,-0.0002274085,-1.934729E-05,0.004379187,-0.007219135,0.02339621,1.295734,-1.457877,0.0806901,31.03863,11.7819,331.2803,0.001589094,0.02886321,-0.01360125,0.2377945,-0.1453357,0.1314844,0.2882731,-0.554767,1.013024,27.69161,2.439246,330.2896,
68.242,-0.001547531,-0.0002065219,0.002009424,0.0005731643,-0.008401496,0.01692988,-0.07270469,-0.4652101,-0.4431812,277.3302,241.4305,128.9136,-0.0004469787,-0.0002641089,-2.66089E-05,0.002335399,-0.001140334,0.01597729,1.295735,-1.457877,0.08068995,31.03956,11.78272,331.2816,0.003496607,0.009277588,-0.0208934,0.07741179,-0.1584738,0.1662924,0.2881483,-0.5556267,1.013683,27.86182,2.465468,329.9625,
82.175,-0.001364441,-9.583018E-05,0.001189569,0.006227033,-0.006102093,0.01266534,-0.07272095,-0.4651999,-0.4431989,277.3402,241.3514,128.9984,-0.0006899078,-0.0005265808,-6.028237E-05,0.002767293,-0.006299955,0.03201413,1.295737,-1.457876,0.08068978,31.04166,11.77701,331.2707,0.001060684,-0.006005197,-0.01732299,-0.03400793,0.01515774,0.02907541,0.2880495,-0.5551434,1.013719,28.05434,2.632173,330.4007,
96.157,-0.001204375,-8.158298E-06,0.0004988292,0.005217829,-0.005129582,0.004964156,-0.07273581,-0.4651895,-0.4432226,277.344,241.3252,129.0165,-0.0007578823,-0.0006785625,-8.234612E-05,4.454574E-05,0.002477382,0.02576708,1.295738,-1.457876,0.08069049,31.04255,11.77721,331.2709,-0.0001789145,-0.001440482,-0.02005003,-0.006113649,0.02364424,-0.06707761,0.2879587,-0.5549673,1.013034,28.03406,2.732826,330.5528,
109.858,-0.0009073348,-2.614474E-05,0.0001565476,0.005744628,-0.006055754,-0.0006724741,-0.07274877,-0.4651997,-0.4432401,277.3529,241.2885,129.0437,-6.494678E-05,-0.0001109965,-1.556509E-05,-0.0001933689,-0.002801503,0.006650082,1.295737,-1.457877,0.08069079,31.04067,11.78478,331.2784,0.001727925,0.0005884364,-0.01880099,0.01229448,-0.04655534,0.07594531,0.2884337,-0.5552341,1.014067,28.03342,2.618657,330.3441,
123.7,-0.0005684646,-0.0003420744,-0.0004260837,0.003842659,-0.002714742,-0.0005897676,-0.07275913,-0.4652252,-0.4432741,277.3502,241.2665,129.0648,0.000111561,0.001359356,0.0002149205,0.01977923,-0.01534043,-0.007303162,1.295736,-1.457877,0.08069044,31.03415,11.78775,331.2796,0.00349174,0.00513006,-0.015332,0.06624273,-0.1081749,0.1065825,0.288874,-0.5552029,1.015295,27.91481,2.503352,330.0712,
137.71,3.342572E-05,-0.0005909029,-0.001089695,0.00412581,7.624552E-05,0.003412323,-0.07273744,-0.4652449,-0.4433091,277.3474,241.2435,129.0981,-0.001009889,-0.0005965523,-6.020209E-05,0.005758499,-0.005366497,0.03938236,1.295738,-1.457876,0.08069056,31.04481,11.7743,331.2632,-0.001751587,-0.0008614766,-0.01318284,0.02084521,-0.03635684,0.06060276,0.2892003,-0.5556382,1.017921,27.98441,2.517606,330.1542,
151.355,0.0004492512,-0.0004591557,-0.001395511,0.007004001,0.005439405,0.004017546,-0.07270505,-0.4652464,-0.4433323,277.3422,241.1353,129.2149,-0.0002990015,0.0008986762,0.000155345,0.01906365,-0.01708836,0.01186467,1.295743,-1.457873,0.08068876,31.03558,11.76929,331.2519,-0.005790667,-0.004301673,-0.01150504,-0.005655528,0.02053192,-0.03305475,0.2891501,-0.5555827,1.017827,27.99605,2.559968,330.2408,
