time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.492,-0.004292767,0.0009147176,-0.008258468,0.07506844,-0.02370596,-0.005776058,-0.1315445,-0.4673524,-0.55442,276.2334,296.985,74.41864,0.0003987221,-0.0002694876,0.0001165181,-0.004728622,-0.006486091,-0.004188144,0.4187089,-0.531402,0.9235106,18.01028,0.4145012,358.7393,0.0009854045,0.000190075,-0.0007415037,-0.04591526,0.07890151,-0.04481154,0.2513166,-0.5423285,1.000607,20.65308,13.77512,316.0612,
13.182,-0.004438844,0.0007077789,-0.008784498,0.07482628,-0.02270199,-0.003345119,-0.1316104,-0.4673469,-0.5545515,276.2266,296.4443,74.96786,0.0002526065,-0.0001910306,7.278872E-05,-0.001122003,-0.001626387,-0.009287327,0.4187079,-0.5314032,0.923511,18.01019,0.4155885,358.744,0.0008602945,0.000189231,-0.0006350848,-0.03029063,0.0368649,-0.02654784,0.2513182,-0.5423096,1.000608,20.65667,13.77929,316.06,
26.663,-0.004510297,0.000687257,-0.008998936,0.07080887,-0.01962334,-0.01296454,-0.1316826,-0.4673368,-0.5546703,276.2139,295.9136,75.47773,0.0002598333,-0.0002419555,7.262355E-05,-0.002867205,-0.002574341,-0.007075375,0.4187059,-0.5314057,0.9235072,18.01017,0.406534,358.7522,0.0008198933,0.001381275,3.66437E-05,-0.01745208,0.04489627,-0.05091468,0.2513209,-0.5422903,1.000612,20.65527,13.78668,316.1265,
40.339,-0.004820493,0.0006440274,-0.008870146,0.0673119,-0.01851987,-0.02740707,-0.1317653,-0.4673274,-0.5547785,276.2176,295.3838,75.96837,-8.809404E-05,-5.919131E-05,-3.176074E-05,0.001865482,0.004873528,-0.008141674,0.4187042,-0.5314077,0.9235065,18.0085,0.406372,358.7596,-0.0002483708,0.0008076355,0.000643941,0.01224576,0.01222308,-0.01714681,0.2513251,-0.5422747,1.000618,20.65258,13.77677,316.1368,
54.493,-0.00523481,0.000764903,-0.008645611,0.0613369,-0.01844303,-0.03889117,-0.1318366,-0.467301,-0.5548955,276.2118,294.8781,76.44257,0.0001971478,-0.0001899296,5.47802E-05,0.00177597,0.002497645,-0.01729666,0.4187017,-0.5314109,0.9235054,18.00644,0.410073,358.772,-0.0008452045,0.0009656381,0.001237324,0.04970198,-0.05646854,0.01369169,0.2513253,-0.5422845,1.000618,20.60369,13.75968,316.0854,
68.259,-0.004908382,0.0008257637,-0.008322086,0.05823436,-0.02175281,-0.03031089,-0.1318845,-0.4672765,-0.5550058,276.2141,294.5211,76.8158,0.0002018291,0.00019082,7.555095E-05,0.005760407,-0.001388532,-0.007634491,0.4186979,-0.5314153,0.9235045,18.00087,0.4152152,358.7858,-0.001201003,0.001542783,0.001842178,0.08501088,-0.1220319,0.03396882,0.2513243,-0.5423237,1.000619,20.46989,13.71492,315.9038,
82.064,-0.004549884,0.001015287,-0.00783805,0.05860277,-0.01705213,-0.01662291,-0.1319362,-0.4672417,-0.5551026,276.2117,294.1238,77.24552,0.0002491576,-0.0007499215,4.346463E-05,-0.01602014,-0.005879179,0.003032676,0.4186981,-0.5314152,0.9235038,18.00055,0.4150893,358.7842,-0.001746971,2.079387E-05,0.001499473,0.07229637,-0.0951532,0.05568511,0.251322,-0.5423678,1.000617,20.45032,13.6818,315.8236,
96.093,-0.003535976,0.0008041758,-0.007341946,0.05864567,-0.01625672,-0.009826474,-0.1319589,-0.467217,-0.5551926,276.2048,293.6243,77.74976,0.0002563521,-0.0008008878,4.326939E-05,-0.01776967,-0.006825624,0.005246553,0.418699,-0.5314143,0.9235037,17.99902,0.4153731,358.7803,-5.133527E-05,0.0002834739,0.0001941673,0.0372741,-0.1098477,0.04089531,0.2513178,-0.5424085,1.000612,20.41112,13.70095,315.7508,
110.623,-0.002980303,0.0006575492,-0.006429497,0.05979043,-0.01189283,-0.01431633,-0.1319863,-0.4671989,-0.5552574,276.1895,293.161,78.19614,0.0002523806,0.001028221,0.0001341462,0.01970738,-0.004988899,-0.001862578,0.4186996,-0.5314135,0.9235028,17.9904,0.4147343,358.7784,-0.001349892,-0.001014863,0.0006099204,0.03789318,-0.05491561,0.05399058,0.2513131,-0.5424408,1.000607,20.41861,13.67153,315.7083,
123.848,-0.002410579,0.0004972925,-0.005258518,0.05547159,-0.01134084,-0.01735991,-0.1319972,-0.467186,-0.555298,276.1837,292.7356,78.61467,0.0002380621,-6.39924E-05,7.451308E-05,-0.002986841,-0.00613113,0.003428556,0.4187004,-0.5314125,0.9235026,17.99277,0.4130755,358.7748,-0.0005109782,0.0003539948,0.0006229525,0.04223246,-0.08570994,0.03410367,0.2513098,-0.5424684,1.000603,20.36913,13.67038,315.6326,
137.511,-0.001353646,9.313483E-05,-0.003267139,0.0416209,-0.007055345,-0.009277513,-0.1319796,-0.4671839,-0.5552872,276.1848,292.8175,78.54998,0.000289995,-0.0006490529,6.200137E-05,-0.01541548,-0.008098016,0.006620107,0.4187019,-0.5314106,0.923503,17.99693,0.4091626,358.7673,-0.002242348,-0.002835364,0.000397971,0.01799136,0.01467817,0.0666078,0.2513111,-0.5425016,1.000607,20.36759,13.62003,315.5948,
151.771,-0.0003526662,-0.000152292,-0.0005087061,0.02478971,-0.00236998,-0.003553657,-0.1319626,-0.4671785,-0.5552208,276.1832,292.9676,78.39883,0.0001583574,0.0005214881,7.794338E-05,0.01088387,-0.002103314,-0.003769401,0.4187025,-0.5314099,0.923502,17.99261,0.4078822,358.7662,0.0008816688,-0.001487484,-0.001543165,-0.05252299,0.04370581,0.0004356526,0.2513119,-0.542494,1.000608,20.42187,13.64908,315.6426,
165.633,0.0005264201,-0.0006260719,0.002300023,-0.003070506,0.003537983,-0.0009402151,-0.131939,-0.4671874,-0.5551142,276.1841,293.2148,78.14314,0.0002128172,-0.0004951963,4.456156E-05,-0.007275367,-0.001133546,-0.00802835,0.4187015,-0.5314112,0.9235026,17.99504,0.4092964,358.7709,-0.0003861855,0.001094006,0.0009101924,0.02156774,0.003708922,-0.01768393,0.251314,-0.5424844,1.000611,20.38795,13.63796,315.6529,
179.654,0.001383127,-0.0008272905,0.005534432,-0.02947596,0.007106995,0.003291734,-0.1318963,-0.4671912,-0.5549569,276.1963,294.0555,77.29503,0.0003081831,-0.0001918633,9.09932E-05,-0.004005637,-0.005754999,-0.001276811,0.4187012,-0.5314114,0.923502,17.99564,0.4076528,358.7716,5.635015E-05,-0.0006289363,-0.0003825569,-0.01198956,0.01055895,0.006463408,0.2513153,-0.5424818,1.000613,20.4009,13.63594,315.6565,
193.432,0.002323508,-0.001171213,0.008053732,-0.05008536,0.008411274,0.02238698,-0.1318307,-0.4672019,-0.5547917,276.2209,294.8352,76.55592,-0.0001304514,6.815529E-05,-3.918139E-05,0.001436658,0.002432905,0.0005661614,0.4187016,-0.5314111,0.9235016,17.9952,0.404541,358.7703,0.0001133128,-9.656593E-06,-0.0001014686,-0.008747733,0.0197772,-0.009128527,0.2513184,-0.5424771,1.000617,20.4088,13.6264,315.6694,
207.192,0.002867221,-0.001625693,0.009827985,-0.07132499,0.009824696,0.03947589,-0.1317682,-0.4672201,-0.5546221,276.2358,295.7562,75.66809,-0.0001921609,-5.826852E-05,-6.572262E-05,-0.004850458,-0.0006192285,0.01232604,0.4187028,-0.5314095,0.9235006,17.99722,0.3993107,358.7638,0.0005020432,0.0002357985,-0.0003013782,-0.02672721,0.05780346,-0.03304292,0.251322,-0.5424601,1.000622,20.43697,13.6292,315.739,
