time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.407,-0.0004705167,-0.0008235682,0.002336003,-0.009835492,-0.004825816,0.001876422,-0.1053133,-0.4666166,-0.4505512,272.6693,195.0447,175.6487,0.0004274459,-8.099324E-05,-1.643223E-05,-0.006239629,0.001050449,-0.01078234,0.6089111,-0.573543,0.9276539,30.29342,12.68814,338.2866,-0.007486102,-0.006326111,0.001546438,0.07781576,-0.1569402,0.2874807,0.297251,-0.544103,0.9880257,24.36512,4.904602,321.3413,
12.813,-0.0003378395,-0.0008058522,0.003198666,-0.01404049,0.0009932201,0.008840166,-0.1052988,-0.4666232,-0.4504718,272.6454,194.9979,175.7111,0.0003533303,0.0001576034,2.426815E-05,-0.001043993,-0.003260888,-0.007133079,0.6089091,-0.5735443,0.9276548,30.29382,12.69255,338.2935,-0.007444556,-0.0007957216,0.004263411,0.1563606,-0.125701,0.1907751,0.2972656,-0.5442169,0.9880357,24.13968,4.81187,321.382,
26.549,6.811926E-06,-0.001146458,0.003242805,-0.01805259,-0.0001781752,0.01194531,-0.1052794,-0.4666476,-0.4504185,272.6153,195.1337,175.5854,0.000153516,4.684562E-05,6.89477E-06,-0.0007809774,-0.001396694,-0.002813693,0.6089088,-0.5735445,0.9276549,30.29382,12.69384,338.2947,-0.006929893,0.0003584759,0.004487416,0.1712006,-0.1644546,0.187126,0.2972762,-0.5442947,0.988045,23.95927,4.680734,321.0887,
40.402,-1.436134E-05,-0.001065763,0.002808023,-0.01754784,0.00295993,0.01160183,-0.105301,-0.4666715,-0.4503967,272.6121,195.1117,175.613,0.0001351091,-0.0002415705,-4.162686E-05,-0.004724798,-0.002294235,0.002862183,0.6089091,-0.5735446,0.9276559,30.29562,12.69365,338.2944,-0.007922995,0.0009496017,0.005344681,0.211205,-0.2353967,0.2337644,0.2972868,-0.5443924,0.9880502,23.67995,4.466539,320.5916,
54.125,9.136382E-05,-0.001151136,0.001986505,-0.01348945,0.001600651,0.005407224,-0.1053156,-0.4667,-0.4503973,272.6038,195.1665,175.5519,-8.312178E-05,-0.0006407289,-0.0001075307,-0.008405366,-0.00132819,0.01285759,0.608909,-0.5735447,0.9276556,30.29681,12.69358,338.2938,-0.008366443,0.0002131714,0.005222707,0.212852,-0.2738637,0.2740142,0.2972998,-0.5445471,0.9880519,23.49969,4.302372,320.149,
68.217,-2.902281E-05,-0.001033132,0.001105066,-0.009646421,0.0001628805,-0.001824946,-0.1053144,-0.4666957,-0.4504026,272.6053,195.1989,175.5056,0.0002407485,0.0007853362,0.0001308326,0.01046508,-0.007876114,-0.00773044,0.6089103,-0.5735435,0.927655,30.29271,12.68978,338.2887,-0.008533635,0.0007047086,0.005524359,0.2312532,-0.3303641,0.3030738,0.2973077,-0.5446802,0.9880472,23.23884,4.148443,319.6618,
82.149,0.0002600767,-0.0008829921,0.000318672,-0.005743769,0.0008813743,0.0005853067,-0.1052922,-0.4666808,-0.4504125,272.6065,195.1652,175.5443,0.0003824749,0.0005705861,9.370277E-05,0.005802344,-0.008726341,-0.007164428,0.608912,-0.5735423,0.9276536,30.2928,12.68543,338.2819,-0.008761511,0.002447745,0.006450027,0.2683917,-0.3832092,0.3141007,0.2973162,-0.5448551,0.98804,22.89279,3.979719,319.1729,
96.137,0.0007894392,-0.000702146,-0.0002193537,0.003735462,0.000814563,0.004079363,-0.1052587,-0.4666598,-0.450422,272.6224,195.0821,175.6397,0.0006298301,0.0008821469,0.0001445771,0.007030536,-0.005248228,-0.022013,0.6089128,-0.573542,0.9276542,30.29179,12.68673,338.2817,-0.007720386,0.002395017,0.005779603,0.2366399,-0.3297234,0.2699273,0.2973227,-0.5450241,0.9880315,22.74624,3.887001,318.9484,
110.029,0.001121354,-0.0006832862,-0.0008713964,0.009381844,0.002999907,0.002739223,-0.1052259,-0.4666237,-0.4504381,272.6361,194.8477,175.8778,0.0008917804,0.0007042137,0.0001128334,0.001199187,-0.004133478,-0.0273497,0.6089112,-0.5735434,0.9276549,30.29221,12.69402,338.2903,-0.002907762,0.003215656,0.003319199,0.1350094,-0.1829525,0.09792557,0.2973262,-0.5451373,0.9880255,22.87636,4.062271,319.345,
123.772,0.001365721,-0.0006867002,-0.001447993,0.01052419,0.003255208,-0.002971891,-0.105192,-0.4665904,-0.4504607,272.6466,194.6843,176.0316,0.0003877328,0.0003826258,6.197048E-05,0.002606579,-0.006948489,-0.006753762,0.6089102,-0.5735439,0.9276552,30.29379,12.69339,338.2906,0.004065249,-0.0001680353,-0.002571826,-0.1070293,0.1557659,-0.1438207,0.2973263,-0.5451314,0.9880266,23.30842,4.311846,320.0538,
