time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.427,-0.002403427,-0.006306624,-0.01056064,-0.01708372,-0.01707894,0.01025659,0.1355616,0.07699484,0.3350471,357.7312,10.86614,355.79,0.0001455367,0.0003504951,4.617966E-05,0.00738824,-0.02763408,0.0287507,0.5894095,-0.5660375,0.9066057,28.98735,10.25932,333.2764,-0.004226805,0.003246765,-0.007967113,0.09690362,-0.0890956,0.1118926,0.3300542,-0.545441,1.064218,26.42794,6.50584,324.8761,
13.255,-0.002307025,-0.00561468,-0.01049889,-0.009564873,-0.01917553,0.009747808,0.1355343,0.076929,0.3349098,357.7276,10.89234,355.7811,0.0002454374,0.0005080533,6.698146E-05,0.007080058,-0.01795216,0.009916925,0.5894175,-0.5660334,0.9066043,28.98457,10.2511,333.2582,-0.0109931,-0.00113126,-0.008777752,0.04599969,-0.004603529,0.02090948,0.3299339,-0.5452969,1.064232,26.4581,6.553801,324.9915,
26.727,-0.002389818,-0.005705975,-0.01061743,-0.01191794,-0.02270293,0.01428915,0.1355168,0.07684189,0.3347752,357.7587,10.91529,355.7628,0.000517553,0.0005889779,7.826585E-05,0.003222354,-0.005305539,-0.01632488,0.5894195,-0.5660318,0.906602,28.97817,10.25271,333.2557,-0.01628593,-0.01232129,-0.001816134,-0.07963181,0.1506499,-0.1243377,0.3291301,-0.5453055,1.06436,26.64398,6.744018,325.5083,
40.595,-0.002518091,-0.006420867,-0.01080703,-0.0139082,-0.02174351,0.02075404,0.1354965,0.07672635,0.3346363,357.768,10.93858,355.7434,0.0006276617,2.552074E-05,5.158145E-06,-0.008607112,0.01113637,-0.03261984,0.5894133,-0.5660341,0.9066009,28.97085,10.26857,333.2837,-0.002604849,0.007350062,-0.002815346,0.04702024,-0.0516205,-0.01237922,0.3297666,-0.5451477,1.064076,26.4833,6.650937,325.2174,
54.316,-0.002598712,-0.007690257,-0.01077887,-0.01502764,-0.0226382,0.0212307,0.1354608,0.07658529,0.3344932,357.7953,10.95693,355.7389,0.0002821831,-0.0008061566,-0.0001041695,-0.01807985,0.02138697,-0.02363384,0.5894034,-0.5660389,0.9066018,28.97162,10.28411,333.318,0.02328654,0.02679379,-0.004127484,0.2154519,-0.4191232,0.2769333,0.3318454,-0.5443768,1.063279,25.88874,6.273919,323.8549,
68.165,-0.002701416,-0.008514015,-0.01041156,-0.02288203,-0.02501057,0.01986502,0.1354088,0.07645652,0.3343531,357.8225,10.98642,355.7405,-8.863739E-06,-0.001340082,-0.0001747314,-0.02222738,0.02031684,-0.00535429,0.5893954,-0.5660431,0.9066037,28.97583,10.29287,333.3401,0.03955049,0.03185656,-0.00525108,0.2342819,-0.5358032,0.368855,0.3321269,-0.5446889,1.06326,25.59854,6.083653,322.9968,
82.063,-0.002395969,-0.009449854,-0.009757944,-0.02506999,-0.02429824,0.01381276,0.1353748,0.07630879,0.334232,357.8432,11.00732,355.7513,-2.766236E-05,-0.0008470925,-0.000110581,-0.01239438,0.003347756,0.01044782,0.5893919,-0.5660454,0.9066057,28.97816,10.29467,333.3468,0.01755701,0.01369839,-0.001222392,0.1268764,-0.1862848,0.1938132,0.3307848,-0.5448433,1.063846,25.83975,6.026134,323.4297,
95.853,-0.002273166,-0.009665357,-0.00904445,-0.02600389,-0.02164936,0.007150874,0.1353472,0.07616848,0.3341315,357.8623,11.01281,355.7682,-0.0002960659,-0.0008140461,-0.0001072084,-0.007676397,-0.004194427,0.02751417,0.589395,-0.5660447,0.9066079,28.98845,10.28598,333.3332,-0.0115519,-0.01601627,-0.003132961,-0.143967,0.2627512,-0.2112393,0.3291256,-0.5459044,1.063844,26.36592,6.594521,324.9785,
110.445,-0.002255784,-0.008868095,-0.008293155,-0.02128686,-0.01529821,0.001521471,0.1353143,0.07606837,0.3340432,357.8589,11.01505,355.7775,-0.0003114369,-0.0005350701,-7.083789E-05,-0.002527111,-0.01065883,0.0322042,0.5893995,-0.5660425,0.9066077,28.98993,10.27554,333.3141,-0.01691334,-0.01948713,0.001085564,-0.2184435,0.3666751,-0.3001849,0.3297063,-0.5452912,1.064461,26.62897,6.879483,325.7299,
124.011,-0.002385615,-0.007769401,-0.007748523,-0.01274128,-0.01138162,-0.002058843,0.1352685,0.07599002,0.3339619,357.8593,11.02244,355.7778,-0.0001578529,-7.917367E-05,-1.081382E-05,0.002497014,-0.01227807,0.02266437,0.5894063,-0.5660386,0.9066046,28.98276,10.2666,333.2937,-0.0162248,-0.02419729,0.00655342,-0.2251064,0.35102,-0.2844083,0.3293312,-0.5451746,1.064128,26.82501,7.024825,326.0973,
137.722,-0.002476943,-0.006946842,-0.007173659,-0.004673026,-0.009294859,-0.003061417,0.1352175,0.07591546,0.3338913,357.8482,11.02566,355.778,0.0005719219,0.001583719,0.0002077935,0.01836738,-0.01503954,-0.02108986,0.5894092,-0.5660361,0.9066013,28.96785,10.26506,333.2874,-0.01309955,-0.01353366,0.002135347,-0.1246947,0.2142137,-0.1760831,0.32959,-0.5449895,1.063627,26.76574,6.981641,326.0013,
151.759,-0.002248249,-0.007088549,-0.006873876,-0.008310504,-0.007126879,-0.007470954,0.135188,0.07580766,0.3338125,357.8539,11.02736,355.7945,0.0008548168,0.000903822,0.0001201691,0.004220237,-0.008005328,-0.0268463,0.5894085,-0.5660361,0.906601,28.96786,10.2687,333.2919,-0.003920886,0.000666167,-0.002286137,0.01638579,-0.0290166,0.01271804,0.3297332,-0.5452054,1.064103,26.56659,6.791636,325.4434,
165.735,-0.001759944,-0.007775856,-0.00675372,-0.02150714,-0.004289822,-0.006984253,0.1351949,0.0756633,0.333718,357.8962,11.03142,355.8176,-9.053228E-06,-0.0006833288,-8.903495E-05,-0.01115365,0.009548294,-0.001473093,0.589406,-0.5660377,0.9066019,28.97511,10.26879,333.299,-0.0006771735,0.005914547,0.001341736,0.0934106,-0.1192402,0.1332198,0.329879,-0.5454299,1.064211,26.4351,6.593669,325.0257,
179.509,-0.001219015,-0.00840505,-0.006487377,-0.02814768,-0.0003051512,-0.008007024,0.1352084,0.07551312,0.3336331,357.9261,11.01905,355.8408,0.000152448,-3.843623E-05,-4.545072E-06,-0.003180239,0.005754996,-0.01141956,0.5894014,-0.5660405,0.9066037,28.977,10.27582,333.3149,-0.004828682,3.675709E-05,0.000953758,0.02975011,-0.02702313,0.01883251,0.3297333,-0.5452271,1.064145,26.47613,6.676044,325.1917,
193.602,-0.0009994089,-0.008438604,-0.005869152,-0.02481775,-0.0001552436,-0.002452118,0.1351993,0.07539999,0.3335648,357.9331,11.01475,355.8257,-5.422395E-05,0.0001533001,1.981378E-05,0.00429025,-0.009862173,0.01259832,0.5894027,-0.5660398,0.9066036,28.97845,10.27077,333.3066,-0.0133089,-0.00914041,0.0008377144,-0.05701306,0.1290006,-0.10732,0.3290368,-0.545552,1.064342,26.58184,6.780514,325.5593,
207.647,-0.0005260276,-0.007873039,-0.005629895,-0.01731223,-0.001677922,0.002693414,0.135202,0.07531282,0.3334891,357.9391,11.02969,355.8233,-0.0002380493,0.0002947099,3.763169E-05,0.008317905,-0.008797282,0.01357982,0.589408,-0.5660369,0.906602,28.97812,10.25717,333.2873,-0.01381942,-0.01237697,0.001615055,-0.08889937,0.1551241,-0.1379915,0.3288693,-0.5456004,1.064454,26.69929,6.928451,325.9131,
