time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.391,0.002509119,-0.002561088,0.003001774,-0.03110017,0.004949993,0.0114441,0.0301955,-0.4681304,-0.4959873,281.1528,2.252966,353.4844,-4.279299E-06,-0.0001465232,8.678299E-05,0.01045533,-0.003148451,-0.01455193,-1.071297,0.4473358,0.5728901,46.8494,156.5615,339.879,0.006968283,-0.006418245,-0.004958063,0.061186,0.6293402,-0.3235747,-0.1252453,-0.5500182,0.9785969,35.59473,338.274,326.5035,
13.171,0.002355538,-0.002491763,0.00171984,-0.02400241,0.01081312,0.001720032,0.0302309,-0.4681522,-0.495987,281.1525,2.292958,353.4121,3.524621E-05,0.000123058,-4.85173E-05,0.003590403,0.001231258,-0.0008346211,-1.071296,0.4473352,0.5728917,46.84729,156.5637,339.8832,0.009873613,0.0004688548,-0.001134484,0.1797243,0.5490954,-0.3795669,-0.1253025,-0.5497837,0.9786855,35.63358,338.658,327.2708,
26.18,0.002066205,-0.002013746,-0.0005188264,-0.002680688,0.01389594,-0.009185357,0.03025054,-0.4681296,-0.4960568,281.1286,2.295426,353.3899,0.0001005825,-0.0001136841,0.0001473094,-0.002539962,0.0009127359,-0.002770233,-1.071296,0.4473355,0.5728914,46.84719,156.5628,339.8811,0.005494866,0.008104792,0.004091151,0.3056082,0.3715286,-0.2647194,-0.1253412,-0.5496232,0.9787318,35.2745,338.7161,327.609,
40.355,0.001826748,-0.001484071,-0.00241943,0.0156665,0.0123063,-0.009544679,0.03026807,-0.4681038,-0.4961441,281.0726,2.326385,353.3486,1.830929E-05,0.000341868,-0.0001960272,0.01375177,0.001534207,-0.004453646,-1.071298,0.447337,0.5728905,46.84491,156.5598,339.8741,0.00310213,0.008128779,0.004375791,0.2103471,0.0770404,-0.1164901,-0.1253683,-0.5495123,0.9787605,34.96544,338.63,327.0605,
54.251,0.001441659,-0.001155517,-0.003799185,0.02368903,0.007498018,-0.001662143,0.03028408,-0.4681023,-0.4962367,281.0435,2.320529,353.3702,8.911326E-06,-0.0007422696,0.0004631308,-0.007788433,-0.005976655,-0.01346119,-1.071296,0.4473357,0.5728922,46.84627,156.5658,339.8839,-0.006121828,0.006359166,0.004453863,0.04620615,-0.2937416,0.2139974,-0.1253624,-0.5495253,0.9787391,34.30669,338.2162,325.9704,
68.234,0.0008285617,-0.000844777,-0.0044465,0.02578015,0.003031221,0.00125688,0.03028755,-0.468101,-0.4963177,281.0276,2.287101,353.405,0.0001059097,0.0003098687,-0.000108927,0.008247894,0.00350329,-0.00166322,-1.071295,0.4473354,0.5728931,46.84173,156.5693,339.8892,-0.01304701,0.008632456,0.006388618,-0.01802979,-0.5750799,0.4673888,-0.1253226,-0.5496945,0.9787022,33.50048,337.6999,324.7395,
82.11,0.0001890086,-0.0007212337,-0.004146198,0.02681508,-0.001490215,0.004071719,0.03027377,-0.4680782,-0.4963606,280.994,2.267564,353.4311,-0.0001410352,0.0004241673,-0.0003692128,0.01456243,-0.0003802548,0.0003759143,-1.071295,0.4473351,0.5728936,46.84054,156.5725,339.8922,-0.007201693,0.01204315,0.007533932,-0.0001298338,-0.6870456,0.3935696,-0.1252711,-0.5499031,0.9786264,32.92165,337.872,324.3195,
96.198,-0.0006171677,-0.0008118522,-0.003639912,0.02188046,-0.008882878,0.004039627,0.03023828,-0.4680347,-0.4963874,281.0066,2.18067,353.5261,0.0003868587,-0.001046345,0.0009410501,-0.02369403,-0.0003359052,-0.0139989,-1.071295,0.4473344,0.5728923,46.84906,156.5692,339.8898,-0.002846732,0.005891286,0.003648981,-0.08552917,-0.5353433,0.2625285,-0.1252231,-0.5500873,0.9785284,32.96055,337.9789,324.1087,
110.162,-0.001150717,-0.0007664331,-0.002564446,0.0207639,-0.01073613,0.005498195,0.03020369,-0.4680017,-0.496386,280.9763,2.196128,353.5153,0.000181786,-0.001136583,0.0008386525,-0.02417338,-0.004495785,-0.01182632,-1.071294,0.4473338,0.572893,46.84836,156.5743,339.8953,-0.006879701,-0.009280263,-0.004613797,-0.2590305,-0.1172291,0.2210495,-0.1251928,-0.5502245,0.9784857,33.73298,337.5254,323.8629,
123.628,-0.001643516,-0.001249816,-0.001550873,0.007198774,-0.01204766,0.002698745,0.03018289,-0.4680118,-0.4963704,280.9931,2.103203,353.612,0.0001507629,0.001003113,-0.0005003425,0.01217338,0.01047311,0.01315971,-1.071295,0.4473351,0.5728933,46.8371,156.5762,339.8928,0.002921709,-0.004028773,-0.00274048,-0.03924596,0.1508923,-0.1006407,-0.12519,-0.5502524,0.9785013,33.95271,337.9288,324.7972,
137.839,-0.002114627,-0.00153471,-0.0005821483,-0.0005752899,-0.01340304,-0.004281635,0.03015486,-0.4680225,-0.4963428,281.0067,2.008343,353.6972,0.0004016977,-0.0007908999,0.0007953094,-0.03392586,0.004020034,0.003209395,-1.071298,0.4473372,0.5728906,46.84607,156.5622,339.8693,0.00687202,0.005836444,0.002501345,0.1753959,0.1344721,-0.2117083,-0.1252036,-0.5501769,0.9785036,33.88813,338.3752,325.6348,
151.895,-0.002508546,-0.001664869,-4.333894E-05,-0.0008655703,-0.01394645,-0.01147876,0.03010765,-0.4680251,-0.4963282,281.0078,1.912035,353.7771,3.584297E-05,0.0006904292,-0.0003965565,0.008932818,0.006018532,0.009907331,-1.071301,0.4473394,0.5728896,46.83672,156.5653,339.8657,-0.001019857,0.0009507764,0.0006830199,0.0509318,0.06601343,-0.00942461,-0.1252156,-0.5501193,0.9785159,33.84612,338.0397,325.0886,
