,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0,2.316,-0.002128657,-0.001088351,-0.000703282,0.0018542,-0.007535141,-0.01182422,-0.332269,-0.41007,-0.4108121,271.8193,350.1878,55.88018,-7.740981e-05,7.125837e-05,3.021751e-05,-6.911365e-05,0.003971286,-0.004729461,0.9013823,-0.5348278,0.5053459,26.99446,16.46434,301.8493,-0.000415011,-0.002475876,0.001840352,0.1133749,-0.03788686,-0.05256868,0.8092693,0.5489051,0.2461424,53.70975,120.1478,3.900535
1,27.542,-0.001167389,-0.001182874,-0.0005829771,0.01005617,-0.0003519893,0.0034347,-0.3322693,-0.4101029,-0.4108443,271.8111,350.3293,55.77508,-9.080375e-05,0.0003602223,5.265795e-05,0.0002040967,0.004705815,-0.01211171,0.9013734,-0.5348275,0.5053506,26.99906,16.47355,301.8785,-0.002007773,-0.001521686,-0.0001646471,-0.09423742,-0.02501679,-0.02023537,0.8093314,0.5489144,0.2461417,53.75764,120.166,3.884597
2,37.449,-0.0009115813,-0.00123681,-0.0003775716,0.008795522,0.0004578778,0.003282029,-0.3322702,-0.4101256,-0.4108508,271.8067,350.3902,55.72598,0.000507323,0.0002572694,-0.0001530045,-0.00503208,-0.01201047,0.0009089862,0.9013733,-0.5348272,0.5053498,26.99655,16.47388,301.8761,-0.00283104,-0.002085543,-0.0002821842,-0.1662605,-0.02830667,-0.02766936,0.8093053,0.5488976,0.2461322,53.76061,120.1176,3.548639
3,52.355,-0.0004849078,-0.001041826,-0.0003719692,0.008782546,-0.0007145171,-0.002991371,-0.3322585,-0.4101186,-0.41087,271.789,350.1339,55.97486,-0.000733307,-0.0001757274,0.0002333158,0.01815535,-0.006396576,0.01610314,0.9013765,-0.5348272,0.5053468,26.9935,16.46534,301.86,-0.0005032737,-0.0001668114,-0.0002275654,-0.1389692,0.01886034,-0.003982578,0.8092515,0.5488691,0.2461174,53.67801,120.0612,3.461946
4,67.369,9.209647e-05,-0.0009609761,-0.0004328057,0.007674376,-0.003416026,-0.008256445,-0.3322366,-0.4101176,-0.4108948,271.7743,349.725,56.37242,0.0008175202,0.000822284,-0.0002214744,-0.008441507,-0.01762211,-0.009749243,0.9013793,-0.534827,0.5053442,26.98487,16.47224,301.8561,0.002967444,0.001560992,0.0008395136,-0.002660147,0.06684654,0.006771009,0.8092297,0.5488567,0.2461113,53.66995,120.0387,3.566094
5,82.955,0.0003768614,-0.001096863,-0.0001606419,0.002246132,0.002984605,-0.01125917,-0.3322199,-0.4101182,-0.4109102,271.7681,350.2787,55.79731,-0.001278461,-0.0007059848,0.0003818964,0.02504877,0.002576234,0.02475744,0.9013814,-0.5348272,0.5053436,26.99129,16.45565,301.8416,0.001686755,0.002681512,-0.001076877,0.07046138,0.0254225,0.05144547,0.8092408,0.5488724,0.2461212,53.64877,120.1433,3.758036
6,97.651,0.001151308,-0.00126429,0.0002724168,-0.005369271,0.00692971,-0.009116394,-0.3321683,-0.4101184,-0.4109125,271.7794,350.7991,55.25821,7.545459e-05,0.0003648791,-2.535775e-06,0.0006024249,-0.003998112,-0.005514176,0.9013827,-0.534827,0.5053417,26.98444,16.46784,301.8459,0.00458826,0.005131385,-0.001010169,-0.007823142,0.1088923,0.07765978,0.8092525,0.5489,0.2461407,53.43568,120.0508,3.740566
7,112.789,0.001416355,-0.001288347,0.0007422945,-0.005798195,0.009768245,-0.005317868,-0.3321318,-0.4101335,-0.4108906,271.7833,351.3282,54.72754,-0.000841961,-0.0005748353,0.0002448307,0.01602519,0.002486079,0.01816102,0.9013844,-0.5348272,0.5053412,26.9869,16.4586,301.8364,0.001253962,0.001932778,-0.0007342742,-0.0968438,0.05109867,0.0303232,0.8092294,0.548897,0.2461412,53.44082,120.0229,3.574925
8,127.706,0.001386234,-0.001303305,0.001112774,-0.007111995,0.009661511,-0.002413336,-0.3321018,-0.4101598,-0.4108599,271.7898,351.5676,54.48448,0.0008420424,0.0006275527,-0.0002418276,-0.01224223,-0.0107983,-0.01168785,0.9013845,-0.5348269,0.5053397,26.97957,16.46893,301.8403,-0.003678575,-0.004385188,0.001081208,-0.05095439,-0.0755757,-0.07153812,0.8092113,0.5488769,0.2461284,53.638,120.0382,3.520671
9,142.391,0.0009421558,-0.001210082,0.001130991,-0.004863643,0.007953649,-0.0002884666,-0.3320956,-0.4101683,-0.4108477,271.7912,351.6586,54.39627,-0.0002724142,2.222139e-05,9.215799e-05,0.00670635,-0.002073061,0.003635156,0.901386,-0.5348269,0.5053387,26.98027,16.46343,301.8335,0.002486411,0.001945038,0.0001615155,0.02968077,0.05027904,0.02280897,0.8092151,0.548876,0.2461274,53.53245,120.0222,3.606157
10,157.23,0.0002716475,-0.001134492,0.0008237232,0.001327384,0.0008929278,0.000313395,-0.3321015,-0.4101454,-0.4108678,271.7848,351.1308,54.93638,-1.318811e-05,5.420735e-05,7.74928e-06,0.0007954235,-0.001019305,-0.0002242527,0.9013858,-0.5348268,0.5053387,26.97941,16.46449,301.8349,-0.0003421933,2.894632e-05,-0.0002786171,0.01842965,-0.01126195,0.005178106,0.8092175,0.5488821,0.2461317,53.53552,120.0395,3.622669
11,171.935,-0.0003013194,-0.001180402,0.0004793501,0.004230684,-0.004478214,-0.0001245252,-0.3321164,-0.4101346,-0.4108902,271.78,350.6424,55.43138,-1.985062e-05,-6.240837e-05,2.753301e-06,-0.0004358884,0.001751903,8.747898e-06,0.9013855,-0.5348268,0.5053387,26.9798,16.46423,301.8355,-0.0005375608,-0.0003348753,-0.0001087097,0.007203786,-0.01366113,-0.002240738,0.8092214,0.548885,0.2461336,53.54871,120.0594,3.643607
12,186.258,-0.0008956041,-0.001226011,0.0002094024,0.003959431,-0.004565338,0.001694024,-0.3321488,-0.4101334,-0.4109149,271.7814,350.5451,55.53444,-0.0001017498,0.0002657983,5.035144e-05,0.003720291,-0.002854327,-0.002785157,0.9013861,-0.5348268,0.5053383,26.97877,16.46297,301.8334,0.0004622793,0.0002790378,0.0001012712,-0.004904898,0.01145391,0.001756888,0.8092214,0.5488856,0.2461337,53.545,120.0584,3.643055
13,200.565,-0.0009587585,-0.001149074,0.0002621321,0.004673529,-0.006136755,0.002348517,-0.3321616,-0.4101284,-0.4109246,271.7808,350.2738,55.81234,3.109154e-05,-5.158906e-05,-1.355279e-05,-0.0006669696,-0.0001017692,0.001056322,0.9013872,-0.5348268,0.5053374,26.97777,16.46318,301.8302,-0.0005211603,-0.0005988621,0.0001314987,-0.0006254608,-0.01207712,-0.00930718,0.8092179,0.5488834,0.2461329,53.53977,120.0477,3.626717
14,215.185,-0.0006984948,-0.001022297,0.0003497138,0.006434727,-0.007100263,0.005054205,-0.3321555,-0.4101117,-0.4109296,271.7829,350.064,56.03592,-7.079814e-05,-7.322799e-05,1.906572e-05,-0.0002046265,0.003605723,-0.001038754,0.9013863,-0.5348268,0.5053381,26.9791,16.46523,301.8333,0.0002933352,0.0003061726,-4.73187e-05,0.01449182,0.003688745,0.005056662,0.8092209,0.548885,0.2461334,53.5431,120.0552,3.641571
15,229.575,-0.0004768904,-0.0008339883,0.0005263955,0.008634273,-0.003461333,0.006177843,-0.3321463,-0.4100904,-0.4109264,271.78,350.225,55.88811,0.0001507495,-7.993997e-05,-5.518931e-05,-0.004787103,0.003377774,-0.002486521,0.9013847,-0.5348269,0.5053398,26.98132,16.46641,301.8392,0.0004190454,0.0002680872,7.888125e-05,0.007192167,0.007894965,0.002452501,0.8092225,0.5488878,0.2461357,53.53459,120.0543,3.650166
16,243.844,-0.0004831995,-0.0009991175,0.0002443049,0.006610522,-0.001998091,0.008427177,-0.3321499,-0.4100947,-0.4109405,271.7874,350.3546,55.76746,-0.0001084273,0.0001491694,4.537109e-05,0.002489268,-8.240223e-05,-0.002552099,0.9013844,-0.5348269,0.5053399,26.98151,16.46694,301.8402,-0.0002197498,-0.0001963589,6.824375e-06,0.005236475,-0.006183567,-0.002298365,0.8092231,0.5488896,0.2461365,53.53461,120.0613,3.659115
