,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0,0.5,-0.001029108,-0.0007896139,0.00190316,-0.00784884,-0.002903039,0.01322338,-0.06883278,-0.4646527,-0.4476564,277.1882,226.0014,143.9184,-0.0003370913,0.0003811834,6.870671e-05,0.0106765,-0.008727566,0.0120031,1.295444,-1.457958,0.08060087,31.10197,11.02448,331.8173,-0.03904993,-0.05690641,-0.01136582,-0.4536074,0.6394834,-0.4946235,0.2828137,-0.5582339,1.027882,28.55896,7.961058,332.1203
1,13.303,-0.0006582393,-0.0007587965,0.0004653248,-0.005886516,-0.0001934404,0.01106859,-0.06882538,-0.4646551,-0.4476889,277.1839,225.9965,143.9286,-0.0002732216,0.0003267974,5.861088e-05,0.008744636,-0.005901767,0.008032313,1.295444,-1.457958,0.08060101,31.1023,11.02503,331.818,-0.03913928,-0.05736105,0.007983003,-0.5121928,0.7570835,-0.4947434,0.2829639,-0.5582784,1.029027,29.05864,8.208068,333.1475
2,26.697,-0.0004620566,-0.0008055554,-0.001214196,-0.007244762,-0.0009973774,0.001484604,-0.06882675,-0.4646766,-0.4477432,277.1783,226.0077,143.902,-0.0003728115,-6.472384e-05,-3.566798e-06,0.003068443,0.003903404,0.005099209,1.295443,-1.457958,0.08060111,31.10369,11.02447,331.8217,-0.01673348,-0.02372961,0.02402632,-0.2898449,0.4117075,-0.3876518,0.2835303,-0.5573779,1.029151,28.81992,8.353315,333.117
3,40.616,-0.0006912811,-0.0006262889,-0.00237711,-0.0001938909,0.0004206284,-0.0107598,-0.06884401,-0.4646862,-0.447801,277.1857,225.8566,144.0276,-0.0002526518,-0.0004306283,-6.572418e-05,-0.004045646,0.007411343,0.004144456,1.295439,-1.45796,0.08060178,31.10456,11.02943,331.8378,-0.0008983011,0.01552068,0.03068404,0.05892486,-0.01281359,-0.0349365,0.2842323,-0.5569417,1.028979,28.37888,7.858242,331.9843
4,54.147,-0.0005891926,-0.0006142805,-0.003796751,0.01009968,-0.0005589949,-0.01780344,-0.06883296,-0.4646719,-0.4479151,277.2148,225.6613,144.1953,4.082126e-05,0.0003304072,5.331118e-05,0.004021508,0.001125371,-0.007751125,1.295434,-1.457963,0.08060268,31.10265,11.03836,331.8544,0.01506743,0.05371931,0.03026772,0.4325544,-0.4910832,0.3844666,0.2859281,-0.5556343,1.028966,27.49284,6.983774,330.0278
5,68.228,-0.0001543222,-0.0004522816,-0.004207775,0.02007354,0.001925231,-0.01868453,-0.06880755,-0.4646541,-0.4480053,277.2346,225.425,144.4274,3.545878e-05,0.0006058646,9.85075e-05,0.008961624,-0.005976344,-0.003681975,1.295431,-1.457964,0.08060265,31.10223,11.04256,331.8637,0.03246475,0.05945355,0.006931964,0.5360478,-0.7971516,0.7686713,0.2865889,-0.5554824,1.029143,26.98381,6.13993,327.9294
6,81.869,0.0005949783,-0.0003138777,-0.003367081,0.02224181,0.003626944,-0.0150947,-0.06876783,-0.4646474,-0.4480282,277.2409,225.309,144.5488,9.399063e-05,0.0008270027,0.0001336038,0.01196993,-0.01025297,-0.003584132,1.295429,-1.457965,0.08060293,31.10157,11.04518,331.8686,0.02480586,0.03870328,0.00953904,0.4087629,-0.5495219,0.6048532,0.2863727,-0.5566562,1.029072,26.9286,5.905035,327.6753
7,95.564,0.001224904,-0.0003265466,-0.00186987,0.009254489,0.007223733,-0.006718919,-0.0687244,-0.4646504,-0.4480012,277.2257,225.2885,144.5709,-0.0006300448,-0.001050502,-0.0001602349,-0.008056142,0.006062823,0.02478393,1.295428,-1.457966,0.08060394,31.10895,11.04507,331.872,0.01327297,0.006091863,0.007104009,0.04246433,-0.07966392,0.04386302,0.2853532,-0.5563985,1.028948,27.41469,6.688131,329.2716
8,110.069,0.001583855,-0.0002221158,1.374117e-05,-0.003454167,0.0111665,-0.001847172,-0.06868137,-0.4646457,-0.4479399,277.1977,225.3311,144.5325,0.0002110627,0.001269309,0.0002037757,0.01798723,-0.01880628,-0.003389056,1.295427,-1.457966,0.08060354,31.09981,11.04882,331.8727,-0.001800467,-0.01480495,0.009197505,-0.1898362,0.2732144,-0.2398112,0.2849549,-0.5564298,1.029841,27.84788,7.174167,330.4948
9,123.713,0.001905894,-0.0003407792,0.001644607,-0.01542216,0.009941212,-0.0006708431,-0.06862785,-0.4646338,-0.4478739,277.1689,225.4648,144.395,-0.000110257,0.0006638388,0.0001107446,0.01250018,-0.01286732,0.006999029,1.295429,-1.457965,0.08060275,31.10093,11.04526,331.8676,0.003721496,-0.01046504,0.009810309,-0.1514717,0.1720841,-0.2009233,0.2855409,-0.5561012,1.029215,27.84381,7.316623,330.607
