,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0,0.504,0.00086643,-0.0005266693,-0.002864791,0.01866824,0.008648221,-0.004398427,-0.1024035,-0.4652656,-0.4580348,276.6851,203.2832,168.0457,0.0001801366,-0.0001032758,9.682662e-07,-0.002355728,-0.005599505,0.003126355,0.4873086,-0.547903,0.9657498,26.79435,11.27376,352.7149,0.007740992,-0.002177026,-0.005292172,-0.2206785,0.3683636,-0.3180414,0.2670754,-0.5466374,1.059112,23.6078,1.619472,321.8701
1,12.743,0.0008508679,-0.0005669651,-0.002771221,0.01239433,0.007658948,-0.007090867,-0.102394,-0.4652719,-0.4580906,276.6867,203.2424,168.0784,0.0004044941,-8.923536e-05,2.587325e-05,-0.003268163,-0.0054607,-0.004149085,0.4873094,-0.5479032,0.9657525,26.79448,11.28438,352.7162,0.0007606788,-3.489945e-05,-0.0004288877,-0.03430903,0.1473183,-0.102615,0.2670698,-0.5465038,1.059122,23.25706,1.393986,321.3171
2,26.545,0.0007039226,-0.0004238279,-0.002423236,0.009713216,0.005490431,-0.01268054,-0.1023843,-0.4652706,-0.458137,276.6923,203.1714,168.1322,0.0001240413,3.159227e-05,1.776293e-05,0.000462636,-0.007456687,0.006469942,0.4873099,-0.5479026,0.9657521,26.79484,11.28126,352.7125,-0.00313944,0.0005148785,0.001933944,0.05807238,0.02538185,0.03033023,0.2670769,-0.5464883,1.059147,23.17068,1.298167,321.1538
3,40.31,0.0006145622,-0.0003018402,-0.001922591,0.01036227,0.004058325,-0.01365585,-0.1023758,-0.4652674,-0.4581734,276.702,203.1019,168.192,-7.471019e-05,0.0003610792,5.262697e-05,0.006834378,-0.0005368463,0.0003207196,0.4873109,-0.5479013,0.9657513,26.7952,11.2767,352.7079,-0.005844951,0.0007406762,0.003440911,0.1433762,-0.2581771,0.2544551,0.2670824,-0.5465492,1.059151,22.68369,0.9797706,320.195
4,53.943,0.0002705127,-0.0002202388,-0.001330131,0.0101108,0.003833823,-0.01466505,-0.1023913,-0.4652612,-0.4581883,276.7095,203.022,168.2605,-0.0001573017,-0.0005787212,-0.0001123248,-0.009784778,0.004374329,0.003114892,0.4873102,-0.547902,0.9657518,26.79812,11.27502,352.7109,-0.0147819,-7.34888e-05,0.00759133,0.2998365,-0.5350467,0.6159566,0.2670939,-0.5467694,1.059142,21.99655,0.353222,318.6247
5,68.09,0.0001812636,-0.0002501486,-0.000524412,0.007416112,0.003801643,-0.01173563,-0.1023994,-0.4652601,-0.4581859,276.7101,202.9897,168.2889,0.0001806307,-0.0007063362,-9.95522e-05,-0.01348859,0.0002432273,-0.0005577144,0.4873089,-0.5479035,0.9657521,26.79985,11.2784,352.717,-0.01794606,0.003176786,0.01042828,0.3977726,-0.6159878,0.6942012,0.2671104,-0.5470952,1.059141,21.35439,359.8988,317.6435
6,81.835,0.0001288743,-0.0002941378,0.000694619,0.002540924,0.00311032,-0.008116188,-0.1023859,-0.4652517,-0.4581664,276.7038,203.0006,168.2759,0.0004002569,0.001463889,0.0002842113,0.02444736,-0.007020079,-0.01367904,0.4873079,-0.5479041,0.9657512,26.7906,11.28013,352.7194,0.003818556,-0.0005668869,-0.002261305,-0.06387494,-0.08771817,0.0009772503,0.2671141,-0.5472672,1.059131,22.24877,0.6701877,319.2844
7,95.771,0.0002462568,-0.0002478486,0.002151721,-0.004386025,0.002787617,-0.004062681,-0.1023612,-0.4652376,-0.4581236,276.6884,203.0428,168.234,0.0001828466,-0.0009541085,-0.0001406264,-0.01737925,-0.006988514,0.01151233,0.487309,-0.5479032,0.9657515,26.79926,11.27842,352.7146,0.01914815,0.01723929,-0.002490389,-0.1033802,0.3129991,-0.7718364,0.2670996,-0.5470998,1.059108,22.483,1.698119,321.6918
8,109.733,0.0004751626,-0.0004926182,0.003357781,-0.01745651,0.0006630339,-0.001448991,-0.1023435,-0.4652383,-0.4580631,276.6596,203.123,168.151,0.0002389235,-0.001088983,-0.0001574364,-0.02019591,-0.005130343,0.008170288,0.4873095,-0.5479028,0.9657513,26.79836,11.27912,352.7136,0.009151022,0.003521557,-0.003309006,-0.1386632,0.2828341,-0.381508,0.2670942,-0.5469282,1.059117,22.89116,1.409329,321.3116
9,123.543,0.0004619003,-0.0003885556,0.004198185,-0.0241311,0.002387981,0.002097506,-0.1023437,-0.4652469,-0.458004,276.619,203.2579,168.0177,0.0006528322,0.001247442,0.0002734616,0.01914612,-0.004852712,-0.02294745,0.4873075,-0.5479047,0.965752,26.78626,11.28791,352.7244,0.001490929,-0.002245485,-0.001829759,-0.06607752,0.03995977,-0.01786602,0.2670892,-0.5468486,1.059115,22.6619,1.077857,320.3664
