,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0,2.515,0.001533998,-0.00107924,0.002643866,-0.009647358,0.01348434,0.01679365,-0.3275166,-0.4131048,-0.3948543,281.166,20.09283,27.70534,0.002280076,-5.632306e-05,-0.0004566698,-0.04061846,0.01094464,-0.006431174,1.03621,-0.5516791,0.4627763,15.54238,185.068,291.5815,0.004576823,-0.006327382,-0.001953754,0.04451659,0.1662159,-0.09850796,0.6761895,-0.5209407,0.6302717,56.09991,308.7769,21.22836
1,27.269,-0.0001246608,-0.0006998876,0.002784805,-0.005065805,0.003099544,0.0177767,-0.3275566,-0.4130811,-0.3947237,281.2102,20.11831,27.70345,0.00212494,-0.0004422031,-0.0004763621,-0.04058898,6.084517e-05,-0.01053815,1.036213,-0.5516784,0.4627715,15.55355,185.0574,291.5927,0.0008884243,-0.00162527,-0.0006881265,-0.004295241,-0.3661458,-0.1663826,0.6762192,-0.5209658,0.6302982,55.76243,307.9566,19.59262
2,40.796,-0.001262389,-0.0004679177,0.002199438,-0.002917483,-0.006237749,0.01201888,-0.327598,-0.4130879,-0.3947246,281.2047,20.03225,27.796,0.002190701,-0.0005856897,-0.0005079725,-0.04264264,-0.001398902,-0.008859791,1.036215,-0.5516779,0.4627671,15.5642,185.0567,291.5993,0.001248713,-0.002372423,-0.001042997,-0.005078945,-0.3697252,-0.1875143,0.6763213,-0.5210107,0.6303496,55.7445,307.7174,19.05038
3,50.744,-0.001728197,-0.0001803997,0.001856436,0.001713845,-0.01215092,0.008943035,-0.3276541,-0.4130894,-0.3946941,281.1969,19.92313,27.92658,0.002400983,-3.035151e-05,-0.0004759183,-0.04282437,0.007865826,-0.01459736,1.036217,-0.5516775,0.4627656,15.56474,185.0503,291.6072,0.0002590625,-0.002011487,-0.001460402,-0.014858,-0.06551332,-0.06989793,0.6763759,-0.5210434,0.6303843,55.87844,308.1439,20.00245
4,66.602,-0.002089669,0.0001111569,0.001149906,0.00883299,-0.01878947,0.006214108,-0.3276935,-0.4130809,-0.3947222,281.1696,19.81742,28.06343,0.00303685,-0.0003941453,-0.0006479365,-0.05602505,0.01132446,-0.003074435,1.036219,-0.5516771,0.462765,15.56831,185.0369,291.6069,-0.003525789,0.00122797,-0.001486462,-0.06846362,0.2233019,0.1051257,0.6763148,-0.5210238,0.6303616,55.91268,308.3436,21.03159
5,81.694,-0.002169343,0.0002261744,0.0006741844,0.01451643,-0.01952564,0.00659315,-0.3277251,-0.4130749,-0.3947349,281.1534,19.83,28.0741,0.0005875827,0.0007849362,-1.229859e-05,-0.005046463,0.02033815,0.001583587,1.036213,-0.5516784,0.4627689,15.55433,185.0644,291.5879,0.0008448666,-0.0002526843,0.0003923692,0.01750768,0.03615606,0.0054669,0.6762769,-0.5210015,0.6303375,55.86742,308.3147,20.5157
6,96.997,-0.002158246,0.000129904,0.0003329146,0.0134743,-0.01622691,0.00461098,-0.327754,-0.4130777,-0.3947493,281.1487,19.83768,28.06851,0.003311275,0.0001207713,-0.0006335945,-0.0565053,0.03946026,0.02670076,1.036204,-0.5516807,0.4627739,15.54246,185.0129,291.5431,0.002772817,-0.003871421,-0.001204527,0.02421242,-0.1225854,-0.1359138,0.6763066,-0.5210215,0.6303584,55.95905,308.1075,19.96439
7,112.099,-0.001964046,-0.0001085447,7.781317e-05,0.007123651,-0.01175102,0.0005029275,-0.3277793,-0.4130872,-0.394774,281.1474,19.78816,28.10842,0.0008502149,0.0009974709,-3.5729e-05,-0.008002606,0.03092136,0.01006936,1.036193,-0.5516836,0.4627815,15.5246,185.0504,291.5255,-0.0001364022,-0.001746955,-0.001526979,-0.02166365,-0.09043281,-0.0719946,0.6763405,-0.5210459,0.6303841,55.90243,308.0588,19.98498
8,127.043,-0.001221569,-0.0001865643,0.0004516399,0.002185822,-0.002781284,-0.000892233,-0.3277721,-0.4130909,-0.3947691,281.1538,19.85106,28.03133,0.002496181,4.135953e-05,-0.0004858651,-0.04294712,0.02872386,0.02011895,1.036184,-0.5516858,0.4627866,15.51799,185.0283,291.4958,0.0002495656,-0.0008623798,-0.0005288125,-0.002391392,0.02323314,-0.01269846,0.6763452,-0.5210542,0.6303924,55.90841,308.1393,20.13296
9,141.784,-0.0001904527,-0.0004554618,0.001011029,-0.004881272,0.009296278,-3.155496e-05,-0.3277338,-0.413103,-0.3947382,281.1759,19.96473,27.89456,0.002124417,0.0001744622,-0.0003957436,-0.03619381,0.01746516,-0.0007552416,1.03618,-0.551687,0.4627904,15.51146,185.0405,291.4927,-0.0006309007,0.0009424852,0.0003236522,-0.004715644,0.04842966,0.03911697,0.6763322,-0.521045,0.6303828,55.89389,308.1865,20.24104
