,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0,0.402,0.00603005,0.002228272,0.001411344,0.01497243,-0.042826,0.00400154,0.1467279,0.05798948,0.3250679,357.6764,12.82952,354.9807,-8.379684e-07,0.0005137682,8.417299e-05,0.009257549,-0.01850236,0.01438715,0.6106731,-0.572678,0.9276153,31.03913,9.975897,332.3379,0.00705567,0.001997105,-0.001797365,0.02991364,-0.08129642,0.07718668,0.3298604,-0.5439493,1.064886,25.69774,4.898571,322.8896
1,13.136,0.005550674,0.002134013,0.001568424,0.01112085,-0.03722016,0.0007944216,0.1467788,0.05800518,0.3250915,357.6748,12.84504,354.994,0.0002299533,0.0005555053,9.158749e-05,0.005798895,-0.002211406,-0.01186297,0.6106746,-0.5726762,0.9276125,31.03165,9.973796,332.3362,0.005284857,0.00901788,-0.00116863,0.1005008,-0.09693616,0.09341784,0.3301224,-0.5438801,1.064862,25.56274,4.761614,322.6989
2,26.084,0.004898631,0.002062885,0.001853621,0.008759147,-0.03236587,-0.006600097,0.146815,0.05801848,0.3251213,357.662,12.86149,355.0117,0.0004746741,0.0003545384,5.933712e-05,-8.391158e-05,-0.0002629029,-0.01689288,0.6106719,-0.5726767,0.92761,31.02501,9.978827,332.3449,0.009641948,0.01103103,-0.001185484,0.108045,-0.1566908,0.1147551,0.3304375,-0.54379,1.064632,25.39769,4.676515,322.3958
3,39.67,0.004136475,0.001887281,0.002156059,0.01210712,-0.02674245,-0.009653296,0.1468375,0.05802798,0.3251566,357.6397,12.87201,355.0103,-4.476119e-05,0.0002672256,4.355442e-05,0.004911155,-0.005193128,0.00311875,0.6106701,-0.5726764,0.9276075,31.01741,9.978452,332.3471,0.00951311,0.01240311,-0.001884815,0.1305352,-0.1878209,0.1606619,0.3308373,-0.5436257,1.064604,25.21915,4.491858,321.9825
4,53.854,0.003435886,0.001393636,0.002334729,0.01283077,-0.01783148,-0.006940792,0.1468841,0.05803216,0.3251919,357.6328,12.86502,354.9982,-9.747582e-05,0.000472534,7.689225e-05,0.01021053,-0.02366755,0.02377927,0.610675,-0.5726734,0.9276054,31.01214,9.967606,332.321,0.01686278,0.01945891,-0.00230653,0.1599698,-0.2729231,0.2103919,0.3316301,-0.5431006,1.064363,24.98027,4.370837,321.5114
5,67.818,0.002586653,-9.830926e-06,0.002720119,0.01301452,-0.01370403,-0.008432889,0.1469133,0.05799085,0.3252384,357.62,12.86898,355.0077,-0.0001730314,0.000341399,5.519239e-05,0.009159942,-0.02414442,0.02833559,0.6106856,-0.5726679,0.9276026,31.0098,9.948912,332.2821,0.01958947,0.02294821,-0.004203196,0.1793774,-0.301122,0.233499,0.3316552,-0.5433696,1.064188,24.76876,4.224001,321.1055
6,81.563,0.001890621,-0.001011367,0.002854363,0.005902306,-0.005920449,-0.006687202,0.1469128,0.05794394,0.325289,357.6247,12.86502,355.0124,0.0008830091,0.001421025,0.000234071,0.01315313,-0.02376422,-0.01521262,0.6106916,-0.5726646,0.9276006,30.99951,9.950724,332.2725,0.01240422,0.0117832,-0.0002943052,0.1014339,-0.1560258,0.1647453,0.3314972,-0.5433093,1.06455,24.89952,4.198919,321.1956
7,95.802,0.0009838177,-0.001658507,0.003507472,0.002660182,-0.002613203,-0.01005798,0.1468817,0.05789688,0.3253675,357.6235,12.85857,355.0262,-5.136055e-05,-0.0007033829,-0.000114835,-0.009760122,-0.0001045369,0.0128361,0.6106936,-0.5726637,0.9276007,31.00629,9.946806,332.267,0.007016763,0.002782587,0.004555899,-0.02007983,0.0004890279,-0.049583,0.331241,-0.5433671,1.064435,25.05748,4.429348,321.6727
8,109.556,0.0006638763,-0.001345033,0.003588293,0.0005231053,0.008006208,-0.01435783,0.1468723,0.05788401,0.3254285,357.6209,12.83249,355.0439,0.0002135437,-0.0003506938,-5.657847e-05,-0.008216377,0.007225453,-0.008334168,0.6106915,-0.5726647,0.9276009,31.0052,9.952276,332.2768,0.0008328378,-0.005744821,0.007544801,-0.08808343,0.1354185,-0.1123297,0.3311521,-0.5432886,1.064962,25.24209,4.569944,322.051
9,122.993,-0.0001296318,-0.001207019,0.003944074,0.004322168,0.01368432,-0.01647116,0.1468589,0.05786851,0.3254992,357.6013,12.8114,355.0503,0.00102261,0.0006783277,0.0001132825,-0.001843272,0.003569292,-0.04013065,0.6106861,-0.5726674,0.927602,30.99961,9.970424,332.3047,6.278067e-05,-0.005862578,-7.359e-05,-0.04144389,0.02815815,-0.08584359,0.3310454,-0.5435952,1.064404,25.15117,4.577843,321.9581
