,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0,0.425,0.000192615,-0.006432376,0.008896072,-0.0405001,-0.01168384,-0.004955649,-0.004157282,0.008213878,-0.01020741,7.645998,1.345783,358.8511,-0.004380302,0.00203657,-0.001741645,0.01697836,0.02168067,-0.01723483,0.1278673,-0.5728485,0.7504733,36.95012,357.841,346.864,-0.01482045,-0.009042427,-0.001439819,-0.02080412,0.1682735,-0.116506,-0.07876024,-0.5738086,0.728781,35.16927,3.971766,342.9525
1,12.757,0.0001923835,-0.006315991,0.007832416,-0.04528112,-0.009690769,0.004648328,-0.004169554,0.008127958,-0.01011854,7.698254,1.350035,358.835,-0.002907291,0.00191432,-0.00150741,0.009154582,0.01768373,-0.01671944,0.1278257,-0.5728422,0.7504774,36.9462,357.8495,346.8838,-0.008896173,0.005170907,-0.003038535,0.07408205,0.05574037,-0.07946249,-0.07868543,-0.5736157,0.728708,35.02602,3.926341,342.7803
2,26.359,7.284118e-05,-0.007012777,0.006396044,-0.05377733,-0.009329647,0.005047429,-0.004176967,0.00800547,-0.0100556,7.760455,1.354827,358.8352,-0.00170046,0.001502914,-0.001450543,-0.006150014,0.01778841,-0.01833098,0.1278032,-0.5728378,0.7505012,36.95373,357.8623,346.9064,-0.007074373,0.0163157,-0.002363689,0.1583198,-0.06022123,0.03604367,-0.07863444,-0.57345,0.7286829,34.81023,3.753264,342.527
3,40.267,4.597081e-05,-0.008365346,0.004440523,-0.05999176,-0.001162545,0.0009638107,-0.004183739,0.007838875,-0.01003641,7.813151,1.339255,358.8484,-0.0012458,0.001882768,-0.001813425,-0.003504359,0.01130643,-0.01027666,0.127787,-0.5728264,0.7505251,36.95846,357.8696,346.9208,-0.003805859,0.02033002,-0.002019627,0.1780322,-0.1271409,0.06918555,-0.07865302,-0.5731688,0.7284029,34.57483,3.612868,342.2227
4,53.968,0.0001700346,-0.008769244,0.002845357,-0.05650571,0.009953599,-0.003691462,-0.004190072,0.007675946,-0.01003408,7.850265,1.316888,358.8706,-0.0005897799,0.0001010591,-0.001665117,-0.01695728,0.007852091,-0.001771823,0.1277776,-0.5728164,0.7505195,36.96527,357.8777,346.9316,-0.00351024,0.004871563,-0.004415418,0.03804236,-0.0702504,0.03594264,-0.078735,-0.5732395,0.7287185,34.76254,3.716614,342.3776
5,68.16,6.508169e-06,-0.007637579,0.001410238,-0.04200389,0.01738629,0.002400913,-0.004208647,0.00757283,-0.01004589,7.842701,1.289153,358.8514,-0.0001720312,0.002065316,-0.001707511,0.01679591,-0.006704072,-0.0009788824,0.1277713,-0.572799,0.7504796,36.96171,357.8775,346.9281,0.000261291,0.007980806,0.0001059035,0.03383974,-0.1009241,0.05506838,-0.07872151,-0.5734009,0.7288126,34.70273,3.694525,342.263
6,81.707,-0.0003215967,-0.00631776,0.0003227553,-0.02744745,0.01672149,0.01725235,-0.004221521,0.007514685,-0.01006198,7.839087,1.281182,358.8034,-0.0006233221,0.0008149973,-0.00240688,0.00360022,-0.004055536,0.005553998,0.1277636,-0.5727924,0.7504479,36.96218,357.8751,346.9229,0.0003662729,-0.001173821,-0.00221969,-0.0405627,-0.01081419,0.008598444,-0.07874913,-0.5733051,0.7287361,34.76218,3.711507,342.3021
7,95.452,-0.0005188407,-0.005238912,-0.0009416285,-0.02263374,0.01306541,0.03266781,-0.004231885,0.007466912,-0.0101009,7.866973,1.250247,358.7494,-0.0005345102,0.002266373,-0.002053472,0.02781049,0.006158435,-0.008450718,0.1277276,-0.5727551,0.7503631,36.95293,357.8701,346.9286,-0.002411996,-0.0007053589,-0.001509121,-0.02600553,0.05942108,-0.02931519,-0.07882677,-0.5733568,0.7288537,34.78994,3.739328,342.3856
8,109.957,-0.0001903631,-0.004996719,-0.002316666,-0.02273295,0.01231559,0.03135426,-0.004229575,0.007398158,-0.01016307,7.895923,1.247194,358.7481,0.0003994714,0.002452072,-0.002004862,0.03149969,0.00337903,-0.009649768,0.1277133,-0.5727322,0.7503093,36.9466,357.8694,346.9356,8.939591e-06,-0.001090468,-0.002934328,-0.009446946,0.02409747,0.005431683,-0.0788192,-0.5733624,0.7288455,34.78354,3.740873,342.3892
9,123.533,-8.848862e-05,-0.00430302,-0.00390127,-0.02543538,0.008087359,0.02352558,-0.004239321,0.007350296,-0.010252,7.922503,1.246494,358.7465,0.001669267,-7.521447e-05,-0.002328831,-0.003035922,-0.004031055,0.0117425,0.127716,-0.5727178,0.7502703,36.9508,357.8636,346.9286,0.00508515,0.005533285,-0.002609975,0.05162534,-0.0526132,0.02740575,-0.07867453,-0.5732528,0.7286797,34.7239,3.702716,342.3043
