,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0,0.478,0.0003136774,-0.001111954,0.001672661,-0.009874566,-0.00210561,0.01655477,-0.09202687,-0.4642452,-0.5936679,274.5269,233.5018,133.5394,0.0002564725,0.0002591871,9.59022e-05,-0.0008199901,-0.01130268,0.01505044,0.4190096,-0.5310429,0.9238368,18.70115,0.5312271,357.4894,0.0004200348,-0.004295114,-0.001523371,0.09175067,0.1434391,-0.195232,0.1774752,-0.5611688,0.960187,5.709625,342.7976,290.3808
1,12.783,0.0006062965,-0.0009400317,0.001037153,-0.003816257,0.001512376,0.0128768,-0.09202214,-0.4642491,-0.5936634,274.5258,233.3882,133.6595,0.0003650393,0.000508621,0.0001441723,0.0006867032,-0.01714731,0.0238395,0.4190145,-0.5310372,0.9238378,18.69986,0.5280336,357.4658,0.00107031,-0.004873524,-0.001775023,0.03907593,0.131317,-0.1451112,0.1775118,-0.5611063,0.9601844,5.768034,342.8215,290.3531
2,25.368,0.0005301428,-0.001017475,0.000107611,-0.0003061089,0.002391547,0.002313457,-0.09202597,-0.4642611,-0.5936803,274.5276,233.2758,133.758,0.0002170203,0.000387387,9.036915e-05,-0.001144966,-0.01393405,0.02370938,0.4190192,-0.5310317,0.9238377,18.69849,0.5230882,357.4465,-0.0008104968,-0.00216189,-0.0006799581,-0.0100223,0.04141473,0.01767492,0.1775205,-0.5610904,0.9601785,5.634644,342.8373,290.2081
3,39.72,0.0005146489,-0.001073896,-0.0004379202,0.003809561,0.003563487,-0.00512248,-0.09203156,-0.4642699,-0.5936947,274.5313,233.1129,133.9061,-6.577784e-05,0.0005254583,8.023541e-06,-0.000746979,-0.01178342,0.03291338,0.4190268,-0.531023,0.9238368,18.69595,0.5119152,357.4124,-0.002702508,0.001573861,0.0007483258,-0.03762512,-0.05937614,0.1608762,0.1775056,-0.5611163,0.9601813,5.47904,342.8165,289.957
4,53.387,0.0007748435,-0.001110319,-0.0006679898,0.001817648,0.005821155,-0.004951486,-0.09202912,-0.4642704,-0.5937103,274.5242,233.0725,133.9429,0.0003125089,0.0002563638,0.0001133697,-0.00370877,-0.01549007,0.02303694,0.4190323,-0.5310166,0.9238363,18.69262,0.508234,357.3927,-0.004168693,0.005278142,0.0020749,-0.09733902,-0.1700847,0.3407938,0.1774498,-0.5612124,0.9601897,4.907657,342.8602,289.2213
5,67.106,0.001262541,-0.001116287,-0.0006470555,-0.002111285,0.00726121,-0.003243397,-0.09201382,-0.4642685,-0.5937176,274.5131,233.0932,133.9222,0.0004488667,0.0004794193,0.0001688053,0.001570959,-0.01684604,0.0187048,0.4190375,-0.5310107,0.9238358,18.68641,0.5052593,357.3727,-0.001245935,0.004622845,0.00163146,-0.1151352,-0.1582163,0.2649944,0.1773867,-0.5613187,0.9601957,4.802588,342.9785,289.1114
6,81.238,0.001402356,-0.0009276059,-0.0001824441,-0.003254635,0.009351088,-0.004307891,-0.09198967,-0.4642584,-0.59371,274.5026,233.0314,133.9801,0.000615535,0.0004468346,0.0002197633,-0.001821277,-0.0228312,0.02554696,0.4190437,-0.5310036,0.9238348,18.676,0.5039723,357.3439,0.003577162,-0.00154927,-0.0008043016,-0.04677089,0.01860909,-0.06359476,0.1773673,-0.5613484,0.9601839,5.220257,342.9385,289.6207
7,95.312,0.001629769,-0.0007376014,0.0002362518,-0.003006268,0.008886505,-0.008670284,-0.09195724,-0.4642503,-0.5936981,274.4974,232.9576,134.0402,0.0005070426,0.0002223138,0.0001730339,-0.008545785,-0.02354158,0.03388487,0.4190499,-0.5309964,0.923835,18.672,0.5000534,357.3138,0.005532683,-0.002303707,-0.001239049,0.0371391,0.08237117,-0.2603447,0.1773999,-0.5612901,0.9601607,5.54473,343.0359,290.1826
8,109.319,0.001648692,-0.0007355738,0.0004807465,-0.004245789,0.007238951,-0.01481733,-0.0919366,-0.4642511,-0.5936872,274.4928,232.9172,134.0586,0.0004977066,0.0008067186,0.0002013607,0.002425154,-0.02412884,0.03441321,0.4190582,-0.5309869,0.9238347,18.66198,0.4949773,357.2796,0.005274236,-5.219132e-05,-0.0004420708,0.1296152,0.0801121,-0.3650997,0.1774629,-0.5611856,0.9601667,5.674653,342.9896,290.8378
9,122.68,0.00150978,-0.0008611463,0.000580118,-0.0067272,0.007185807,-0.01651908,-0.09192983,-0.4642614,-0.5936787,274.4827,232.9066,134.0524,5.283413e-05,0.002197373,0.0001338122,0.02850159,-0.01838962,0.03956696,0.419067,-0.5309769,0.9238339,18.64471,0.4830478,357.2397,0.001834102,-0.0007724873,-0.0004122505,-0.04350736,-0.0009276341,-0.003244103,0.1774929,-0.561133,0.9601558,5.442726,343.0074,290.1613
10,136.829,0.001240687,-0.0009723256,0.0008755084,-0.006722524,0.007187375,-0.01652047,-0.09193117,-0.4642739,-0.5936611,274.4755,232.8723,134.0732,0.0001434439,0.00112621,0.0001053676,0.005679537,-0.02158155,0.04604753,0.4190778,-0.5309644,0.9238334,18.65059,0.4710944,357.1937,-0.004838386,0.004115594,0.001757785,-0.03205362,-0.1161663,0.2531804,0.1774626,-0.561185,0.9601603,5.032729,342.9456,289.6348
11,150.775,0.001010568,-0.000915956,0.001219178,-0.007368882,0.007455286,-0.0142424,-0.09192065,-0.4642667,-0.5936392,274.4669,232.8782,134.0591,-7.454395e-05,0.001644067,6.309638e-05,0.01946292,-0.01392108,0.03619599,0.4190865,-0.5309545,0.9238319,18.64151,0.4598967,357.1645,-0.002529415,0.003758932,0.001457495,-0.04701823,-0.1108331,0.1956907,0.1774198,-0.5612597,0.9601753,4.988027,342.9985,289.6096
12,164.531,0.001060898,-0.0009936851,0.001613801,-0.01448024,0.003911711,-0.01039088,-0.0918999,-0.4642622,-0.5936091,274.4552,233.123,133.8089,0.000164795,0.0001347501,5.941974e-05,-0.005571183,-0.01219317,0.02293892,0.4190925,-0.5309476,0.9238318,18.64656,0.4561134,357.147,-9.891727e-05,0.0001943003,7.353431e-05,-0.00977663,-0.009309048,0.02007463,0.1774049,-0.5612857,0.9601812,5.160606,342.9889,289.8076
13,178.845,0.0009845162,-0.0008241238,0.002266185,-0.01607335,0.002227681,-0.006668825,-0.09189118,-0.4642462,-0.5935577,274.4458,233.2815,133.649,0.0004333159,0.0006311733,0.000170698,0.006692478,-0.01409699,0.01201199,0.4190961,-0.5309436,0.9238321,18.64095,0.4555318,357.135,0.00140649,-0.00150703,-0.0006231478,0.01909843,0.04577387,-0.09122221,0.1774149,-0.5612682,0.9601769,5.242746,342.992,289.9079
14,192.701,0.0005123261,-0.0005895034,0.00253241,-0.01776773,0.002563016,-0.004201063,-0.09190443,-0.4642201,-0.5935102,274.4324,233.4323,133.4961,6.89608e-05,0.0005202261,4.918356e-05,0.004226809,-0.008172316,0.01641126,0.4190989,-0.5309404,0.9238318,18.63983,0.4527426,357.1231,0.00116567,-0.001115619,-0.0004716504,0.007923929,0.03112518,-0.06233139,0.1774294,-0.5612426,0.9601705,5.265164,343.0004,289.9352
15,206.511,0.0001522447,-0.0004425506,0.002284493,-0.01468915,0.002906302,0.0006354862,-0.09191156,-0.4641994,-0.5934774,274.426,233.5092,133.4265,0.0002574761,0.0005369407,0.0001098155,0.00110172,-0.01529799,0.02502258,0.4191036,-0.530935,0.9238324,18.63811,0.4483172,357.1006,-0.0001167524,0.0002488564,9.371959e-05,-0.003995647,-0.007752906,0.01255835,0.1774321,-0.5612379,0.9601687,5.251925,343.0002,289.9193
16,220.354,6.385118e-05,-0.0006329283,0.001527668,-0.01110442,-0.0001920949,0.003506405,-0.0919007,-0.4642017,-0.5934631,274.4284,233.6004,133.3417,8.429472e-06,0.0005990114,3.393949e-05,0.003608581,-0.009617133,0.02331634,0.4191086,-0.5309293,0.9238321,18.63577,0.4418707,357.0817,-0.0005545801,0.0003818077,0.0001735488,0.004514608,-0.007369012,0.01557603,0.1774281,-0.5612451,0.9601715,5.238224,342.9948,289.9024
17,234.348,-9.896352e-05,-0.0007048745,0.0008417878,-0.005824457,-0.003620271,0.003907403,-0.09189504,-0.4642014,-0.593457,274.4376,233.6302,133.316,4.273821e-05,0.0002672248,2.748227e-05,-0.001577148,-0.008556438,0.01961311,0.419113,-0.5309243,0.9238315,18.63548,0.4374644,357.0649,0.0002345453,-0.0005408354,-0.0002021393,0.01536734,0.020123,-0.03669694,0.1774309,-0.5612407,0.9601731,5.253633,342.9884,289.9251
18,248.141,-0.0005912336,-0.0005146663,0.0004700418,-0.001747818,-0.001875146,0.001890217,-0.09193291,-0.4641924,-0.5934618,274.4396,233.5529,133.3926,5.331579e-05,0.0004192474,3.871274e-05,0.00218667,-0.007914318,0.01689204,0.4191169,-0.5309199,0.9238313,18.63419,0.4330719,357.05,0.0008261683,-0.0009630643,-0.0003929935,0.01210146,0.02914456,-0.05579463,0.1774402,-0.5612249,0.9601716,5.291445,342.9882,289.9726
19,262.413,-0.0007950772,-0.000371848,0.0002730217,0.0002945942,-0.003072561,0.00161234,-0.09196736,-0.4641822,-0.5934659,274.4459,233.5627,133.3842,0.0003633942,0.0002780505,0.000129752,0.0002770752,-0.01215031,0.01169551,0.4191197,-0.5309166,0.9238316,18.63411,0.43149,357.039,0.0007458628,-0.0004981548,-0.0002288104,0.007484691,0.01637029,-0.04116286,0.1774476,-0.561212,0.9601694,5.305311,342.9903,289.9931
