,LAY,ROL,SIT,SITtoLAY,STD
headset_vel.x,-0.0002,0.0005,0.0672,-0.0042,-0.0739
headset_vel.y,-0.0002,0.0,0.0543,-0.0689,0.1399
headset_vel.z,-0.0001,-0.002,0.0551,-0.101,0.0992
headset_angularVel.x,0.0004,0.0134,0.0157,0.2055,-0.3766
headset_angularVel.y,-0.0004,-0.053,0.077,-0.0373,0.1972
headset_angularVel.z,0.0001,0.0042,0.162,0.0022,-0.1395
headset_pos.x,-0.3303,-0.0174,0.0812,-0.0332,-0.2003
headset_pos.y,-0.4121,-0.4678,-0.0707,-0.3057,0.0298
headset_pos.z,-0.4081,-0.6889,-0.043,-0.5333,-0.0733
headset_rot.x,276.2742,202.0321,100.7416,191.3018,106.3527
headset_rot.y,52.2591,168.4512,50.1099,76.4013,233.526
headset_rot.z,127.7226,199.8727,301.69,296.6439,277.4368
controller_left_vel.x,0.0,-0.016,0.0402,0.0008,0.0002
controller_left_vel.y,0.0,-0.0233,-0.0307,-0.001,-0.0003
controller_left_vel.z,-0.0,0.0315,0.0111,-0.0062,-0.0051
controller_left_angularVel.x,-0.0001,0.0144,-0.0228,-0.0157,-0.141
controller_left_angularVel.y,-0.0004,0.0275,-0.0047,-0.0183,-0.1288
controller_left_angularVel.z,0.0,0.0283,0.0104,0.03,0.1259
controller_left_pos.x,0.9019,-0.0882,1.0666,0.1551,-0.5673
controller_left_pos.y,-0.5348,-0.8407,-0.6171,-0.6127,-0.1643
controller_left_pos.z,0.5049,-0.2192,0.5035,0.7259,0.5756
controller_left_rot.x,26.2502,99.6001,22.4722,28.3395,37.3492
controller_left_rot.y,15.6001,121.5029,203.9154,335.3872,210.2697
controller_left_rot.z,299.9547,228.6487,286.7926,302.1578,220.9485
controller_right_vel.x,-0.0,0.0009,0.0001,0.0001,-0.0332
controller_right_vel.y,-0.0001,0.0022,-0.0006,0.0004,-0.0332
controller_right_vel.z,0.0001,-0.0011,-0.0006,-0.0077,-0.0824
controller_right_angularVel.x,0.0002,-0.0813,-0.006,-0.0006,-0.2393
controller_right_angularVel.y,-0.0003,-0.0214,-0.0024,0.0055,0.0029
controller_right_angularVel.z,-0.0035,0.0589,-0.0198,-0.0087,0.2398
controller_right_pos.x,0.8092,0.1022,0.6779,-0.0699,-0.3213
controller_right_pos.y,0.5488,0.3067,-0.5239,-0.5762,-0.4421
controller_right_pos.z,0.2461,0.286,0.6326,0.7015,0.5811
controller_right_rot.x,53.8287,40.8687,59.789,33.6096,45.2089
controller_right_rot.y,120.135,112.2967,299.1024,28.4828,203.5079
controller_right_rot.z,3.4317,216.5925,136.1826,336.7888,242.4862
