,LAY,ROL,SIT,SITtoLAY,STD
headset_vel.x,-0.0002,-0.0004,0.0326,-0.0337,-0.0478
headset_vel.y,-0.0001,0.0031,0.0666,-0.0788,0.1353
headset_vel.z,0.0001,-0.0005,0.1041,-0.1162,0.1285
headset_angularVel.x,-0.0005,-0.0716,-0.1872,0.2188,-0.3329
headset_angularVel.y,-0.0011,0.0407,0.0422,-0.071,0.172
headset_angularVel.z,0.0006,-0.0616,0.0851,-0.0643,-0.0609
headset_pos.x,-0.0725,-0.099,0.0646,0.0228,-0.2544
headset_pos.y,-0.4654,-0.4234,-0.118,-0.1905,0.0021
headset_pos.z,-0.4447,-0.4913,0.0643,-0.0666,-0.0246
headset_rot.x,277.2156,254.8946,304.23,320.2593,126.8607
headset_rot.y,237.7301,197.6025,102.5225,69.9292,279.4036
headset_rot.z,132.4677,160.3824,281.7605,293.4369,185.4397
controller_left_vel.x,-0.0002,0.0006,0.0019,0.0007,0.0009
controller_left_vel.y,0.0003,0.0019,-0.0005,0.0003,-0.0124
controller_left_vel.z,0.0,-0.0003,0.0023,0.0006,-0.0083
controller_left_angularVel.x,0.0078,-0.006,-0.0025,0.0037,-0.2278
controller_left_angularVel.y,-0.0072,0.0388,-0.0022,-0.0148,0.1606
controller_left_angularVel.z,0.0099,0.0492,-0.0033,0.0078,0.0369
controller_left_pos.x,1.2957,0.4392,0.5994,0.6001,0.0699
controller_left_pos.y,-1.4579,-0.5356,-0.5659,-0.5715,-0.7589
controller_left_pos.z,0.0807,0.9328,0.9326,0.9171,0.7831
controller_left_rot.x,31.0538,25.4236,32.611,30.3214,50.7194
controller_left_rot.y,11.6992,220.8928,12.6355,8.0332,100.2379
controller_left_rot.z,331.3693,223.8238,341.579,330.3502,257.5843
controller_right_vel.x,-0.0,-0.0006,-0.0006,-0.0029,-0.0758
controller_right_vel.y,-0.0,0.0006,-0.0015,-0.0003,-0.0608
controller_right_vel.z,0.0002,-0.0019,0.0068,-0.0074,-0.0747
controller_right_angularVel.x,0.0012,-0.0004,-0.0021,-0.0035,0.0757
controller_right_angularVel.y,0.0026,0.0125,0.0056,0.0088,0.0773
controller_right_angularVel.z,0.0007,0.0482,0.0,-0.0098,0.248
controller_right_pos.x,0.2877,0.1859,0.313,0.3211,-0.076
controller_right_pos.y,-0.5556,-0.4455,-0.5444,-0.547,-0.7726
controller_right_pos.z,1.022,0.5535,1.042,1.041,0.631
controller_right_rot.x,27.991,70.8634,27.3691,26.0043,108.0787
controller_right_rot.y,4.0916,193.0725,31.9969,6.956,276.7204
controller_right_rot.z,330.1242,234.0939,325.7923,326.597,231.4096
