,LAY,ROL,SIT,SITtoLAY,STD
headset_vel.x,0.0,0.0141,0.004,0.0046,0.0479
headset_vel.y,0.0,0.0535,0.0192,0.0266,0.0581
headset_vel.z,0.0,0.0157,0.0367,0.0437,0.0421
headset_angularVel.x,0.0003,1.4847,0.2178,0.2472,0.3243
headset_angularVel.y,0.0005,0.672,0.0335,0.0205,0.2056
headset_angularVel.z,0.0003,0.6265,0.0451,0.0305,0.0661
headset_pos.x,0.0,0.0047,0.0115,0.0112,0.0374
headset_pos.y,0.0,0.0053,0.0477,0.0608,0.1593
headset_pos.z,0.0,0.0051,0.1203,0.1288,0.1654
headset_rot.x,0.4047,14827.874,8964.2719,1727.2312,18653.2031
headset_rot.y,28.0406,13924.5984,17346.5429,5882.8052,4143.3574
headset_rot.z,24.7503,13596.0897,14228.2765,6807.0085,24627.8373
controller_left_vel.x,0.0,0.0008,0.0001,0.0,0.0006
controller_left_vel.y,0.0,0.0015,0.0001,0.0,0.0009
controller_left_vel.z,0.0,0.0003,0.0002,0.0,0.0009
controller_left_angularVel.x,0.0,0.3953,0.0094,0.0021,0.2868
controller_left_angularVel.y,0.0,0.8995,0.007,0.0052,0.2519
controller_left_angularVel.z,0.0,0.6573,0.0054,0.0045,0.1239
controller_left_pos.x,0.0,0.0009,0.0002,0.0001,0.1815
controller_left_pos.y,0.0,0.0002,0.0001,0.0,0.1185
controller_left_pos.z,0.0,0.0003,0.0004,0.0001,0.0438
controller_left_rot.x,0.0009,321.142,6.6415,2.5341,753.644
controller_left_rot.y,0.0253,23114.3699,3.372,7.2972,10580.6867
controller_left_rot.z,0.0427,16761.1958,27.0601,15.6385,8635.6941
controller_right_vel.x,0.0,0.0012,0.0001,0.0002,0.055
controller_right_vel.y,0.0,0.0015,0.0001,0.0,0.0292
controller_right_vel.z,0.0,0.001,0.0005,0.001,0.0493
controller_right_angularVel.x,0.0006,0.614,0.0065,0.0032,0.2425
controller_right_angularVel.y,0.0013,0.83,0.0123,0.0085,0.1855
controller_right_angularVel.z,0.001,0.7027,0.0162,0.0075,0.5175
controller_right_pos.x,0.0,0.0155,0.0001,0.0001,0.0971
controller_right_pos.y,0.0,0.0243,0.0,0.0,0.0468
controller_right_pos.z,0.0001,0.4176,0.001,0.0004,0.0941
controller_right_rot.x,0.0412,13158.9599,7.8933,0.3156,15399.2094
controller_right_rot.y,2.1088,21109.1277,8311.9041,2.8175,4478.0143
controller_right_rot.z,0.0531,7596.9495,6.8122,6.9352,1926.4387
