time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.476,-0.006332171,-0.0002096224,0.000622546,-0.001824076,-0.02793499,-0.02065674,-0.07407854,-0.4998675,-0.7302228,283.9436,352.2801,6.296189,-7.889947E-05,0.0001681142,-9.570838E-06,0.004320926,0.009222563,0.007542792,-0.103184,-0.7125214,0.7768793,29.94576,180.9606,284.2935,-0.006327624,-0.01093116,-0.01689112,0.03159492,-0.4274941,0.5710642,0.1850525,0.4502642,0.4460144,35.75243,83.08648,12.7862,
13.358,-0.007492865,-0.0003834559,0.0006236894,-0.01053193,-0.02439843,-0.0305922,-0.07422173,-0.4998659,-0.7302118,283.9657,352.1316,6.420388,-0.0001271246,-0.0001692166,4.557543E-05,0.003719501,0.003817135,0.01083713,-0.1031899,-0.7125238,0.7768799,29.94834,180.9605,284.2769,-0.00108471,-0.0005677958,-0.005118454,-0.01376591,-0.13399,0.6964244,0.1851118,0.4503814,0.4461791,35.63243,83.06924,13.6681,
27.041,-0.007799058,-0.0007038685,-6.187352E-05,-0.01015721,-0.0297247,-0.02742599,-0.07433353,-0.4998729,-0.7302379,283.9785,352.0119,6.545313,-0.0002377462,-0.0002063552,7.000218E-05,0.00710688,0.007766978,0.0178284,-0.1031958,-0.712526,0.7768806,29.94976,180.9577,284.2573,0.002636547,0.007228902,0.003569844,-0.06517947,0.100894,0.5555709,0.1851586,0.4505088,0.4463545,35.27626,82.79114,13.91336,
40.603,-0.007491576,-0.0005371135,-0.0009470255,-0.004186302,-0.0392374,-0.01577836,-0.07442329,-0.4998634,-0.7302822,283.9706,351.8627,6.730861,-0.0001897073,0.0001309121,1.488633E-05,0.007708856,0.01317605,0.01452926,-0.1032034,-0.7125286,0.7768827,29.94818,180.9576,284.236,0.001614826,0.003116556,0.004585835,-0.002437515,0.1088477,0.004126856,0.1851759,0.4505636,0.4464296,35.18454,82.42473,12.80835,
54.742,-0.007041086,0.0001375028,-0.001586905,0.007933595,-0.0451253,0.00122878,-0.07450587,-0.4998391,-0.7303211,283.9523,351.7671,6.869812,0.0002223319,-0.000287559,1.152084E-06,-0.004534074,-0.001082671,0.005485003,-0.1032065,-0.7125298,0.776883,29.95049,180.9606,284.2307,0.0005404542,-0.002194523,0.007698106,0.1079701,0.1096409,-0.6550556,0.1851694,0.4504845,0.4463292,34.84006,81.3562,10.75963,
68.569,-0.006407347,0.0007377274,-0.002400427,0.0217339,-0.0438479,0.007491429,-0.07457611,-0.4998192,-0.7303711,283.9172,351.6134,7.04314,-0.0008887184,0.0003103359,0.000111936,0.01242248,-0.01520409,-0.02242408,-0.1032046,-0.7125297,0.7768807,29.957,180.9714,284.244,-0.001163457,-0.006491543,0.004316851,0.1356248,-0.007110782,-0.8082353,0.1851453,0.4503146,0.4461125,34.81649,80.98219,9.584133,
82.513,-0.006041369,0.001006334,-0.002555527,0.02971032,-0.03596855,0.002988083,-0.07464839,-0.4998041,-0.7304043,283.8838,351.5395,7.102654,0.0007155515,-0.0001220369,-0.0001077712,-0.01303948,0.002618686,0.001859816,-0.1032029,-0.7125297,0.7768786,29.96286,180.9647,284.2425,0.002629277,0.006165953,0.006715947,-0.03610321,0.1747895,-0.6592805,0.1851057,0.4501942,0.4459523,34.22393,80.76105,9.407662,
95.943,-0.005701253,0.001188498,-0.001744748,0.032626,-0.03170995,-0.004499513,-0.07471008,-0.499774,-0.7303913,283.8592,351.4072,7.224943,0.0009813118,-8.280546E-05,-0.0001595234,-0.01665918,0.007652119,0.005304782,-0.1032027,-0.7125297,0.7768785,29.96361,180.9635,284.2422,0.00366584,0.009817891,0.006872742,-0.08964187,0.22143,-0.2037471,0.1850563,0.4501269,0.4458537,34.15368,80.93772,10.22157,
110.356,-0.004826495,0.0009019587,-0.000779107,0.02832115,-0.03113633,-0.001620053,-0.07474607,-0.4997609,-0.7303607,283.8507,351.3081,7.343298,-0.001111196,0.0009425894,6.298194E-05,0.01850948,-0.008646719,-0.03097863,-0.1032008,-0.7125286,0.7768784,29.9598,180.98,284.2591,0.001119324,0.0045908,-0.0009061276,-0.07959358,0.03213171,0.1896973,0.1850409,0.4501456,0.4458696,34.52051,81.44182,11.01876,
124.108,-0.003469583,0.0002457226,0.0001139196,0.01299628,-0.0261631,0.002833961,-0.07474951,-0.4997786,-0.7303368,283.8707,351.3586,7.308256,0.001351482,-5.881475E-05,-0.0002272704,-0.02556185,0.002167344,-0.005146122,-0.103198,-0.7125279,0.7768771,29.96416,180.9641,284.2579,-0.0009567133,0.001004146,-0.007364326,-0.08017345,-0.122609,0.3742958,0.1850482,0.4502032,0.4459408,34.84984,82.13348,12.01082,
