time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.408,-0.01817848,-0.002537534,-0.007915947,0.01777904,0.08960062,-0.05130129,0.00101804,0.02980503,-0.02535552,4.883073,3.569102,357.0575,0.001186245,9.312638E-05,0.001838382,0.01729105,-0.01462753,0.006679463,0.1492197,-0.5880704,0.7398715,37.14135,348.2708,329.6551,-0.01355664,0.002309671,-0.00146764,0.06328278,0.1594542,-0.1573262,-0.05330198,-0.5774263,0.7377369,34.35284,1.34832,334.0676,
13.071,-0.01966411,-0.00322274,-0.007616754,0.007873657,0.1049748,-0.05703746,0.0006299615,0.02973217,-0.02544332,4.895442,3.481513,357.1097,0.003051391,-0.0005969372,0.001777923,0.01554825,-0.01668455,0.0136003,0.1492844,-0.5881339,0.7399746,37.12321,348.2636,329.644,-0.01184067,0.01560224,-0.00165064,0.1415025,0.03735952,-0.09017398,-0.05312956,-0.577271,0.7376827,34.14917,1.251654,333.8825,
25.836,-0.02097608,-0.003451397,-0.006669145,0.01102886,0.111801,-0.05507373,0.0003242046,0.02962247,-0.02546406,4.861788,3.394492,357.1525,0.004775145,-0.001505953,0.001461274,0.004673956,-0.03867951,0.02957025,0.1494282,-0.5881866,0.7400423,37.09616,348.2429,329.5933,-0.000441583,0.01725612,0.0002766196,0.1126041,-0.1425008,0.02779509,-0.0529218,-0.5771708,0.7373957,34.03273,1.171491,333.5164,
39.605,-0.02220186,-0.004458781,-0.005691715,0.01752384,0.1082858,-0.05209314,-4.10974E-05,0.02946445,-0.02550745,4.837768,3.322151,357.1872,0.006475451,-0.002065181,0.001189051,-0.008118226,-0.05937434,0.03882164,0.1495993,-0.5882166,0.7400451,37.07453,348.2145,329.5084,-0.003045085,0.02689594,-0.003777636,0.2579186,-0.1693531,0.006726577,-0.05287537,-0.5765999,0.7370414,33.43333,1.009837,333.2953,
53.577,-0.02287176,-0.006750732,-0.004754781,0.009854725,0.1141803,-0.04901697,-0.0003723353,0.02922797,-0.02553189,4.853006,3.22562,357.2402,0.007225312,-0.002298723,0.001333457,-0.0129819,-0.05351475,0.04333717,0.1497408,-0.5883087,0.740154,37.0645,348.1825,329.4379,0.01596313,-0.004023776,-0.001086226,-0.05169375,-0.2193291,0.1000784,-0.05208723,-0.5776102,0.7369342,33.90568,1.132621,332.9455,
67.609,-0.02332557,-0.009973528,-0.004192131,-0.01617056,0.1201628,-0.04615961,-0.0006876215,0.02898389,-0.02561855,4.925223,3.126997,357.2914,0.007675221,-0.003068198,0.001975321,-0.03425007,-0.0468525,0.05065925,0.1498821,-0.588282,0.7401491,37.07049,348.1503,329.3574,0.01263021,-0.01778202,0.001611996,-0.1341398,-0.11002,0.1124029,-0.05255926,-0.577621,0.7372178,34.18391,1.090554,332.8974,
81.339,-0.02325306,-0.01307514,-0.00470953,-0.05166373,0.1282694,-0.0430598,-0.001034752,0.02879271,-0.02572501,5.04427,3.02937,357.3407,0.007066187,-0.003095644,0.001880635,-0.03262481,-0.04218637,0.05245977,0.1499692,-0.588304,0.7401567,37.06127,348.1264,329.3001,-0.0008700251,-0.0001122179,0.0005060405,0.02940955,-0.0007213928,0.009871739,-0.05253871,-0.5770689,0.7366965,34.02391,1.097913,333.1505,
95.451,-0.02312587,-0.01456826,-0.005294594,-0.07281706,0.1349945,-0.03649171,-0.001351699,0.02862561,-0.02582234,5.118939,2.909746,357.3721,0.005816825,-0.002704548,0.0003787536,-0.02230588,-0.03873175,0.04675698,0.1500344,-0.5884325,0.7402578,37.04759,348.1096,329.2507,-0.00379958,0.008583413,-0.002834853,0.1060271,-0.01127514,-0.0568306,-0.05267682,-0.5770223,0.7364678,33.84859,1.09905,333.2122,
109.358,-0.02276309,-0.01395504,-0.005729727,-0.07319585,0.1412832,-0.0353054,-0.0016618,0.02849653,-0.02588934,5.16085,2.79899,357.4206,0.004779796,-0.004245229,0.0003985514,-0.05157902,-0.03536756,0.05513871,0.1501548,-0.5884113,0.7402543,37.06622,348.0707,329.1571,-0.00159398,-0.001219734,-4.100212E-05,0.006713618,0.01529909,-0.02890452,-0.05262592,-0.5769109,0.7363151,33.90983,1.098795,333.2104,
122.857,-0.02202795,-0.01276174,-0.00582368,-0.05791388,0.1425998,-0.03430336,-0.001921214,0.02835283,-0.02597421,5.175056,2.694194,357.4554,0.003722821,-0.0004164114,6.952861E-05,-0.0004469852,-0.03042766,0.01746126,0.1501537,-0.5884134,0.7402317,37.04773,348.0793,329.1606,0.001416689,-0.007699231,0.002552617,-0.07183983,0.04998757,-0.01534172,-0.05259367,-0.5767789,0.7361232,34.00576,1.139135,333.2769,
