time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.369,0.0002864469,-0.002631397,0.00203974,-0.01224969,-0.003688492,-0.0002356911,0.06933904,-0.4683967,-0.4945205,282.2805,2.368833,353.036,-0.0004038969,-0.0004295412,0.000469525,0.02141643,0.0181796,0.004524628,-0.8632454,0.2258886,0.5212256,47.8898,67.35822,306.5132,-0.0005000072,-0.001153387,-0.0002268864,-0.01523879,-0.001234982,0.01956436,0.03108269,0.2606831,0.3607043,30.82907,0.8702543,343.7583,
12.95,-0.0003756348,-0.002538113,0.001907533,-0.01074311,-0.006361994,-0.0120027,0.06932845,-0.4684026,-0.4944906,282.2877,2.269794,353.1104,-3.779534E-05,3.411954E-05,0.0001309998,0.003119946,0.00556676,-0.0003494321,-0.8632462,0.2258879,0.5212297,47.89113,67.35937,306.5205,-0.0006879236,0.0002263974,0.0004267087,0.01542386,-0.004995489,0.01663946,0.03108436,0.2606791,0.3607026,30.8145,0.8644237,343.7466,
25.835,-0.0003751504,-0.002163774,0.002049101,-0.01028399,-0.00947108,-0.005154906,0.06933567,-0.4683952,-0.4944494,282.2928,2.226001,353.165,0.0002483551,0.0001864767,-0.000379719,-0.01305456,-0.01199275,-0.0007542744,-0.8632463,0.2258889,0.521226,47.88645,67.35877,306.5095,-0.0006557936,0.0004117038,0.0004863297,0.01917858,-0.006596193,0.01564808,0.03108803,0.260671,0.3607013,30.79981,0.8485932,343.7227,
39.595,0.0005023499,-0.001783852,0.001713571,-0.007541659,-0.00799307,0.0076105,0.06934307,-0.468395,-0.4944482,282.2925,2.262028,353.1566,-4.697791E-05,-3.553029E-05,7.154777E-05,-0.001530233,-0.007814885,-0.003658145,-0.8632445,0.225889,0.521221,47.88635,67.35862,306.4973,-0.0006300822,0.000404334,0.0004705733,0.02025248,-0.0107885,0.01767662,0.03109139,0.2606634,0.3606994,30.78201,0.8338355,343.6996,
53.742,0.001070248,-0.001663662,0.001038996,-0.001539566,-0.003354921,0.009151275,0.06935072,-0.4684043,-0.4944672,282.2841,2.309646,353.1172,-0.0005044613,-0.0003869181,0.0007618534,0.0157173,-0.002982761,-0.008554034,-0.8632433,0.2258885,0.5212205,47.88942,67.35466,306.4932,-0.0005402167,0.001044315,0.0006870369,0.02672524,0.001853108,0.003697975,0.03109339,0.2606588,0.3606985,30.76705,0.8251964,343.6908,
67.787,0.0009841055,-0.00156136,-7.841631E-05,0.004101507,-0.0001432593,-0.004193734,0.0693562,-0.4683986,-0.4945036,282.2734,2.288332,353.1109,-0.0006376987,-0.0004794475,0.0009740617,0.02152249,0.0005378732,-0.009469545,-0.8632444,0.2258883,0.5212239,47.89088,67.35231,306.5019,-0.0003653624,0.002598478,0.001231525,0.05394088,0.003288629,-0.01156776,0.03109236,0.2606606,0.3606961,30.72355,0.821053,343.7042,
81.449,0.0007422652,-0.001206968,-0.001330603,0.01451928,0.0006309851,-0.01116656,0.06936301,-0.4683686,-0.4945548,282.2457,2.260504,353.1152,3.299646E-05,0.0002758346,0.0002436859,-0.003650603,-0.002868743,-0.008127855,-0.8632464,0.2258894,0.5212247,47.88433,67.35953,306.5085,-0.001675191,0.005637452,0.003074553,0.1420408,-0.02898442,0.01664527,0.0310934,0.2606564,0.3606876,30.54126,0.7698226,343.6596,
95.552,0.0008682854,-0.001005152,-0.002764529,0.01971395,0.0004519425,-0.009596597,0.06937727,-0.4683428,-0.4946332,282.21,2.268653,353.0986,-0.0003467454,-0.0003283853,0.0004504994,-0.001589428,-0.0341703,-0.01612186,-0.8632449,0.2258901,0.5212185,47.883,67.34664,306.4761,-0.002494911,0.01358406,0.006395099,0.3454485,-0.1411914,0.05443248,0.03110692,0.2606182,0.3606513,29.67673,0.57684,343.3052,
109.399,0.001180928,-0.0008146134,-0.003318175,0.02312887,-0.000551676,-0.001505301,0.06937049,-0.468311,-0.4947072,282.1921,2.292017,353.0967,0.0008826826,0.001399316,-0.0004884226,-0.02990426,0.009420221,-0.00512297,-0.8632444,0.2258919,0.5212104,47.86744,67.35081,306.4658,-0.003479914,0.01193655,0.006151691,0.3550093,-0.2214578,0.1428044,0.03113303,0.2605475,0.3605939,29.33142,0.4035104,342.8522,
122.922,0.001483339,-0.0009016558,-0.002794514,0.02010833,-0.0009229036,0.006309938,0.06937021,-0.4682913,-0.494744,282.1871,2.321924,353.0826,-0.0005776462,-0.0004293667,0.0008884746,0.01319329,-0.01534074,-0.01470068,-0.8632439,0.2258923,0.5212078,47.87312,67.32756,306.4453,-0.002609418,-0.002061545,0.0004360757,0.05691689,-0.1692219,0.1820055,0.03116073,0.2604794,0.3605628,29.85355,0.4089936,342.749,
137.086,0.001294483,-0.0009736458,-0.001562195,0.01676441,0.008030252,-0.006302557,0.06938229,-0.4682868,-0.4947372,282.1784,2.352136,353.0135,-0.0003693931,-0.0001714915,0.0006889558,0.006816379,-0.01243971,-0.01349048,-0.863245,0.2258933,0.5212064,47.86804,67.32883,306.4442,0.0004162183,-0.0067593,-0.002893652,-0.1385951,0.008923722,0.03227062,0.03117583,0.2604474,0.3605659,30.14868,0.5514886,343.0984,
151.176,0.0009336261,-0.001318004,-0.0007981788,0.008392395,0.01119308,-0.02798585,0.06939062,-0.4683006,-0.4947293,282.1949,2.264293,353.019,0.0005956673,0.0007303508,-0.0005803967,-0.01675418,0.01197182,0.005090683,-0.8632464,0.2258946,0.5212054,47.85959,67.3401,306.4513,0.003059836,-0.0006216629,-0.001737036,-0.1136561,0.1603264,-0.1630315,0.03115243,0.260505,0.3605912,30.38866,0.8183571,343.7161,
164.918,0.0008698045,-0.001555131,-3.145447E-05,0.001473796,0.004887152,-0.02094604,0.06939096,-0.4683184,-0.4947135,282.2084,2.22512,353.0912,2.794691E-06,0.0003385553,0.0003893989,-0.008382447,-0.01614274,-0.01613988,-0.8632455,0.2258954,0.5212002,47.85699,67.32201,306.4233,-0.0002599423,0.002997515,0.001314719,0.03548581,0.06830357,-0.05795877,0.03113085,0.2605554,0.3606057,30.19499,0.6902638,343.4946,
179.025,0.001843905,-0.001854297,0.0002041092,-0.005302856,-0.004139283,0.004905713,0.06941578,-0.4683455,-0.4947191,282.2112,2.268866,353.0864,0.0001249888,0.000385811,0.0001502579,-0.01035144,-0.0114384,-0.01116595,-0.863245,0.2258966,0.5211947,47.85168,67.31467,306.4059,-0.001936887,0.0003594414,0.001072071,0.05878072,-0.07008424,0.08514381,0.03113546,0.2605446,0.3606029,30.12333,0.6054434,343.2968,
