,1,2,3,4,5
headset_vel.x,-0.0,-0.0007,-0.0005,0.0002,-0.0005
headset_vel.y,0.0006,-0.0,-0.0,-0.0001,0.0001
headset_vel.z,-0.0011,-0.0018,-0.0,0.0001,0.0005
headset_angularVel.x,0.005,0.0016,0.0001,-0.0019,-0.0025
headset_angularVel.y,-0.0036,-0.0011,-0.0021,-0.0022,0.0004
headset_angularVel.z,-0.0037,0.0011,0.0001,0.0004,-0.0013
headset_pos.x,-0.8904,-0.8935,-0.8951,-0.8952,-0.8914
headset_pos.y,0.5164,0.5139,0.5113,0.5098,0.5077
headset_pos.z,0.1167,0.1091,0.1061,0.1055,0.1049
headset_rot.x,4.9562,5.6457,6.4971,7.1665,8.3401
headset_rot.y,16.8461,17.4308,18.1538,18.7895,18.9246
headset_rot.z,357.6631,357.2721,356.628,356.7365,356.9415
controller_left_vel.x,-0.026,-0.0128,-0.025,-0.0267,-0.0281
controller_left_vel.y,-0.0307,-0.0404,-0.0677,-0.0201,-0.0581
controller_left_vel.z,-0.0724,-0.0483,-0.0861,-0.0824,-0.0702
controller_left_angularVel.x,0.1167,-0.0268,-0.106,0.0598,-0.0858
controller_left_angularVel.y,-0.1942,-0.0949,-0.0486,-0.159,-0.1209
controller_left_angularVel.z,0.2781,0.1243,0.0958,0.1785,0.0685
controller_left_pos.x,-0.9552,-0.9676,-0.9625,-0.9599,-0.948
controller_left_pos.y,0.2288,0.2585,0.1938,0.2101,0.1925
controller_left_pos.z,0.3845,0.3834,0.3694,0.3725,0.3849
controller_left_rot.x,193.3307,204.4684,194.4933,196.8587,194.2165
controller_left_rot.y,286.9733,311.7156,304.8739,296.2947,290.5341
controller_left_rot.z,139.1555,120.5707,133.5452,140.6906,130.8091
controller_right_vel.x,-0.0459,-0.0168,-0.0293,-0.034,-0.033
controller_right_vel.y,-0.0489,-0.0443,-0.0637,-0.0175,-0.0569
controller_right_vel.z,-0.1156,-0.0424,-0.0692,-0.1052,-0.0902
controller_right_angularVel.x,-0.0356,-0.0704,-0.1037,-0.0342,-0.0773
controller_right_angularVel.y,-0.0094,-0.0892,-0.0702,0.0226,-0.1349
controller_right_angularVel.z,-0.0862,0.0575,0.1044,-0.0148,0.1262
controller_right_pos.x,-0.6641,-0.6608,-0.6708,-0.6782,-0.6689
controller_right_pos.y,0.2349,0.2641,0.2023,0.2118,0.1942
controller_right_pos.z,0.2568,0.2766,0.2749,0.2704,0.2847
controller_right_rot.x,196.4641,204.6321,194.0922,196.224,192.543
controller_right_rot.y,63.6207,54.7144,47.3861,52.2308,42.1566
controller_right_rot.z,259.6241,294.854,281.2165,286.7127,293.243
