,1,2,3,4,5
headset_vel.x,0.0001,0.0001,0.0001,0.0001,0.0001
headset_vel.y,0.0001,0.0001,0.0001,0.0001,0.0001
headset_vel.z,0.0006,0.0008,0.0006,0.0006,0.0006
headset_angularVel.x,0.0057,0.0078,0.0053,0.0033,0.0037
headset_angularVel.y,0.0019,0.0027,0.004,0.0025,0.0024
headset_angularVel.z,0.0042,0.0043,0.0032,0.0026,0.0033
headset_pos.x,0.0,0.0,0.0,0.0,0.0
headset_pos.y,0.0,0.0,0.0,0.0,0.0
headset_pos.z,0.0001,0.0001,0.0,0.0,0.0001
headset_rot.x,2.1907,0.8723,0.6616,0.5191,0.7572
headset_rot.y,0.4405,0.2269,0.6197,0.5737,0.4646
headset_rot.z,0.0894,0.0706,0.1321,0.1416,0.2624
controller_left_vel.x,0.0926,0.074,0.0582,0.0617,0.0544
controller_left_vel.y,1.0997,0.8637,0.79,0.8318,0.6481
controller_left_vel.z,0.4537,0.4759,0.393,0.3836,0.3215
controller_left_angularVel.x,6.9958,6.3348,6.049,6.1841,4.9277
controller_left_angularVel.y,0.7175,0.6553,0.543,0.4595,0.3906
controller_left_angularVel.z,1.3679,1.1206,1.1826,0.9616,1.0294
controller_left_pos.x,0.0064,0.0044,0.004,0.0048,0.0039
controller_left_pos.y,0.084,0.0614,0.0667,0.0649,0.0628
controller_left_pos.z,0.0282,0.0291,0.025,0.0258,0.022
controller_left_rot.x,19149.0205,19192.8611,19183.4632,19099.6924,19533.6718
controller_left_rot.y,12706.213,7084.0143,10047.9512,11471.6291,14066.0494
controller_left_rot.z,19545.0351,17843.9017,20225.5649,20311.2423,20602.6498
controller_right_vel.x,0.0605,0.0707,0.05,0.0465,0.0427
controller_right_vel.y,1.1388,0.8614,0.789,0.8118,0.6773
controller_right_vel.z,0.4956,0.5264,0.4354,0.381,0.3477
controller_right_angularVel.x,5.7431,4.5898,4.7935,5.0901,4.0682
controller_right_angularVel.y,1.6193,1.3138,0.9384,0.8993,0.7792
controller_right_angularVel.z,3.5589,2.8073,2.4666,2.4961,2.2897
controller_right_pos.x,0.0043,0.0037,0.0031,0.0029,0.0029
controller_right_pos.y,0.0804,0.0581,0.0659,0.0636,0.0637
controller_right_pos.z,0.0374,0.0329,0.0268,0.0293,0.0248
controller_right_rot.x,17417.7363,17711.3899,17620.9079,17455.3827,17778.0095
controller_right_rot.y,2942.3698,2231.9362,1977.8656,3427.1866,1618.3754
controller_right_rot.z,14498.8668,9104.3425,13608.5439,11652.1984,12556.7714
