,1,2,3,4,5
headset_vel.x,-0.0681,-0.0398,-0.0204,-0.016,-0.0455
headset_vel.y,0.0069,0.0062,0.0044,0.0109,0.0042
headset_vel.z,-0.0015,-0.0377,-0.0201,-0.0072,-0.0237
headset_angularVel.x,-0.0093,-0.0104,-0.0094,-0.0081,-0.0038
headset_angularVel.y,0.0424,0.0167,0.0144,0.0224,0.0285
headset_angularVel.z,0.002,-0.0028,0.0008,-0.0162,0.0226
headset_pos.x,1.1143,0.9899,0.8646,0.873,0.7174
headset_pos.y,0.527,0.5196,0.513,0.5158,0.5206
headset_pos.z,2.8531,3.2149,3.121,3.1126,3.0112
headset_rot.x,342.6633,334.646,232.4334,177.3144,252.012
headset_rot.y,253.0772,235.5273,235.9708,231.5879,233.1502
headset_rot.z,351.9085,356.1199,342.4679,349.2249,350.8111
controller_left_vel.x,-0.0558,-0.0378,-0.0246,-0.0122,-0.0468
controller_left_vel.y,0.0243,0.0089,0.0048,0.0134,0.0109
controller_left_vel.z,0.01,-0.0326,-0.0156,-0.0056,-0.0152
controller_left_angularVel.x,-0.1199,-0.0578,-0.0361,-0.0609,-0.0705
controller_left_angularVel.y,0.2092,0.0632,0.0342,0.0605,0.0485
controller_left_angularVel.z,-0.1334,-0.0391,-0.0288,-0.0181,-0.0657
controller_left_pos.x,1.1348,1.007,0.8734,0.8891,0.7435
controller_left_pos.y,0.1066,0.1197,0.1118,0.0974,0.0832
controller_left_pos.z,2.6824,3.0737,2.9898,2.9838,2.8679
controller_left_rot.x,241.6151,324.9359,336.0563,316.4123,276.0654
controller_left_rot.y,222.0552,212.1949,217.0514,215.3824,212.1693
controller_left_rot.z,121.2991,55.6297,64.5941,104.5571,159.3232
controller_right_vel.x,-0.0505,-0.0295,-0.0147,-0.0145,-0.0304
controller_right_vel.y,-0.0033,-0.0,-0.0033,0.0077,0.0051
controller_right_vel.z,0.0141,-0.0335,-0.0118,-0.0029,-0.0132
controller_right_angularVel.x,0.1478,0.0161,0.0035,-0.0094,0.0144
controller_right_angularVel.y,0.2838,0.1168,0.0776,0.0561,0.1403
controller_right_angularVel.z,0.1206,0.0497,0.0508,0.0603,0.0701
controller_right_pos.x,0.9772,0.82,0.7065,0.7215,0.5608
controller_right_pos.y,0.0561,0.0574,0.0335,0.0259,0.0383
controller_right_pos.z,2.877,3.2116,3.1135,3.1012,2.9952
controller_right_rot.x,159.0856,136.6435,27.8943,26.7601,89.4742
controller_right_rot.y,229.6375,215.6412,213.2653,209.8604,210.0068
controller_right_rot.z,224.8062,343.9752,344.4371,343.5998,340.9081
