,1,2,3,4,5
headset_vel.x,0.0082,0.0085,0.0079,0.0083,0.0117
headset_vel.y,0.343,0.4561,0.4424,0.4578,0.4511
headset_vel.z,0.0145,0.0087,0.01,0.0125,0.0105
headset_angularVel.x,0.6243,0.2274,0.2181,0.145,0.1977
headset_angularVel.y,0.0926,0.0383,0.0382,0.047,0.0727
headset_angularVel.z,0.2822,0.6285,0.649,0.8534,0.853
headset_pos.x,0.0429,0.022,0.0028,0.0069,0.0323
headset_pos.y,0.0015,0.0019,0.0019,0.002,0.0019
headset_pos.z,0.0014,0.0118,0.0039,0.0056,0.0094
headset_rot.x,1127.567,6374.8727,28224.1437,31030.414,25571.3265
headset_rot.y,15.4316,5.6385,6.0376,8.6775,9.4165
headset_rot.z,3.5058,345.9368,5177.6041,2991.7199,2275.5249
controller_left_vel.x,0.1166,0.0316,0.0239,0.0243,0.056
controller_left_vel.y,1.3887,0.7506,0.6186,0.7016,0.9131
controller_left_vel.z,0.0696,0.0548,0.0507,0.0501,0.0525
controller_left_angularVel.x,2.7049,1.55,1.2313,1.3087,1.8054
controller_left_angularVel.y,1.5222,0.482,0.4639,0.6163,0.7522
controller_left_angularVel.z,7.0951,1.9996,1.4864,1.4469,2.781
controller_left_pos.x,0.0486,0.0227,0.0036,0.0066,0.0346
controller_left_pos.y,0.0088,0.0039,0.0031,0.0036,0.0056
controller_left_pos.z,0.0017,0.0128,0.0045,0.0062,0.0101
controller_left_rot.x,22898.116,6621.8857,3684.4261,10314.5247,19272.776
controller_left_rot.y,44.9749,17.1325,18.9868,18.4615,28.7853
controller_left_rot.z,26797.7095,15327.3362,17595.8811,25479.9148,30525.4646
controller_right_vel.x,0.1161,0.105,0.0908,0.0834,0.0977
controller_right_vel.y,1.227,0.6542,0.5342,0.4969,0.9424
controller_right_vel.z,0.2288,0.0605,0.041,0.0457,0.0947
controller_right_angularVel.x,3.3053,1.6996,1.1288,1.2555,1.7816
controller_right_angularVel.y,2.4968,1.4643,1.1852,1.1874,1.6941
controller_right_angularVel.z,6.1073,2.5633,2.0299,1.6959,3.5203
controller_right_pos.x,0.0466,0.0243,0.0038,0.0079,0.0334
controller_right_pos.y,0.009,0.0042,0.003,0.003,0.0059
controller_right_pos.z,0.0032,0.0138,0.0047,0.0064,0.0127
controller_right_rot.x,26280.1981,26909.938,4546.9438,3073.1034,19064.3953
controller_right_rot.y,107.4689,37.8352,25.0682,23.6383,56.0906
controller_right_rot.z,28531.8536,997.1642,672.0815,1291.9888,2779.8732
