,1,2,3,4,5
headset_vel.x,-0.0011,-0.0004,-0.0005,-0.0003,-0.0
headset_vel.y,-0.0002,-0.0,-0.0001,-0.0001,0.0
headset_vel.z,0.0015,0.0005,0.0007,0.0009,0.0004
headset_angularVel.x,0.0002,-0.0,-0.0006,0.0001,0.0013
headset_angularVel.y,0.0011,0.0003,0.0017,0.0011,-0.0001
headset_angularVel.z,-0.0001,-0.0006,-0.0003,-0.0004,0.0007
headset_pos.x,-0.4246,-0.4265,-0.4304,-0.4345,-0.4346
headset_pos.y,0.0835,0.0807,0.0797,0.078,0.0779
headset_pos.z,-0.4759,-0.4683,-0.4628,-0.4544,-0.4488
headset_rot.x,356.1278,356.8052,356.5038,356.794,356.1392
headset_rot.y,8.335,8.6275,8.2462,7.7543,7.6451
headset_rot.z,357.1056,356.7583,356.6778,356.9366,356.2303
controller_left_vel.x,0.0007,-0.0001,-0.0002,-0.0005,-0.0003
controller_left_vel.y,0.0005,-0.0001,0.0,0.0001,0.0001
controller_left_vel.z,-0.0004,-0.0001,-0.0001,0.0002,0.0
controller_left_angularVel.x,0.0018,0.0008,0.001,-0.0005,-0.0002
controller_left_angularVel.y,-0.0038,-0.0007,-0.0006,0.0011,0.0003
controller_left_angularVel.z,-0.0029,-0.0006,-0.0005,-0.0013,-0.0006
controller_left_pos.x,-0.4215,-0.4189,-0.4167,-0.4166,-0.4163
controller_left_pos.y,-0.5078,-0.5075,-0.5077,-0.5069,-0.5066
controller_left_pos.z,-0.1829,-0.1832,-0.1834,-0.1832,-0.1826
controller_left_rot.x,17.5506,16.6052,16.2687,15.8081,15.587
controller_left_rot.y,18.3651,19.5282,20.191,20.3153,20.5141
controller_left_rot.z,12.6502,12.7269,12.4355,12.938,13.3401
controller_right_vel.x,0.0006,0.0001,0.0003,0.0002,0.0001
controller_right_vel.y,0.0004,-0.0001,0.0001,0.0003,0.0001
controller_right_vel.z,0.0007,0.0006,0.0004,0.0001,0.0001
controller_right_angularVel.x,-0.0065,-0.0009,0.0001,-0.0008,0.0003
controller_right_angularVel.y,-0.0005,0.0024,-0.0,-0.0011,-0.0003
controller_right_angularVel.z,-0.0098,-0.0024,-0.0007,0.0001,-0.0004
controller_right_pos.x,-0.308,-0.3126,-0.3128,-0.3128,-0.312
controller_right_pos.y,-0.5127,-0.5157,-0.5166,-0.5161,-0.5158
controller_right_pos.z,-0.2086,-0.2101,-0.2095,-0.2097,-0.209
controller_right_rot.x,18.0266,16.2228,15.3214,15.0445,15.5058
controller_right_rot.y,12.2385,11.7918,12.8739,12.739,12.6985
controller_right_rot.z,10.5959,14.0204,14.8666,14.7809,14.0697
