,1,2,3,4,5
headset_vel.x,0.0,0.0,0.0,0.0,0.0
headset_vel.y,0.0,0.0,0.0,0.0,0.0
headset_vel.z,0.0,0.0,0.0,0.0,0.0
headset_angularVel.x,0.0007,0.0007,0.0002,0.0002,0.0003
headset_angularVel.y,0.0011,0.0002,0.0001,0.0001,0.0002
headset_angularVel.z,0.0005,0.0002,0.0001,0.0001,0.0001
headset_pos.x,0.0,0.0,0.0,0.0,0.0
headset_pos.y,0.0,0.0,0.0,0.0,0.0
headset_pos.z,0.0,0.0,0.0,0.0,0.0
headset_rot.x,0.0436,0.0797,0.1569,0.1439,0.1008
headset_rot.y,0.4942,0.0735,0.1285,0.068,0.0691
headset_rot.z,0.1551,0.0365,0.0194,0.0211,0.0523
controller_left_vel.x,0.0,0.0,0.0,0.0,0.0
controller_left_vel.y,0.0,0.0,0.0,0.0,0.0
controller_left_vel.z,0.0,0.0,0.0,0.0,0.0
controller_left_angularVel.x,0.0005,0.0003,0.0002,0.0001,0.0001
controller_left_angularVel.y,0.0007,0.0003,0.0002,0.0001,0.0002
controller_left_angularVel.z,0.0005,0.0001,0.0001,0.0001,0.0001
controller_left_pos.x,0.0,0.0,0.0,0.0,0.0
controller_left_pos.y,0.0,0.0,0.0,0.0,0.0
controller_left_pos.z,0.0,0.0,0.0,0.0,0.0
controller_left_rot.x,0.2703,0.0248,0.0247,0.0155,0.0354
controller_left_rot.y,0.5644,0.0216,0.0287,0.016,0.0114
controller_left_rot.z,0.2389,0.0345,0.0464,0.0758,0.0357
controller_right_vel.x,0.0001,0.0,0.0,0.0,0.0
controller_right_vel.y,0.0001,0.0,0.0,0.0,0.0
controller_right_vel.z,0.0,0.0,0.0,0.0,0.0
controller_right_angularVel.x,0.0035,0.0008,0.0004,0.0006,0.0005
controller_right_angularVel.y,0.003,0.0026,0.001,0.002,0.0017
controller_right_angularVel.z,0.0061,0.003,0.0009,0.0017,0.0019
controller_right_pos.x,0.0,0.0,0.0,0.0,0.0
controller_right_pos.y,0.0,0.0,0.0,0.0,0.0
controller_right_pos.z,0.0,0.0,0.0,0.0,0.0
controller_right_rot.x,0.4347,0.029,0.0193,0.0173,0.012
controller_right_rot.y,1.3697,0.0814,0.0576,0.029,0.0805
controller_right_rot.z,2.4715,0.1006,0.0808,0.0283,0.0989
