,1,2,3,4,5
headset_vel.x,-0.002,0.0006,0.0002,-0.0002,0.0001
headset_vel.y,0.0,-0.0001,-0.0002,0.0001,-0.0001
headset_vel.z,-0.0024,0.0006,-0.0004,0.0,-0.0007
headset_angularVel.x,0.0016,-0.0017,-0.0008,-0.0003,0.0002
headset_angularVel.y,-0.005,-0.002,-0.0021,0.0001,-0.001
headset_angularVel.z,0.002,0.0007,0.0017,0.0003,0.0004
headset_pos.x,-0.6469,-0.6561,-0.6534,-0.652,-0.6509
headset_pos.y,0.5189,0.5183,0.5177,0.5166,0.5165
headset_pos.z,-0.4824,-0.494,-0.496,-0.4898,-0.4941
headset_rot.x,19.0346,1.1801,1.4072,1.8641,1.8527
headset_rot.y,10.1869,11.803,12.505,13.4002,13.6275
headset_rot.z,336.6218,358.4195,358.0699,357.4994,357.2875
controller_left_vel.x,-0.0015,0.0006,-0.0003,-0.0002,-0.0003
controller_left_vel.y,-0.0051,-0.0014,-0.0003,-0.0003,-0.0002
controller_left_vel.z,-0.0009,-0.0,-0.0008,-0.0003,-0.0009
controller_left_angularVel.x,0.0011,-0.001,0.0003,-0.0018,0.0011
controller_left_angularVel.y,-0.0007,-0.0007,0.0003,-0.0017,0.001
controller_left_angularVel.z,0.0004,-0.0004,0.0001,-0.0031,0.0007
controller_left_pos.x,-0.7519,-0.7569,-0.7565,-0.7565,-0.757
controller_left_pos.y,-0.3486,-0.3488,-0.3483,-0.3498,-0.3492
controller_left_pos.z,-0.3847,-0.3913,-0.3918,-0.39,-0.3933
controller_left_rot.x,60.0808,60.207,59.8891,59.6709,59.2863
controller_left_rot.y,342.7527,343.1771,343.621,344.6877,345.4378
controller_left_rot.z,296.5993,297.8416,298.1482,298.132,298.0387
controller_right_vel.x,0.0001,0.0006,0.0001,0.0001,0.0003
controller_right_vel.y,-0.001,-0.0006,-0.0008,0.0001,-0.0001
controller_right_vel.z,-0.0012,0.0002,-0.0007,-0.0002,-0.0007
controller_right_angularVel.x,0.0004,0.0015,0.0007,-0.0001,0.0018
controller_right_angularVel.y,0.0039,-0.0005,-0.0,-0.0,-0.001
controller_right_angularVel.z,-0.0079,-0.0002,0.0015,0.0002,-0.0003
controller_right_pos.x,-0.4733,-0.4722,-0.4723,-0.4736,-0.4744
controller_right_pos.y,-0.3549,-0.3497,-0.3496,-0.3502,-0.35
controller_right_pos.z,-0.4772,-0.4814,-0.4823,-0.4796,-0.4821
controller_right_rot.x,65.5812,65.2614,65.3671,65.4233,65.518
controller_right_rot.y,52.4505,49.1371,46.2196,46.2335,44.2726
controller_right_rot.z,67.6743,59.8682,56.0907,55.9943,53.125
