,1,2,3,4,5
headset_vel.x,0.0,0.0,0.0,0.0,0.0
headset_vel.y,0.0,0.0,0.0,0.0,0.0
headset_vel.z,0.0001,0.0,0.0,0.0,0.0001
headset_angularVel.x,0.0008,0.0003,0.0004,0.0003,0.0002
headset_angularVel.y,0.0008,0.0004,0.0003,0.0002,0.0003
headset_angularVel.z,0.0004,0.0002,0.0002,0.0002,0.0002
headset_pos.x,0.0,0.0,0.0,0.0,0.0
headset_pos.y,0.0,0.0,0.0,0.0,0.0
headset_pos.z,0.0001,0.0,0.0,0.0,0.0
headset_rot.x,6202.0288,0.1122,0.076,0.0342,0.065
headset_rot.y,1.3717,0.2596,0.1745,0.0898,0.0419
headset_rot.z,7439.0279,0.0198,0.1219,0.0191,0.038
controller_left_vel.x,0.0,0.0,0.0,0.0,0.0
controller_left_vel.y,0.0001,0.0,0.0,0.0,0.0
controller_left_vel.z,0.0,0.0,0.0,0.0,0.0
controller_left_angularVel.x,0.0011,0.0007,0.0003,0.0004,0.0004
controller_left_angularVel.y,0.0008,0.0004,0.0002,0.0003,0.0002
controller_left_angularVel.z,0.0009,0.0007,0.0003,0.0007,0.0004
controller_left_pos.x,0.0,0.0,0.0,0.0,0.0
controller_left_pos.y,0.0,0.0,0.0,0.0,0.0
controller_left_pos.z,0.0,0.0,0.0,0.0,0.0
controller_left_rot.x,0.0716,0.0861,0.0114,0.1356,0.0409
controller_left_rot.y,0.1429,0.1143,0.0899,0.438,0.1714
controller_left_rot.z,0.3138,0.1325,0.0724,0.086,0.1853
controller_right_vel.x,0.0001,0.0001,0.0,0.0,0.0
controller_right_vel.y,0.0001,0.0,0.0,0.0,0.0
controller_right_vel.z,0.0001,0.0001,0.0,0.0,0.0
controller_right_angularVel.x,0.0114,0.0056,0.0032,0.0016,0.0026
controller_right_angularVel.y,0.0026,0.0015,0.0006,0.0007,0.0014
controller_right_angularVel.z,0.0055,0.0018,0.0016,0.0017,0.0014
controller_right_pos.x,0.0,0.0,0.0,0.0,0.0
controller_right_pos.y,0.0,0.0,0.0,0.0,0.0
controller_right_pos.z,0.0,0.0,0.0,0.0,0.0
controller_right_rot.x,0.0475,0.0585,0.0755,0.0474,0.0657
controller_right_rot.y,6.174,0.9822,0.4179,0.4955,0.5714
controller_right_rot.z,3.9197,0.9332,0.4879,0.6225,0.8704
