,1,2,3,4,5
headset_vel.x,-0.0043,0.0003,-0.0005,0.0006,-0.0015
headset_vel.y,0.0005,0.0004,0.0001,0.0001,0.0001
headset_vel.z,-0.0044,0.0016,-0.0004,-0.0006,0.0006
headset_angularVel.x,0.0033,0.001,0.0002,0.0011,-0.0003
headset_angularVel.y,0.0091,0.0036,0.0017,-0.0028,0.0044
headset_angularVel.z,-0.0043,-0.0004,-0.0016,-0.0015,0.0008
headset_pos.x,-1.4568,-1.4628,-1.4607,-1.4556,-1.4573
headset_pos.y,0.5197,0.5205,0.52,0.5189,0.5175
headset_pos.z,0.1542,0.1543,0.1601,0.1655,0.1702
headset_rot.x,46.9951,143.7055,93.5211,54.7887,2.9153
headset_rot.y,29.6362,27.7463,27.0037,28.0215,25.9424
headset_rot.z,333.6934,300.6532,343.6729,357.478,335.6248
controller_left_vel.x,0.0692,-0.024,0.0017,0.0103,0.0172
controller_left_vel.y,-0.0581,0.0024,0.0057,0.004,-0.0211
controller_left_vel.z,0.0074,-0.0211,-0.0008,-0.0051,-0.0139
controller_left_angularVel.x,-0.0047,-0.0138,0.0365,-0.0134,0.0407
controller_left_angularVel.y,-0.1391,0.0175,-0.0209,-0.0733,-0.0265
controller_left_angularVel.z,-0.127,0.0887,0.0098,0.0629,-0.0326
controller_left_pos.x,-1.6827,-1.6875,-1.662,-1.6934,-1.6896
controller_left_pos.y,0.1946,0.1615,0.1748,0.116,0.1784
controller_left_pos.z,0.5393,0.5078,0.5561,0.5385,0.5657
controller_left_rot.x,127.7901,106.5084,129.2933,97.3987,129.3016
controller_left_rot.y,306.1637,286.7709,295.8503,257.6378,255.1243
controller_left_rot.z,142.6306,128.6284,106.7595,153.4442,122.3955
controller_right_vel.x,-0.0068,0.0078,-0.004,-0.0006,-0.0222
controller_right_vel.y,0.0289,0.0246,-0.0043,0.0014,0.0057
controller_right_vel.z,0.0823,-0.0385,-0.0023,-0.0026,0.0194
controller_right_angularVel.x,-0.0256,-0.0613,-0.0089,-0.0234,0.0433
controller_right_angularVel.y,0.1319,-0.0584,-0.0153,0.0087,0.0258
controller_right_angularVel.z,-0.1463,-0.1211,-0.0556,-0.0706,-0.0319
controller_right_pos.x,-1.0523,-1.026,-1.0462,-0.9972,-1.0113
controller_right_pos.y,0.1496,0.2059,0.0876,0.1628,0.0703
controller_right_pos.z,0.1611,0.1483,0.157,0.176,0.1482
controller_right_rot.x,124.2248,138.7677,102.3214,123.4189,98.6122
controller_right_rot.y,77.8734,77.1818,75.863,75.07,77.0914
controller_right_rot.z,219.7623,263.9172,235.0889,240.5297,239.3032
