,1,2,3,4,5
headset_vel.x,0.001,0.001,0.001,0.0008,0.0012
headset_vel.y,0.0001,0.0001,0.0001,0.0001,0.0001
headset_vel.z,0.0025,0.0037,0.0029,0.0024,0.0028
headset_angularVel.x,0.0032,0.0056,0.0029,0.0029,0.0046
headset_angularVel.y,0.0056,0.0064,0.0067,0.0075,0.0103
headset_angularVel.z,0.0055,0.0055,0.0039,0.0036,0.006
headset_pos.x,0.0001,0.0001,0.0001,0.0001,0.0001
headset_pos.y,0.0,0.0,0.0,0.0,0.0
headset_pos.z,0.0003,0.0004,0.0003,0.0003,0.0003
headset_rot.x,14323.5147,30732.3676,24690.9359,16348.7588,319.0365
headset_rot.y,2.0053,2.6548,1.7246,2.9697,3.5604
headset_rot.z,8512.0967,17498.5522,5262.8039,460.9254,7791.3927
controller_left_vel.x,0.5895,0.74,0.7669,0.7864,0.7078
controller_left_vel.y,0.3447,0.3177,0.3928,0.2352,0.3696
controller_left_vel.z,0.2163,0.3364,0.2617,0.303,0.2981
controller_left_angularVel.x,1.1111,1.5714,1.3158,1.3316,1.3619
controller_left_angularVel.y,1.5864,1.9167,1.8758,1.7366,1.7136
controller_left_angularVel.z,0.5068,0.386,0.6606,0.5822,0.568
controller_left_pos.x,0.0771,0.0998,0.0811,0.0916,0.0834
controller_left_pos.y,0.1,0.0905,0.0822,0.0722,0.0831
controller_left_pos.z,0.0195,0.0249,0.0202,0.0246,0.0253
controller_left_rot.x,22924.9857,20397.7417,23285.3288,18305.2968,22254.3958
controller_left_rot.y,1387.6541,6829.1946,6595.0477,13087.8699,14275.8136
controller_left_rot.z,24844.2815,23172.0079,21911.9679,26311.7485,24784.3331
controller_right_vel.x,0.2055,0.2481,0.2888,0.2661,0.2284
controller_right_vel.y,0.3755,0.3511,0.3343,0.2988,0.2356
controller_right_vel.z,0.7461,0.9505,1.0688,0.7756,0.8924
controller_right_angularVel.x,0.6315,0.7397,1.0816,0.8821,1.0693
controller_right_angularVel.y,2.0925,2.6186,2.4932,1.9467,1.8292
controller_right_angularVel.z,1.1422,1.1835,1.2004,0.7878,0.7278
controller_right_pos.x,0.0127,0.0194,0.0169,0.0205,0.0187
controller_right_pos.y,0.117,0.101,0.0826,0.0771,0.0699
controller_right_pos.z,0.0891,0.1019,0.1044,0.0904,0.0972
controller_right_rot.x,19018.7945,21945.6286,16435.1252,20491.7446,15457.6382
controller_right_rot.y,1647.2313,1942.9808,2096.1933,1682.9564,1826.5922
controller_right_rot.z,26573.2043,20584.1108,24457.7793,24956.3543,24562.4662
