,1,2,3,4,5
headset_vel.x,-0.0086,-0.0083,0.0003,-0.0052,-0.027
headset_vel.y,0.002,0.0005,-0.0003,0.0007,-0.0008
headset_vel.z,0.0103,0.0151,-0.0059,0.0062,0.0126
headset_angularVel.x,0.0212,-0.0183,-0.0083,-0.0248,0.0179
headset_angularVel.y,0.0626,0.1264,-0.0445,0.0354,0.3262
headset_angularVel.z,0.02,0.0021,0.0426,0.0456,0.0484
headset_pos.x,-1.2839,-1.2878,-1.2941,-1.2975,-1.2725
headset_pos.y,0.4916,0.4967,0.4921,0.4942,0.4938
headset_pos.z,0.2043,0.2066,0.194,0.2045,0.1863
headset_rot.x,9.9218,7.9571,9.3769,8.6336,9.4352
headset_rot.y,176.4347,177.3337,179.6173,182.6336,167.8295
headset_rot.z,355.3276,350.7042,354.2802,354.9724,354.8833
controller_left_vel.x,-0.0255,-0.0264,0.008,-0.0111,-0.0488
controller_left_vel.y,0.003,-0.0005,-0.0012,0.0002,0.003
controller_left_vel.z,0.0032,0.0051,-0.0058,-0.0021,-0.024
controller_left_angularVel.x,0.1086,0.0973,-0.0177,-0.0105,0.0964
controller_left_angularVel.y,0.0368,0.06,-0.0395,0.0227,0.2328
controller_left_angularVel.z,0.0827,0.0466,0.0782,0.0753,0.1157
controller_left_pos.x,-1.3721,-1.3769,-1.3843,-1.3867,-1.3549
controller_left_pos.y,-0.1164,-0.1267,-0.1283,-0.1271,-0.1243
controller_left_pos.z,0.2343,0.2314,0.2141,0.2238,0.2335
controller_left_rot.x,17.7072,21.7812,23.3613,23.7794,23.3212
controller_left_rot.y,187.6279,189.8533,192.2423,197.0867,178.3742
controller_left_rot.z,321.4795,322.8774,325.8127,325.8234,325.1675
controller_right_vel.x,0.0102,0.0063,-0.0077,-0.0039,-0.0145
controller_right_vel.y,-0.0024,-0.0028,-0.0,-0.0001,-0.0041
controller_right_vel.z,0.0288,0.0239,-0.0128,0.0113,0.0389
controller_right_angularVel.x,-0.0189,-0.0166,-0.0848,-0.091,-0.0441
controller_right_angularVel.y,0.1258,0.1186,-0.0211,0.036,0.2617
controller_right_angularVel.z,0.0748,0.0383,-0.0082,0.0449,0.1367
controller_right_pos.x,-1.1982,-1.1956,-1.204,-1.2143,-1.208
controller_right_pos.y,-0.1076,-0.1187,-0.1109,-0.106,-0.1105
controller_right_pos.z,0.1404,0.135,0.1385,0.1583,0.1187
controller_right_rot.x,36.1287,36.4505,35.7448,34.3677,36.0528
controller_right_rot.y,171.0374,168.0286,173.159,180.9479,164.6358
controller_right_rot.z,10.2831,14.5524,9.308,85.3152,11.5136
