,1,2,3,4,5
headset_vel.x,0.0394,0.0321,0.0366,0.033,0.0332
headset_vel.y,0.0004,0.0002,0.0003,0.0003,0.0003
headset_vel.z,0.0322,0.0248,0.0261,0.0259,0.0314
headset_angularVel.x,0.0505,0.0326,0.056,0.0414,0.0404
headset_angularVel.y,3.34,3.0773,3.2285,3.1575,3.1862
headset_angularVel.z,0.0515,0.0428,0.0494,0.0412,0.0557
headset_pos.x,0.01,0.0093,0.0116,0.0101,0.0104
headset_pos.y,0.0001,0.0,0.0,0.0,0.0
headset_pos.z,0.0076,0.0055,0.0055,0.0061,0.0072
headset_rot.x,12.3115,2.6031,2.4342,3.4701,3.4807
headset_rot.y,16362.7756,16836.2204,16315.7761,16275.6147,15018.7336
headset_rot.z,0.7974,1631.8336,1.274,0.9946,0.9244
controller_left_vel.x,0.098,0.0927,0.108,0.1045,0.1057
controller_left_vel.y,0.0022,0.0015,0.0013,0.001,0.0019
controller_left_vel.z,0.0778,0.0632,0.092,0.0957,0.0946
controller_left_angularVel.x,1.1251,0.8397,0.8037,0.7396,0.8425
controller_left_angularVel.y,1.5878,1.4529,1.7634,1.7636,1.6369
controller_left_angularVel.z,0.8822,0.7175,0.7783,0.7683,0.7816
controller_left_pos.x,0.0207,0.0211,0.0239,0.0246,0.0265
controller_left_pos.y,0.0003,0.0002,0.0001,0.0001,0.0002
controller_left_pos.z,0.0068,0.0054,0.0098,0.0094,0.0095
controller_left_rot.x,46.7471,26.3009,21.5622,16.1669,31.7361
controller_left_rot.y,16430.6837,16859.5866,15993.9183,15485.8173,16014.7939
controller_left_rot.z,14.7647,3.9106,5.6133,2.0648,3.8503
controller_right_vel.x,0.0615,0.06,0.0627,0.0712,0.0734
controller_right_vel.y,0.0024,0.0016,0.0013,0.0012,0.001
controller_right_vel.z,0.0904,0.0878,0.0901,0.0907,0.0914
controller_right_angularVel.x,0.7419,0.6561,0.6269,0.5653,0.6711
controller_right_angularVel.y,2.139,1.7579,2.0372,2.0327,2.0136
controller_right_angularVel.z,0.7813,0.7364,0.6918,0.6354,0.681
controller_right_pos.x,0.0046,0.0049,0.005,0.0062,0.0059
controller_right_pos.y,0.0004,0.0004,0.0003,0.0002,0.0002
controller_right_pos.z,0.0249,0.0252,0.0254,0.0271,0.0272
controller_right_rot.x,30.4764,19.7986,14.6154,16.5009,14.7631
controller_right_rot.y,16100.6648,16607.3004,16415.2029,16215.5999,14618.9895
controller_right_rot.z,9.0568,4.5124,4.4666,22207.0443,2516.8724
