,Mean,Variance
headset_vel.x,-8.505259933825945e-05,1.9922208355321935e-05
headset_vel.y,-0.0003040831340492611,2.8311465513992735e-07
headset_vel.z,0.00018609825735632185,2.0565874145873217e-05
headset_angularVel.x,2.3583095316912845e-05,0.00019564266071448106
headset_angularVel.y,4.6332058635468046e-05,0.000744440198965156
headset_angularVel.z,-0.00016056226847290653,0.0009343686359585276
headset_pos.x,-0.3298130917898194,7.295407061166933e-07
headset_pos.y,-0.4123416379310345,8.583259825317724e-09
headset_pos.z,-0.41023369146141214,8.183502560782915e-07
headset_rot.x,276.1304673234811,0.011314258749568042
headset_rot.y,47.277666518883414,11.217845165402665
headset_rot.z,331.9588103039639,8793.312504724125
controller_left_vel.x,1.074311163678161e-05,2.3857433231198714e-08
controller_left_vel.y,9.611703712972085e-06,3.058592059100967e-08
controller_left_vel.z,-3.1164437034482763e-06,2.271569027988316e-09
controller_left_angularVel.x,-0.00010588345555008212,1.0673828311848797e-05
controller_left_angularVel.y,-0.00026191084400656816,3.5620072149637604e-05
controller_left_angularVel.z,-6.191686330049261e-05,1.1995691875818327e-05
controller_left_pos.x,0.9021262349753695,7.473862668523464e-11
controller_left_pos.y,-0.5348291113300493,8.328154978027349e-13
controller_left_pos.z,0.5047334376026272,6.9518600164177e-11
controller_left_rot.x,25.977242364532017,0.0002377371723603187
controller_left_rot.y,15.290333711001642,0.00017885222896897503
controller_left_rot.z,299.24606715927746,0.0008225185249762152
controller_right_vel.x,1.0250267262725778e-05,2.530779503974691e-07
controller_right_vel.y,-0.00013666800208866995,2.6829695888940727e-07
controller_right_vel.z,0.00012703808192988505,3.9297070204674984e-08
controller_right_angularVel.x,4.687143448275853e-05,0.00048445460149650814
controller_right_angularVel.y,-4.5995687681444954e-05,9.500492665169736e-05
controller_right_angularVel.z,-0.0035205293843678163,7.669811043997885e-05
controller_right_pos.x,0.8092229576354679,1.5045379439976234e-10
controller_right_pos.y,0.5488145735632184,1.0467855981549003e-10
controller_right_pos.z,0.24608038538587848,4.0214868313027247e-11
controller_right_rot.x,53.88740709359606,0.0007356602864402456
controller_right_rot.y,120.11712183908045,0.0012562235518753567
controller_right_rot.z,3.489091119868637,0.004095453829957646
